Categoria: Todas as categorias,,
,,
Semana,dengue: (Alagoas),sintomas dengue: (Alagoas)
2020/6/28,13,3
2020/7/5,17,0
2020/7/12,12,4
2020/7/19,13,0
2020/7/26,9,0
2020/8/2,12,3
2020/8/9,11,0
2020/8/16,10,0
2020/8/23,10,0
2020/8/30,8,3
2020/9/6,6,0
2020/9/13,6,0
2020/9/20,7,0
2020/9/27,7,0
2020/10/4,5,0
2020/10/11,6,0
2020/10/18,6,0
2020/10/25,5,0
2020/11/1,6,0
2020/11/8,7,0
2020/11/15,6,0
2020/11/22,7,0
2020/11/29,5,0
2020/12/6,3,0
2020/12/13,4,0
2020/12/20,4,0
2020/12/27,0,0
2021/1/3,7,0
2021/1/10,0,0
2021/1/17,5,0
2021/1/24,3,0
2021/1/31,0,0
2021/2/7,4,0
2021/2/14,3,0
2021/2/21,3,0
2021/2/28,6,0
2021/3/7,5,0
2021/3/14,6,0
2021/3/21,6,0
2021/3/28,6,0
2021/4/4,9,0
2021/4/11,7,0
2021/4/18,6,0
2021/4/25,10,0
2021/5/2,10,0
2021/5/9,14,0
2021/5/16,15,4
2021/5/23,18,4
2021/5/30,19,4
2021/6/6,19,4
2021/6/13,18,6
2021/6/20,14,3
2021/6/27,14,0
2021/7/4,21,4
2021/7/11,23,4
2021/7/18,21,4
2021/7/25,23,6
2021/8/1,24,6
2021/8/8,20,6
2021/8/15,23,5
2021/8/22,20,6
2021/8/29,22,6
2021/9/5,19,0
2021/9/12,13,4
2021/9/19,12,4
2021/9/26,11,0
2021/10/3,10,3
2021/10/10,7,4
2021/10/17,14,0
2021/10/24,13,0
2021/10/31,11,0
2021/11/7,13,0
2021/11/14,10,0
2021/11/21,10,3
2021/11/28,7,0
2021/12/5,9,0
2021/12/12,8,0
2021/12/19,7,0
2021/12/26,7,0
2022/1/2,11,0
2022/1/9,8,3
2022/1/16,12,4
2022/1/23,8,3
2022/1/30,8,4
2022/2/6,7,0
2022/2/13,9,0
2022/2/20,9,3
2022/2/27,7,3
2022/3/6,8,0
2022/3/13,11,0
2022/3/20,13,3
2022/3/27,20,4
2022/4/3,21,4
2022/4/10,17,5
2022/4/17,28,9
2022/4/24,51,16
2022/5/1,56,16
2022/5/8,80,24
2022/5/15,97,32
2022/5/22,97,29
2022/5/29,96,28
2022/6/5,90,26
2022/6/12,84,30
2022/6/19,100,38
2022/6/26,91,37
2022/7/3,75,28
2022/7/10,66,18
2022/7/17,61,18
2022/7/24,47,15
2022/7/31,34,10
2022/8/7,35,11
2022/8/14,31,11
2022/8/21,21,3
2022/8/28,18,6
2022/9/4,12,3
2022/9/11,18,5
2022/9/18,16,4
2022/9/25,13,3
2022/10/2,9,0
2022/10/9,8,0
2022/10/16,11,0
2022/10/23,9,3
2022/10/30,8,0
2022/11/6,8,3
2022/11/13,9,0
2022/11/20,11,2
2022/11/27,11,3
2022/12/4,5,0
2022/12/11,9,0
2022/12/18,8,0
2022/12/25,7,3
2023/1/1,8,0
2023/1/8,5,0
2023/1/15,7,0
2023/1/22,6,0
2023/1/29,4,0
2023/2/5,6,0
2023/2/12,9,0
2023/2/19,7,0
2023/2/26,10,3
2023/3/5,8,0
2023/3/12,6,0
2023/3/19,13,5
2023/3/26,16,5
2023/4/2,13,3
2023/4/9,14,4
2023/4/16,12,4
2023/4/23,13,4
2023/4/30,13,4
2023/5/7,13,4
2023/5/14,14,3
2023/5/21,16,3
2023/5/28,16,4
2023/6/4,11,3
2023/6/11,13,0
2023/6/18,10,4
2023/6/25,9,4
2023/7/2,17,5
2023/7/9,14,4
2023/7/16,14,4
2023/7/23,11,3
2023/7/30,7,0
2023/8/6,10,0
2023/8/13,9,0
2023/8/20,8,0
2023/8/27,9,0
2023/9/3,7,0
2023/9/10,9,4
2023/9/17,8,0
2023/9/24,8,0
2023/10/1,7,0
2023/10/8,8,0
2023/10/15,8,4
2023/10/22,6,0
2023/10/29,8,0
2023/11/5,5,0
2023/11/12,5,0
2023/11/19,7,3
2023/11/26,7,0
2023/12/3,9,0
2023/12/10,8,0
2023/12/17,7,0
2023/12/24,5,0
2023/12/31,8,0
2024/1/7,6,0
2024/1/14,7,0
2024/1/21,9,0
2024/1/28,22,5
2024/2/4,27,8
2024/2/11,44,13
2024/2/18,85,20
2024/2/25,93,20
2024/3/3,88,22
2024/3/10,98,22
2024/3/17,99,18
2024/3/24,58,19
2024/3/31,69,15
2024/4/7,71,18
2024/4/14,65,16
2024/4/21,70,17
2024/4/28,59,15
2024/5/5,54,12
2024/5/12,55,14
2024/5/19,52,13
2024/5/26,40,9
2024/6/2,44,10
2024/6/9,69,16
2024/6/16,50,13
2024/6/23,53,12
2024/6/30,42,10
2024/7/7,37,8
2024/7/14,35,6
2024/7/21,39,9
2024/7/28,27,5
2024/8/4,25,4
2024/8/11,24,5
2024/8/18,20,7
2024/8/25,18,4
2024/9/1,18,5
2024/9/8,14,4
2024/9/15,12,4
2024/9/22,13,3
2024/9/29,9,0
2024/10/6,11,4
2024/10/13,13,0
2024/10/20,12,0
2024/10/27,10,0
2024/11/3,11,0
2024/11/10,9,0
2024/11/17,10,0
2024/11/24,11,0
2024/12/1,6,4
2024/12/8,8,0
2024/12/15,7,0
2024/12/22,4,0
2024/12/29,7,0
2025/1/5,8,0
2025/1/12,7,0
2025/1/19,7,0
2025/1/26,8,0
2025/2/2,8,0
2025/2/9,14,0
2025/2/16,15,0
2025/2/23,12,0
2025/3/2,9,0
2025/3/9,17,0
2025/3/16,15,0
2025/3/23,14,0
2025/3/30,14,0
2025/4/6,14,5
2025/4/13,13,0
2025/4/20,13,0
2025/4/27,13,4
2025/5/4,14,5
2025/5/11,15,0
