Categoria: Todas as categorias,,
,,
Semana,dengue: (Amazonas),sintomas dengue: (Amazonas)
2020/6/28,9,0
2020/7/5,10,0
2020/7/12,11,0
2020/7/19,10,0
2020/7/26,9,0
2020/8/2,9,0
2020/8/9,7,0
2020/8/16,6,0
2020/8/23,6,0
2020/8/30,6,0
2020/9/6,6,0
2020/9/13,7,0
2020/9/20,8,0
2020/9/27,5,0
2020/10/4,8,0
2020/10/11,7,0
2020/10/18,10,0
2020/10/25,8,0
2020/11/1,6,0
2020/11/8,10,0
2020/11/15,12,3
2020/11/22,10,0
2020/11/29,11,3
2020/12/6,11,0
2020/12/13,12,4
2020/12/20,14,4
2020/12/27,17,7
2021/1/3,25,10
2021/1/10,18,6
2021/1/17,22,6
2021/1/24,20,5
2021/1/31,16,4
2021/2/7,17,4
2021/2/14,20,9
2021/2/21,23,9
2021/2/28,25,9
2021/3/7,17,6
2021/3/14,20,5
2021/3/21,25,8
2021/3/28,21,6
2021/4/4,19,5
2021/4/11,20,4
2021/4/18,22,5
2021/4/25,21,6
2021/5/2,21,4
2021/5/9,17,5
2021/5/16,21,6
2021/5/23,18,6
2021/5/30,15,0
2021/6/6,15,4
2021/6/13,15,3
2021/6/20,13,5
2021/6/27,12,3
2021/7/4,11,0
2021/7/11,13,0
2021/7/18,11,3
2021/7/25,11,0
2021/8/1,11,0
2021/8/8,11,3
2021/8/15,12,4
2021/8/22,9,0
2021/8/29,8,0
2021/9/5,6,0
2021/9/12,11,0
2021/9/19,8,0
2021/9/26,11,0
2021/10/3,5,0
2021/10/10,6,0
2021/10/17,10,0
2021/10/24,5,0
2021/10/31,7,0
2021/11/7,7,0
2021/11/14,8,0
2021/11/21,8,0
2021/11/28,7,3
2021/12/5,6,0
2021/12/12,8,0
2021/12/19,8,0
2021/12/26,4,0
2022/1/2,8,0
2022/1/9,9,0
2022/1/16,11,4
2022/1/23,8,0
2022/1/30,8,0
2022/2/6,6,0
2022/2/13,10,3
2022/2/20,14,2
2022/2/27,10,0
2022/3/6,11,0
2022/3/13,14,3
2022/3/20,19,4
2022/3/27,16,3
2022/4/3,16,2
2022/4/10,16,3
2022/4/17,16,4
2022/4/24,15,4
2022/5/1,17,4
2022/5/8,16,4
2022/5/15,18,3
2022/5/22,17,4
2022/5/29,17,6
2022/6/5,18,4
2022/6/12,18,3
2022/6/19,13,3
2022/6/26,8,0
2022/7/3,9,3
2022/7/10,7,0
2022/7/17,12,3
2022/7/24,11,0
2022/7/31,10,0
2022/8/7,8,2
2022/8/14,9,0
2022/8/21,8,0
2022/8/28,9,0
2022/9/4,9,0
2022/9/11,7,0
2022/9/18,9,0
2022/9/25,8,0
2022/10/2,7,0
2022/10/9,7,0
2022/10/16,9,0
2022/10/23,8,0
2022/10/30,7,0
2022/11/6,14,0
2022/11/13,10,0
2022/11/20,11,0
2022/11/27,14,0
2022/12/4,9,0
2022/12/11,10,0
2022/12/18,10,0
2022/12/25,12,4
2023/1/1,6,3
2023/1/8,9,4
2023/1/15,9,3
2023/1/22,10,0
2023/1/29,13,5
2023/2/5,12,0
2023/2/12,18,5
2023/2/19,17,4
2023/2/26,19,3
2023/3/5,16,4
2023/3/12,15,4
2023/3/19,19,5
2023/3/26,19,3
2023/4/2,14,4
2023/4/9,17,4
2023/4/16,15,3
2023/4/23,16,5
2023/4/30,14,4
2023/5/7,17,7
2023/5/14,17,4
2023/5/21,14,3
2023/5/28,14,3
2023/6/4,10,3
2023/6/11,11,4
2023/6/18,11,2
2023/6/25,10,3
2023/7/2,13,0
2023/7/9,11,3
2023/7/16,9,0
2023/7/23,9,2
2023/7/30,9,0
2023/8/6,10,0
2023/8/13,12,3
2023/8/20,8,0
2023/8/27,8,3
2023/9/3,5,0
2023/9/10,10,3
2023/9/17,10,4
2023/9/24,7,0
2023/10/1,8,0
2023/10/8,5,0
2023/10/15,7,0
2023/10/22,6,0
2023/10/29,7,0
2023/11/5,10,0
2023/11/12,12,0
2023/11/19,10,0
2023/11/26,11,0
2023/12/3,13,3
2023/12/10,21,6
2023/12/17,27,9
2023/12/24,53,16
2023/12/31,88,31
2024/1/7,85,23
2024/1/14,85,26
2024/1/21,88,23
2024/1/28,67,18
2024/2/4,79,22
2024/2/11,81,22
2024/2/18,100,23
2024/2/25,93,20
2024/3/3,80,18
2024/3/10,70,14
2024/3/17,61,14
2024/3/24,46,10
2024/3/31,48,11
2024/4/7,41,12
2024/4/14,48,10
2024/4/21,39,9
2024/4/28,27,6
2024/5/5,22,3
2024/5/12,18,4
2024/5/19,20,5
2024/5/26,17,0
2024/6/2,20,4
2024/6/9,21,3
2024/6/16,16,4
2024/6/23,14,0
2024/6/30,10,0
2024/7/7,11,0
2024/7/14,12,0
2024/7/21,11,0
2024/7/28,11,0
2024/8/4,9,0
2024/8/11,7,0
2024/8/18,9,0
2024/8/25,8,0
2024/9/1,7,0
2024/9/8,11,0
2024/9/15,11,0
2024/9/22,11,0
2024/9/29,9,0
2024/10/6,7,0
2024/10/13,8,0
2024/10/20,6,0
2024/10/27,9,3
2024/11/3,11,3
2024/11/10,10,0
2024/11/17,13,0
2024/11/24,11,0
2024/12/1,10,0
2024/12/8,8,0
2024/12/15,7,0
2024/12/22,11,0
2024/12/29,11,0
2025/1/5,20,0
2025/1/12,20,0
2025/1/19,20,0
2025/1/26,20,4
2025/2/2,11,0
2025/2/9,15,0
2025/2/16,20,0
2025/2/23,17,4
2025/3/2,13,0
2025/3/9,15,3
2025/3/16,15,0
2025/3/23,13,0
2025/3/30,13,0
2025/4/6,16,0
2025/4/13,14,0
2025/4/20,15,0
2025/4/27,10,0
2025/5/4,12,0
2025/5/11,12,0
