Categoria: Todas as categorias,,
,,
Semana,dengue: (Brasil),sintomas dengue: (Brasil)
2020/6/28,6,1
2020/7/5,5,1
2020/7/12,4,1
2020/7/19,4,1
2020/7/26,3,1
2020/8/2,3,1
2020/8/9,3,1
2020/8/16,3,1
2020/8/23,2,1
2020/8/30,2,1
2020/9/6,3,1
2020/9/13,3,1
2020/9/20,3,<1
2020/9/27,3,<1
2020/10/4,3,<1
2020/10/11,2,<1
2020/10/18,2,<1
2020/10/25,2,<1
2020/11/1,2,<1
2020/11/8,3,1
2020/11/15,3,1
2020/11/22,3,1
2020/11/29,3,1
2020/12/6,3,1
2020/12/13,3,1
2020/12/20,3,1
2020/12/27,3,1
2021/1/3,4,1
2021/1/10,3,1
2021/1/17,4,1
2021/1/24,4,1
2021/1/31,4,1
2021/2/7,4,1
2021/2/14,5,1
2021/2/21,6,2
2021/2/28,6,2
2021/3/7,7,2
2021/3/14,8,2
2021/3/21,9,2
2021/3/28,8,2
2021/4/4,8,2
2021/4/11,9,2
2021/4/18,8,2
2021/4/25,8,2
2021/5/2,7,2
2021/5/9,7,2
2021/5/16,7,2
2021/5/23,7,2
2021/5/30,7,2
2021/6/6,6,2
2021/6/13,5,1
2021/6/20,4,1
2021/6/27,4,1
2021/7/4,3,1
2021/7/11,3,1
2021/7/18,3,1
2021/7/25,2,1
2021/8/1,2,1
2021/8/8,2,1
2021/8/15,3,1
2021/8/22,3,1
2021/8/29,2,1
2021/9/5,2,<1
2021/9/12,2,<1
2021/9/19,3,1
2021/9/26,2,<1
2021/10/3,2,<1
2021/10/10,2,<1
2021/10/17,2,<1
2021/10/24,2,<1
2021/10/31,2,<1
2021/11/7,3,<1
2021/11/14,2,<1
2021/11/21,3,1
2021/11/28,3,1
2021/12/5,3,1
2021/12/12,3,1
2021/12/19,3,1
2021/12/26,4,1
2022/1/2,6,2
2022/1/9,7,2
2022/1/16,7,2
2022/1/23,6,2
2022/1/30,6,2
2022/2/6,6,2
2022/2/13,6,2
2022/2/20,7,2
2022/2/27,7,2
2022/3/6,9,2
2022/3/13,11,3
2022/3/20,14,3
2022/3/27,15,4
2022/4/3,17,5
2022/4/10,18,5
2022/4/17,23,7
2022/4/24,25,8
2022/5/1,22,7
2022/5/8,24,7
2022/5/15,19,6
2022/5/22,18,6
2022/5/29,14,5
2022/6/5,14,4
2022/6/12,11,3
2022/6/19,10,3
2022/6/26,9,3
2022/7/3,7,2
2022/7/10,6,2
2022/7/17,5,2
2022/7/24,5,1
2022/7/31,4,1
2022/8/7,4,1
2022/8/14,4,1
2022/8/21,3,1
2022/8/28,3,1
2022/9/4,3,1
2022/9/11,3,1
2022/9/18,3,1
2022/9/25,3,1
2022/10/2,3,1
2022/10/9,3,1
2022/10/16,3,1
2022/10/23,4,1
2022/10/30,3,1
2022/11/6,4,1
2022/11/13,4,1
2022/11/20,4,1
2022/11/27,3,1
2022/12/4,4,1
2022/12/11,4,1
2022/12/18,4,1
2022/12/25,5,2
2023/1/1,5,2
2023/1/8,5,1
2023/1/15,5,2
2023/1/22,6,2
2023/1/29,6,2
2023/2/5,7,2
2023/2/12,9,2
2023/2/19,9,3
2023/2/26,12,3
2023/3/5,14,4
2023/3/12,16,5
2023/3/19,19,6
2023/3/26,25,8
2023/4/2,22,7
2023/4/9,22,7
2023/4/16,23,6
2023/4/23,22,7
2023/4/30,20,6
2023/5/7,19,6
2023/5/14,18,5
2023/5/21,15,5
2023/5/28,11,3
2023/6/4,9,3
2023/6/11,8,2
2023/6/18,7,2
2023/6/25,7,2
2023/7/2,8,2
2023/7/9,5,1
2023/7/16,4,1
2023/7/23,4,1
2023/7/30,4,1
2023/8/6,3,1
2023/8/13,3,1
2023/8/20,4,1
2023/8/27,3,1
2023/9/3,3,1
2023/9/10,3,1
2023/9/17,4,1
2023/9/24,3,1
2023/10/1,3,1
2023/10/8,3,1
2023/10/15,4,1
2023/10/22,4,1
2023/10/29,3,1
2023/11/5,4,1
2023/11/12,4,1
2023/11/19,5,1
2023/11/26,5,1
2023/12/3,6,1
2023/12/10,7,2
2023/12/17,7,2
2023/12/24,9,2
2023/12/31,11,3
2024/1/7,14,3
2024/1/14,18,4
2024/1/21,26,6
2024/1/28,40,8
2024/2/4,63,14
2024/2/11,69,17
2024/2/18,91,19
2024/2/25,100,21
2024/3/3,91,19
2024/3/10,85,18
2024/3/17,84,18
2024/3/24,75,16
2024/3/31,81,17
2024/4/7,81,16
2024/4/14,72,13
2024/4/21,70,14
2024/4/28,61,12
2024/5/5,55,11
2024/5/12,51,9
2024/5/19,43,8
2024/5/26,29,5
2024/6/2,24,4
2024/6/9,21,4
2024/6/16,18,3
2024/6/23,15,3
2024/6/30,10,2
2024/7/7,8,2
2024/7/14,7,1
2024/7/21,7,2
2024/7/28,6,1
2024/8/4,6,1
2024/8/11,6,1
2024/8/18,6,1
2024/8/25,5,1
2024/9/1,5,1
2024/9/8,5,1
2024/9/15,5,1
2024/9/22,5,1
2024/9/29,5,1
2024/10/6,4,1
2024/10/13,5,1
2024/10/20,6,1
2024/10/27,5,1
2024/11/3,6,1
2024/11/10,6,1
2024/11/17,6,1
2024/11/24,6,1
2024/12/1,6,1
2024/12/8,6,1
2024/12/15,7,1
2024/12/22,6,1
2024/12/29,8,2
2025/1/5,11,2
2025/1/12,11,2
2025/1/19,12,2
2025/1/26,13,2
2025/2/2,13,2
2025/2/9,16,2
2025/2/16,18,3
2025/2/23,18,3
2025/3/2,16,3
