Categoria: Todas as categorias,,
,,
Semana,dengue: (Goi¨¢s),sintomas dengue: (Goi¨¢s)
2020/6/28,10,3
2020/7/5,9,3
2020/7/12,8,2
2020/7/19,7,2
2020/7/26,8,3
2020/8/2,6,2
2020/8/9,5,2
2020/8/16,5,2
2020/8/23,5,2
2020/8/30,5,1
2020/9/6,4,1
2020/9/13,4,1
2020/9/20,5,1
2020/9/27,5,1
2020/10/4,4,1
2020/10/11,3,1
2020/10/18,3,1
2020/10/25,4,1
2020/11/1,4,1
2020/11/8,4,1
2020/11/15,4,1
2020/11/22,5,1
2020/11/29,6,2
2020/12/6,4,1
2020/12/13,4,2
2020/12/20,4,2
2020/12/27,6,2
2021/1/3,7,3
2021/1/10,6,2
2021/1/17,7,2
2021/1/24,7,2
2021/1/31,8,2
2021/2/7,8,2
2021/2/14,10,3
2021/2/21,13,4
2021/2/28,12,4
2021/3/7,12,4
2021/3/14,14,4
2021/3/21,17,5
2021/3/28,15,4
2021/4/4,15,4
2021/4/11,17,4
2021/4/18,16,4
2021/4/25,14,3
2021/5/2,12,3
2021/5/9,13,3
2021/5/16,12,2
2021/5/23,13,3
2021/5/30,13,3
2021/6/6,12,3
2021/6/13,10,2
2021/6/20,8,2
2021/6/27,6,2
2021/7/4,6,2
2021/7/11,4,1
2021/7/18,4,1
2021/7/25,4,1
2021/8/1,4,1
2021/8/8,4,2
2021/8/15,4,1
2021/8/22,4,1
2021/8/29,4,1
2021/9/5,3,1
2021/9/12,5,1
2021/9/19,4,1
2021/9/26,4,1
2021/10/3,4,1
2021/10/10,4,1
2021/10/17,5,1
2021/10/24,6,1
2021/10/31,5,1
2021/11/7,6,2
2021/11/14,8,2
2021/11/21,10,2
2021/11/28,11,3
2021/12/5,14,4
2021/12/12,17,4
2021/12/19,23,7
2021/12/26,35,9
2022/1/2,45,14
2022/1/9,42,15
2022/1/16,48,15
2022/1/23,48,13
2022/1/30,49,13
2022/2/6,43,10
2022/2/13,44,9
2022/2/20,43,10
2022/2/27,46,10
2022/3/6,49,10
2022/3/13,47,10
2022/3/20,55,12
2022/3/27,60,12
2022/4/3,52,11
2022/4/10,53,13
2022/4/17,64,14
