Categoria: Todas as categorias,,
,,
Semana,dengue: (Maranh?o),sintomas dengue: (Maranh?o)
2020/6/28,5,0
2020/7/5,6,0
2020/7/12,4,0
2020/7/19,3,0
2020/7/26,3,0
2020/8/2,3,0
2020/8/9,5,0
2020/8/16,5,0
2020/8/23,5,0
2020/8/30,4,0
2020/9/6,3,0
2020/9/13,5,2
2020/9/20,5,0
2020/9/27,4,0
2020/10/4,6,0
2020/10/11,3,0
2020/10/18,5,0
2020/10/25,6,0
2020/11/1,3,0
2020/11/8,6,0
2020/11/15,4,0
2020/11/22,4,0
2020/11/29,4,0
2020/12/6,6,0
2020/12/13,4,0
2020/12/20,4,0
2020/12/27,5,0
2021/1/3,4,0
2021/1/10,5,0
2021/1/17,6,0
2021/1/24,6,0
2021/1/31,6,0
2021/2/7,6,0
2021/2/14,5,0
2021/2/21,7,0
2021/2/28,8,0
2021/3/7,8,3
2021/3/14,9,2
2021/3/21,9,2
2021/3/28,5,0
2021/4/4,9,2
2021/4/11,8,0
2021/4/18,6,0
2021/4/25,6,0
2021/5/2,9,0
2021/5/9,7,0
2021/5/16,8,2
2021/5/23,6,3
2021/5/30,5,0
2021/6/6,9,2
2021/6/13,9,0
2021/6/20,8,0
2021/6/27,5,0
2021/7/4,6,0
2021/7/11,4,0
2021/7/18,3,0
2021/7/25,2,0
2021/8/1,4,0
2021/8/8,3,0
2021/8/15,5,0
2021/8/22,6,0
2021/8/29,7,0
2021/9/5,4,0
2021/9/12,4,0
2021/9/19,4,0
2021/9/26,4,0
2021/10/3,3,0
2021/10/10,5,0
2021/10/17,4,0
2021/10/24,4,0
2021/10/31,5,0
2021/11/7,5,0
2021/11/14,5,0
2021/11/21,5,0
2021/11/28,5,0
2021/12/5,6,0
2021/12/12,6,0
2021/12/19,5,0
2021/12/26,6,0
2022/1/2,8,0
2022/1/9,13,0
2022/1/16,14,5
2022/1/23,12,4
2022/1/30,8,0
2022/2/6,12,3
2022/2/13,11,2
2022/2/20,12,2
2022/2/27,14,3
2022/3/6,13,3
2022/3/13,17,4
2022/3/20,15,5
2022/3/27,21,6
2022/4/3,23,5
2022/4/10,20,7
2022/4/17,30,9
2022/4/24,31,8
2022/5/1,28,8
2022/5/8,29,8
2022/5/15,31,8
2022/5/22,27,7
2022/5/29,26,8
2022/6/5,25,7
2022/6/12,20,7
2022/6/19,21,7
2022/6/26,19,5
2022/7/3,20,6
2022/7/10,14,6
2022/7/17,13,3
2022/7/24,9,3
2022/7/31,9,3
2022/8/7,9,3
2022/8/14,8,2
2022/8/21,9,2
2022/8/28,11,2
2022/9/4,8,0
2022/9/11,9,3
2022/9/18,8,0
2022/9/25,9,2
2022/10/2,8,2
2022/10/9,8,1
2022/10/16,7,0
2022/10/23,6,0
2022/10/30,6,1
2022/11/6,8,2
2022/11/13,7,2
2022/11/20,8,2
2022/11/27,7,2
2022/12/4,7,2
2022/12/11,8,2
2022/12/18,6,2
2022/12/25,10,2
2023/1/1,10,3
2023/1/8,10,2
2023/1/15,11,3
2023/1/22,15,3
2023/1/29,15,3
2023/2/5,16,4
2023/2/12,20,6
2023/2/19,21,6
2023/2/26,24,7
2023/3/5,31,9
2023/3/12,29,11
2023/3/19,32,10
2023/3/26,39,12
2023/4/2,28,9
2023/4/9,29,8
2023/4/16,23,8
2023/4/23,24,6
2023/4/30,23,8
2023/5/7,24,7
2023/5/14,20,6
2023/5/21,19,6
2023/5/28,16,4
2023/6/4,14,3
2023/6/11,16,5
2023/6/18,14,3
2023/6/25,14,4
2023/7/2,17,3
2023/7/9,10,2
2023/7/16,8,0
2023/7/23,6,0
2023/7/30,8,2
2023/8/6,7,2
2023/8/13,6,0
2023/8/20,7,2
2023/8/27,7,0
2023/9/3,4,0
2023/9/10,5,2
2023/9/17,7,0
2023/9/24,5,2
2023/10/1,4,0
2023/10/8,5,0
2023/10/15,6,0
2023/10/22,5,0
2023/10/29,5,0
2023/11/5,5,0
2023/11/12,5,0
2023/11/19,7,0
2023/11/26,6,2
2023/12/3,5,0
2023/12/10,7,2
2023/12/17,5,0
2023/12/24,5,0
2023/12/31,5,0
2024/1/7,9,3
2024/1/14,10,3
2024/1/21,12,3
2024/1/28,21,5
2024/2/4,35,9
2024/2/11,56,16
2024/2/18,98,25
2024/2/25,100,25
2024/3/3,97,21
2024/3/10,86,21
2024/3/17,90,23
2024/3/24,74,21
2024/3/31,71,18
2024/4/7,71,18
2024/4/14,59,15
2024/4/21,56,12
2024/4/28,39,9
2024/5/5,29,7
2024/5/12,28,5
2024/5/19,29,7
2024/5/26,21,4
2024/6/2,20,5
2024/6/9,17,4
2024/6/16,14,3
2024/6/23,12,3
2024/6/30,10,0
2024/7/7,7,2
2024/7/14,9,0
2024/7/21,8,0
2024/7/28,6,0
2024/8/4,7,0
2024/8/11,8,0
2024/8/18,7,0
2024/8/25,6,0
2024/9/1,5,0
2024/9/8,7,0
2024/9/15,6,0
2024/9/22,5,0
2024/9/29,6,0
2024/10/6,5,0
2024/10/13,6,0
2024/10/20,6,0
2024/10/27,4,0
2024/11/3,6,0
2024/11/10,6,0
2024/11/17,6,0
2024/11/24,6,0
2024/12/1,5,0
2024/12/8,6,0
2024/12/15,8,0
2024/12/22,7,0
2024/12/29,5,0
2025/1/5,8,0
2025/1/12,12,2
2025/1/19,15,4
2025/1/26,13,2
2025/2/2,12,2
2025/2/9,17,3
2025/2/16,17,4
2025/2/23,19,3
2025/3/2,15,4
