Categoria: Todas as categorias,,
,,
Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul)
2020/6/28,17,5
2020/7/5,21,4
2020/7/12,21,6
2020/7/19,18,5
2020/7/26,22,7
2020/8/2,13,0
2020/8/9,14,4
2020/8/16,11,4
2020/8/23,9,0
2020/8/30,12,4
2020/9/6,15,4
2020/9/13,10,0
2020/9/20,13,3
2020/9/27,7,0
2020/10/4,10,0
2020/10/11,7,0
2020/10/18,9,0
2020/10/25,10,3
2020/11/1,11,3
2020/11/8,13,3
2020/11/15,15,4
2020/11/22,15,5
2020/11/29,14,6
2020/12/6,15,5
2020/12/13,13,4
2020/12/20,17,7
2020/12/27,15,5
2021/1/3,14,6
2021/1/10,18,6
2021/1/17,18,5
2021/1/24,21,8
2021/1/31,30,9
2021/2/7,31,13
2021/2/14,32,7
2021/2/21,29,8
2021/2/28,35,13
2021/3/7,35,13
2021/3/14,35,9
2021/3/21,34,13
2021/3/28,34,12
2021/4/4,30,9
2021/4/11,26,9
2021/4/18,31,7
2021/4/25,30,6
2021/5/2,21,7
2021/5/9,24,6
2021/5/16,26,6
2021/5/23,19,6
2021/5/30,22,7
2021/6/6,12,4
2021/6/13,17,6
2021/6/20,13,0
2021/6/27,5,0
2021/7/4,7,0
2021/7/11,8,0
2021/7/18,7,0
2021/7/25,4,0
2021/8/1,6,0
2021/8/8,7,0
2021/8/15,6,0
2021/8/22,7,0
2021/8/29,8,0
2021/9/5,5,0
2021/9/12,7,0
2021/9/19,8,0
2021/9/26,9,0
2021/10/3,6,0
2021/10/10,4,0
2021/10/17,5,0
2021/10/24,7,0
2021/10/31,7,0
2021/11/7,11,0
2021/11/14,8,0
2021/11/21,8,0
2021/11/28,9,3
2021/12/5,7,0
2021/12/12,12,4
2021/12/19,10,0
2021/12/26,11,0
2022/1/2,12,5
2022/1/9,20,8
2022/1/16,21,9
2022/1/23,18,9
2022/1/30,12,0
2022/2/6,19,8
2022/2/13,14,4
2022/2/20,14,4
2022/2/27,17,5
2022/3/6,14,4
2022/3/13,23,7
2022/3/20,24,5
2022/3/27,26,8
2022/4/3,35,8
2022/4/10,37,10
2022/4/17,52,14
2022/4/24,63,14
2022/5/1,59,17
2022/5/8,69,16
2022/5/15,41,11
2022/5/22,52,14
2022/5/29,40,13
2022/6/5,40,12
2022/6/12,33,12
2022/6/19,28,8
2022/6/26,32,13
2022/7/3,25,9
2022/7/10,25,9
2022/7/17,20,8
2022/7/24,16,4
2022/7/31,17,6
2022/8/7,14,4
2022/8/14,14,5
2022/8/21,16,5
2022/8/28,14,4
2022/9/4,13,5
2022/9/11,10,3
2022/9/18,9,3
2022/9/25,10,3
2022/10/2,12,3
2022/10/9,14,4
2022/10/16,17,5
2022/10/23,17,5
2022/10/30,13,4
2022/11/6,21,8
2022/11/13,20,6
2022/11/20,24,9
2022/11/27,23,8
2022/12/4,23,8
2022/12/11,23,8
2022/12/18,27,8
2022/12/25,25,8
2023/1/1,22,8
2023/1/8,32,10
2023/1/15,26,6
2023/1/22,32,9
2023/1/29,34,9
2023/2/5,39,11
2023/2/12,57,18
2023/2/19,52,14
2023/2/26,59,16
2023/3/5,72,21
2023/3/12,71,19
2023/3/19,90,22
2023/3/26,100,30
2023/4/2,90,25
2023/4/9,99,28
2023/4/16,99,27
2023/4/23,98,22
2023/4/30,82,21
2023/5/7,81,22
2023/5/14,63,14
2023/5/21,59,16
2023/5/28,42,11
2023/6/4,30,8
2023/6/11,24,7
2023/6/18,26,4
2023/6/25,19,5
2023/7/2,24,5
2023/7/9,15,5
2023/7/16,12,4
2023/7/23,13,3
2023/7/30,12,4
2023/8/6,10,3
2023/8/13,11,0
2023/8/20,9,0
2023/8/27,12,4
2023/9/3,10,3
2023/9/10,14,0
2023/9/17,13,0
2023/9/24,10,3
2023/10/1,14,4
2023/10/8,9,4
2023/10/15,18,5
2023/10/22,12,0
2023/10/29,12,3
2023/11/5,16,5
2023/11/12,14,3
2023/11/19,14,0
2023/11/26,13,4
2023/12/3,13,3
2023/12/10,14,4
2023/12/17,16,3
2023/12/24,16,6
2023/12/31,19,4
2024/1/7,24,5
2024/1/14,25,6
2024/1/21,33,11
2024/1/28,42,7
2024/2/4,56,10
2024/2/11,80,15
2024/2/18,91,17
2024/2/25,91,17
2024/3/3,89,16
2024/3/10,83,19
2024/3/17,77,14
2024/3/24,67,12
2024/3/31,81,15
2024/4/7,94,15
2024/4/14,74,15
2024/4/21,85,19
2024/4/28,82,17
2024/5/5,61,11
2024/5/12,53,11
2024/5/19,47,8
2024/5/26,28,4
2024/6/2,27,6
2024/6/9,24,4
2024/6/16,23,5
2024/6/23,20,0
2024/6/30,13,0
2024/7/7,9,0
2024/7/14,14,0
2024/7/21,13,0
2024/7/28,8,3
2024/8/4,10,0
2024/8/11,9,0
2024/8/18,15,0
2024/8/25,13,0
2024/9/1,14,3
2024/9/8,13,0
2024/9/15,12,0
2024/9/22,14,4
2024/9/29,12,0
2024/10/6,8,0
2024/10/13,11,0
2024/10/20,12,3
2024/10/27,13,0
2024/11/3,12,0
2024/11/10,11,0
2024/11/17,16,0
2024/11/24,17,4
2024/12/1,12,0
2024/12/8,14,0
2024/12/15,16,5
2024/12/22,16,0
2024/12/29,15,0
2025/1/5,19,4
2025/1/12,25,0
2025/1/19,27,6
2025/1/26,28,4
2025/2/2,23,5
2025/2/9,32,4
2025/2/16,32,4
2025/2/23,36,5
2025/3/2,28,3
2025/3/9,41,8
2025/3/16,42,5
2025/3/23,41,9
2025/3/30,32,3
2025/4/6,39,8
2025/4/13,35,7
2025/4/20,35,5
2025/4/27,38,8
2025/5/4,32,5
2025/5/11,33,6
