Categoria: Todas as categorias,,
,,
Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso)
2020/6/28,29,10
2020/7/5,24,9
2020/7/12,18,7
2020/7/19,19,6
2020/7/26,14,5
2020/8/2,15,5
2020/8/9,13,5
2020/8/16,12,0
2020/8/23,10,0
2020/8/30,7,0
2020/9/6,8,0
2020/9/13,7,0
2020/9/20,11,0
2020/9/27,9,0
2020/10/4,6,2
2020/10/11,6,3
2020/10/18,6,0
2020/10/25,7,0
2020/11/1,10,0
2020/11/8,8,0
2020/11/15,5,0
2020/11/22,10,3
2020/11/29,8,3
2020/12/6,9,3
2020/12/13,13,5
2020/12/20,11,4
2020/12/27,16,7
2021/1/3,18,7
2021/1/10,20,7
2021/1/17,19,6
2021/1/24,16,7
2021/1/31,21,6
2021/2/7,22,7
2021/2/14,20,6
2021/2/21,23,8
2021/2/28,24,8
2021/3/7,28,10
2021/3/14,30,9
2021/3/21,30,10
2021/3/28,25,7
2021/4/4,27,9
2021/4/11,27,8
2021/4/18,25,5
2021/4/25,20,5
2021/5/2,21,4
2021/5/9,23,5
2021/5/16,23,4
2021/5/23,23,6
2021/5/30,24,6
2021/6/6,21,4
2021/6/13,16,5
2021/6/20,16,4
2021/6/27,10,0
2021/7/4,12,6
2021/7/11,13,2
2021/7/18,9,2
2021/7/25,8,0
2021/8/1,8,0
2021/8/8,11,3
2021/8/15,7,0
2021/8/22,9,3
2021/8/29,9,0
2021/9/5,7,0
2021/9/12,8,0
2021/9/19,9,0
2021/9/26,7,0
2021/10/3,5,0
2021/10/10,6,0
2021/10/17,10,0
2021/10/24,10,0
2021/10/31,7,0
2021/11/7,9,4
2021/11/14,11,3
2021/11/21,17,3
2021/11/28,19,4
2021/12/5,22,7
2021/12/12,32,9
2021/12/19,37,10
2021/12/26,42,13
2022/1/2,47,12
2022/1/9,41,13
2022/1/16,49,16
2022/1/23,51,13
2022/1/30,37,8
2022/2/6,31,10
2022/2/13,32,8
2022/2/20,33,7
2022/2/27,33,8
2022/3/6,31,7
2022/3/13,35,8
2022/3/20,38,9
2022/3/27,36,8
2022/4/3,42,10
2022/4/10,38,10
2022/4/17,45,11
2022/4/24,44,11
2022/5/1,36,9
2022/5/8,38,10
2022/5/15,31,8
2022/5/22,31,9
2022/5/29,27,7
2022/6/5,24,8
2022/6/12,22,7
2022/6/19,26,9
2022/6/26,28,8
2022/7/3,19,8
2022/7/10,21,6
2022/7/17,14,5
2022/7/24,13,6
2022/7/31,13,3
2022/8/7,7,2
2022/8/14,9,2
2022/8/21,12,4
2022/8/28,9,4
2022/9/4,11,3
2022/9/11,9,2
2022/9/18,9,3
2022/9/25,9,2
2022/10/2,11,2
2022/10/9,9,3
2022/10/16,11,4
2022/10/23,14,3
2022/10/30,10,3
2022/11/6,14,4
2022/11/13,15,5
2022/11/20,13,3
2022/11/27,13,4
2022/12/4,14,4
2022/12/11,22,7
2022/12/18,16,6
2022/12/25,21,7
2023/1/1,21,5
2023/1/8,23,7
2023/1/15,26,7
2023/1/22,23,6
2023/1/29,27,8
2023/2/5,29,6
2023/2/12,32,10
2023/2/19,39,11
2023/2/26,40,11
2023/3/5,36,9
2023/3/12,42,11
2023/3/19,43,13
2023/3/26,66,21
2023/4/2,56,20
2023/4/9,55,17
2023/4/16,51,15
2023/4/23,49,15
2023/4/30,42,12
2023/5/7,34,9
2023/5/14,36,10
2023/5/21,35,10
2023/5/28,30,7
2023/6/4,25,6
2023/6/11,20,4
2023/6/18,18,5
2023/6/25,15,2
2023/7/2,20,4
2023/7/9,13,3
2023/7/16,11,3
2023/7/23,10,3
2023/7/30,14,3
2023/8/6,11,0
2023/8/13,11,3
2023/8/20,15,3
2023/8/27,10,3
2023/9/3,11,3
2023/9/10,10,3
2023/9/17,10,3
2023/9/24,11,2
2023/10/1,14,3
2023/10/8,6,0
2023/10/15,11,3
2023/10/22,9,3
2023/10/29,13,3
2023/11/5,14,2
2023/11/12,12,4
2023/11/19,13,4
2023/11/26,13,4
2023/12/3,13,2
2023/12/10,14,4
2023/12/17,16,5
2023/12/24,19,6
2023/12/31,22,5
2024/1/7,31,5
2024/1/14,33,7
2024/1/21,41,11
2024/1/28,52,13
2024/2/4,63,16
2024/2/11,92,21
2024/2/18,93,23
2024/2/25,98,18
2024/3/3,83,17
2024/3/10,78,17
2024/3/17,77,16
2024/3/24,67,15
2024/3/31,81,20
2024/4/7,90,19
2024/4/14,88,19
2024/4/21,94,23
2024/4/28,93,19
2024/5/5,89,20
2024/5/12,74,15
2024/5/19,61,10
2024/5/26,47,9
2024/6/2,41,9
2024/6/9,40,8
2024/6/16,34,5
2024/6/23,31,5
2024/6/30,25,6
2024/7/7,18,3
2024/7/14,17,3
2024/7/21,17,5
2024/7/28,18,4
2024/8/4,15,3
2024/8/11,17,4
2024/8/18,14,0
2024/8/25,16,3
2024/9/1,13,3
2024/9/8,14,0
2024/9/15,12,0
2024/9/22,10,0
2024/9/29,10,0
2024/10/6,10,0
2024/10/13,9,3
2024/10/20,14,3
2024/10/27,11,0
2024/11/3,14,0
2024/11/10,16,3
2024/11/17,18,5
2024/11/24,19,5
2024/12/1,21,4
2024/12/8,27,5
2024/12/15,34,7
2024/12/22,56,11
2024/12/29,64,13
2025/1/5,80,15
