Categoria: Todas as categorias,,
,,
Semana,dengue: (Par¨¢),sintomas dengue: (Par¨¢)
2020/6/28,5,0
2020/7/5,5,0
2020/7/12,6,0
2020/7/19,4,0
2020/7/26,4,0
2020/8/2,4,0
2020/8/9,2,0
2020/8/16,4,0
2020/8/23,4,0
2020/8/30,5,0
2020/9/6,5,0
2020/9/13,4,0
2020/9/20,6,0
2020/9/27,5,0
2020/10/4,5,0
2020/10/11,3,0
2020/10/18,6,0
2020/10/25,5,0
2020/11/1,4,0
2020/11/8,6,0
2020/11/15,5,0
2020/11/22,4,0
2020/11/29,7,0
2020/12/6,8,2
2020/12/13,6,0
2020/12/20,5,0
2020/12/27,6,0
2021/1/3,8,2
2021/1/10,7,3
2021/1/17,9,2
2021/1/24,9,3
2021/1/31,10,0
2021/2/7,12,3
2021/2/14,10,2
2021/2/21,14,2
2021/2/28,11,4
2021/3/7,13,4
2021/3/14,17,4
2021/3/21,10,4
2021/3/28,10,2
2021/4/4,10,0
2021/4/11,11,3
2021/4/18,10,2
2021/4/25,9,2
2021/5/2,7,2
2021/5/9,8,2
2021/5/16,9,0
2021/5/23,11,2
2021/5/30,10,2
2021/6/6,9,1
2021/6/13,6,0
2021/6/20,8,0
2021/6/27,5,0
2021/7/4,4,0
2021/7/11,5,0
2021/7/18,4,0
2021/7/25,3,0
2021/8/1,3,0
2021/8/8,6,0
2021/8/15,6,0
2021/8/22,8,0
2021/8/29,6,0
2021/9/5,5,0
2021/9/12,5,0
2021/9/19,5,0
2021/9/26,5,0
2021/10/3,3,0
2021/10/10,3,0
2021/10/17,4,0
2021/10/24,4,0
2021/10/31,4,0
2021/11/7,6,0
2021/11/14,6,0
2021/11/21,8,2
2021/11/28,10,0
2021/12/5,10,2
2021/12/12,11,2
2021/12/19,13,3
2021/12/26,11,3
2022/1/2,15,4
2022/1/9,16,5
2022/1/16,18,6
2022/1/23,16,5
2022/1/30,13,2
2022/2/6,10,2
2022/2/13,9,2
2022/2/20,13,3
2022/2/27,11,2
2022/3/6,14,3
2022/3/13,16,2
2022/3/20,11,3
2022/3/27,14,3
2022/4/3,13,3
2022/4/10,12,4
2022/4/17,15,4
2022/4/24,16,5
2022/5/1,16,4
2022/5/8,17,4
2022/5/15,14,4
2022/5/22,12,3
2022/5/29,12,3
2022/6/5,10,3
2022/6/12,10,3
2022/6/19,10,2
2022/6/26,9,2
2022/7/3,7,3
2022/7/10,6,2
2022/7/17,6,2
2022/7/24,6,1
2022/7/31,6,0
2022/8/7,5,2
2022/8/14,7,3
2022/8/21,6,0
2022/8/28,7,0
2022/9/4,5,1
2022/9/11,6,0
2022/9/18,7,3
2022/9/25,6,1
2022/10/2,6,1
2022/10/9,5,0
2022/10/16,8,1
2022/10/23,7,2
2022/10/30,6,0
2022/11/6,8,2
2022/11/13,8,1
2022/11/20,7,2
2022/11/27,7,2
2022/12/4,8,2
2022/12/11,12,3
2022/12/18,8,2
2022/12/25,10,3
2023/1/1,8,2
2023/1/8,9,2
2023/1/15,9,2
2023/1/22,10,2
2023/1/29,12,3
2023/2/5,12,3
2023/2/12,12,4
2023/2/19,12,4
2023/2/26,15,3
2023/3/5,16,5
2023/3/12,24,6
2023/3/19,22,5
2023/3/26,25,7
2023/4/2,19,6
2023/4/9,18,6
2023/4/16,18,5
2023/4/23,16,4
2023/4/30,16,4
2023/5/7,12,2
2023/5/14,16,5
