Categoria: Todas as categorias,,
,,
Semana,dengue: (Piau¨ª),sintomas dengue: (Piau¨ª)
2020/6/28,7,3
2020/7/5,6,2
2020/7/12,6,0
2020/7/19,5,0
2020/7/26,3,0
2020/8/2,3,0
2020/8/9,3,0
2020/8/16,3,0
2020/8/23,3,0
2020/8/30,2,0
2020/9/6,2,0
2020/9/13,3,0
2020/9/20,2,0
2020/9/27,2,0
2020/10/4,2,0
2020/10/11,3,0
2020/10/18,2,0
2020/10/25,3,0
2020/11/1,3,0
2020/11/8,4,2
2020/11/15,2,0
2020/11/22,2,0
2020/11/29,4,2
2020/12/6,5,0
2020/12/13,2,0
2020/12/20,3,0
2020/12/27,4,0
2021/1/3,0,0
2021/1/10,0,0
2021/1/17,3,0
2021/1/24,2,0
2021/1/31,3,0
2021/2/7,2,0
2021/2/14,4,3
2021/2/21,3,0
2021/2/28,5,0
2021/3/7,7,2
2021/3/14,5,2
2021/3/21,7,2
2021/3/28,6,2
2021/4/4,8,3
2021/4/11,6,3
2021/4/18,7,2
2021/4/25,8,0
2021/5/2,8,2
2021/5/9,9,0
2021/5/16,10,0
2021/5/23,9,0
2021/5/30,9,3
2021/6/6,11,2
2021/6/13,9,2
2021/6/20,8,0
2021/6/27,6,2
2021/7/4,7,2
2021/7/11,6,0
2021/7/18,5,0
2021/7/25,5,2
2021/8/1,4,0
2021/8/8,6,0
2021/8/15,7,2
2021/8/22,7,0
2021/8/29,4,2
2021/9/5,4,0
2021/9/12,4,0
2021/9/19,4,0
2021/9/26,3,0
2021/10/3,5,0
2021/10/10,4,0
2021/10/17,3,0
2021/10/24,3,0
2021/10/31,3,0
2021/11/7,4,0
2021/11/14,5,0
2021/11/21,4,0
2021/11/28,3,0
2021/12/5,5,0
2021/12/12,6,0
2021/12/19,6,0
2021/12/26,5,0
2022/1/2,8,3
2022/1/9,8,3
2022/1/16,10,4
2022/1/23,10,3
2022/1/30,11,4
2022/2/6,13,5
2022/2/13,18,6
2022/2/20,20,5
2022/2/27,26,8
2022/3/6,29,8
2022/3/13,34,9
2022/3/20,43,12
2022/3/27,64,16
2022/4/3,68,22
2022/4/10,75,20
2022/4/17,100,28
2022/4/24,100,28
2022/5/1,88,23
2022/5/8,74,20
2022/5/15,70,19
2022/5/22,48,15
2022/5/29,44,14
2022/6/5,42,11
2022/6/12,33,11
2022/6/19,26,8
2022/6/26,29,10
2022/7/3,23,8
2022/7/10,16,4
2022/7/17,11,2
2022/7/24,8,2
2022/7/31,8,3
2022/8/7,7,2
2022/8/14,5,2
2022/8/21,4,0
2022/8/28,5,1
2022/9/4,4,0
2022/9/11,3,0
2022/9/18,2,0
2022/9/25,4,0
2022/10/2,4,0
2022/10/9,3,0
2022/10/16,3,0
2022/10/23,4,0
2022/10/30,5,0
2022/11/6,5,0
2022/11/13,5,0
2022/11/20,3,1
2022/11/27,3,0
2022/12/4,3,0
2022/12/11,4,0
2022/12/18,4,0
2022/12/25,4,0
2023/1/1,5,0
2023/1/8,7,2
2023/1/15,7,1
2023/1/22,5,2
2023/1/29,7,0
2023/2/5,7,2
2023/2/12,9,3
2023/2/19,11,3
2023/2/26,15,5
2023/3/5,13,4
2023/3/12,14,4
2023/3/19,15,5
2023/3/26,21,6
2023/4/2,18,6
2023/4/9,21,7
2023/4/16,20,6
2023/4/23,21,5
2023/4/30,15,4
2023/5/7,18,5
2023/5/14,16,4
2023/5/21,13,3
2023/5/28,13,2
2023/6/4,8,3
2023/6/11,10,2
2023/6/18,9,4
2023/6/25,7,2
2023/7/2,8,2
2023/7/9,5,0
2023/7/16,5,0
2023/7/23,3,0
2023/7/30,4,0
2023/8/6,4,0
2023/8/13,4,0
2023/8/20,2,0
2023/8/27,3,0
2023/9/3,2,0
2023/9/10,4,0
2023/9/17,3,0
2023/9/24,3,0
2023/10/1,3,0
2023/10/8,3,0
2023/10/15,3,0
2023/10/22,3,0
2023/10/29,0,0
2023/11/5,4,0
2023/11/12,2,0
2023/11/19,4,0
2023/11/26,4,0
2023/12/3,4,0
2023/12/10,3,1
2023/12/17,3,0
2023/12/24,5,0
2023/12/31,4,0
2024/1/7,7,0
2024/1/14,5,2
2024/1/21,9,2
2024/1/28,15,3
2024/2/4,23,4
2024/2/11,31,4
2024/2/18,45,9
2024/2/25,47,10
2024/3/3,46,11
2024/3/10,51,13
2024/3/17,49,12
2024/3/24,38,9
2024/3/31,41,10
2024/4/7,41,9
2024/4/14,38,8
2024/4/21,28,6
2024/4/28,27,5
2024/5/5,45,7
2024/5/12,29,5
2024/5/19,74,12
2024/5/26,36,6
2024/6/2,31,5
2024/6/9,22,4
2024/6/16,17,5
2024/6/23,14,2
2024/6/30,10,2
2024/7/7,8,2
2024/7/14,11,2
2024/7/21,6,0
2024/7/28,6,0
2024/8/4,9,0
2024/8/11,8,0
2024/8/18,8,2
2024/8/25,8,0
2024/9/1,5,0
2024/9/8,4,0
2024/9/15,4,0
2024/9/22,5,0
2024/9/29,4,0
2024/10/6,3,0
2024/10/13,5,0
2024/10/20,4,0
2024/10/27,5,0
2024/11/3,4,0
2024/11/10,6,0
2024/11/17,4,0
2024/11/24,3,0
2024/12/1,4,0
2024/12/8,5,0
2024/12/15,5,0
2024/12/22,3,0
2024/12/29,4,0
2025/1/5,5,0
2025/1/12,8,0
2025/1/19,12,2
2025/1/26,9,0
2025/2/2,9,2
2025/2/9,11,2
2025/2/16,12,2
2025/2/23,12,0
2025/3/2,10,0
2025/3/9,10,0
2025/3/16,11,3
2025/3/23,15,3
2025/3/30,12,0
2025/4/6,18,3
2025/4/13,16,0
2025/4/20,16,4
2025/4/27,16,3
2025/5/4,15,0
2025/5/11,14,2
