Categoria: Todas as categorias,,
,,
Semana,dengue: (Sergipe),sintomas dengue: (Sergipe)
10/05/2020,16,7
17/05/2020,21,8
24/05/2020,23,6
31/05/2020,21,6
07/06/2020,28,11
14/06/2020,30,14
21/06/2020,29,9
28/06/2020,33,13
05/07/2020,33,6
12/07/2020,31,10
19/07/2020,22,7
26/07/2020,21,9
02/08/2020,19,7
09/08/2020,18,0
16/08/2020,9,0
23/08/2020,9,0
30/08/2020,10,0
06/09/2020,11,6
13/09/2020,9,0
20/09/2020,7,0
27/09/2020,9,0
04/10/2020,13,0
11/10/2020,7,0
18/10/2020,6,0
25/10/2020,11,0
01/11/2020,7,0
08/11/2020,10,0
15/11/2020,7,0
22/11/2020,6,0
29/11/2020,5,0
06/12/2020,7,0
13/12/2020,6,0
20/12/2020,6,0
27/12/2020,6,0
03/01/2021,5,0
10/01/2021,6,0
17/01/2021,8,0
24/01/2021,6,0
31/01/2021,6,0
07/02/2021,0,0
14/02/2021,5,0
21/02/2021,7,0
28/02/2021,7,0
07/03/2021,7,0
14/03/2021,7,0
21/03/2021,7,0
28/03/2021,8,0
04/04/2021,9,0
11/04/2021,10,0
18/04/2021,7,0
25/04/2021,6,0
02/05/2021,6,0
09/05/2021,11,0
16/05/2021,16,5
23/05/2021,18,0
30/05/2021,11,0
06/06/2021,18,0
13/06/2021,10,0
20/06/2021,10,0
27/06/2021,9,5
04/07/2021,7,0
11/07/2021,11,0
18/07/2021,11,0
25/07/2021,10,0
01/08/2021,6,0
08/08/2021,7,0
15/08/2021,7,0
22/08/2021,9,0
29/08/2021,7,0
05/09/2021,6,0
12/09/2021,9,0
19/09/2021,8,0
26/09/2021,6,0
03/10/2021,8,0
10/10/2021,0,0
17/10/2021,5,0
24/10/2021,7,0
31/10/2021,6,0
07/11/2021,12,0
14/11/2021,6,0
21/11/2021,8,0
28/11/2021,0,0
05/12/2021,7,0
12/12/2021,6,0
19/12/2021,6,0
26/12/2021,0,0
02/01/2022,8,0
09/01/2022,6,0
16/01/2022,11,0
23/01/2022,9,0
30/01/2022,6,0
06/02/2022,0,0
13/02/2022,5,0
20/02/2022,6,0
27/02/2022,6,0
06/03/2022,5,0
13/03/2022,10,0
20/03/2022,9,3
27/03/2022,12,0
03/04/2022,16,5
10/04/2022,11,0
17/04/2022,18,6
24/04/2022,19,7
01/05/2022,22,6
08/05/2022,29,8
15/05/2022,32,5
22/05/2022,28,9
