Categoria: Todas as categorias,,
,,
Semana,dengue: (São Paulo),sintomas dengue: (São Paulo)
10/05/2020,7,1
17/05/2020,5,1
24/05/2020,4,1
31/05/2020,4,1
07/06/2020,4,1
14/06/2020,4,1
21/06/2020,4,1
28/06/2020,3,1
05/07/2020,3,1
12/07/2020,3,1
19/07/2020,3,1
26/07/2020,2,1
02/08/2020,2,<1
09/08/2020,3,1
16/08/2020,2,<1
23/08/2020,2,<1
30/08/2020,2,<1
06/09/2020,2,<1
13/09/2020,2,1
20/09/2020,3,<1
27/09/2020,2,<1
04/10/2020,2,<1
11/10/2020,2,<1
18/10/2020,2,<1
25/10/2020,2,<1
01/11/2020,2,<1
08/11/2020,2,<1
15/11/2020,2,<1
22/11/2020,2,1
29/11/2020,2,1
06/12/2020,2,1
13/12/2020,2,1
20/12/2020,2,1
27/12/2020,3,1
03/01/2021,4,1
10/01/2021,3,1
17/01/2021,3,1
24/01/2021,4,1
31/01/2021,4,1
07/02/2021,5,1
14/02/2021,5,2
21/02/2021,6,2
28/02/2021,7,2
07/03/2021,8,3
14/03/2021,9,3
21/03/2021,10,3
28/03/2021,10,3
04/04/2021,10,3
11/04/2021,11,3
18/04/2021,9,3
25/04/2021,8,2
02/05/2021,8,2
09/05/2021,7,2
16/05/2021,6,2
23/05/2021,6,2
30/05/2021,5,2
06/06/2021,4,1
13/06/2021,4,1
20/06/2021,3,1
27/06/2021,2,1
04/07/2021,2,<1
11/07/2021,2,1
18/07/2021,1,<1
25/07/2021,1,<1
01/08/2021,1,<1
08/08/2021,1,<1
15/08/2021,1,<1
22/08/2021,2,<1
29/08/2021,2,<1
05/09/2021,1,<1
12/09/2021,2,<1
19/09/2021,2,<1
26/09/2021,2,<1
03/10/2021,1,<1
10/10/2021,1,<1
17/10/2021,2,<1
24/10/2021,2,<1
31/10/2021,2,<1
07/11/2021,2,<1
14/11/2021,2,<1
21/11/2021,2,<1
28/11/2021,2,<1
05/12/2021,2,<1
12/12/2021,2,1
19/12/2021,2,1
26/12/2021,2,1
02/01/2022,4,2
09/01/2022,5,2
16/01/2022,5,2
23/01/2022,4,1
30/01/2022,3,1
06/02/2022,4,1
13/02/2022,4,1
20/02/2022,4,1
27/02/2022,5,1
06/03/2022,6,1
13/03/2022,7,2
20/03/2022,9,2
27/03/2022,11,3
03/04/2022,13,4
10/04/2022,15,4
17/04/2022,18,5
24/04/2022,20,6
01/05/2022,20,6
08/05/2022,22,6
15/05/2022,14,4
22/05/2022,14,4
29/05/2022,10,4
05/06/2022,9,3
12/06/2022,7,2
