Categoria: Todas as categorias,,
,,
Semana,dengue: (Tocantins),sintomas dengue: (Tocantins)
2020/7/26,7,0
2020/8/2,6,0
2020/8/9,8,0
2020/8/16,5,0
2020/8/23,0,0
2020/8/30,0,0
2020/9/6,0,0
2020/9/13,0,0
2020/9/20,5,0
2020/9/27,0,0
2020/10/4,5,0
2020/10/11,0,0
2020/10/18,5,0
2020/10/25,0,0
2020/11/1,0,0
2020/11/8,0,0
2020/11/15,4,0
2020/11/22,0,0
2020/11/29,7,0
2020/12/6,6,0
2020/12/13,4,0
2020/12/20,0,0
2020/12/27,0,9
2021/1/3,7,0
2021/1/10,5,0
2021/1/17,6,0
2021/1/24,4,0
2021/1/31,0,0
2021/2/7,8,0
2021/2/14,8,0
2021/2/21,6,0
2021/2/28,7,0
2021/3/7,13,0
2021/3/14,7,0
2021/3/21,9,0
2021/3/28,12,0
2021/4/4,0,0
2021/4/11,6,0
2021/4/18,10,0
2021/4/25,6,0
2021/5/2,0,0
2021/5/9,19,0
2021/5/16,25,4
2021/5/23,29,6
2021/5/30,25,4
2021/6/6,22,0
2021/6/13,14,4
2021/6/20,11,0
2021/6/27,9,0
2021/7/4,10,0
2021/7/11,5,0
2021/7/18,0,0
2021/7/25,5,0
2021/8/1,6,0
2021/8/8,12,0
2021/8/15,8,0
2021/8/22,14,0
2021/8/29,10,0
2021/9/5,9,0
2021/9/12,0,0
2021/9/19,0,0
2021/9/26,10,0
2021/10/3,8,0
2021/10/10,8,0
2021/10/17,11,0
2021/10/24,11,0
2021/10/31,11,0
2021/11/7,11,0
2021/11/14,16,0
2021/11/21,26,5
2021/11/28,29,7
2021/12/5,40,11
2021/12/12,46,13
2021/12/19,58,11
2021/12/26,70,24
2022/1/2,100,28
2022/1/9,78,21
2022/1/16,79,22
2022/1/23,68,19
2022/1/30,53,12
2022/2/6,51,17
2022/2/13,40,10
2022/2/20,32,7
2022/2/27,30,6
2022/3/6,33,8
2022/3/13,48,9
2022/3/20,53,12
2022/3/27,43,7
2022/4/3,42,9
2022/4/10,34,8
2022/4/17,35,9
2022/4/24,37,7
2022/5/1,46,8
2022/5/8,44,9
2022/5/15,42,8
2022/5/22,30,7
2022/5/29,28,9
2022/6/5,27,9
2022/6/12,21,5
2022/6/19,21,0
2022/6/26,14,5
2022/7/3,12,4
2022/7/10,14,4
2022/7/17,13,0
