Categoria: Todas as categorias

Semana,dengue: (Acre),sintomas dengue: (Acre),tratamento dengue: (Acre)
2019-03-17,19,0,0
2019-03-24,23,0,0
2019-03-31,0,0,0
2019-04-07,15,0,0
2019-04-14,0,0,0
2019-04-21,0,0,0
2019-04-28,11,0,0
2019-05-05,0,0,0
2019-05-12,10,0,0
2019-05-19,13,0,0
2019-05-26,0,0,0
2019-06-02,0,0,0
2019-06-09,10,0,0
2019-06-16,0,0,0
2019-06-23,0,0,12
2019-06-30,0,0,0
2019-07-07,0,0,0
2019-07-14,0,0,0
2019-07-21,0,0,0
2019-07-28,0,0,0
2019-08-04,0,0,0
2019-08-11,0,0,0
2019-08-18,0,0,0
2019-08-25,0,0,0
2019-09-01,0,0,0
2019-09-08,0,0,0
2019-09-15,0,0,0
2019-09-22,0,0,0
2019-09-29,0,0,0
2019-10-06,0,0,0
2019-10-13,13,0,0
2019-10-20,0,0,0
2019-10-27,16,0,0
2019-11-03,0,0,0
2019-11-10,13,0,0
2019-11-17,20,0,0
2019-11-24,18,0,0
2019-12-01,22,0,0
2019-12-08,34,13,0
2019-12-15,16,0,0
2019-12-22,24,0,0
2019-12-29,30,0,0
2020-01-05,23,0,0
2020-01-12,18,0,0
2020-01-19,17,0,0
2020-01-26,13,0,0
2020-02-02,13,0,0
2020-02-09,19,9,0
2020-02-16,9,0,0
2020-02-23,0,0,0
2020-03-01,15,0,0
2020-03-08,18,0,0
2020-03-15,16,0,0
2020-03-22,13,0,0
2020-03-29,8,0,0
2020-04-05,8,0,0
2020-04-12,0,0,0
2020-04-19,13,0,0
2020-04-26,9,0,0
2020-05-03,16,0,0
2020-05-10,13,0,0
2020-05-17,9,0,0
2020-05-24,10,0,0
2020-05-31,11,0,0
2020-06-07,11,0,0
2020-06-14,14,0,0
2020-06-21,10,0,0
2020-06-28,0,0,0
2020-07-05,16,0,0
2020-07-12,0,0,0
2020-07-19,0,0,0
2020-07-26,0,0,0
2020-08-02,0,0,0
2020-08-09,0,0,0
2020-08-16,0,0,0
2020-08-23,0,0,0
2020-08-30,0,0,0
2020-09-06,9,0,0
2020-09-13,0,0,0
2020-09-20,0,12,7
2020-09-27,0,0,0
2020-10-04,9,0,0
2020-10-11,9,0,0
2020-10-18,0,0,0
2020-10-25,0,0,0
2020-11-01,7,0,0
2020-11-08,7,0,0
2020-11-15,0,0,0
2020-11-22,12,0,0
2020-11-29,16,0,0
2020-12-06,13,0,0
2020-12-13,17,0,0
2020-12-20,28,13,0
2020-12-27,28,10,0
2021-01-03,43,8,0
2021-01-10,46,23,0
2021-01-17,57,20,0
2021-01-24,59,15,0
2021-01-31,63,19,0
2021-02-07,57,23,0
2021-02-14,65,22,0
2021-02-21,63,21,0
2021-02-28,57,19,0
2021-03-07,51,8,0
2021-03-14,35,15,0
2021-03-21,31,14,0
2021-03-28,26,0,0
2021-04-04,28,9,0
2021-04-11,17,0,0
2021-04-18,15,0,0
2021-04-25,0,0,0
2021-05-02,0,0,0
2021-05-09,8,0,0
2021-05-16,8,0,0
2021-05-23,9,0,0
2021-05-30,0,0,0
2021-06-06,12,0,0
2021-06-13,0,0,0
2021-06-20,0,0,0
2021-06-27,0,0,0
2021-07-04,9,0,0
2021-07-11,0,0,0
2021-07-18,0,0,0
2021-07-25,0,0,0
2021-08-01,0,0,0
2021-08-08,0,0,0
2021-08-15,0,0,0
2021-08-22,0,0,0
2021-08-29,0,0,0
2021-09-05,0,0,0
2021-09-12,8,0,0
2021-09-19,0,0,0
2021-09-26,0,0,0
2021-10-03,0,0,0
2021-10-10,8,0,0
2021-10-17,0,0,8
2021-10-24,0,0,0
2021-10-31,0,8,0
2021-11-07,8,0,0
2021-11-14,8,0,0
2021-11-21,6,0,0
2021-11-28,10,0,0
2021-12-05,14,0,0
2021-12-12,14,0,0
2021-12-19,0,0,0
2021-12-26,0,0,0
2022-01-02,11,8,0
2022-01-09,13,0,0
2022-01-16,18,0,0
2022-01-23,18,0,0
