Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas),tratamento dengue: (Alagoas)
2019-03-03,11,0,0
2019-03-10,8,0,0
2019-03-17,12,0,0
2019-03-24,16,0,0
2019-03-31,12,0,0
2019-04-07,14,0,0
2019-04-14,13,8,0
2019-04-21,16,7,0
2019-04-28,15,4,0
2019-05-05,28,0,0
2019-05-12,44,8,0
2019-05-19,57,12,0
2019-05-26,51,9,7
2019-06-02,45,9,4
2019-06-09,29,9,0
2019-06-16,28,15,0
2019-06-23,34,11,0
2019-06-30,24,7,0
2019-07-07,28,6,0
2019-07-14,34,9,0
2019-07-21,33,8,0
2019-07-28,31,7,0
2019-08-04,27,7,0
2019-08-11,34,10,0
2019-08-18,33,7,0
2019-08-25,23,5,0
2019-09-01,24,5,0
2019-09-08,23,8,0
2019-09-15,17,9,0
2019-09-22,14,0,0
2019-09-29,8,5,0
2019-10-06,8,0,0
2019-10-13,14,0,0
2019-10-20,10,0,0
2019-10-27,9,0,0
2019-11-03,11,0,0
2019-11-10,8,4,0
2019-11-17,6,0,0
2019-11-24,8,0,0
2019-12-01,7,0,0
2019-12-08,8,0,0
2019-12-15,5,0,0
2019-12-22,7,0,0
2019-12-29,7,0,0
2020-01-05,4,0,0
2020-01-12,6,0,0
2020-01-19,0,0,0
2020-01-26,8,0,0
2020-02-02,8,0,0
2020-02-09,9,0,0
2020-02-16,15,6,0
2020-02-23,9,0,0
2020-03-01,11,0,0
2020-03-08,12,0,0
2020-03-15,18,0,0
2020-03-22,16,0,0
2020-03-29,14,0,0
2020-04-05,15,4,0
2020-04-12,15,4,0
2020-04-19,16,0,0
2020-04-26,21,7,0
2020-05-03,20,6,0
2020-05-10,27,10,0
2020-05-17,25,6,0
2020-05-24,22,7,0
2020-05-31,29,7,0
2020-06-07,17,6,0
2020-06-14,16,6,0
2020-06-21,14,0,0
2020-06-28,11,0,0
2020-07-05,13,5,0
2020-07-12,10,4,0
2020-07-19,10,0,0
2020-07-26,10,0,0
2020-08-02,12,0,0
2020-08-09,8,0,0
2020-08-16,10,0,0
2020-08-23,7,0,0
2020-08-30,7,4,0
2020-09-06,6,0,0
2020-09-13,5,0,0
2020-09-20,4,0,0
2020-09-27,6,0,0
2020-10-04,6,0,0
2020-10-11,7,0,0
2020-10-18,7,0,0
2020-10-25,0,0,0
2020-11-01,5,0,0
2020-11-08,4,0,0
2020-11-15,0,0,0
2020-11-22,6,4,0
2020-11-29,5,0,0
2020-12-06,8,0,0
2020-12-13,5,0,0
2020-12-20,4,0,0
2020-12-27,0,5,0
2021-01-03,5,0,6
2021-01-10,0,0,0
2021-01-17,6,0,0
2021-01-24,5,3,0
2021-01-31,0,0,0
2021-02-07,4,0,0
2021-02-14,0,0,0
2021-02-21,5,4,0
2021-02-28,6,0,0
2021-03-07,7,0,0
2021-03-14,0,0,0
2021-03-21,11,0,0
2021-03-28,4,0,0
2021-04-04,8,0,0
2021-04-11,8,6,0
2021-04-18,7,0,0
2021-04-25,14,0,0
2021-05-02,8,0,0
2021-05-09,14,0,0
2021-05-16,13,0,0
2021-05-23,19,4,0
2021-05-30,18,0,0
2021-06-06,18,0,0
2021-06-13,18,5,0
2021-06-20,12,5,0
2021-06-27,16,0,0
2021-07-04,20,6,0
2021-07-11,21,5,0
2021-07-18,23,4,0
2021-07-25,19,6,4
2021-08-01,24,5,0
2021-08-08,17,4,0
2021-08-15,22,7,0
2021-08-22,17,5,0
2021-08-29,21,5,4
2021-09-05,17,4,0
2021-09-12,10,0,0
2021-09-19,16,8,0
2021-09-26,13,0,0
2021-10-03,9,0,0
2021-10-10,11,6,0
2021-10-17,12,0,0
2021-10-24,13,5,0
2021-10-31,11,0,0
2021-11-07,11,0,0
2021-11-14,6,0,0
2021-11-21,11,0,0
2021-11-28,5,0,0
2021-12-05,5,0,0
2021-12-12,8,0,0
2021-12-19,7,5,0
2021-12-26,6,5,0
2022-01-02,13,0,0
2022-01-09,9,0,0
2022-01-16,9,0,0
2022-01-23,0,0,0
2022-01-30,7,0,0
2022-02-06,7,0,0
2022-02-13,8,0,0
2022-02-20,9,3,0
2022-02-27,5,4,0
2022-03-06,7,3,0
2022-03-13,11,0,0
2022-03-20,13,4,0
2022-03-27,15,4,0
2022-04-03,21,5,0
2022-04-10,20,6,0
2022-04-17,26,8,0
2022-04-24,46,14,0
2022-05-01,51,14,2
2022-05-08,89,24,4
2022-05-15,93,28,0
2022-05-22,97,30,0
2022-05-29,96,28,0
2022-06-05,91,28,0
2022-06-12,84,28,0
2022-06-19,100,33,0
2022-06-26,93,35,0
2022-07-03,72,30,0
2022-07-10,64,21,0
2022-07-17,60,19,0
2022-07-24,46,13,0
2022-07-31,31,9,0
2022-08-07,30,8,0
2022-08-14,30,11,5
2022-08-21,22,5,0
2022-08-28,19,4,0
2022-09-04,13,4,0
2022-09-11,15,5,0
