Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará),tratamento dengue: (Ceará)
2019-03-03,13,0,0
2019-03-10,20,5,0
2019-03-17,19,5,0
2019-03-24,20,3,0
2019-03-31,22,2,0
2019-04-07,18,7,0
2019-04-14,17,5,0
2019-04-21,22,4,0
2019-04-28,23,9,0
2019-05-05,24,5,0
2019-05-12,19,5,0
2019-05-19,20,4,0
2019-05-26,19,5,2
2019-06-02,17,3,0
2019-06-09,13,4,0
2019-06-16,14,3,0
2019-06-23,10,0,0
2019-06-30,13,0,0
2019-07-07,7,2,0
2019-07-14,9,2,0
2019-07-21,12,3,0
2019-07-28,11,0,0
2019-08-04,10,2,0
2019-08-11,8,0,0
2019-08-18,9,2,0
2019-08-25,9,4,0
2019-09-01,7,0,0
2019-09-08,7,0,0
2019-09-15,10,3,0
2019-09-22,7,0,0
2019-09-29,6,0,0
2019-10-06,9,2,0
2019-10-13,6,2,0
2019-10-20,8,3,0
2019-10-27,4,2,0
2019-11-03,7,0,0
2019-11-10,5,0,0
2019-11-17,6,0,0
2019-11-24,6,0,0
2019-12-01,6,0,0
2019-12-08,4,0,0
2019-12-15,4,0,0
2019-12-22,2,0,0
2019-12-29,4,0,0
2020-01-05,8,0,0
2020-01-12,10,2,0
2020-01-19,10,0,0
2020-01-26,10,0,0
2020-02-02,17,4,0
2020-02-09,23,4,0
2020-02-16,24,5,0
2020-02-23,28,7,0
2020-03-01,33,8,2
2020-03-08,43,9,2
2020-03-15,41,10,0
2020-03-22,33,7,0
2020-03-29,31,8,0
2020-04-05,30,8,0
2020-04-12,35,9,2
2020-04-19,41,12,0
2020-04-26,44,14,1
2020-05-03,51,20,1
2020-05-10,40,14,0
2020-05-17,36,8,0
2020-05-24,30,8,0
2020-05-31,26,7,0
2020-06-07,19,5,0
2020-06-14,21,6,2
2020-06-21,22,6,0
2020-06-28,25,6,0
2020-07-05,17,5,0
2020-07-12,14,4,0
2020-07-19,17,4,0
2020-07-26,9,2,0
2020-08-02,11,2,0
2020-08-09,13,3,0
2020-08-16,11,3,0
2020-08-23,9,2,0
2020-08-30,8,3,0
2020-09-06,8,2,0
2020-09-13,7,0,0
2020-09-20,10,1,0
2020-09-27,8,2,0
2020-10-04,7,2,0
2020-10-11,7,0,0
2020-10-18,6,0,0
2020-10-25,5,2,0
2020-11-01,5,0,0
2020-11-08,7,2,0
2020-11-15,6,0,0
2020-11-22,5,0,0
2020-11-29,6,0,0
2020-12-06,8,2,0
2020-12-13,8,4,0
2020-12-20,3,0,0
2020-12-27,7,0,0
2021-01-03,6,0,0
2021-01-10,6,2,0
2021-01-17,6,3,0
2021-01-24,7,2,0
2021-01-31,12,2,0
2021-02-07,10,3,0
2021-02-14,11,3,0
2021-02-21,17,3,0
2021-02-28,16,5,0
2021-03-07,22,5,0
2021-03-14,22,5,0
2021-03-21,25,6,0
2021-03-28,23,8,0
2021-04-04,25,6,0
2021-04-11,28,7,1
2021-04-18,28,10,0
2021-04-25,32,8,0
2021-05-02,31,9,2
2021-05-09,39,12,0
2021-05-16,48,13,0
2021-05-23,48,14,1
2021-05-30,48,14,0
2021-06-06,46,13,1
2021-06-13,47,12,2
2021-06-20,42,12,2
2021-06-27,34,8,1
2021-07-04,36,10,0
2021-07-11,28,7,0
2021-07-18,25,6,0
2021-07-25,22,6,0
2021-08-01,19,4,0
2021-08-08,21,4,0
2021-08-15,23,4,1
2021-08-22,20,3,0
2021-08-29,15,5,0
2021-09-05,12,2,0
2021-09-12,13,3,0
2021-09-19,17,4,0
2021-09-26,9,2,0
2021-10-03,12,3,0
2021-10-10,7,3,0
2021-10-17,7,3,0
2021-10-24,6,0,0
2021-10-31,5,0,0
2021-11-07,7,0,0
2021-11-14,7,0,0
2021-11-21,6,0,0
2021-11-28,5,0,0
2021-12-05,8,2,0
2021-12-12,8,0,0
2021-12-19,6,0,0
2021-12-26,8,3,0
2022-01-02,12,3,2
2022-01-09,16,6,0
2022-01-16,15,7,0
2022-01-23,13,3,0
2022-01-30,15,4,0
2022-02-06,17,4,0
2022-02-13,21,4,0
2022-02-20,21,5,0
2022-02-27,22,6,0
2022-03-06,27,6,0
2022-03-13,27,8,1
2022-03-20,35,9,0
2022-03-27,36,9,0
2022-04-03,37,10,0
2022-04-10,36,11,0
2022-04-17,53,16,0
2022-04-24,58,16,1
2022-05-01,60,16,0
2022-05-08,60,14,1
2022-05-15,59,18,2
2022-05-22,57,18,0
2022-05-29,64,18,0
