Categoria: Todas as categorias

Semana,dengue: (Distrito Federal),sintomas dengue: (Distrito Federal),tratamento dengue: (Distrito Federal)
2019-03-17,6,2,0
2019-03-24,8,2,<1
2019-03-31,9,2,0
2019-04-07,11,3,<1
2019-04-14,12,3,<1
2019-04-21,13,4,1
2019-04-28,14,4,0
2019-05-05,14,4,1
2019-05-12,14,4,0
2019-05-19,19,6,0
2019-05-26,19,5,<1
2019-06-02,17,5,1
2019-06-09,13,3,1
2019-06-16,10,3,0
2019-06-23,8,2,0
2019-06-30,6,2,0
2019-07-07,3,1,0
2019-07-14,4,1,1
2019-07-21,2,1,0
2019-07-28,2,1,0
2019-08-04,2,<1,0
2019-08-11,2,1,0
2019-08-18,2,<1,0
2019-08-25,1,<1,0
2019-09-01,2,1,0
2019-09-08,2,<1,0
2019-09-15,2,0,0
2019-09-22,2,1,0
2019-09-29,2,<1,0
2019-10-06,2,1,0
2019-10-13,2,1,0
2019-10-20,2,1,0
2019-10-27,2,1,0
2019-11-03,2,<1,0
2019-11-10,2,1,0
2019-11-17,2,<1,0
2019-11-24,2,0,0
2019-12-01,3,1,0
2019-12-08,2,1,0
2019-12-15,2,<1,<1
2019-12-22,2,1,0
2019-12-29,2,0,0
2020-01-05,3,1,0
2020-01-12,4,1,0
2020-01-19,5,1,0
2020-01-26,9,2,0
2020-02-02,7,2,0
2020-02-09,6,1,0
2020-02-16,9,2,0
2020-02-23,10,2,0
2020-03-01,11,2,0
2020-03-08,16,4,0
2020-03-15,15,4,<1
2020-03-22,12,2,0
2020-03-29,12,3,0
2020-04-05,12,3,0
2020-04-12,13,3,0
2020-04-19,11,2,0
2020-04-26,11,2,0
2020-05-03,12,3,0
2020-05-10,11,3,<1
2020-05-17,9,3,0
2020-05-24,8,2,0
2020-05-31,8,3,0
2020-06-07,8,2,0
2020-06-14,6,2,0
2020-06-21,6,2,0
2020-06-28,6,2,0
2020-07-05,5,2,0
2020-07-12,4,1,0
2020-07-19,4,1,0
2020-07-26,5,1,0
2020-08-02,3,1,0
2020-08-09,3,1,0
2020-08-16,3,1,0
2020-08-23,2,1,1
2020-08-30,2,<1,0
2020-09-06,2,1,0
2020-09-13,2,1,0
2020-09-20,2,<1,0
2020-09-27,2,<1,0
2020-10-04,2,0,0
2020-10-11,1,0,0
2020-10-18,2,<1,0
2020-10-25,2,0,0
2020-11-01,1,<1,0
2020-11-08,2,<1,0
2020-11-15,2,1,0
2020-11-22,2,0,0
2020-11-29,2,1,0
2020-12-06,2,1,0
2020-12-13,2,1,0
2020-12-20,2,<1,0
2020-12-27,2,0,1
2021-01-03,2,1,0
2021-01-10,2,1,0
2021-01-17,2,0,0
2021-01-24,2,1,0
2021-01-31,2,1,0
2021-02-07,2,1,0
2021-02-14,1,<1,0
2021-02-21,2,<1,0
2021-02-28,4,1,0
2021-03-07,3,1,0
2021-03-14,4,1,0
2021-03-21,4,1,0
2021-03-28,5,1,1
2021-04-04,4,1,0
2021-04-11,5,2,0
2021-04-18,4,1,0
2021-04-25,4,1,0
2021-05-02,4,1,0
2021-05-09,4,1,0
2021-05-16,4,1,0
2021-05-23,7,1,0
2021-05-30,6,1,0
2021-06-06,4,1,0
2021-06-13,3,0,0
2021-06-20,3,1,0
2021-06-27,3,1,0
2021-07-04,1,0,0
2021-07-11,1,0,0
2021-07-18,2,0,0
2021-07-25,1,1,0
2021-08-01,1,0,0
2021-08-08,1,1,0
2021-08-15,1,0,0
2021-08-22,1,0,0
2021-08-29,2,0,0
2021-09-05,1,0,0
2021-09-12,1,<1,0
2021-09-19,1,0,0
2021-09-26,2,<1,0
2021-10-03,2,0,0
2021-10-10,1,0,0
2021-10-17,1,0,0
2021-10-24,1,0,0
2021-10-31,2,<1,0
2021-11-07,2,0,0
2021-11-14,2,<1,0
2021-11-21,2,1,0
2021-11-28,3,0,0
2021-12-05,3,1,<1
2021-12-12,3,1,0
2021-12-19,5,1,0
2021-12-26,4,1,0
2022-01-02,7,2,0
2022-01-09,6,2,0
2022-01-16,7,2,0
2022-01-23,7,3,0
2022-01-30,6,2,0
2022-02-06,6,1,0
2022-02-13,7,1,0
2022-02-20,6,1,0
2022-02-27,7,2,0
2022-03-06,8,2,<1
2022-03-13,8,2,0
2022-03-20,10,2,0
2022-03-27,12,3,0
2022-04-03,13,3,0
2022-04-10,14,4,0
2022-04-17,17,5,<1
2022-04-24,18,5,<1
2022-05-01,17,4,<1
2022-05-08,14,3,<1
2022-05-15,13,4,0
2022-05-22,11,3,<1
2022-05-29,13,4,0
2022-06-05,11,5,<1
2022-06-12,9,3,0
2022-06-19,7,2,0
2022-06-26,5,2,0
2022-07-03,3,1,0
2022-07-10,3,1,0
2022-07-17,3,1,0
2022-07-24,2,1,0
2022-07-31,2,1,0
2022-08-07,2,<1,0
2022-08-14,2,1,0
2022-08-21,2,0,0
2022-08-28,2,1,0
2022-09-04,3,1,0
2022-09-11,2,<1,0
2022-09-18,2,1,0
2022-09-25,3,1,0
2022-10-02,2,<1,0
2022-10-09,2,1,0
2022-10-16,2,1,0
2022-10-23,2,<1,0
2022-10-30,2,0,0
2022-11-06,2,1,0
2022-11-13,2,1,0
2022-11-20,3,1,0
2022-11-27,3,1,0
2022-12-04,4,1,0
2022-12-11,4,1,0
2022-12-18,3,1,0
2022-12-25,3,1,0
2023-01-01,4,1,0
2023-01-08,3,1,0
2023-01-15,3,1,0
2023-01-22,3,1,0
2023-01-29,3,1,0
2023-02-05,4,1,0
2023-02-12,4,1,<1
2023-02-19,3,1,0
2023-02-26,4,1,0
2023-03-05,4,1,0
2023-03-12,4,1,0
2023-03-19,5,1,0
2023-03-26,7,2,0
2023-04-02,4,1,0
2023-04-09,5,2,0
2023-04-16,6,2,<1
2023-04-23,6,1,0
2023-04-30,5,1,0
2023-05-07,4,2,<1
2023-05-14,4,1,0
2023-05-21,4,1,0
2023-05-28,4,1,0
2023-06-04,2,<1,0
2023-06-11,3,1,0
2023-06-18,3,1,0
2023-06-25,3,1,0
2023-07-02,4,1,0
2023-07-09,3,1,0
2023-07-16,2,1,0
2023-07-23,2,1,0
2023-07-30,2,1,0
2023-08-06,2,<1,0
2023-08-13,2,0,0
2023-08-20,2,<1,0
2023-08-27,2,<1,0
2023-09-03,2,1,0
2023-09-10,2,<1,0
2023-09-17,3,1,0
2023-09-24,2,1,0
2023-10-01,2,<1,0
2023-10-08,3,<1,0
2023-10-15,2,1,0
2023-10-22,3,1,0
2023-10-29,3,<1,0
2023-11-05,4,1,0
2023-11-12,3,1,0
2023-11-19,5,1,0
2023-11-26,5,<1,0
2023-12-03,7,1,0
2023-12-10,10,2,0
2023-12-17,13,3,<1
2023-12-24,17,3,0
2023-12-31,22,5,0
2024-01-07,33,6,1
2024-01-14,50,10,1
2024-01-21,70,12,1
2024-01-28,89,13,<1
2024-02-04,100,14,1
2024-02-11,86,14,1
2024-02-18,78,13,1
2024-02-25,71,11,<1
2024-03-03,65,9,1
