Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso),tratamento dengue: (Mato Grosso)
2019-03-03,11,0,0
2019-03-10,19,0,0
2019-03-17,22,0,0
2019-03-24,20,5,0
2019-03-31,21,0,4
2019-04-07,24,0,0
2019-04-14,21,0,0
2019-04-21,19,0,0
2019-04-28,24,10,0
2019-05-05,29,7,0
2019-05-12,27,7,0
2019-05-19,24,7,0
2019-05-26,22,5,0
2019-06-02,23,4,0
2019-06-09,18,5,0
2019-06-16,20,6,0
2019-06-23,20,6,0
2019-06-30,13,4,0
2019-07-07,12,0,0
2019-07-14,9,0,0
2019-07-21,8,0,0
2019-07-28,9,0,0
2019-08-04,6,0,0
2019-08-11,11,0,0
2019-08-18,9,0,0
2019-08-25,8,0,0
2019-09-01,8,0,0
2019-09-08,7,0,0
2019-09-15,5,0,0
2019-09-22,8,0,0
2019-09-29,8,0,0
2019-10-06,5,0,0
2019-10-13,11,0,0
2019-10-20,12,0,0
2019-10-27,10,0,0
2019-11-03,14,0,0
2019-11-10,14,0,0
2019-11-17,10,0,0
2019-11-24,15,0,0
2019-12-01,13,9,0
2019-12-08,15,4,0
2019-12-15,19,5,4
2019-12-22,17,5,0
2019-12-29,20,5,0
2020-01-05,30,8,0
2020-01-12,43,10,0
2020-01-19,42,7,0
2020-01-26,37,8,0
2020-02-02,47,11,0
2020-02-09,46,9,0
2020-02-16,50,10,0
2020-02-23,42,11,0
2020-03-01,44,11,0
2020-03-08,68,15,0
2020-03-15,88,25,0
2020-03-22,58,17,0
2020-03-29,49,13,0
2020-04-05,41,9,0
2020-04-12,39,10,0
2020-04-19,37,9,0
2020-04-26,37,9,0
2020-05-03,33,9,0
2020-05-10,32,8,0
2020-05-17,24,5,0
2020-05-24,30,8,0
2020-05-31,30,9,0
2020-06-07,30,18,0
2020-06-14,37,13,0
2020-06-21,33,11,0
2020-06-28,27,10,3
2020-07-05,24,8,0
2020-07-12,22,6,0
2020-07-19,18,8,0
2020-07-26,18,6,0
2020-08-02,14,5,0
2020-08-09,16,4,0
2020-08-16,12,4,3
2020-08-23,11,4,0
2020-08-30,8,0,0
2020-09-06,9,4,0
2020-09-13,5,3,0
2020-09-20,15,4,0
2020-09-27,12,0,0
2020-10-04,10,0,0
2020-10-11,6,0,0
2020-10-18,8,0,0
2020-10-25,10,0,0
2020-11-01,11,0,0
2020-11-08,9,0,0
2020-11-15,7,3,0
2020-11-22,11,0,0
2020-11-29,8,3,0
2020-12-06,10,5,0
2020-12-13,12,5,0
2020-12-20,10,4,0
2020-12-27,20,6,0
2021-01-03,15,6,0
2021-01-10,19,9,0
2021-01-17,22,5,6
2021-01-24,18,8,0
2021-01-31,19,5,0
2021-02-07,20,8,0
2021-02-14,15,7,0
2021-02-21,21,7,0
2021-02-28,23,8,0
2021-03-07,27,9,0
2021-03-14,29,8,0
2021-03-21,29,10,0
2021-03-28,27,9,0
2021-04-04,30,10,0
2021-04-11,26,10,0
2021-04-18,23,7,0
2021-04-25,21,5,0
2021-05-02,21,5,3
2021-05-09,24,4,0
2021-05-16,24,4,0
2021-05-23,23,6,0
2021-05-30,21,6,0
2021-06-06,20,3,0
2021-06-13,17,5,0
2021-06-20,17,4,0
2021-06-27,7,0,0
2021-07-04,11,4,0
2021-07-11,17,3,0
2021-07-18,8,0,0
2021-07-25,9,0,0
2021-08-01,8,0,0
2021-08-08,12,5,0
2021-08-15,6,0,0
2021-08-22,13,0,0
2021-08-29,13,0,0
2021-09-05,6,0,0
2021-09-12,11,0,0
2021-09-19,11,0,0
2021-09-26,6,0,0
2021-10-03,5,0,0
2021-10-10,11,0,0
2021-10-17,12,0,0
2021-10-24,8,0,0
2021-10-31,7,0,0
2021-11-07,7,0,0
2021-11-14,12,4,0
2021-11-21,16,0,0
2021-11-28,20,4,0
2021-12-05,23,6,0
2021-12-12,35,12,0
