Categoria: Todas as categorias

Semana,dengue: (Pará),sintomas dengue: (Pará),tratamento dengue: (Pará)
2019-03-03,10,4,0
2019-03-10,16,5,0
2019-03-17,25,3,0
2019-03-24,17,3,0
2019-03-31,19,5,0
2019-04-07,16,4,0
2019-04-14,10,4,0
2019-04-21,16,4,0
2019-04-28,18,6,0
2019-05-05,16,3,0
2019-05-12,15,5,0
2019-05-19,11,3,0
2019-05-26,13,0,0
2019-06-02,12,5,0
2019-06-09,10,0,0
2019-06-16,8,0,0
2019-06-23,9,0,0
2019-06-30,7,0,0
2019-07-07,7,4,0
2019-07-14,6,0,0
2019-07-21,5,0,0
2019-07-28,7,0,0
2019-08-04,8,0,0
2019-08-11,9,0,0
2019-08-18,10,0,0
2019-08-25,6,0,0
2019-09-01,6,0,0
2019-09-08,8,0,0
2019-09-15,9,0,0
2019-09-22,7,0,0
2019-09-29,7,3,0
2019-10-06,7,0,0
2019-10-13,7,0,0
2019-10-20,8,0,0
2019-10-27,7,0,0
2019-11-03,10,0,0
2019-11-10,8,0,0
2019-11-17,8,2,0
2019-11-24,8,0,0
2019-12-01,9,0,0
2019-12-08,4,3,0
2019-12-15,8,3,0
2019-12-22,6,0,0
2019-12-29,4,0,0
2020-01-05,8,3,0
2020-01-12,12,2,0
2020-01-19,12,2,0
2020-01-26,13,3,0
2020-02-02,17,6,0
2020-02-09,19,5,0
2020-02-16,23,8,2
2020-02-23,18,7,2
2020-03-01,21,4,0
2020-03-08,27,7,0
2020-03-15,30,9,0
2020-03-22,29,7,0
2020-03-29,16,4,0
2020-04-05,17,4,0
2020-04-12,20,7,0
2020-04-19,21,8,0
2020-04-26,15,6,0
2020-05-03,11,3,0
2020-05-10,16,6,0
2020-05-17,12,3,0
2020-05-24,13,5,0
2020-05-31,13,3,0
2020-06-07,13,3,0
2020-06-14,8,0,0
2020-06-21,7,0,0
2020-06-28,5,0,0
2020-07-05,4,2,0
2020-07-12,5,0,0
2020-07-19,3,0,0
2020-07-26,4,0,0
2020-08-02,0,0,0
2020-08-09,3,0,0
2020-08-16,4,0,0
2020-08-23,4,0,0
2020-08-30,6,0,0
2020-09-06,6,0,0
2020-09-13,4,0,0
2020-09-20,6,0,0
2020-09-27,4,0,0
2020-10-04,6,0,0
2020-10-11,3,0,0
2020-10-18,6,2,0
2020-10-25,6,0,0
2020-11-01,4,0,0
2020-11-08,6,0,0
2020-11-15,5,0,3
2020-11-22,7,0,0
2020-11-29,7,2,0
2020-12-06,7,5,0
2020-12-13,4,2,0
2020-12-20,6,0,0
2020-12-27,5,0,0
2021-01-03,6,3,0
2021-01-10,8,3,0
2021-01-17,9,2,0
2021-01-24,9,3,0
2021-01-31,10,2,0
2021-02-07,12,3,0
2021-02-14,11,3,0
2021-02-21,11,3,0
2021-02-28,13,4,0
2021-03-07,12,3,0
2021-03-14,16,6,0
2021-03-21,11,4,0
2021-03-28,8,0,0
2021-04-04,9,0,0
2021-04-11,11,0,0
2021-04-18,10,0,0
2021-04-25,9,0,2
2021-05-02,8,0,0
2021-05-09,7,2,0
2021-05-16,10,0,0
2021-05-23,12,2,0
2021-05-30,9,0,2
2021-06-06,8,0,2
2021-06-13,6,0,0
2021-06-20,8,0,0
2021-06-27,5,0,0
2021-07-04,5,0,0
2021-07-11,4,0,0
2021-07-18,4,0,0
2021-07-25,3,0,0
2021-08-01,4,0,0
2021-08-08,6,0,0
2021-08-15,6,2,0
2021-08-22,8,0,0
2021-08-29,4,0,2
2021-09-05,5,0,0
2021-09-12,4,0,0
2021-09-19,5,0,0
2021-09-26,5,0,0
2021-10-03,5,3,0
2021-10-10,3,0,0
2021-10-17,4,0,0
2021-10-24,5,0,0
2021-10-31,3,0,0
2021-11-07,7,0,0
2021-11-14,9,0,0
2021-11-21,7,0,0
2021-11-28,10,0,0
2021-12-05,8,2,0
2021-12-12,10,2,0
2021-12-19,13,3,0
2021-12-26,11,3,0
2022-01-02,16,3,0
2022-01-09,13,6,0
2022-01-16,18,7,0
2022-01-23,18,5,0
2022-01-30,13,4,0
2022-02-06,10,3,0
2022-02-13,9,2,0
2022-02-20,13,4,0
2022-02-27,10,2,0
2022-03-06,13,3,0
2022-03-13,16,3,0
2022-03-20,12,3,0
2022-03-27,14,3,0
2022-04-03,13,3,0
2022-04-10,11,3,0
2022-04-17,14,4,0
2022-04-24,16,5,0
2022-05-01,17,5,0
2022-05-08,17,4,0
2022-05-15,13,3,0
2022-05-22,12,4,0
2022-05-29,11,3,0
2022-06-05,10,3,0
2022-06-12,9,2,0
2022-06-19,8,3,0
2022-06-26,9,2,0
2022-07-03,8,3,0
2022-07-10,6,0,0
2022-07-17,6,2,0
2022-07-24,4,0,0
2022-07-31,4,0,0
2022-08-07,6,0,0
2022-08-14,7,2,0
2022-08-21,6,2,0
2022-08-28,6,0,0
2022-09-04,4,0,0
2022-09-11,6,0,0
2022-09-18,9,0,0
2022-09-25,6,0,0
2022-10-02,6,3,1
2022-10-09,4,0,0
2022-10-16,10,1,0
2022-10-23,6,2,0
2022-10-30,5,2,0
2022-11-06,8,0,0
2022-11-13,8,0,0
2022-11-20,8,0,0
2022-11-27,6,2,0
2022-12-04,10,3,0
2022-12-11,10,4,0
2022-12-18,7,2,0
2022-12-25,10,2,0
2023-01-01,9,2,0
2023-01-08,8,2,0
2023-01-15,7,2,0
2023-01-22,9,3,0
2023-01-29,11,4,0
2023-02-05,11,3,0
2023-02-12,12,6,2
2023-02-19,11,4,0
2023-02-26,15,4,0
2023-03-05,16,5,0
2023-03-12,25,6,0
2023-03-19,22,5,0
2023-03-26,25,6,0
2023-04-02,19,6,0
2023-04-09,16,6,0
2023-04-16,20,5,0
2023-04-23,15,4,0
2023-04-30,14,5,0
2023-05-07,13,3,0
2023-05-14,15,5,0
2023-05-21,17,4,0
2023-05-28,12,4,0
2023-06-04,11,3,0
2023-06-11,14,4,0
2023-06-18,10,2,0
2023-06-25,11,3,0
2023-07-02,11,2,0
2023-07-09,10,0,2
2023-07-16,5,0,0
2023-07-23,6,0,0
2023-07-30,6,0,0
2023-08-06,3,0,0
2023-08-13,6,0,0
2023-08-20,6,0,0
2023-08-27,7,0,0
2023-09-03,10,3,0
2023-09-10,10,3,0
2023-09-17,12,2,0
2023-09-24,7,0,0
2023-10-01,6,0,0
2023-10-08,6,0,0
2023-10-15,9,2,0
2023-10-22,7,0,0
2023-10-29,6,2,0
2023-11-05,7,0,0
2023-11-12,7,2,0
2023-11-19,7,0,0
2023-11-26,7,2,0
2023-12-03,4,2,0
2023-12-10,6,2,3
2023-12-17,8,2,0
2023-12-24,7,0,3
2023-12-31,13,3,0
2024-01-07,13,5,0
2024-01-14,17,5,0
2024-01-21,22,6,0
2024-01-28,29,8,0
