Categoria: Todas as categorias

Semana,dengue: (Paraíba),sintomas dengue: (Paraíba),tratamento dengue: (Paraíba)
2019-03-03,10,0,0
2019-03-10,14,0,0
2019-03-17,17,3,0
2019-03-24,14,0,0
2019-03-31,16,4,0
2019-04-07,22,4,0
2019-04-14,14,6,0
2019-04-21,20,5,0
2019-04-28,24,8,0
2019-05-05,19,7,0
2019-05-12,22,7,0
2019-05-19,30,6,0
2019-05-26,25,5,0
2019-06-02,25,7,0
2019-06-09,21,4,0
2019-06-16,20,7,0
2019-06-23,20,7,0
2019-06-30,23,6,0
2019-07-07,15,4,0
2019-07-14,18,5,0
2019-07-21,13,0,0
2019-07-28,18,7,0
2019-08-04,16,0,0
2019-08-11,11,3,0
2019-08-18,15,0,0
2019-08-25,13,0,0
2019-09-01,11,5,0
2019-09-08,13,3,0
2019-09-15,10,0,0
2019-09-22,11,6,0
2019-09-29,9,3,0
2019-10-06,7,0,0
2019-10-13,8,0,0
2019-10-20,11,0,0
2019-10-27,8,0,0
2019-11-03,7,0,0
2019-11-10,9,0,0
2019-11-17,7,0,0
2019-11-24,7,0,0
2019-12-01,7,0,0
2019-12-08,5,0,0
2019-12-15,6,0,0
2019-12-22,5,5,0
2019-12-29,4,0,0
2020-01-05,3,0,0
2020-01-12,7,0,0
2020-01-19,7,0,0
2020-01-26,10,0,0
2020-02-02,9,0,0
2020-02-09,11,3,0
2020-02-16,7,0,0
2020-02-23,14,4,0
2020-03-01,15,4,0
2020-03-08,15,3,0
2020-03-15,25,5,0
2020-03-22,19,0,0
2020-03-29,14,4,0
2020-04-05,13,5,0
2020-04-12,12,2,0
2020-04-19,17,3,0
2020-04-26,17,5,0
2020-05-03,19,5,0
2020-05-10,26,9,0
2020-05-17,24,7,0
2020-05-24,26,8,0
2020-05-31,27,7,0
2020-06-07,26,6,0
2020-06-14,23,7,0
2020-06-21,21,5,0
2020-06-28,30,10,0
2020-07-05,23,4,0
2020-07-12,25,7,0
2020-07-19,23,7,0
2020-07-26,18,5,0
2020-08-02,16,0,0
2020-08-09,10,0,0
2020-08-16,15,4,0
2020-08-23,12,3,0
2020-08-30,7,0,0
2020-09-06,7,0,0
2020-09-13,7,3,3
2020-09-20,7,3,0
2020-09-27,12,0,0
2020-10-04,9,0,0
2020-10-11,9,0,0
2020-10-18,11,0,0
2020-10-25,8,0,0
2020-11-01,3,0,0
2020-11-08,5,0,0
2020-11-15,8,0,0
2020-11-22,4,0,0
2020-11-29,9,0,0
2020-12-06,7,3,0
2020-12-13,6,0,0
2020-12-20,7,0,0
2020-12-27,7,0,0
2021-01-03,5,3,0
2021-01-10,3,0,0
2021-01-17,5,0,0
2021-01-24,7,0,0
2021-01-31,5,0,0
2021-02-07,5,0,0
2021-02-14,5,0,0
2021-02-21,7,0,0
2021-02-28,6,0,0
2021-03-07,8,5,0
2021-03-14,8,0,0
2021-03-21,10,3,0
2021-03-28,9,7,0
2021-04-04,8,0,0
2021-04-11,11,2,0
2021-04-18,11,0,0
2021-04-25,12,3,0
2021-05-02,13,3,0
2021-05-09,19,7,0
2021-05-16,22,5,0
2021-05-23,23,7,0
2021-05-30,23,6,0
2021-06-06,18,4,0
2021-06-13,19,6,0
2021-06-20,20,5,0
2021-06-27,21,8,0
2021-07-04,20,5,0
2021-07-11,25,7,0
2021-07-18,24,4,0
2021-07-25,18,9,0
2021-08-01,14,3,0
2021-08-08,16,0,0
2021-08-15,18,5,0
2021-08-22,15,0,0
2021-08-29,13,0,0
2021-09-05,11,4,0
2021-09-12,11,0,0
2021-09-19,11,4,0
2021-09-26,9,0,0
2021-10-03,9,0,0
2021-10-10,8,0,0
2021-10-17,10,0,0
2021-10-24,9,3,0
2021-10-31,8,4,0
2021-11-07,7,0,0
2021-11-14,8,0,0
2021-11-21,6,0,3
2021-11-28,8,0,4
2021-12-05,7,0,0
2021-12-12,10,0,0
2021-12-19,7,4,0
2021-12-26,7,0,0
2022-01-02,12,0,0
2022-01-09,11,0,0
2022-01-16,8,5,0
2022-01-23,10,0,0
2022-01-30,10,3,0
2022-02-06,11,8,0
2022-02-13,13,2,0
2022-02-20,9,4,0
2022-02-27,13,5,0
2022-03-06,13,4,0
2022-03-13,19,3,0
2022-03-20,20,4,0
2022-03-27,23,7,0
2022-04-03,40,11,0
2022-04-10,35,9,0
2022-04-17,47,12,2
2022-04-24,56,13,0
2022-05-01,50,13,0
2022-05-08,70,18,3
2022-05-15,88,26,0
2022-05-22,75,19,0
2022-05-29,63,17,0
2022-06-05,76,22,0
2022-06-12,77,22,0
2022-06-19,66,20,0
2022-06-26,58,18,0
2022-07-03,54,18,0
2022-07-10,52,15,0
2022-07-17,42,11,0
2022-07-24,35,10,0
2022-07-31,32,9,0
2022-08-07,24,6,0
2022-08-14,24,4,0
2022-08-21,13,3,2
2022-08-28,16,6,0
2022-09-04,12,0,0
2022-09-11,14,4,0
2022-09-18,9,0,0
2022-09-25,6,0,0
2022-10-02,9,0,0
2022-10-09,6,0,0
2022-10-16,8,0,0
2022-10-23,6,0,0
2022-10-30,6,0,2
2022-11-06,9,0,0
2022-11-13,7,0,0
2022-11-20,7,3,0
2022-11-27,5,0,0
2022-12-04,5,0,0
2022-12-11,5,0,0
2022-12-18,7,0,0
2022-12-25,5,0,0
2023-01-01,6,0,0
2023-01-08,3,0,0
2023-01-15,5,4,0
2023-01-22,6,0,0
2023-01-29,6,0,0
2023-02-05,7,0,0
2023-02-12,9,0,0
2023-02-19,4,0,0
2023-02-26,8,2,0
2023-03-05,9,0,0
2023-03-12,11,2,0
2023-03-19,10,3,0
2023-03-26,17,3,0
2023-04-02,19,7,0
2023-04-09,20,2,0
2023-04-16,17,4,0
2023-04-23,20,5,0
2023-04-30,15,4,0
2023-05-07,17,7,0
2023-05-14,15,3,0
2023-05-21,12,5,0
2023-05-28,7,2,0
2023-06-04,12,3,0
2023-06-11,8,0,0
2023-06-18,12,5,0
2023-06-25,7,0,0
2023-07-02,9,0,0
2023-07-09,7,0,0
2023-07-16,7,0,0
2023-07-23,9,3,0
2023-07-30,5,0,0
2023-08-06,4,0,0
2023-08-13,8,4,0
2023-08-20,5,0,0
2023-08-27,8,3,0
2023-09-03,4,0,0
2023-09-10,5,0,0
2023-09-17,7,0,0
2023-09-24,7,0,0
2023-10-01,7,0,0
2023-10-08,4,0,0
2023-10-15,5,0,0
2023-10-22,5,0,0
2023-10-29,7,0,0
2023-11-05,6,0,0
2023-11-12,5,0,0
2023-11-19,5,2,0
2023-11-26,8,0,0
2023-12-03,6,0,0
2023-12-10,5,0,0
2023-12-17,4,0,0
2023-12-24,8,0,0
2023-12-31,8,0,0
2024-01-07,6,0,0
2024-01-14,7,0,0
2024-01-21,14,0,0
2024-01-28,17,4,0
2024-02-04,27,4,0
2024-02-11,61,19,0
2024-02-18,100,17,0
