Categoria: Todas as categorias

Semana,dengue: (Pernambuco),sintomas dengue: (Pernambuco),tratamento dengue: (Pernambuco)
2019-03-17,12,5,0
2019-03-24,14,3,0
2019-03-31,17,5,0
2019-04-07,14,3,0
2019-04-14,15,4,0
2019-04-21,15,4,0
2019-04-28,22,6,0
2019-05-05,17,5,0
2019-05-12,19,6,0
2019-05-19,24,8,2
2019-05-26,23,6,0
2019-06-02,23,4,0
2019-06-09,15,4,0
2019-06-16,15,4,0
2019-06-23,23,4,0
2019-06-30,16,4,0
2019-07-07,12,4,0
2019-07-14,13,3,0
2019-07-21,11,3,0
2019-07-28,10,2,0
2019-08-04,14,3,0
2019-08-11,11,2,0
2019-08-18,13,3,0
2019-08-25,12,2,0
2019-09-01,13,3,0
2019-09-08,11,3,0
2019-09-15,12,4,0
2019-09-22,10,1,0
2019-09-29,9,3,0
2019-10-06,8,1,0
2019-10-13,9,2,0
2019-10-20,8,2,0
2019-10-27,7,1,0
2019-11-03,8,0,0
2019-11-10,7,0,0
2019-11-17,8,0,0
2019-11-24,6,0,0
2019-12-01,7,1,0
2019-12-08,5,0,0
2019-12-15,5,0,0
2019-12-22,5,0,0
2019-12-29,4,2,0
2020-01-05,5,0,0
2020-01-12,6,0,0
2020-01-19,6,2,0
2020-01-26,8,2,0
2020-02-02,8,0,0
2020-02-09,9,0,0
2020-02-16,10,2,0
2020-02-23,11,3,0
2020-03-01,13,3,0
2020-03-08,17,3,0
2020-03-15,20,4,0
2020-03-22,16,2,0
2020-03-29,18,4,0
2020-04-05,13,4,0
2020-04-12,22,6,0
2020-04-19,18,6,1
2020-04-26,21,7,2
2020-05-03,22,8,0
2020-05-10,22,6,0
2020-05-17,21,7,0
2020-05-24,20,5,0
2020-05-31,18,5,0
2020-06-07,21,4,0
2020-06-14,19,4,0
2020-06-21,20,5,0
2020-06-28,13,3,0
2020-07-05,18,4,0
2020-07-12,14,4,1
2020-07-19,14,4,0
2020-07-26,11,3,0
2020-08-02,9,4,0
2020-08-09,10,2,0
2020-08-16,9,3,0
2020-08-23,7,3,0
2020-08-30,8,2,0
2020-09-06,8,2,0
2020-09-13,7,2,0
2020-09-20,7,2,0
2020-09-27,7,1,0
2020-10-04,7,1,0
2020-10-11,5,0,0
2020-10-18,5,2,0
2020-10-25,5,0,0
2020-11-01,7,1,0
2020-11-08,6,2,0
2020-11-15,4,0,1
2020-11-22,5,1,0
2020-11-29,6,0,0
2020-12-06,7,3,0
2020-12-13,7,2,0
2020-12-20,6,1,0
2020-12-27,5,2,0
2021-01-03,6,1,0
2021-01-10,5,1,2
2021-01-17,6,2,0
2021-01-24,6,0,0
2021-01-31,6,0,0
2021-02-07,7,2,0
2021-02-14,7,2,0
2021-02-21,7,2,0
2021-02-28,9,3,0
2021-03-07,10,2,0
2021-03-14,11,3,0
2021-03-21,15,3,0
2021-03-28,12,4,0
2021-04-04,15,5,0
2021-04-11,18,5,0
2021-04-18,21,6,0
2021-04-25,27,7,0
2021-05-02,27,9,2
2021-05-09,40,11,2
2021-05-16,46,14,2
2021-05-23,53,14,0
2021-05-30,54,17,2
2021-06-06,48,10,2
2021-06-13,42,12,0
2021-06-20,38,11,0
2021-06-27,36,10,0
2021-07-04,29,7,0
2021-07-11,27,6,0
2021-07-18,24,6,0
2021-07-25,19,6,0
2021-08-01,18,5,0
2021-08-08,15,4,0
2021-08-15,13,3,0
2021-08-22,14,4,0
2021-08-29,11,3,0
2021-09-05,10,2,0
2021-09-12,10,3,0
2021-09-19,9,2,0
2021-09-26,5,2,0
2021-10-03,7,3,1
2021-10-10,6,2,0
2021-10-17,6,2,0
2021-10-24,5,0,0
2021-10-31,8,0,0
2021-11-07,7,1,0
2021-11-14,6,0,0
2021-11-21,6,0,0
2021-11-28,5,1,0
2021-12-05,5,0,0
2021-12-12,5,3,0
2021-12-19,5,0,0
2021-12-26,5,2,0
2022-01-02,7,0,0
2022-01-09,5,0,0
2022-01-16,9,3,0
2022-01-23,8,4,0
2022-01-30,9,3,0
2022-02-06,11,3,0
2022-02-13,11,4,0
2022-02-20,14,3,0
2022-02-27,11,3,0
2022-03-06,14,3,0
2022-03-13,16,4,1
2022-03-20,14,4,0
2022-03-27,17,5,1
2022-04-03,17,4,0
2022-04-10,19,7,0
2022-04-17,26,7,1
2022-04-24,27,6,0
2022-05-01,23,6,0
2022-05-08,30,9,0
2022-05-15,27,7,0
2022-05-22,24,6,0
2022-05-29,21,6,0
2022-06-05,19,6,0
2022-06-12,22,7,0
2022-06-19,20,7,0
2022-06-26,17,7,0
2022-07-03,14,4,0
2022-07-10,10,4,0
2022-07-17,10,2,0
2022-07-24,9,2,0
2022-07-31,10,3,0
2022-08-07,9,2,0
2022-08-14,9,2,0
2022-08-21,9,3,0
2022-08-28,7,1,0
2022-09-04,7,2,0
2022-09-11,6,1,0
2022-09-18,7,0,0
2022-09-25,6,2,0
2022-10-02,5,1,0
2022-10-09,5,0,0
2022-10-16,6,1,0
2022-10-23,5,0,0
2022-10-30,5,1,0
2022-11-06,6,1,0
2022-11-13,8,3,0
2022-11-20,6,2,0
2022-11-27,6,1,0
2022-12-04,5,1,0
2022-12-11,5,1,0
2022-12-18,5,2,0
2022-12-25,6,0,0
2023-01-01,6,2,0
2023-01-08,5,1,0
2023-01-15,4,1,0
2023-01-22,3,1,0
2023-01-29,5,2,0
2023-02-05,6,2,0
2023-02-12,7,2,0
2023-02-19,4,0,0
2023-02-26,11,2,0
2023-03-05,9,2,0
2023-03-12,9,2,0
2023-03-19,12,4,0
2023-03-26,18,4,0
2023-04-02,13,5,0
2023-04-09,15,4,0
2023-04-16,12,4,1
2023-04-23,13,3,0
2023-04-30,9,2,0
2023-05-07,11,3,0
2023-05-14,10,2,0
2023-05-21,9,3,0
2023-05-28,9,3,0
2023-06-04,7,1,0
2023-06-11,8,2,0
2023-06-18,6,2,0
2023-06-25,8,2,0
2023-07-02,11,2,0
2023-07-09,8,2,0
2023-07-16,6,0,0
2023-07-23,5,0,0
2023-07-30,5,2,0
2023-08-06,6,2,0
2023-08-13,6,1,0
2023-08-20,7,2,0
2023-08-27,8,2,0
2023-09-03,6,1,0
2023-09-10,6,1,0
2023-09-17,5,2,0
2023-09-24,5,1,0
2023-10-01,7,2,0
2023-10-08,4,1,0
2023-10-15,6,1,0
2023-10-22,6,2,0
2023-10-29,4,1,0
2023-11-05,7,2,0
2023-11-12,4,0,0
2023-11-19,7,2,1
2023-11-26,7,1,0
2023-12-03,7,2,0
2023-12-10,6,0,0
2023-12-17,7,1,0
2023-12-24,7,3,0
2023-12-31,8,2,2
2024-01-07,7,2,0
2024-01-14,6,2,0
2024-01-21,13,4,0
2024-01-28,20,3,0
