Categoria: Todas as categorias

Semana,dengue: (Sergipe),sintomas dengue: (Sergipe),tratamento dengue: (Sergipe)
2019-03-03,13,0,0
2019-03-10,23,0,0
2019-03-17,15,0,0
2019-03-24,0,0,0
2019-03-31,21,0,0
2019-04-07,0,0,0
2019-04-14,13,0,0
2019-04-21,23,0,0
2019-04-28,28,14,0
2019-05-05,28,0,0
2019-05-12,47,11,0
2019-05-19,47,10,0
2019-05-26,52,14,0
2019-06-02,59,25,0
2019-06-09,42,15,0
2019-06-16,33,25,0
2019-06-23,59,22,0
2019-06-30,50,29,0
2019-07-07,52,20,0
2019-07-14,50,19,0
2019-07-21,66,22,0
2019-07-28,58,17,0
2019-08-04,49,14,0
2019-08-11,36,14,0
2019-08-18,42,13,0
2019-08-25,43,12,0
2019-09-01,27,8,0
2019-09-08,36,15,0
2019-09-15,34,0,0
2019-09-22,30,7,0
2019-09-29,32,12,0
2019-10-06,22,0,0
2019-10-13,0,0,0
2019-10-20,19,7,0
2019-10-27,21,0,0
2019-11-03,20,0,0
2019-11-10,15,7,0
2019-11-17,9,0,0
2019-11-24,7,0,0
2019-12-01,12,0,0
2019-12-08,0,0,0
2019-12-15,12,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,16,0,0
2020-01-12,7,0,0
2020-01-19,10,0,0
2020-01-26,9,0,0
2020-02-02,10,0,0
2020-02-09,17,0,0
2020-02-16,16,0,0
2020-02-23,13,8,0
2020-03-01,19,0,0
2020-03-08,17,0,0
2020-03-15,23,0,0
2020-03-22,20,0,0
2020-03-29,19,10,0
2020-04-05,23,0,0
2020-04-12,20,0,0
2020-04-19,10,0,0
2020-04-26,14,0,0
2020-05-03,20,6,0
2020-05-10,20,0,0
2020-05-17,29,8,0
2020-05-24,28,12,0
2020-05-31,25,9,0
2020-06-07,34,12,0
2020-06-14,36,10,0
2020-06-21,32,10,0
2020-06-28,39,17,0
2020-07-05,43,10,0
2020-07-12,31,12,0
2020-07-19,31,0,7
2020-07-26,25,11,0
2020-08-02,21,6,0
2020-08-09,20,0,0
2020-08-16,11,0,0
2020-08-23,10,0,0
2020-08-30,7,10,0
2020-09-06,8,0,0
2020-09-13,13,0,0
2020-09-20,8,0,0
2020-09-27,13,0,0
2020-10-04,12,10,0
2020-10-11,8,0,0
2020-10-18,13,0,0
2020-10-25,7,0,0
2020-11-01,10,7,0
2020-11-08,13,0,0
2020-11-15,6,0,0
2020-11-22,0,0,0
2020-11-29,10,0,0
2020-12-06,10,0,0
2020-12-13,6,0,0
2020-12-20,7,0,0
2020-12-27,0,0,0
2021-01-03,8,0,0
2021-01-10,11,0,0
2021-01-17,8,0,0
2021-01-24,7,0,0
2021-01-31,7,0,0
2021-02-07,0,0,0
2021-02-14,0,0,0
2021-02-21,8,0,0
2021-02-28,20,0,0
2021-03-07,0,0,0
2021-03-14,0,0,0
2021-03-21,0,8,0
2021-03-28,10,0,0
2021-04-04,0,0,0
2021-04-11,6,0,0
2021-04-18,12,0,0
2021-04-25,10,0,0
2021-05-02,7,0,0
2021-05-09,18,0,0
2021-05-16,21,6,0
2021-05-23,20,0,0
2021-05-30,17,0,0
2021-06-06,18,0,0
2021-06-13,16,0,0
2021-06-20,11,0,0
2021-06-27,9,0,6
2021-07-04,9,0,0
2021-07-11,6,0,0
2021-07-18,15,0,0
2021-07-25,10,0,0
2021-08-01,0,0,0
2021-08-08,11,0,0
2021-08-15,0,0,0
2021-08-22,0,0,0
2021-08-29,14,0,0
2021-09-05,0,0,0
2021-09-12,23,0,0
2021-09-19,8,0,0
2021-09-26,0,0,0
2021-10-03,8,0,0
2021-10-10,0,0,0
2021-10-17,10,0,0
2021-10-24,9,0,0
2021-10-31,0,0,0
2021-11-07,13,0,0
2021-11-14,8,0,0
2021-11-21,0,0,0
2021-11-28,0,6,0
2021-12-05,12,0,0
2021-12-12,10,0,0
2021-12-19,0,0,0
2021-12-26,0,0,0
2022-01-02,10,0,0
2022-01-09,10,0,0
2022-01-16,13,0,0
2022-01-23,7,0,0
2022-01-30,0,0,0
2022-02-06,0,0,0
2022-02-13,8,0,0
2022-02-20,7,0,0
2022-02-27,0,0,0
2022-03-06,10,0,0
2022-03-13,8,0,0
2022-03-20,12,0,0
2022-03-27,16,13,0
2022-04-03,21,4,0
2022-04-10,15,5,0
2022-04-17,17,0,0
2022-04-24,23,5,0
2022-05-01,30,10,0
2022-05-08,36,11,0
2022-05-15,33,13,0
2022-05-22,38,12,0
2022-05-29,34,11,0
2022-06-05,36,10,0
2022-06-12,38,8,0
2022-06-19,40,10,0
2022-06-26,32,8,0
2022-07-03,38,20,0
2022-07-10,32,11,0
2022-07-17,39,14,0
2022-07-24,28,11,0
2022-07-31,28,14,0
2022-08-07,24,7,5
2022-08-14,27,0,0
2022-08-21,20,0,0
2022-08-28,25,9,0
2022-09-04,16,0,0
2022-09-11,12,0,0
2022-09-18,18,5,0
2022-09-25,14,5,0
2022-10-02,14,0,0
2022-10-09,14,0,0
2022-10-16,7,0,0
2022-10-23,13,7,0
2022-10-30,9,0,0
2022-11-06,11,0,0
2022-11-13,11,0,0
2022-11-20,8,0,0
2022-11-27,9,0,0
2022-12-04,11,0,0
2022-12-11,16,0,0
2022-12-18,9,0,0
2022-12-25,0,0,0
2023-01-01,7,0,0
2023-01-08,8,0,0
2023-01-15,6,0,7
2023-01-22,9,0,0
2023-01-29,11,0,0
2023-02-05,10,0,0
2023-02-12,13,0,0
2023-02-19,10,0,0
2023-02-26,12,0,0
2023-03-05,11,0,0
2023-03-12,19,7,0
2023-03-19,14,0,0
2023-03-26,31,8,0
2023-04-02,15,0,0
2023-04-09,20,5,0
2023-04-16,13,7,0
2023-04-23,10,0,0
2023-04-30,15,0,0
2023-05-07,24,12,0
2023-05-14,29,0,0
2023-05-21,22,0,0
2023-05-28,22,6,0
2023-06-04,23,0,0
2023-06-11,30,8,0
2023-06-18,25,14,0
2023-06-25,17,6,0
2023-07-02,27,0,0
2023-07-09,20,5,0
2023-07-16,20,0,0
2023-07-23,14,0,0
2023-07-30,16,0,0
2023-08-06,26,6,0
2023-08-13,20,0,0
2023-08-20,20,0,0
2023-08-27,21,7,0
2023-09-03,11,0,0
2023-09-10,17,0,0
2023-09-17,18,0,0
2023-09-24,8,6,0
2023-10-01,11,0,0
2023-10-08,10,0,0
2023-10-15,10,0,0
2023-10-22,0,0,0
2023-10-29,13,0,0
2023-11-05,10,0,0
2023-11-12,8,6,0
2023-11-19,14,0,0
2023-11-26,11,0,0
2023-12-03,0,0,0
2023-12-10,8,0,0
2023-12-17,13,9,0
2023-12-24,7,0,0
2023-12-31,11,0,0
2024-01-07,9,0,0
2024-01-14,14,0,0
2024-01-21,14,0,0
2024-01-28,25,0,0
2024-02-04,35,11,0
2024-02-11,66,14,0
2024-02-18,100,21,0
2024-02-25,83,17,0
