"ew_start","sum_of_cases"
2019-03-03,56317
2019-03-10,70254
2019-03-17,83530
2019-03-24,94361
2019-03-31,105946
2019-04-07,113876
2019-04-14,117091
2019-04-21,133161
2019-04-28,136956
2019-05-05,141897
2019-05-12,132149
2019-05-19,112382
2019-05-26,93041
2019-06-02,72283
2019-06-09,57992
2019-06-16,43876
2019-06-23,38802
2019-06-30,30071
2019-07-07,23822
2019-07-14,19640
2019-07-21,17059
2019-07-28,15277
2019-08-04,14213
2019-08-11,12520
2019-08-18,11729
2019-08-25,10705
2019-09-01,10566
2019-09-08,10952
2019-09-15,10636
2019-09-22,9369
2019-09-29,10214
2019-10-06,9648
2019-10-13,9928
2019-10-20,9468
2019-10-27,10137
2019-11-03,10645
2019-11-10,10552
2019-11-17,11844
2019-11-24,12007
2019-12-01,13488
2019-12-08,14688
2019-12-15,13930
2019-12-22,10961
2019-12-29,14880
2020-01-05,30642
2020-01-12,40088
2020-01-19,50585
2020-01-26,56645
2020-02-02,71822
2020-02-09,84189
2020-02-16,76283
2020-02-23,79002
2020-03-01,88943
2020-03-08,84163
2020-03-15,59688
2020-03-22,53239
2020-03-29,54970
2020-04-05,54864
2020-04-12,54737
2020-04-19,51300
2020-04-26,47885
2020-05-03,44996
2020-05-10,40124
2020-05-17,33405
2020-05-24,27896
2020-05-31,26101
2020-06-07,24069
2020-06-14,24640
2020-06-21,20311
2020-06-28,18872
2020-07-05,16895
2020-07-12,14082
2020-07-19,12421
2020-07-26,10349
2020-08-02,8932
2020-08-09,9150
2020-08-16,7164
2020-08-23,6869
2020-08-30,6896
2020-09-06,7055
2020-09-13,6753
2020-09-20,6780
2020-09-27,6624
2020-10-04,6111
2020-10-11,5780
2020-10-18,6030
2020-10-25,5223
2020-11-01,6376
2020-11-08,6814
2020-11-15,7665
2020-11-22,7795
2020-11-29,8635
2020-12-06,8398
2020-12-13,7821
2020-12-20,7040
2020-12-27,6018
2021-01-03,12892
2021-01-10,13487
2021-01-17,15713
2021-01-24,16482
2021-01-31,20143
2021-02-07,22137
2021-02-14,26795
2021-02-21,27877
2021-02-28,32446
2021-03-07,33129
2021-03-14,35131
2021-03-21,33500
2021-03-28,38268
2021-04-04,43759
2021-04-11,40579
2021-04-18,42152
2021-04-25,40269
2021-05-02,37276
2021-05-09,35557
2021-05-16,31306
2021-05-23,27414
2021-05-30,26442
2021-06-06,24086
2021-06-13,20010
2021-06-20,17493
2021-06-27,15245
2021-07-04,14432
2021-07-11,13437
2021-07-18,11820
2021-07-25,10094
2021-08-01,10388
2021-08-08,9738
2021-08-15,9707
2021-08-22,8285
2021-08-29,7585
2021-09-05,8102
2021-09-12,7911
2021-09-19,7805
2021-09-26,7483
2021-10-03,6203
2021-10-10,6666
2021-10-17,6873
2021-10-24,6481
2021-10-31,7468
2021-11-07,7542
2021-11-14,9115
2021-11-21,10170
2021-11-28,11997
2021-12-05,13114
2021-12-12,11946
2021-12-19,7723
2021-12-26,3162
2022-01-02,23571
2022-01-09,24182
2022-01-16,25193
2022-01-23,24189
2022-01-30,27811
2022-02-06,30384
2022-02-13,32836
2022-02-20,33441
2022-02-27,49312
2022-03-06,64158
2022-03-13,78850
2022-03-20,99982
2022-03-27,112349
2022-04-03,122182
2022-04-10,130090
2022-04-17,143225
2022-04-24,150461
2022-05-01,155883
2022-05-08,135349
2022-05-15,104715
2022-05-22,84740
2022-05-29,76457
2022-06-05,62542
2022-06-12,49524
2022-06-19,47521
2022-06-26,40023
2022-07-03,34377
2022-07-10,30708
2022-07-17,26983
2022-07-24,24060
2022-07-31,23713
2022-08-07,20534
2022-08-14,19222
2022-08-21,17247
2022-08-28,15574
2022-09-04,15217
2022-09-11,14480
2022-09-18,14011
2022-09-25,13770
2022-10-02,14064
2022-10-09,13881
2022-10-16,14848
2022-10-23,13859
2022-10-30,13230
2022-11-06,15357
2022-11-13,16713
2022-11-20,16708
2022-11-27,16309
2022-12-04,15343
2022-12-11,11888
2022-12-18,9555
2022-12-25,14603
2023-01-01,29111
2023-01-08,31373
2023-01-15,37806
2023-01-22,43451
2023-01-29,53747
2023-02-05,66173
2023-02-12,67725
2023-02-19,78297
2023-02-26,100218
2023-03-05,117483
2023-03-12,134498
2023-03-19,163223
2023-03-26,174403
2023-04-02,164669
2023-04-09,190531
2023-04-16,168668
2023-04-23,150648
2023-04-30,161342
2023-05-07,147391
2023-05-14,124363
2023-05-21,92295
2023-05-28,73553
2023-06-04,56736
2023-06-11,48630
2023-06-18,39792
2023-06-25,33954
2023-07-02,28283
2023-07-09,24567
2023-07-16,20769
2023-07-23,18614
2023-07-30,19410
2023-08-06,17976
2023-08-13,18044
2023-08-20,17386
2023-08-27,16165
2023-09-03,14992
2023-09-10,17887
2023-09-17,18996
2023-09-24,17812
2023-10-01,19299
2023-10-08,17288
2023-10-15,20933
2023-10-22,19541
2023-10-29,18599
2023-11-05,23843
2023-11-12,21267
2023-11-19,26360
2023-11-26,28039
2023-12-03,29214
2023-12-10,30980
2023-12-17,23796
2023-12-24,28540
2023-12-31,79474
2024-01-07,96122
2024-01-14,132003
2024-01-21,172090
2024-01-28,210402
2024-02-04,209843
2024-02-11,178401
2024-02-18,71129
