"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,366,366,366,366
2018-01-07,289,289,289,289
2018-01-14,309,309,309,309
2018-01-21,245,245,245,245
2018-01-28,223,223,223,223
2018-02-04,213,213,213,213
2018-02-11,247,247,247,247
2018-02-18,233,233,233,233
2018-02-25,236,236,236,236
2018-03-04,236,236,236,236
2018-03-11,209,209,209,209
2018-03-18,222,222,222,222
2018-03-25,190,190,190,190
2018-04-01,248,248,248,248
2018-04-04,254,254,254,254
2018-04-15,281,281,281,281
2018-04-22,188,188,188,188
2018-04-29,213,213,213,213
2018-05-06,219,219,219,219
2018-05-13,172,172,172,172
2018-05-20,213,213,213,213
2018-05-27,150,150,150,150
2018-06-03,121,121,121,121
2018-06-10,131,131,131,131
2018-06-17,126,126,126,126
2018-06-24,117,117,117,117
2018-07-01,106,106,106,106
2018-07-08,125,125,125,125
2018-07-15,106,106,106,106
2018-07-22,105,105,105,105
2018-07-29,92,92,92,92
2018-08-05,108,108,108,108
2018-08-12,113,113,113,113
2018-08-19,111,111,111,111
2018-08-26,102,102,102,102
2018-09-02,101,101,101,101
2018-09-09,177,177,177,177
2018-09-16,228,228,228,228
2018-09-23,219,219,219,219
2018-09-30,247,247,247,247
2018-10-07,321,321,321,321
2018-10-14,406,406,406,406
2018-10-21,437,437,437,437
2018-10-28,527,527,527,527
2018-11-04,579,579,579,579
2018-11-11,495,495,495,495
2018-11-18,515,515,515,515
2018-11-25,532,532,532,532
2018-12-02,433,433,433,433
2018-12-09,414,414,414,414
2018-12-16,445,445,445,445
2018-12-23,381,381,381,381
2018-12-30,712,712,712,712
2019-01-06,583,583,583,583
2019-01-13,522,522,522,522
2019-01-20,521,521,521,521
2019-01-27,431,431,431,431
2019-02-03,541,541,541,541
2019-02-10,535,535,535,535
2019-02-17,508,508,508,508
2019-02-24,361,361,361,361
2019-03-03,319,319,319,319
2019-03-10,359,359,359,359
2019-03-17,350,350,350,350
2019-03-24,307,307,307,307
2019-03-31,287,287,287,287
2019-04-07,217,217,217,217
2019-04-14,184,184,184,184
2019-04-21,160,160,160,160
2019-04-28,196,196,196,196
2019-05-05,152,152,152,152
2019-05-12,155,155,155,155
2019-05-19,137,137,137,137
2019-05-26,112,112,112,112
2019-06-02,93,93,93,93
2019-06-09,106,106,106,106
2019-06-16,87,87,87,87
2019-06-23,93,93,93,93
2019-06-30,74,74,74,74
2019-07-07,86,86,86,86
2019-07-14,84,84,84,84
2019-07-21,68,68,68,68
2019-07-28,102,102,102,102
2019-08-04,67,67,67,67
2019-08-11,52,52,52,52
2019-08-18,84,84,84,84
2019-08-25,91,91,91,91
2019-09-01,73,73,73,73
2019-09-08,119,119,119,119
2019-09-15,103,103,103,103
2019-09-22,79,79,79,79
2019-09-29,203,203,203,203
2019-10-06,285,285,285,285
2019-10-13,278,278,278,278
2019-10-20,352,352,352,352
2019-10-27,420,420,420,420
2019-11-03,630,630,630,630
2019-11-10,809,809,809,809
2019-11-17,919,919,919,919
2019-11-24,866,866,866,866
2019-12-01,1015,1015,1015,1015
2019-12-08,947,947,947,947
2019-12-15,787,787,787,787
2019-12-22,491,491,491,491
2019-12-29,642,642,642,642
2020-01-05,975,975,975,975
2020-01-12,939,939,939,939
2020-01-19,753,753,753,753
2020-01-26,718,718,718,718
2020-02-02,542,542,542,542
2020-02-09,546,546,546,546
2020-02-16,386,386,386,386
2020-02-23,331,331,331,331
2020-03-01,304,304,304,304
2020-03-08,267,267,267,267
2020-03-15,129,129,129,129
2020-03-22,84,84,84,84
2020-03-29,85,85,85,85
2020-04-05,92,92,92,92
2020-04-12,105,105,105,105
2020-04-19,92,92,92,92
2020-04-26,183,183,183,183
2020-05-03,224,224,224,224
2020-05-10,441,441,441,441
2020-05-17,312,312,312,312
2020-05-24,302,302,302,302
2020-05-31,257,257,257,257
2020-06-07,283,283,283,283
2020-06-14,224,224,224,224
2020-06-21,123,123,123,123
2020-06-28,129,129,129,129
2020-07-05,110,110,110,110
2020-07-12,106,106,106,106
2020-07-19,84,84,84,84
2020-07-26,92,92,92,92
2020-08-02,74,74,74,74
2020-08-09,72,72,72,72
2020-08-16,73,73,73,73
2020-08-23,50,50,50,50
2020-08-30,78,78,78,78
2020-09-06,59,59,59,59
2020-09-13,64,64,64,64
2020-09-20,70,70,70,70
2020-09-27,75,75,75,75
2020-10-04,64,64,64,64
2020-10-11,79,79,79,79
2020-10-18,115,115,115,115
2020-10-25,114,114,114,114
2020-11-01,156,156,156,156
2020-11-08,236,236,236,236
2020-11-15,348,348,348,348
2020-11-22,386,386,386,386
2020-11-29,514,514,514,514
2020-12-06,469,469,469,469
2020-12-13,575,575,575,575
2020-12-20,641,641,641,641
2020-12-27,649,649,649,649
2021-01-03,1813,1813,1813,1813
2021-01-10,1816,1816,1816,1816
2021-01-17,2209,2209,2209,2209
2021-01-24,1998,1998,1998,1998
2021-01-31,1996,1996,1996,1996
2021-02-07,1767,1767,1767,1767
2021-02-14,2060,2060,2060,2060
2021-02-21,2066,2066,2066,2066
2021-02-28,2160,2160,2160,2160
2021-03-07,1686,1686,1686,1686
2021-03-14,1200,1200,1200,1200
2021-03-21,753,753,753,753
2021-03-28,683,683,683,683
2021-04-04,566,566,566,566
2021-04-11,539,539,539,539
2021-04-18,432,432,432,432
2021-04-25,368,368,368,368
2021-05-02,269,269,269,269
2021-05-09,279,279,279,279
2021-05-16,217,217,217,217
2021-05-23,181,181,181,181
2021-05-30,163,163,163,163
2021-06-06,146,146,146,146
2021-06-13,143,143,143,143
2021-06-20,96,96,96,96
2021-06-27,116,116,116,116
2021-07-04,122,122,122,122
2021-07-11,86,86,86,86
2021-07-18,99,99,99,99
2021-07-25,74,74,74,74
2021-08-01,115,115,115,115
2021-08-08,110,110,110,110
2021-08-15,94,94,94,94
2021-08-22,67,67,67,67
2021-08-29,77,77,77,77
2021-09-05,95,95,95,95
2021-09-12,80,80,80,80
2021-09-19,100,100,100,100
2021-09-26,99,99,99,99
2021-10-03,125,125,125,125
2021-10-10,142,142,142,142
2021-10-17,180,180,180,180
2021-10-24,151,151,151,151
2021-10-31,163,163,163,163
2021-11-07,171,171,171,171
2021-11-14,194,194,194,194
2021-11-21,180,180,180,180
2021-11-28,279,279,279,279
2021-12-05,270,270,270,270
2021-12-12,270,270,270,270
2021-12-19,121,121,121,121
2021-12-26,4,4,4,4
2022-01-02,271,271,271,271
2022-01-09,283,283,283,283
2022-01-16,406,406,406,406
2022-01-23,335,335,335,335
2022-01-30,251,251,251,251
2022-02-06,254,254,254,254
2022-02-13,207,207,207,207
2022-02-20,177,177,177,177
2022-02-27,271,271,271,271
2022-03-06,214,214,214,214
2022-03-13,196,196,196,196
2022-03-20,207,207,207,207
2022-03-27,157,157,157,157
2022-04-03,167,167,167,167
2022-04-10,164,164,164,164
2022-04-17,178,178,178,178
2022-04-24,188,188,188,188
2022-05-01,200,200,200,200
2022-05-08,165,165,165,165
2022-05-15,160,160,160,160
2022-05-22,157,157,157,157
2022-05-29,146,146,146,146
2022-06-05,116,116,116,116
2022-06-12,116,116,116,116
2022-06-19,110,110,110,110
2022-06-26,119,119,119,119
2022-07-03,129,129,129,129
2022-07-10,166,166,166,166
2022-07-17,138,138,138,138
2022-07-24,127,127,127,127
2022-07-31,135,135,135,135
2022-08-07,61,61,61,61
2022-08-14,85,85,85,85
2022-08-21,63,63,63,63
2022-08-28,45,45,45,45
2022-09-04,51,51,51,51
2022-09-11,60,60,60,60
2022-09-18,75,75,75,75
2022-09-25,97,97,97,97
2022-10-02,91,91,91,91
2022-10-09,97,97,97,97
2022-10-16,119,119,119,119
2022-10-23,121,121,121,121
2022-10-30,126,126,126,126
2022-11-06,141,141,141,141
2022-11-13,166,166,166,166
2022-11-20,183,183,183,183
2022-11-27,243,243,243,243
2022-12-04,200,200,200,200
2022-12-11,200,200,200,200
2022-12-18,213,213,213,213
2022-12-25,272,272,272,272
2023-01-01,390,390,390,390
2023-01-08,329,329,329,329
2023-01-15,400,400,400,400
2023-01-22,447,447,447,447
2023-01-29,528,528,528,528
2023-02-05,549,549,549,549
2023-02-12,501,501,501,501
2023-02-19,506,506,506,506
2023-02-26,809,809,809,809
2023-03-05,762,762,762,762
2023-03-12,835,835,835,835
2023-03-19,800,800,800,800
2023-03-26,882,882,882,882
2023-04-02,774,774,774,774
2023-04-09,1117,1117,1117,1117
2023-04-16,904,904,904,904
2023-04-23,697,697,697,697
2023-04-30,684,684,684,684
2023-05-07,530,530,530,530
2023-05-14,369,369,369,369
2023-05-21,254,254,254,254
2023-05-28,227,227,227,227
2023-06-04,205,205,205,205
2023-06-11,153,153,153,153
2023-06-18,176,176,176,176
2023-06-25,146,146,146,146
2023-07-02,133,133,133,133
2023-07-09,149,149,149,149
2023-07-16,138,138,138,138
2023-07-23,93,93,93,93
2023-07-30,131,131,131,131
2023-08-06,133,133,133,133
2023-08-13,131,131,131,131
2023-08-20,131,131,131,131
2023-08-27,133,133,133,133
2023-09-03,94,94,94,94
2023-09-10,182,182,182,182
2023-09-17,178,178,178,178
2023-09-24,192,192,192,192
2023-10-01,240,240,240,240
2023-10-08,240,240,240,240
2023-10-15,359,359,359,359
2023-10-22,459,459,459,459
2023-10-29,533,533,533,533
2023-11-05,674,674,674,674
2023-11-12,745,745,745,745
2023-11-19,951,951,951,951
2023-11-26,1179,1179,1179,1179
2023-12-03,1253,1253,1253,1253
2023-12-10,1309,1309,1309,1309
2023-12-17,758,758,758,758
2023-12-24,1376,1378,1376,1423
2023-12-31,2758,2770,2758,2876
2024-01-07,2522,2562,2524,2766
2024-01-14,2294,2375,2303,2696
2024-01-21,1823,1945,1843,2364
2024-01-28,1176,1341,1202,1874
2024-02-04,801,1016.5,841,1747
2024-02-11,537,868,609,2088
2024-02-18,265,1007,412,4152
2024-02-25,9,1201.5,223,6650
