"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,231,231,231,231
2018-01-07,188,188,188,188
2018-01-14,282,282,282,282
2018-01-21,242,242,242,242
2018-01-28,213,213,213,213
2018-02-04,186,186,186,186
2018-02-11,255,255,255,255
2018-02-18,315,315,315,315
2018-02-25,387,387,387,387
2018-03-04,404,404,404,404
2018-03-11,370,370,370,370
2018-03-18,310,310,310,310
2018-03-25,320,320,320,320
2018-04-01,484,484,484,484
2018-04-04,593,593,593,593
2018-04-15,665,665,665,665
2018-04-22,596,596,596,596
2018-04-29,606,606,606,606
2018-05-06,550,550,550,550
2018-05-13,491,491,491,491
2018-05-20,385,385,385,385
2018-05-27,383,383,383,383
2018-06-03,315,315,315,315
2018-06-10,339,339,339,339
2018-06-17,213,213,213,213
2018-06-24,176,176,176,176
2018-07-01,226,226,226,226
2018-07-08,158,158,158,158
2018-07-15,187,187,187,187
2018-07-22,193,193,193,193
2018-07-29,188,188,188,188
2018-08-05,186,186,186,186
2018-08-12,187,187,187,187
2018-08-19,206,206,206,206
2018-08-26,148,148,148,148
2018-09-02,158,158,158,158
2018-09-09,149,149,149,149
2018-09-16,127,127,127,127
2018-09-23,167,167,167,167
2018-09-30,174,174,174,174
2018-10-07,173,173,173,173
2018-10-14,190,190,190,190
2018-10-21,197,197,197,197
2018-10-28,188,188,188,188
2018-11-04,189,189,189,189
2018-11-11,185,185,185,185
2018-11-18,196,196,196,196
2018-11-25,178,178,178,178
2018-12-02,179,179,179,179
2018-12-09,242,242,242,242
2018-12-16,198,198,198,198
2018-12-23,204,204,204,204
2018-12-30,537,537,537,537
2019-01-06,627,627,627,627
2019-01-13,727,727,727,727
2019-01-20,953,953,953,953
2019-01-27,1109,1109,1109,1109
2019-02-03,1311,1311,1311,1311
2019-02-10,1679,1679,1679,1679
2019-02-17,1550,1550,1550,1550
2019-02-24,1437,1437,1437,1437
2019-03-03,1488,1488,1488,1488
2019-03-10,1583,1583,1583,1583
2019-03-17,2009,2009,2009,2009
2019-03-24,2092,2092,2092,2092
2019-03-31,2305,2305,2305,2305
2019-04-07,2106,2106,2106,2106
2019-04-14,2405,2405,2405,2405
2019-04-21,2837,2837,2837,2837
2019-04-28,3623,3623,3623,3623
2019-05-05,3981,3981,3981,3981
2019-05-12,4318,4318,4318,4318
2019-05-19,4284,4284,4284,4284
2019-05-26,4191,4191,4191,4191
2019-06-02,3662,3662,3662,3662
2019-06-09,3005,3005,3005,3005
2019-06-16,2246,2246,2246,2246
2019-06-23,2086,2086,2086,2086
2019-06-30,2333,2333,2333,2333
2019-07-07,2316,2316,2316,2316
2019-07-14,1978,1978,1978,1978
2019-07-21,1688,1688,1688,1688
2019-07-28,1592,1592,1592,1592
2019-08-04,1507,1507,1507,1507
2019-08-11,1268,1268,1268,1268
2019-08-18,1138,1138,1138,1138
2019-08-25,1082,1082,1082,1082
2019-09-01,1102,1102,1102,1102
2019-09-08,977,977,977,977
2019-09-15,947,947,947,947
2019-09-22,790,790,790,790
2019-09-29,721,721,721,721
2019-10-06,719,719,719,719
2019-10-13,745,745,745,745
2019-10-20,697,697,697,697
2019-10-27,655,655,655,655
2019-11-03,677,677,677,677
2019-11-10,630,630,630,630
2019-11-17,610,610,610,610
2019-11-24,549,549,549,549
2019-12-01,539,539,539,539
2019-12-08,478,478,478,478
2019-12-15,398,398,398,398
2019-12-22,489,489,489,489
2019-12-29,361,361,361,361
2020-01-05,762,762,762,762
2020-01-12,824,824,824,824
2020-01-19,1020,1020,1020,1020
2020-01-26,1277,1277,1277,1277
2020-02-02,1529,1529,1529,1529
2020-02-09,1838,1838,1838,1838
2020-02-16,1987,1987,1987,1987
2020-02-23,2664,2664,2664,2664
2020-03-01,3439,3439,3439,3439
2020-03-08,3467,3467,3467,3467
2020-03-15,2483,2483,2483,2483
2020-03-22,2358,2358,2358,2358
2020-03-29,3248,3248,3248,3248
2020-04-05,4439,4439,4439,4439
2020-04-12,5756,5756,5756,5756
2020-04-19,5734,5734,5734,5734
2020-04-26,5703,5703,5703,5703
2020-05-03,6366,6366,6366,6366
2020-05-10,6173,6173,6173,6173
2020-05-17,5558,5558,5558,5558
2020-05-24,5554,5554,5554,5554
2020-05-31,5123,5123,5123,5123
2020-06-07,4347,4347,4347,4347
2020-06-14,3934,3934,3934,3934
2020-06-21,2879,2879,2879,2879
2020-06-28,2924,2924,2924,2924
2020-07-05,2404,2404,2404,2404
2020-07-12,1948,1948,1948,1948
2020-07-19,1463,1463,1463,1463
2020-07-26,1052,1052,1052,1052
2020-08-02,845,845,845,845
2020-08-09,790,790,790,790
2020-08-16,618,618,618,618
2020-08-23,563,563,563,563
2020-08-30,490,490,490,490
2020-09-06,427,427,427,427
2020-09-13,413,413,413,413
2020-09-20,345,345,345,345
2020-09-27,350,350,350,350
2020-10-04,327,327,327,327
2020-10-11,289,289,289,289
2020-10-18,313,313,313,313
