"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,101,101,101,101
2018-01-07,82,82,82,82
2018-01-14,88,88,88,88
2018-01-21,59,59,59,59
2018-01-28,76,76,76,76
2018-02-04,83,83,83,83
2018-02-11,77,77,77,77
2018-02-18,65,65,65,65
2018-02-25,88,88,88,88
2018-03-04,105,105,105,105
2018-03-11,133,133,133,133
2018-03-18,103,103,103,103
2018-03-25,111,111,111,111
2018-04-01,150,150,150,150
2018-04-04,151,151,151,151
2018-04-15,148,148,148,148
2018-04-22,132,132,132,132
2018-04-29,99,99,99,99
2018-05-06,135,135,135,135
2018-05-13,103,103,103,103
2018-05-20,63,63,63,63
2018-05-27,76,76,76,76
2018-06-03,62,62,62,62
2018-06-10,70,70,70,70
2018-06-17,73,73,73,73
2018-06-24,73,73,73,73
2018-07-01,41,41,41,41
2018-07-08,52,52,52,52
2018-07-15,47,47,47,47
2018-07-22,37,37,37,37
2018-07-29,30,30,30,30
2018-08-05,27,27,27,27
2018-08-12,46,46,46,46
2018-08-19,38,38,38,38
2018-08-26,44,44,44,44
2018-09-02,52,52,52,52
2018-09-09,44,44,44,44
2018-09-16,48,48,48,48
2018-09-23,48,48,48,48
2018-09-30,45,45,45,45
2018-10-07,70,70,70,70
2018-10-14,57,57,57,57
2018-10-21,69,69,69,69
2018-10-28,74,74,74,74
2018-11-04,57,57,57,57
2018-11-11,64,64,64,64
2018-11-18,97,97,97,97
2018-11-25,100,100,100,100
2018-12-02,108,108,108,108
2018-12-09,117,117,117,117
2018-12-16,147,147,147,147
2018-12-23,130,130,130,130
2018-12-30,230,230,230,230
2019-01-06,169,169,169,169
2019-01-13,201,201,201,201
2019-01-20,285,285,285,285
2019-01-27,470,470,470,470
2019-02-03,573,573,573,573
2019-02-10,593,593,593,593
2019-02-17,779,779,779,779
2019-02-24,841,841,841,841
2019-03-03,890,890,890,890
2019-03-10,1168,1168,1168,1168
2019-03-17,1637,1637,1637,1637
2019-03-24,1703,1703,1703,1703
2019-03-31,1776,1776,1776,1776
2019-04-07,1787,1787,1787,1787
2019-04-14,1696,1696,1696,1696
2019-04-21,2246,2246,2246,2246
2019-04-28,2286,2286,2286,2286
2019-05-05,2313,2313,2313,2313
2019-05-12,2951,2951,2951,2951
2019-05-19,3445,3445,3445,3445
2019-05-26,3883,3883,3883,3883
2019-06-02,3349,3349,3349,3349
2019-06-09,2577,2577,2577,2577
2019-06-16,1602,1602,1602,1602
2019-06-23,1104,1104,1104,1104
2019-06-30,787,787,787,787
2019-07-07,400,400,400,400
2019-07-14,322,322,322,322
2019-07-21,247,247,247,247
2019-07-28,249,249,249,249
2019-08-04,183,183,183,183
2019-08-11,179,179,179,179
2019-08-18,150,150,150,150
2019-08-25,116,116,116,116
