"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,351,351,351,351
2018-01-07,206,206,206,206
2018-01-14,226,226,226,226
2018-01-21,193,193,193,193
2018-01-28,171,171,171,171
2018-02-04,178,178,178,178
2018-02-11,244,244,244,244
2018-02-18,229,229,229,229
2018-02-25,293,293,293,293
2018-03-04,319,319,319,319
2018-03-11,348,348,348,348
2018-03-18,426,426,426,426
2018-03-25,356,356,356,356
2018-04-01,470,470,470,470
2018-04-04,515,515,515,515
2018-04-15,539,539,539,539
2018-04-22,506,506,506,506
2018-04-29,545,545,545,545
2018-05-06,586,586,586,586
2018-05-13,509,509,509,509
2018-05-20,561,561,561,561
2018-05-27,392,392,392,392
2018-06-03,483,483,483,483
2018-06-10,463,463,463,463
2018-06-17,420,420,420,420
2018-06-24,500,500,500,500
2018-07-01,464,464,464,464
2018-07-08,436,436,436,436
2018-07-15,360,360,360,360
2018-07-22,316,316,316,316
2018-07-29,306,306,306,306
2018-08-05,316,316,316,316
2018-08-12,307,307,307,307
2018-08-19,283,283,283,283
2018-08-26,217,217,217,217
2018-09-02,175,175,175,175
2018-09-09,204,204,204,204
2018-09-16,220,220,220,220
2018-09-23,200,200,200,200
2018-09-30,195,195,195,195
2018-10-07,209,209,209,209
2018-10-14,195,195,195,195
2018-10-21,184,184,184,184
2018-10-28,187,187,187,187
2018-11-04,214,214,214,214
2018-11-11,223,223,223,223
2018-11-18,271,271,271,271
2018-11-25,378,378,378,378
2018-12-02,376,376,376,376
2018-12-09,483,483,483,483
2018-12-16,443,443,443,443
2018-12-23,516,516,516,516
2018-12-30,877,877,877,877
2019-01-06,893,893,893,893
2019-01-13,970,970,970,970
2019-01-20,1151,1151,1151,1151
2019-01-27,1233,1233,1233,1233
2019-02-03,1235,1235,1235,1235
2019-02-10,1390,1390,1390,1390
2019-02-17,1301,1301,1301,1301
2019-02-24,1230,1230,1230,1230
2019-03-03,1562,1562,1562,1562
2019-03-10,1880,1880,1880,1880
2019-03-17,2295,2295,2295,2295
2019-03-24,2613,2613,2613,2613
2019-03-31,2616,2616,2616,2616
2019-04-07,2443,2443,2443,2443
2019-04-14,2516,2516,2516,2516
2019-04-21,2934,2934,2934,2934
2019-04-28,3193,3193,3193,3193
2019-05-05,3761,3761,3761,3761
2019-05-12,3498,3498,3498,3498
2019-05-19,3624,3624,3624,3624
2019-05-26,4606,4606,4606,4606
2019-06-02,4028,4028,4028,4028
2019-06-09,3236,3236,3236,3236
2019-06-16,2916,2916,2916,2916
2019-06-23,3078,3078,3078,3078
2019-06-30,2887,2887,2887,2887
2019-07-07,2138,2138,2138,2138
2019-07-14,1568,1568,1568,1568
2019-07-21,1308,1308,1308,1308
2019-07-28,1173,1173,1173,1173
2019-08-04,1005,1005,1005,1005
2019-08-11,781,781,781,781
2019-08-18,704,704,704,704
2019-08-25,573,573,573,573
2019-09-01,512,512,512,512
2019-09-08,637,637,637,637
2019-09-15,540,540,540,540
2019-09-22,380,380,380,380
2019-09-29,412,412,412,412
2019-10-06,421,421,421,421
2019-10-13,373,373,373,373
2019-10-20,385,385,385,385
2019-10-27,396,396,396,396
2019-11-03,486,486,486,486
2019-11-10,391,391,391,391
2019-11-17,369,369,369,369
2019-11-24,493,493,493,493
2019-12-01,563,563,563,563
2019-12-08,709,709,709,709
2019-12-15,734,734,734,734
2019-12-22,604,604,604,604
2019-12-29,679,679,679,679
2020-01-05,1327,1327,1327,1327
2020-01-12,1745,1745,1745,1745
2020-01-19,1983,1983,1983,1983
2020-01-26,1941,1941,1941,1941
2020-02-02,2276,2276,2276,2276
2020-02-09,2512,2512,2512,2512
2020-02-16,2396,2396,2396,2396
2020-02-23,2267,2267,2267,2267
2020-03-01,2497,2497,2497,2497
2020-03-08,2631,2631,2631,2631
2020-03-15,1759,1759,1759,1759
2020-03-22,2013,2013,2013,2013
2020-03-29,2073,2073,2073,2073
2020-04-05,1926,1926,1926,1926
2020-04-12,1788,1788,1788,1788
2020-04-19,1556,1556,1556,1556
2020-04-26,1442,1442,1442,1442
2020-05-03,1217,1217,1217,1217
2020-05-10,1064,1064,1064,1064
2020-05-17,953,953,953,953
2020-05-24,769,769,769,769
2020-05-31,723,723,723,723
2020-06-07,605,605,605,605
2020-06-14,495,495,495,495
2020-06-21,388,388,388,388
2020-06-28,370,370,370,370
2020-07-05,335,335,335,335
2020-07-12,259,259,259,259
2020-07-19,253,253,253,253
2020-07-26,262,262,262,262
2020-08-02,253,253,253,253
2020-08-09,296,296,296,296
2020-08-16,231,231,231,231
2020-08-23,230,230,230,230
2020-08-30,180,180,180,180
2020-09-06,210,210,210,210
2020-09-13,175,175,175,175
2020-09-20,225,225,225,225
2020-09-27,193,193,193,193
2020-10-04,160,160,160,160
2020-10-11,122,122,122,122
2020-10-18,117,117,117,117
2020-10-25,130,130,130,130
2020-11-01,123,123,123,123
2020-11-08,158,158,158,158
2020-11-15,194,194,194,194
2020-11-22,164,164,164,164
2020-11-29,237,237,237,237
2020-12-06,239,239,239,239
2020-12-13,183,183,183,183
2020-12-20,157,157,157,157
2020-12-27,131,131,131,131
2021-01-03,0,0,0,0
2021-01-10,0,0,0,0
2021-01-17,0,0,0,0
2021-01-24,0,0,0,0
2021-01-31,0,0,0,0
2021-02-07,0,0,0,0
2021-02-14,0,0,0,0
2021-02-21,0,0,0,0
2021-02-28,0,0,0,0
2021-03-07,0,0,0,0
2021-03-14,0,0,0,0
2021-03-21,0,0,0,0
2021-03-28,0,0,0,0
2021-04-04,0,0,0,0
