"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,363,363,363,363
2018-01-07,374,374,374,374
2018-01-14,328,328,328,328
2018-01-21,420,420,420,420
2018-01-28,471,471,471,471
2018-02-04,446,446,446,446
2018-02-11,370,370,370,370
2018-02-18,360,360,360,360
2018-02-25,432,432,432,432
2018-03-04,374,374,374,374
2018-03-11,388,388,388,388
2018-03-18,387,387,387,387
2018-03-25,249,249,249,249
2018-04-01,340,340,340,340
2018-04-04,383,383,383,383
2018-04-15,327,327,327,327
2018-04-22,264,264,264,264
2018-04-29,307,307,307,307
2018-05-06,278,278,278,278
2018-05-13,212,212,212,212
2018-05-20,170,170,170,170
2018-05-27,164,164,164,164
2018-06-03,135,135,135,135
2018-06-10,134,134,134,134
2018-06-17,113,113,113,113
2018-06-24,85,85,85,85
2018-07-01,105,105,105,105
2018-07-08,78,78,78,78
2018-07-15,68,68,68,68
2018-07-22,55,55,55,55
2018-07-29,60,60,60,60
2018-08-05,54,54,54,54
2018-08-12,53,53,53,53
2018-08-19,60,60,60,60
2018-08-26,53,53,53,53
2018-09-02,45,45,45,45
2018-09-09,67,67,67,67
2018-09-16,35,35,35,35
2018-09-23,39,39,39,39
2018-09-30,42,42,42,42
2018-10-07,46,46,46,46
2018-10-14,70,70,70,70
2018-10-21,59,59,59,59
2018-10-28,90,90,90,90
2018-11-04,114,114,114,114
2018-11-11,85,85,85,85
2018-11-18,121,121,121,121
2018-11-25,144,144,144,144
2018-12-02,193,193,193,193
2018-12-09,216,216,216,216
2018-12-16,138,138,138,138
2018-12-23,162,162,162,162
2018-12-30,340,340,340,340
2019-01-06,268,268,268,268
2019-01-13,257,257,257,257
2019-01-20,329,329,329,329
2019-01-27,341,341,341,341
2019-02-03,324,324,324,324
2019-02-10,352,352,352,352
2019-02-17,374,374,374,374
2019-02-24,332,332,332,332
2019-03-03,334,334,334,334
2019-03-10,449,449,449,449
2019-03-17,457,457,457,457
2019-03-24,485,485,485,485
2019-03-31,583,583,583,583
2019-04-07,532,532,532,532
2019-04-14,569,569,569,569
2019-04-21,670,670,670,670
2019-04-28,659,659,659,659
2019-05-05,719,719,719,719
2019-05-12,800,800,800,800
2019-05-19,776,776,776,776
2019-05-26,635,635,635,635
2019-06-02,566,566,566,566
2019-06-09,500,500,500,500
2019-06-16,381,381,381,381
2019-06-23,344,344,344,344
2019-06-30,284,284,284,284
2019-07-07,235,235,235,235
2019-07-14,203,203,203,203
2019-07-21,172,172,172,172
2019-07-28,181,181,181,181
2019-08-04,130,130,130,130
2019-08-11,163,163,163,163
2019-08-18,160,160,160,160
2019-08-25,125,125,125,125
2019-09-01,126,126,126,126
2019-09-08,114,114,114,114
2019-09-15,134,134,134,134
2019-09-22,106,106,106,106
2019-09-29,124,124,124,124
2019-10-06,123,123,123,123
2019-10-13,132,132,132,132
2019-10-20,144,144,144,144
2019-10-27,160,160,160,160
2019-11-03,165,165,165,165
2019-11-10,214,214,214,214
2019-11-17,312,312,312,312
2019-11-24,311,311,311,311
2019-12-01,422,422,422,422
2019-12-08,570,570,570,570
2019-12-15,460,460,460,460
2019-12-22,415,415,415,415
2019-12-29,653,653,653,653
2020-01-05,1425,1425,1425,1425
2020-01-12,1773,1773,1773,1773
2020-01-19,2173,2173,2173,2173
2020-01-26,2628,2628,2628,2628
2020-02-02,2695,2695,2695,2695
2020-02-09,2454,2454,2454,2454
2020-02-16,2182,2182,2182,2182
2020-02-23,2032,2032,2032,2032
2020-03-01,2300,2300,2300,2300
2020-03-08,2250,2250,2250,2250
2020-03-15,1730,1730,1730,1730
2020-03-22,1307,1307,1307,1307
2020-03-29,1343,1343,1343,1343
2020-04-05,1306,1306,1306,1306
2020-04-12,1451,1451,1451,1451
2020-04-19,1389,1389,1389,1389
2020-04-26,1436,1436,1436,1436
2020-05-03,1339,1339,1339,1339
2020-05-10,1436,1436,1436,1436
2020-05-17,1364,1364,1364,1364
2020-05-24,1152,1152,1152,1152
2020-05-31,1106,1106,1106,1106
2020-06-07,1022,1022,1022,1022
2020-06-14,957,957,957,957
2020-06-21,700,700,700,700
2020-06-28,586,586,586,586
2020-07-05,504,504,504,504
2020-07-12,395,395,395,395
2020-07-19,395,395,395,395
2020-07-26,284,284,284,284
2020-08-02,238,238,238,238
2020-08-09,243,243,243,243
2020-08-16,167,167,167,167
2020-08-23,139,139,139,139
2020-08-30,165,165,165,165
2020-09-06,141,141,141,141
2020-09-13,135,135,135,135
2020-09-20,137,137,137,137
2020-09-27,99,99,99,99
2020-10-04,114,114,114,114
2020-10-11,89,89,89,89
2020-10-18,102,102,102,102
2020-10-25,89,89,89,89
2020-11-01,134,134,134,134
2020-11-08,127,127,127,127
2020-11-15,143,143,143,143
2020-11-22,145,145,145,145
2020-11-29,215,215,215,215
2020-12-06,220,220,220,220
2020-12-13,185,185,185,185
2020-12-20,187,187,187,187
2020-12-27,166,166,166,166
2021-01-03,511,511,511,511
2021-01-10,529,529,529,529
2021-01-17,618,618,618,618
2021-01-24,690,690,690,690
2021-01-31,784,784,784,784
2021-02-07,724,724,724,724
2021-02-14,1014,1014,1014,1014
2021-02-21,888,888,888,888
2021-02-28,950,950,950,950
2021-03-07,856,856,856,856
2021-03-14,870,870,870,870
2021-03-21,843,843,843,843
2021-03-28,825,825,825,825
2021-04-04,947,947,947,947
2021-04-11,1009,1009,1009,1009
2021-04-18,967,967,967,967
2021-04-25,987,987,987,987
2021-05-02,964,964,964,964
2021-05-09,955,955,955,955
2021-05-16,873,873,873,873
2021-05-23,897,897,897,897
2021-05-30,868,868,868,868
2021-06-06,881,881,881,881
2021-06-13,738,738,738,738
2021-06-20,718,718,718,718
2021-06-27,572,572,572,572
2021-07-04,516,516,516,516
2021-07-11,419,419,419,419
2021-07-18,412,412,412,412
2021-07-25,323,323,323,323
2021-08-01,266,266,266,266
2021-08-08,226,226,226,226
2021-08-15,254,254,254,254
2021-08-22,242,242,242,242
2021-08-29,162,162,162,162
2021-09-05,164,164,164,164
2021-09-12,204,204,204,204
2021-09-19,218,218,218,218
2021-09-26,236,236,236,236
2021-10-03,209,209,209,209
2021-10-10,257,257,257,257
2021-10-17,259,259,259,259
2021-10-24,344,344,344,344
2021-10-31,383,383,383,383
2021-11-07,427,427,427,427
2021-11-14,596,596,596,596
2021-11-21,698,698,698,698
2021-11-28,930,930,930,930
2021-12-05,1103,1103,1103,1103
2021-12-12,950,950,950,950
2021-12-19,641,641,641,641
2021-12-26,139,139,139,139
2022-01-02,1687,1687,1687,1687
2022-01-09,1725,1725,1725,1725
2022-01-16,1748,1748,1748,1748
2022-01-23,1723,1723,1723,1723
2022-01-30,1884,1884,1884,1884
2022-02-06,1729,1729,1729,1729
2022-02-13,1567,1567,1567,1567
2022-02-20,1369,1369,1369,1369
2022-02-27,1715,1715,1715,1715
2022-03-06,1776,1776,1776,1776
2022-03-13,2009,2009,2009,2009
2022-03-20,2338,2338,2338,2338
2022-03-27,2466,2466,2466,2466
2022-04-03,2519,2519,2519,2519
2022-04-10,2502,2502,2502,2502
2022-04-17,2723,2723,2723,2723
2022-04-24,2665,2665,2665,2665
2022-05-01,2356,2356,2356,2356
2022-05-08,2108,2108,2108,2108
2022-05-15,1786,1786,1786,1786
2022-05-22,1493,1493,1493,1493
2022-05-29,1367,1367,1367,1367
2022-06-05,1177,1177,1177,1177
2022-06-12,889,889,889,889
2022-06-19,920,920,920,920
2022-06-26,787,787,787,787
2022-07-03,650,650,650,650
2022-07-10,591,591,591,591
2022-07-17,474,474,474,474
2022-07-24,392,392,392,392
2022-07-31,340,340,340,340
2022-08-07,307,307,307,307
2022-08-14,316,316,316,316
2022-08-21,335,335,335,335
2022-08-28,274,274,274,274
2022-09-04,224,224,224,224
2022-09-11,258,258,258,258
2022-09-18,204,204,204,204
2022-09-25,228,228,228,228
2022-10-02,241,241,241,241
2022-10-09,268,268,268,268
2022-10-16,384,384,384,384
2022-10-23,317,317,317,317
2022-10-30,344,344,344,344
2022-11-06,455,455,455,455
2022-11-13,470,470,470,470
2022-11-20,433,433,433,433
2022-11-27,452,452,452,452
2022-12-04,372,372,372,372
2022-12-11,120,120,120,120
2022-12-18,15,15,15,15
2022-12-25,202,202,202,202
2023-01-01,726,726,726,726
2023-01-08,770,770,770,770
2023-01-15,945,945,945,945
2023-01-22,919,919,919,919
2023-01-29,1144,1144,1144,1144
2023-02-05,1492,1492,1492,1492
2023-02-12,1430,1430,1430,1430
2023-02-19,1333,1333,1333,1333
2023-02-26,1609,1609,1609,1609
2023-03-05,1645,1645,1645,1645
2023-03-12,1685,1685,1685,1685
2023-03-19,2139,2139,2139,2139
2023-03-26,2282,2282,2282,2282
2023-04-02,2162,2162,2162,2162
2023-04-09,2612,2612,2612,2612
2023-04-16,2284,2284,2284,2284
2023-04-23,1940,1940,1940,1940
2023-04-30,2249,2249,2249,2249
2023-05-07,1874,1874,1874,1874
2023-05-14,1670,1670,1670,1670
2023-05-21,1362,1362,1362,1362
2023-05-28,1106,1106,1106,1106
2023-06-04,926,926,926,926
2023-06-11,742,742,742,742
2023-06-18,706,706,706,706
2023-06-25,645,645,645,645
2023-07-02,544,544,544,544
2023-07-09,454,454,454,454
2023-07-16,431,431,431,431
2023-07-23,383,383,383,383
2023-07-30,426,426,426,426
2023-08-06,350,350,350,350
2023-08-13,330,330,330,330
2023-08-20,293,293,293,293
2023-08-27,277,277,277,277
2023-09-03,221,221,221,221
2023-09-10,286,286,286,286
2023-09-17,301,301,301,301
2023-09-24,248,248,248,248
2023-10-01,273,273,273,273
2023-10-08,286,286,286,286
2023-10-15,338,338,338,338
2023-10-22,331,331,331,331
2023-10-29,288,288,288,288
2023-11-05,364,364,364,364
2023-11-12,308,308,308,308
2023-11-19,393,393,393,393
2023-11-26,368,368,368,368
2023-12-03,376,376,376,376
2023-12-10,277,277,277,277
2023-12-17,127,127,127,127
2023-12-24,220,220,220,241
2023-12-31,790,790,790,834
2024-01-07,857,862,857,938
2024-01-14,1167,1186,1167,1347
2024-01-21,1334,1383,1335,1664
2024-01-28,1707,1820.5,1714,2335
2024-02-04,1885,2127,1909,3251
2024-02-11,1738,2248,1793,4771
2024-02-18,1251,2466.5,1402,9959
2024-02-25,357,3001,759,20568
