"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,151,151,151,151
2018-01-07,171,171,171,171
2018-01-14,226,226,226,226
2018-01-21,222,222,222,222
2018-01-28,279,279,279,279
2018-02-04,281,281,281,281
2018-02-11,348,348,348,348
2018-02-18,445,445,445,445
2018-02-25,470,470,470,470
2018-03-04,532,532,532,532
2018-03-11,487,487,487,487
2018-03-18,409,409,409,409
2018-03-25,292,292,292,292
2018-04-01,432,432,432,432
2018-04-04,407,407,407,407
2018-04-15,377,377,377,377
2018-04-22,271,271,271,271
2018-04-29,332,332,332,332
2018-05-06,275,275,275,275
2018-05-13,279,279,279,279
2018-05-20,228,228,228,228
2018-05-27,205,205,205,205
2018-06-03,216,216,216,216
2018-06-10,187,187,187,187
2018-06-17,132,132,132,132
2018-06-24,115,115,115,115
2018-07-01,99,99,99,99
2018-07-08,98,98,98,98
2018-07-15,74,74,74,74
2018-07-22,100,100,100,100
2018-07-29,127,127,127,127
2018-08-05,148,148,148,148
2018-08-12,135,135,135,135
2018-08-19,141,141,141,141
2018-08-26,109,109,109,109
2018-09-02,74,74,74,74
2018-09-09,73,73,73,73
2018-09-16,65,65,65,65
2018-09-23,49,49,49,49
2018-09-30,60,60,60,60
2018-10-07,44,44,44,44
2018-10-14,48,48,48,48
2018-10-21,32,32,32,32
2018-10-28,41,41,41,41
2018-11-04,60,60,60,60
2018-11-11,77,77,77,77
2018-11-18,97,97,97,97
2018-11-25,99,99,99,99
2018-12-02,83,83,83,83
2018-12-09,157,157,157,157
2018-12-16,78,78,78,78
2018-12-23,85,85,85,85
2018-12-30,195,195,195,195
2019-01-06,185,185,185,185
2019-01-13,246,246,246,246
2019-01-20,251,251,251,251
2019-01-27,287,287,287,287
2019-02-03,303,303,303,303
2019-02-10,378,378,378,378
2019-02-17,328,328,328,328
2019-02-24,238,238,238,238
2019-03-03,294,294,294,294
2019-03-10,361,361,361,361
2019-03-17,313,313,313,313
2019-03-24,290,290,290,290
2019-03-31,315,315,315,315
2019-04-07,291,291,291,291
2019-04-14,277,277,277,277
2019-04-21,233,233,233,233
2019-04-28,288,288,288,288
2019-05-05,228,228,228,228
2019-05-12,237,237,237,237
2019-05-19,211,211,211,211
2019-05-26,196,196,196,196
2019-06-02,137,137,137,137
2019-06-09,143,143,143,143
2019-06-16,97,97,97,97
2019-06-23,101,101,101,101
2019-06-30,98,98,98,98
2019-07-07,78,78,78,78
2019-07-14,89,89,89,89
2019-07-21,79,79,79,79
2019-07-28,89,89,89,89
2019-08-04,88,88,88,88
2019-08-11,76,76,76,76
2019-08-18,92,92,92,92
2019-08-25,106,106,106,106
2019-09-01,88,88,88,88
2019-09-08,126,126,126,126
2019-09-15,155,155,155,155
2019-09-22,133,133,133,133
2019-09-29,110,110,110,110
2019-10-06,124,124,124,124
2019-10-13,101,101,101,101
2019-10-20,82,82,82,82
2019-10-27,99,99,99,99
2019-11-03,109,109,109,109
2019-11-10,116,116,116,116
2019-11-17,124,124,124,124
2019-11-24,97,97,97,97
2019-12-01,111,111,111,111
2019-12-08,105,105,105,105
2019-12-15,63,63,63,63
2019-12-22,73,73,73,73
