"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,57,57,57,57
2018-01-07,45,45,45,45
2018-01-14,81,81,81,81
2018-01-21,70,70,70,70
2018-01-28,62,62,62,62
2018-02-04,54,54,54,54
2018-02-11,69,69,69,69
2018-02-18,59,59,59,59
2018-02-25,77,77,77,77
2018-03-04,83,83,83,83
2018-03-11,120,120,120,120
2018-03-18,73,73,73,73
2018-03-25,69,69,69,69
2018-04-01,61,61,61,61
2018-04-04,74,74,74,74
2018-04-15,79,79,79,79
2018-04-22,88,88,88,88
2018-04-29,124,124,124,124
2018-05-06,125,125,125,125
2018-05-13,101,101,101,101
2018-05-20,73,73,73,73
2018-05-27,128,128,128,128
2018-06-03,77,77,77,77
2018-06-10,78,78,78,78
2018-06-17,64,64,64,64
2018-06-24,45,45,45,45
2018-07-01,65,65,65,65
2018-07-08,54,54,54,54
2018-07-15,47,47,47,47
2018-07-22,50,50,50,50
2018-07-29,47,47,47,47
2018-08-05,37,37,37,37
2018-08-12,41,41,41,41
2018-08-19,45,45,45,45
2018-08-26,24,24,24,24
2018-09-02,29,29,29,29
2018-09-09,25,25,25,25
2018-09-16,31,31,31,31
2018-09-23,19,19,19,19
2018-09-30,17,17,17,17
2018-10-07,8,8,8,8
2018-10-14,23,23,23,23
2018-10-21,21,21,21,21
2018-10-28,17,17,17,17
2018-11-04,14,14,14,14
2018-11-11,17,17,17,17
2018-11-18,19,19,19,19
2018-11-25,16,16,16,16
2018-12-02,22,22,22,22
2018-12-09,30,30,30,30
2018-12-16,35,35,35,35
2018-12-23,20,20,20,20
2018-12-30,39,39,39,39
2019-01-06,45,45,45,45
2019-01-13,56,56,56,56
2019-01-20,76,76,76,76
2019-01-27,57,57,57,57
2019-02-03,84,84,84,84
2019-02-10,82,82,82,82
2019-02-17,115,115,115,115
2019-02-24,75,75,75,75
2019-03-03,133,133,133,133
2019-03-10,172,172,172,172
2019-03-17,247,247,247,247
2019-03-24,313,313,313,313
2019-03-31,369,369,369,369
2019-04-07,363,363,363,363
2019-04-14,371,371,371,371
2019-04-21,543,543,543,543
2019-04-28,621,621,621,621
2019-05-05,631,631,631,631
2019-05-12,637,637,637,637
2019-05-19,591,591,591,591
2019-05-26,513,513,513,513
2019-06-02,543,543,543,543
2019-06-09,405,405,405,405
2019-06-16,343,343,343,343
2019-06-23,315,315,315,315
2019-06-30,323,323,323,323
2019-07-07,247,247,247,247
2019-07-14,235,235,235,235
2019-07-21,197,197,197,197
2019-07-28,141,141,141,141
2019-08-04,110,110,110,110
2019-08-11,75,75,75,75
2019-08-18,65,65,65,65
2019-08-25,75,75,75,75
2019-09-01,44,44,44,44
2019-09-08,48,48,48,48
2019-09-15,33,33,33,33
2019-09-22,30,30,30,30
2019-09-29,29,29,29,29
