"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,37,37,37,37
2018-01-07,45,45,45,45
2018-01-14,54,54,54,54
2018-01-21,31,31,31,31
2018-01-28,30,30,30,30
2018-02-04,25,25,25,25
2018-02-11,33,33,33,33
2018-02-18,29,29,29,29
2018-02-25,27,27,27,27
2018-03-04,25,25,25,25
2018-03-11,26,26,26,26
2018-03-18,16,16,16,16
2018-03-25,18,18,18,18
2018-04-01,16,16,16,16
2018-04-04,23,23,23,23
2018-04-15,19,19,19,19
2018-04-22,30,30,30,30
2018-04-29,23,23,23,23
2018-05-06,17,17,17,17
2018-05-13,7,7,7,7
2018-05-20,11,11,11,11
2018-05-27,10,10,10,10
2018-06-03,12,12,12,12
2018-06-10,7,7,7,7
2018-06-17,6,6,6,6
2018-06-24,5,5,5,5
2018-07-01,5,5,5,5
2018-07-08,6,6,6,6
2018-07-15,10,10,10,10
2018-07-22,6,6,6,6
2018-07-29,12,12,12,12
2018-08-05,6,6,6,6
2018-08-12,7,7,7,7
2018-08-19,5,5,5,5
2018-08-26,4,4,4,4
2018-09-02,3,3,3,3
2018-09-09,6,6,6,6
2018-09-16,3,3,3,3
2018-09-23,7,7,7,7
2018-09-30,9,9,9,9
2018-10-07,10,10,10,10
2018-10-14,9,9,9,9
2018-10-21,12,12,12,12
2018-10-28,14,14,14,14
2018-11-04,9,9,9,9
2018-11-11,11,11,11,11
2018-11-18,4,4,4,4
2018-11-25,12,12,12,12
2018-12-02,14,14,14,14
2018-12-09,8,8,8,8
2018-12-16,9,9,9,9
2018-12-23,10,10,10,10
2018-12-30,40,40,40,40
2019-01-06,34,34,34,34
2019-01-13,31,31,31,31
2019-01-20,23,23,23,23
2019-01-27,19,19,19,19
2019-02-03,30,30,30,30
2019-02-10,46,46,46,46
2019-02-17,33,33,33,33
2019-02-24,36,36,36,36
2019-03-03,54,54,54,54
2019-03-10,61,61,61,61
2019-03-17,82,82,82,82
2019-03-24,108,108,108,108
2019-03-31,137,137,137,137
2019-04-07,167,167,167,167
2019-04-14,194,194,194,194
2019-04-21,317,317,317,317
2019-04-28,339,339,339,339
2019-05-05,280,280,280,280
2019-05-12,376,376,376,376
2019-05-19,291,291,291,291
2019-05-26,203,203,203,203
2019-06-02,155,155,155,155
2019-06-09,180,180,180,180
2019-06-16,125,125,125,125
2019-06-23,97,97,97,97
2019-06-30,55,55,55,55
2019-07-07,37,37,37,37
2019-07-14,37,37,37,37
2019-07-21,38,38,38,38
2019-07-28,46,46,46,46
2019-08-04,29,29,29,29
2019-08-11,21,21,21,21
2019-08-18,23,23,23,23
2019-08-25,28,28,28,28
2019-09-01,23,23,23,23
2019-09-08,17,17,17,17
2019-09-15,17,17,17,17
2019-09-22,28,28,28,28
2019-09-29,22,22,22,22
2019-10-06,23,23,23,23
2019-10-13,20,20,20,20
2019-10-20,20,20,20,20
2019-10-27,19,19,19,19
2019-11-03,29,29,29,29
2019-11-10,26,26,26,26
2019-11-17,38,38,38,38
2019-11-24,30,30,30,30
2019-12-01,28,28,28,28
2019-12-08,28,28,28,28
2019-12-15,28,28,28,28
2019-12-22,16,16,16,16
2019-12-29,26,26,26,26
2020-01-05,58,58,58,58
2020-01-12,48,48,48,48
2020-01-19,29,29,29,29
2020-01-26,51,51,51,51
2020-02-02,60,60,60,60
2020-02-09,94,94,94,94
2020-02-16,168,168,168,168
2020-02-23,235,235,235,235
2020-03-01,287,287,287,287
2020-03-08,310,310,310,310
2020-03-15,244,244,244,244
2020-03-22,395,395,395,395
2020-03-29,628,628,628,628
2020-04-05,659,659,659,659
2020-04-12,452,452,452,452
2020-04-19,465,465,465,465
2020-04-26,372,372,372,372
2020-05-03,336,336,336,336
2020-05-10,275,275,275,275
2020-05-17,235,235,235,235
2020-05-24,122,122,122,122
2020-05-31,77,77,77,77
2020-06-07,82,82,82,82
2020-06-14,84,84,84,84
2020-06-21,53,53,53,53
2020-06-28,32,32,32,32
2020-07-05,32,32,32,32
2020-07-12,30,30,30,30
2020-07-19,37,37,37,37
2020-07-26,30,30,30,30
2020-08-02,20,20,20,20
2020-08-09,21,21,21,21
2020-08-16,16,16,16,16
2020-08-23,11,11,11,11
2020-08-30,9,9,9,9
2020-09-06,20,20,20,20
2020-09-13,20,20,20,20
2020-09-20,28,28,28,28
2020-09-27,26,26,26,26
2020-10-04,19,19,19,19
2020-10-11,36,36,36,36
2020-10-18,39,39,39,39
2020-10-25,20,20,20,20
2020-11-01,39,39,39,39
2020-11-08,34,34,34,34
2020-11-15,32,32,32,32
2020-11-22,24,24,24,24
2020-11-29,27,27,27,27
2020-12-06,26,26,26,26
2020-12-13,30,30,30,30
2020-12-20,19,19,19,19
2020-12-27,19,19,19,19
2021-01-03,32,32,32,32
2021-01-10,44,44,44,44
2021-01-17,74,74,74,74
2021-01-24,81,81,81,81
2021-01-31,113,113,113,113
2021-02-07,180,180,180,180
2021-02-14,241,241,241,241
2021-02-21,317,317,317,317
2021-02-28,467,467,467,467
2021-03-07,492,492,492,492
2021-03-14,564,564,564,564
2021-03-21,769,769,769,769
2021-03-28,1115,1115,1115,1115
2021-04-04,1479,1479,1479,1479
2021-04-11,1565,1565,1565,1565
2021-04-18,1745,1745,1745,1745
2021-04-25,1959,1959,1959,1959
2021-05-02,1253,1253,1253,1253
2021-05-09,896,896,896,896
2021-05-16,545,545,545,545
2021-05-23,270,270,270,270
2021-05-30,228,228,228,228
2021-06-06,138,138,138,138
2021-06-13,104,104,104,104
2021-06-20,101,101,101,101
2021-06-27,49,49,49,49
2021-07-04,66,66,66,66
2021-07-11,55,55,55,55
2021-07-18,39,39,39,39
2021-07-25,26,26,26,26
2021-08-01,36,36,36,36
2021-08-08,36,36,36,36
2021-08-15,31,31,31,31
2021-08-22,32,32,32,32
2021-08-29,33,33,33,33
2021-09-05,21,21,21,21
2021-09-12,18,18,18,18
2021-09-19,30,30,30,30
2021-09-26,48,48,48,48
