"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,62,62,62,62
2018-01-07,53,53,53,53
2018-01-14,78,78,78,78
2018-01-21,74,74,74,74
2018-01-28,88,88,88,88
2018-02-04,49,49,49,49
2018-02-11,45,45,45,45
2018-02-18,50,50,50,50
2018-02-25,48,48,48,48
2018-03-04,37,37,37,37
2018-03-11,38,38,38,38
2018-03-18,37,37,37,37
2018-03-25,38,38,38,38
2018-04-01,54,54,54,54
2018-04-04,69,69,69,69
2018-04-15,56,56,56,56
2018-04-22,63,63,63,63
2018-04-29,67,67,67,67
2018-05-06,47,47,47,47
2018-05-13,45,45,45,45
2018-05-20,39,39,39,39
2018-05-27,16,16,16,16
2018-06-03,24,24,24,24
2018-06-10,19,19,19,19
2018-06-17,18,18,18,18
2018-06-24,25,25,25,25
2018-07-01,11,11,11,11
2018-07-08,12,12,12,12
2018-07-15,21,21,21,21
2018-07-22,9,9,9,9
2018-07-29,16,16,16,16
2018-08-05,13,13,13,13
2018-08-12,13,13,13,13
2018-08-19,12,12,12,12
2018-08-26,14,14,14,14
2018-09-02,12,12,12,12
2018-09-09,16,16,16,16
2018-09-16,15,15,15,15
2018-09-23,23,23,23,23
2018-09-30,15,15,15,15
2018-10-07,15,15,15,15
2018-10-14,18,18,18,18
2018-10-21,29,29,29,29
2018-10-28,26,26,26,26
2018-11-04,44,44,44,44
2018-11-11,39,39,39,39
2018-11-18,42,42,42,42
2018-11-25,38,38,38,38
2018-12-02,33,33,33,33
2018-12-09,54,54,54,54
2018-12-16,35,35,35,35
2018-12-23,37,37,37,37
2018-12-30,63,63,63,63
2019-01-06,54,54,54,54
2019-01-13,55,55,55,55
2019-01-20,69,69,69,69
2019-01-27,74,74,74,74
2019-02-03,105,105,105,105
2019-02-10,106,106,106,106
2019-02-17,105,105,105,105
2019-02-24,127,127,127,127
2019-03-03,133,133,133,133
2019-03-10,194,194,194,194
2019-03-17,252,252,252,252
2019-03-24,313,313,313,313
2019-03-31,332,332,332,332
2019-04-07,327,327,327,327
2019-04-14,373,373,373,373
2019-04-21,378,378,378,378
2019-04-28,400,400,400,400
2019-05-05,425,425,425,425
2019-05-12,402,402,402,402
2019-05-19,411,411,411,411
2019-05-26,357,357,357,357
2019-06-02,284,284,284,284
2019-06-09,304,304,304,304
2019-06-16,185,185,185,185
2019-06-23,173,173,173,173
2019-06-30,85,85,85,85
2019-07-07,83,83,83,83
2019-07-14,76,76,76,76
2019-07-21,59,59,59,59
2019-07-28,59,59,59,59
2019-08-04,61,61,61,61
2019-08-11,53,53,53,53
2019-08-18,49,49,49,49
2019-08-25,39,39,39,39
2019-09-01,45,45,45,45
2019-09-08,59,59,59,59
2019-09-15,51,51,51,51
2019-09-22,50,50,50,50
2019-09-29,48,48,48,48
2019-10-06,57,57,57,57
2019-10-13,57,57,57,57
2019-10-20,51,51,51,51
2019-10-27,57,57,57,57
2019-11-03,50,50,50,50
2019-11-10,74,74,74,74
2019-11-17,59,59,59,59
2019-11-24,53,53,53,53
2019-12-01,64,64,64,64
2019-12-08,52,52,52,52
2019-12-15,59,59,59,59
2019-12-22,40,40,40,40
2019-12-29,54,54,54,54
2020-01-05,85,85,85,85
2020-01-12,105,105,105,105
2020-01-19,96,96,96,96
2020-01-26,102,102,102,102
2020-02-02,144,144,144,144
2020-02-09,230,230,230,230
2020-02-16,270,270,270,270
2020-02-23,285,285,285,285
2020-03-01,487,487,487,487
2020-03-08,547,547,547,547
2020-03-15,499,499,499,499
2020-03-22,682,682,682,682
2020-03-29,841,841,841,841
2020-04-05,1170,1170,1170,1170
2020-04-12,1388,1388,1388,1388
2020-04-19,1568,1568,1568,1568
2020-04-26,1608,1608,1608,1608
2020-05-03,1756,1756,1756,1756
2020-05-10,1530,1530,1530,1530
2020-05-17,1451,1451,1451,1451
2020-05-24,1150,1150,1150,1150
2020-05-31,888,888,888,888
2020-06-07,803,803,803,803
2020-06-14,943,943,943,943
2020-06-21,741,741,741,741
2020-06-28,456,456,456,456
2020-07-05,428,428,428,428
2020-07-12,335,335,335,335
2020-07-19,291,291,291,291
2020-07-26,153,153,153,153
2020-08-02,124,124,124,124
2020-08-09,124,124,124,124
2020-08-16,86,86,86,86
2020-08-23,98,98,98,98
2020-08-30,82,82,82,82
2020-09-06,92,92,92,92
2020-09-13,78,78,78,78
2020-09-20,77,77,77,77
2020-09-27,73,73,73,73
2020-10-04,59,59,59,59
2020-10-11,96,96,96,96
2020-10-18,90,90,90,90
2020-10-25,82,82,82,82
2020-11-01,101,101,101,101
2020-11-08,99,99,99,99
2020-11-15,129,129,129,129
2020-11-22,132,132,132,132
2020-11-29,144,144,144,144
2020-12-06,108,108,108,108
2020-12-13,86,86,86,86
2020-12-20,64,64,64,64
2020-12-27,66,66,66,66
2021-01-03,137,137,137,137
2021-01-10,164,164,164,164
2021-01-17,162,162,162,162
2021-01-24,176,176,176,176
2021-01-31,230,230,230,230
2021-02-07,244,244,244,244
2021-02-14,280,280,280,280
2021-02-21,319,319,319,319
2021-02-28,411,411,411,411
2021-03-07,600,600,600,600
2021-03-14,888,888,888,888
2021-03-21,1190,1190,1190,1190
2021-03-28,1668,1668,1668,1668
2021-04-04,1953,1953,1953,1953
2021-04-11,2035,2035,2035,2035
2021-04-18,2950,2950,2950,2950
2021-04-25,2762,2762,2762,2762
2021-05-02,2718,2718,2718,2718
2021-05-09,2410,2410,2410,2410
2021-05-16,1950,1950,1950,1950
2021-05-23,1881,1881,1881,1881
2021-05-30,1309,1309,1309,1309
2021-06-06,1143,1143,1143,1143
2021-06-13,813,813,813,813
2021-06-20,608,608,608,608
2021-06-27,451,451,451,451
2021-07-04,438,438,438,438
2021-07-11,329,329,329,329
2021-07-18,315,315,315,315
2021-07-25,239,239,239,239
2021-08-01,245,245,245,245
2021-08-08,218,218,218,218
2021-08-15,214,214,214,214
2021-08-22,193,193,193,193
2021-08-29,187,187,187,187
2021-09-05,160,160,160,160
2021-09-12,137,137,137,137
2021-09-19,170,170,170,170
2021-09-26,139,139,139,139
2021-10-03,107,107,107,107
2021-10-10,138,138,138,138
2021-10-17,135,135,135,135
2021-10-24,152,152,152,152
2021-10-31,166,166,166,166
2021-11-07,143,143,143,143
2021-11-14,166,166,166,166
2021-11-21,198,198,198,198
2021-11-28,199,199,199,199
2021-12-05,240,240,240,240
2021-12-12,225,225,225,225
2021-12-19,138,138,138,138
2021-12-26,117,117,117,117
2022-01-02,301,301,301,301
2022-01-09,289,289,289,289
2022-01-16,237,237,237,237
2022-01-23,205,205,205,205
2022-01-30,222,222,222,222
2022-02-06,410,410,410,410
2022-02-13,632,632,632,632
2022-02-20,896,896,896,896
2022-02-27,2317,2317,2317,2317
2022-03-06,4157,4157,4157,4157
2022-03-13,5407,5407,5407,5407
2022-03-20,7941,7941,7941,7941
2022-03-27,9092,9092,9092,9092
2022-04-03,9912,9912,9912,9912
2022-04-10,10587,10587,10587,10587
2022-04-17,11860,11860,11860,11860
2022-04-24,10844,10844,10844,10844
2022-05-01,11451,11451,11451,11451
2022-05-08,9972,9972,9972,9972
2022-05-15,8605,8605,8605,8605
2022-05-22,6663,6663,6663,6663
2022-05-29,4821,4821,4821,4821
2022-06-05,3389,3389,3389,3389
2022-06-12,2495,2495,2495,2495
2022-06-19,2407,2407,2407,2407
2022-06-26,1781,1781,1781,1781
2022-07-03,1551,1551,1551,1551
2022-07-10,1234,1234,1234,1234
2022-07-17,971,971,971,971
2022-07-24,726,726,726,726
2022-07-31,653,653,653,653
2022-08-07,483,483,483,483
2022-08-14,460,460,460,460
2022-08-21,441,441,441,441
2022-08-28,367,367,367,367
2022-09-04,387,387,387,387
2022-09-11,373,373,373,373
2022-09-18,326,326,326,326
2022-09-25,326,326,326,326
2022-10-02,263,263,263,263
2022-10-09,290,290,290,290
2022-10-16,515,515,515,515
2022-10-23,404,404,404,404
2022-10-30,351,351,351,351
2022-11-06,425,425,425,425
2022-11-13,481,481,481,481
2022-11-20,446,446,446,446
2022-11-27,441,441,441,441
2022-12-04,552,552,552,552
2022-12-11,429,429,429,429
2022-12-18,352,352,352,352
2022-12-25,441,441,441,441
2023-01-01,517,517,517,517
2023-01-08,517,517,517,517
2023-01-15,511,511,511,511
2023-01-22,649,649,649,649
2023-01-29,890,890,890,890
2023-02-05,1153,1153,1153,1153
2023-02-12,1267,1267,1267,1267
2023-02-19,1686,1686,1686,1686
2023-02-26,3150,3150,3150,3150
2023-03-05,4907,4907,4907,4907
2023-03-12,8013,8013,8013,8013
2023-03-19,11939,11939,11939,11939
2023-03-26,15406,15406,15406,15406
2023-04-02,16840,16840,16840,16840
