"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,366,366,366,366
2018-01-07,201802,289,289,289,289
2018-01-14,201803,309,309,309,309
2018-01-21,201804,245,245,245,245
2018-01-28,201805,223,223,223,223
2018-02-04,201806,213,213,213,213
2018-02-11,201807,247,247,247,247
2018-02-18,201808,233,233,233,233
2018-02-25,201809,236,236,236,236
2018-03-04,201810,236,236,236,236
2018-03-11,201811,209,209,209,209
2018-03-18,201812,222,222,222,222
2018-03-25,201813,190,190,190,190
2018-04-01,201814,248,248,248,248
2018-04-04,201815,254,254,254,254
2018-04-15,201816,281,281,281,281
2018-04-22,201817,188,188,188,188
2018-04-29,201818,213,213,213,213
2018-05-06,201819,219,219,219,219
2018-05-13,201820,172,172,172,172
2018-05-20,201821,213,213,213,213
2018-05-27,201822,150,150,150,150
2018-06-03,201823,121,121,121,121
2018-06-10,201824,131,131,131,131
2018-06-17,201825,126,126,126,126
2018-06-24,201826,117,117,117,117
2018-07-01,201827,106,106,106,106
2018-07-08,201828,125,125,125,125
2018-07-15,201829,106,106,106,106
2018-07-22,201830,105,105,105,105
2018-07-29,201831,92,92,92,92
2018-08-05,201832,108,108,108,108
2018-08-12,201833,113,113,113,113
2018-08-19,201834,111,111,111,111
2018-08-26,201835,102,102,102,102
2018-09-02,201836,101,101,101,101
2018-09-09,201837,177,177,177,177
2018-09-16,201838,228,228,228,228
2018-09-23,201839,219,219,219,219
2018-09-30,201840,247,247,247,247
2018-10-07,201841,321,321,321,321
2018-10-14,201842,406,406,406,406
2018-10-21,201843,437,437,437,437
2018-10-28,201844,527,527,527,527
2018-11-04,201845,579,579,579,579
2018-11-11,201846,495,495,495,495
2018-11-18,201847,515,515,515,515
2018-11-25,201848,532,532,532,532
2018-12-02,201849,433,433,433,433
2018-12-09,201850,414,414,414,414
2018-12-16,201851,445,445,445,445
2018-12-23,201852,381,381,381,381
2018-12-30,201901,712,712,712,712
2019-01-06,201902,583,583,583,583
2019-01-13,201903,522,522,522,522
2019-01-20,201904,521,521,521,521
2019-01-27,201905,431,431,431,431
2019-02-03,201906,541,541,541,541
2019-02-10,201907,535,535,535,535
2019-02-17,201908,508,508,508,508
2019-02-24,201909,361,361,361,361
2019-03-03,201910,319,319,319,319
2019-03-10,201911,359,359,359,359
2019-03-17,201912,350,350,350,350
2019-03-24,201913,307,307,307,307
2019-03-31,201914,287,287,287,287
2019-04-07,201915,217,217,217,217
2019-04-14,201916,184,184,184,184
2019-04-21,201917,160,160,160,160
2019-04-28,201918,196,196,196,196
2019-05-05,201919,152,152,152,152
2019-05-12,201920,155,155,155,155
2019-05-19,201921,137,137,137,137
2019-05-26,201922,112,112,112,112
2019-06-02,201923,93,93,93,93
2019-06-09,201924,106,106,106,106
2019-06-16,201925,87,87,87,87
2019-06-23,201926,93,93,93,93
2019-06-30,201927,74,74,74,74
2019-07-07,201928,86,86,86,86
2019-07-14,201929,84,84,84,84
2019-07-21,201930,68,68,68,68
2019-07-28,201931,102,102,102,102
2019-08-04,201932,67,67,67,67
2019-08-11,201933,52,52,52,52
2019-08-18,201934,84,84,84,84
2019-08-25,201935,91,91,91,91
2019-09-01,201936,73,73,73,73
2019-09-08,201937,119,119,119,119
2019-09-15,201938,103,103,103,103
2019-09-22,201939,79,79,79,79
2019-09-29,201940,203,203,203,203
2019-10-06,201941,285,285,285,285
2019-10-13,201942,278,278,278,278
2019-10-20,201943,352,352,352,352
2019-10-27,201944,420,420,420,420
2019-11-03,201945,630,630,630,630
2019-11-10,201946,809,809,809,809
2019-11-17,201947,919,919,919,919
2019-11-24,201948,866,866,866,866
2019-12-01,201949,1015,1015,1015,1015
2019-12-08,201950,947,947,947,947
2019-12-15,201951,787,787,787,787
2019-12-22,201952,491,491,491,491
2019-12-29,202001,642,642,642,642
2020-01-05,202002,975,975,975,975
2020-01-12,202003,939,939,939,939
2020-01-19,202004,753,753,753,753
2020-01-26,202005,718,718,718,718
2020-02-02,202006,542,542,542,542
2020-02-09,202007,546,546,546,546
2020-02-16,202008,386,386,386,386
2020-02-23,202009,331,331,331,331
2020-03-01,202010,304,304,304,304
2020-03-08,202011,267,267,267,267
2020-03-15,202012,129,129,129,129
2020-03-22,202013,84,84,84,84
2020-03-29,202014,85,85,85,85
2020-04-05,202015,92,92,92,92
2020-04-12,202016,105,105,105,105
2020-04-19,202017,92,92,92,92
2020-04-26,202018,183,183,183,183
2020-05-03,202019,224,224,224,224
2020-05-10,202020,441,441,441,441
2020-05-17,202021,312,312,312,312
2020-05-24,202022,302,302,302,302
2020-05-31,202023,257,257,257,257
