"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,8,8,8,8
2018-01-07,201802,9,9,9,9
2018-01-14,201803,18,18,18,18
2018-01-21,201804,14,14,14,14
2018-01-28,201805,8,8,8,8
2018-02-04,201806,5,5,5,5
2018-02-11,201807,22,22,22,22
2018-02-18,201808,18,18,18,18
2018-02-25,201809,12,12,12,12
2018-03-04,201810,11,11,11,11
2018-03-11,201811,10,10,10,10
2018-03-18,201812,6,6,6,6
2018-03-25,201813,6,6,6,6
2018-04-01,201814,5,5,5,5
2018-04-04,201815,6,6,6,6
2018-04-15,201816,9,9,9,9
2018-04-22,201817,6,6,6,6
2018-04-29,201818,8,8,8,8
2018-05-06,201819,7,7,7,7
2018-05-13,201820,4,4,4,4
2018-05-20,201821,8,8,8,8
2018-05-27,201822,8,8,8,8
2018-06-03,201823,4,4,4,4
2018-06-10,201824,8,8,8,8
2018-06-17,201825,13,13,13,13
2018-06-24,201826,13,13,13,13
2018-07-01,201827,10,10,10,10
2018-07-08,201828,10,10,10,10
2018-07-15,201829,10,10,10,10
2018-07-22,201830,12,12,12,12
2018-07-29,201831,8,8,8,8
2018-08-05,201832,17,17,17,17
2018-08-12,201833,13,13,13,13
2018-08-19,201834,11,11,11,11
2018-08-26,201835,9,9,9,9
2018-09-02,201836,18,18,18,18
2018-09-09,201837,11,11,11,11
2018-09-16,201838,16,16,16,16
2018-09-23,201839,17,17,17,17
2018-09-30,201840,24,24,24,24
2018-10-07,201841,24,24,24,24
2018-10-14,201842,22,22,22,22
2018-10-21,201843,26,26,26,26
2018-10-28,201844,31,31,31,31
2018-11-04,201845,20,20,20,20
2018-11-11,201846,21,21,21,21
2018-11-18,201847,13,13,13,13
2018-11-25,201848,14,14,14,14
2018-12-02,201849,6,6,6,6
2018-12-09,201850,11,11,11,11
2018-12-16,201851,9,9,9,9
2018-12-23,201852,2,2,2,2
2018-12-30,201901,10,10,10,10
2019-01-06,201902,23,23,23,23
2019-01-13,201903,18,18,18,18
2019-01-20,201904,9,9,9,9
2019-01-27,201905,7,7,7,7
2019-02-03,201906,7,7,7,7
2019-02-10,201907,11,11,11,11
2019-02-17,201908,7,7,7,7
2019-02-24,201909,2,2,2,2
2019-03-03,201910,5,5,5,5
2019-03-10,201911,3,3,3,3
2019-03-17,201912,2,2,2,2
2019-03-24,201913,2,2,2,2
2019-03-31,201914,1,1,1,1
2019-04-07,201915,0,0,0,0
2019-04-14,201916,1,1,1,1
2019-04-21,201917,0,0,0,0
2019-04-28,201918,0,0,0,0
2019-05-05,201919,0,0,0,0
2019-05-12,201920,1,1,1,1
2019-05-19,201921,1,1,1,1
2019-05-26,201922,2,2,2,2
2019-06-02,201923,3,3,3,3
2019-06-09,201924,4,4,4,4
2019-06-16,201925,1,1,1,1
2019-06-23,201926,1,1,1,1
2019-06-30,201927,0,0,0,0
2019-07-07,201928,2,2,2,2
2019-07-14,201929,1,1,1,1
2019-07-21,201930,0,0,0,0
2019-07-28,201931,0,0,0,0
2019-08-04,201932,0,0,0,0
2019-08-11,201933,0,0,0,0
2019-08-18,201934,1,1,1,1
2019-08-25,201935,1,1,1,1
2019-09-01,201936,0,0,0,0
2019-09-08,201937,1,1,1,1
2019-09-15,201938,1,1,1,1
2019-09-22,201939,1,1,1,1
2019-09-29,201940,1,1,1,1
2019-10-06,201941,2,2,2,2
2019-10-13,201942,0,0,0,0
2019-10-20,201943,0,0,0,0
2019-10-27,201944,1,1,1,1
2019-11-03,201945,5,5,5,5
2019-11-10,201946,1,1,1,1
2019-11-17,201947,0,0,0,0
2019-11-24,201948,3,3,3,3
2019-12-01,201949,3,3,3,3
2019-12-08,201950,3,3,3,3
2019-12-15,201951,2,2,2,2
2019-12-22,201952,4,4,4,4
2019-12-29,202001,4,4,4,4
2020-01-05,202002,6,6,6,6
2020-01-12,202003,4,4,4,4
2020-01-19,202004,11,11,11,11
2020-01-26,202005,6,6,6,6
2020-02-02,202006,5,5,5,5
2020-02-09,202007,12,12,12,12
2020-02-16,202008,5,5,5,5
2020-02-23,202009,2,2,2,2
2020-03-01,202010,6,6,6,6
2020-03-08,202011,3,3,3,3
2020-03-15,202012,1,1,1,1
2020-03-22,202013,1,1,1,1
2020-03-29,202014,1,1,1,1
2020-04-05,202015,3,3,3,3
2020-04-12,202016,2,2,2,2
2020-04-19,202017,1,1,1,1
2020-04-26,202018,3,3,3,3
2020-05-03,202019,7,7,7,7
2020-05-10,202020,14,14,14,14
2020-05-17,202021,12,12,12,12
2020-05-24,202022,15,15,15,15
2020-05-31,202023,6,6,6,6
2020-06-07,202024,15,15,15,15
2020-06-14,202025,10,10,10,10
2020-06-21,202026,4,4,4,4
2020-06-28,202027,8,8,8,8
2020-07-05,202028,10,10,10,10
2020-07-12,202029,7,7,7,7
2020-07-19,202030,7,7,7,7
2020-07-26,202031,4,4,4,4
2020-08-02,202032,5,5,5,5
2020-08-09,202033,1,1,1,1
2020-08-16,202034,2,2,2,2
2020-08-23,202035,1,1,1,1
2020-08-30,202036,4,4,4,4
2020-09-06,202037,3,3,3,3
2020-09-13,202038,2,2,2,2
2020-09-20,202039,5,5,5,5
2020-09-27,202040,1,1,1,1
2020-10-04,202041,2,2,2,2
2020-10-11,202042,4,4,4,4
2020-10-18,202043,9,9,9,9
2020-10-25,202044,3,3,3,3
2020-11-01,202045,3,3,3,3
2020-11-08,202046,1,1,1,1
2020-11-15,202047,9,9,9,9
2020-11-22,202048,4,4,4,4
2020-11-29,202049,3,3,3,3
2020-12-06,202050,3,3,3,3
2020-12-13,202051,8,8,8,8
2020-12-20,202052,12,12,12,12
2020-12-27,202053,8,8,8,8
2021-01-03,202101,14,14,14,14
2021-01-10,202102,54,54,54,54
2021-01-17,202103,38,38,38,38
2021-01-24,202104,16,16,16,16
2021-01-31,202105,11,11,11,11
2021-02-07,202106,22,22,22,22
2021-02-14,202107,23,23,23,23
2021-02-21,202108,23,23,23,23
2021-02-28,202109,30,30,30,30
2021-03-07,202110,31,31,31,31
2021-03-14,202111,34,34,34,34
2021-03-21,202112,12,12,12,12
2021-03-28,202113,19,19,19,19
2021-04-04,202114,5,5,5,5
2021-04-11,202115,4,4,4,4
2021-04-18,202116,4,4,4,4
2021-04-25,202117,13,13,13,13
2021-05-02,202118,11,11,11,11
2021-05-09,202119,18,18,18,18
2021-05-16,202120,16,16,16,16
2021-05-23,202121,4,4,4,4
2021-05-30,202122,10,10,10,10
2021-06-06,202123,12,12,12,12
2021-06-13,202124,11,11,11,11
2021-06-20,202125,6,6,6,6
2021-06-27,202126,11,11,11,11
2021-07-04,202127,6,6,6,6
2021-07-11,202128,4,4,4,4
2021-07-18,202129,5,5,5,5
2021-07-25,202130,6,6,6,6
2021-08-01,202131,7,7,7,7
2021-08-08,202132,7,7,7,7
2021-08-15,202133,7,7,7,7
2021-08-22,202134,2,2,2,2
2021-08-29,202135,10,10,10,10
2021-09-05,202136,6,6,6,6
2021-09-12,202137,3,3,3,3
2021-09-19,202138,6,6,6,6
2021-09-26,202139,4,4,4,4
2021-10-03,202140,11,11,11,11
2021-10-10,202141,7,7,7,7
2021-10-17,202142,5,5,5,5
2021-10-24,202143,6,6,6,6
2021-10-31,202144,3,3,3,3
2021-11-07,202145,2,2,2,2
2021-11-14,202146,6,6,6,6
2021-11-21,202147,6,6,6,6
2021-11-28,202148,7,7,7,7
2021-12-05,202149,4,4,4,4
2021-12-12,202150,5,5,5,5
2021-12-19,202151,1,1,1,1
2021-12-26,202152,0,0,0,0
2022-01-02,202201,9,9,9,9
2022-01-09,202202,16,16,16,16
2022-01-16,202203,12,12,12,12
2022-01-23,202204,8,8,8,8
2022-01-30,202205,6,6,6,6
2022-02-06,202206,4,4,4,4
2022-02-13,202207,5,5,5,5
2022-02-20,202208,7,7,7,7
2022-02-27,202209,5,5,5,5
2022-03-06,202210,1,1,1,1
2022-03-13,202211,6,6,6,6
2022-03-20,202212,5,5,5,5
2022-03-27,202213,4,4,4,4
2022-04-03,202214,0,0,0,0
2022-04-10,202215,4,4,4,4
2022-04-17,202216,4,4,4,4
