"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,12,12,12,12
2018-01-07,201802,10,10,10,10
2018-01-14,201803,4,4,4,4
2018-01-21,201804,7,7,7,7
2018-01-28,201805,10,10,10,10
2018-02-04,201806,3,3,3,3
2018-02-11,201807,4,4,4,4
2018-02-18,201808,3,3,3,3
2018-02-25,201809,10,10,10,10
2018-03-04,201810,4,4,4,4
2018-03-11,201811,6,6,6,6
2018-03-18,201812,3,3,3,3
2018-03-25,201813,6,6,6,6
2018-04-01,201814,7,7,7,7
2018-04-04,201815,11,11,11,11
2018-04-15,201816,9,9,9,9
2018-04-22,201817,4,4,4,4
2018-04-29,201818,3,3,3,3
2018-05-06,201819,5,5,5,5
2018-05-13,201820,2,2,2,2
2018-05-20,201821,5,5,5,5
2018-05-27,201822,6,6,6,6
2018-06-03,201823,8,8,8,8
2018-06-10,201824,21,21,21,21
2018-06-17,201825,7,7,7,7
2018-06-24,201826,7,7,7,7
2018-07-01,201827,10,10,10,10
2018-07-08,201828,17,17,17,17
2018-07-15,201829,18,18,18,18
2018-07-22,201830,13,13,13,13
2018-07-29,201831,13,13,13,13
2018-08-05,201832,9,9,9,9
2018-08-12,201833,14,14,14,14
2018-08-19,201834,12,12,12,12
2018-08-26,201835,15,15,15,15
2018-09-02,201836,5,5,5,5
2018-09-09,201837,6,6,6,6
2018-09-16,201838,5,5,5,5
2018-09-23,201839,5,5,5,5
2018-09-30,201840,3,3,3,3
2018-10-07,201841,9,9,9,9
2018-10-14,201842,10,10,10,10
2018-10-21,201843,9,9,9,9
2018-10-28,201844,7,7,7,7
2018-11-04,201845,8,8,8,8
2018-11-11,201846,13,13,13,13
2018-11-18,201847,10,10,10,10
2018-11-25,201848,13,13,13,13
2018-12-02,201849,3,3,3,3
2018-12-09,201850,5,5,5,5
2018-12-16,201851,6,6,6,6
2018-12-23,201852,6,6,6,6
2018-12-30,201901,4,4,4,4
2019-01-06,201902,2,2,2,2
2019-01-13,201903,8,8,8,8
2019-01-20,201904,11,11,11,11
2019-01-27,201905,5,5,5,5
2019-02-03,201906,9,9,9,9
2019-02-10,201907,10,10,10,10
