"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,1745,1745,1745,1745
2018-01-07,201802,1948,1948,1948,1948
2018-01-14,201803,2554,2554,2554,2554
2018-01-21,201804,2704,2704,2704,2704
2018-01-28,201805,2801,2801,2801,2801
2018-02-04,201806,2539,2539,2539,2539
2018-02-11,201807,2362,2362,2362,2362
2018-02-18,201808,3074,3074,3074,3074
2018-02-25,201809,3513,3513,3513,3513
2018-03-04,201810,3933,3933,3933,3933
2018-03-11,201811,4329,4329,4329,4329
2018-03-18,201812,4203,4203,4203,4203
2018-03-25,201813,4051,4051,4051,4051
2018-04-01,201814,5047,5047,5047,5047
2018-04-04,201815,4968,4968,4968,4968
2018-04-15,201816,4646,4646,4646,4646
2018-04-22,201817,3942,3942,3942,3942
2018-04-29,201818,4785,4785,4785,4785
2018-05-06,201819,4244,4244,4244,4244
2018-05-13,201820,3794,3794,3794,3794
2018-05-20,201821,3017,3017,3017,3017
2018-05-27,201822,2520,2520,2520,2520
2018-06-03,201823,2665,2665,2665,2665
2018-06-10,201824,2633,2633,2633,2633
2018-06-17,201825,2132,2132,2132,2132
2018-06-24,201826,2160,2160,2160,2160
2018-07-01,201827,2201,2201,2201,2201
2018-07-08,201828,2113,2113,2113,2113
2018-07-15,201829,2054,2054,2054,2054
2018-07-22,201830,1728,1728,1728,1728
2018-07-29,201831,1736,1736,1736,1736
2018-08-05,201832,1516,1516,1516,1516
2018-08-12,201833,1501,1501,1501,1501
2018-08-19,201834,1409,1409,1409,1409
2018-08-26,201835,1182,1182,1182,1182
2018-09-02,201836,997,997,997,997
2018-09-09,201837,1055,1055,1055,1055
2018-09-16,201838,998,998,998,998
2018-09-23,201839,1079,1079,1079,1079
2018-09-30,201840,982,982,982,982
2018-10-07,201841,969,969,969,969
2018-10-14,201842,993,993,993,993
2018-10-21,201843,899,899,899,899
2018-10-28,201844,966,966,966,966
2018-11-04,201845,897,897,897,897
2018-11-11,201846,900,900,900,900
2018-11-18,201847,933,933,933,933
2018-11-25,201848,1042,1042,1042,1042
2018-12-02,201849,1050,1050,1050,1050
2018-12-09,201850,1158,1158,1158,1158
2018-12-16,201851,819,819,819,819
2018-12-23,201852,467,467,467,467
2018-12-30,201901,1969,1969,1969,1969
2019-01-06,201902,1934,1934,1934,1934
2019-01-13,201903,1930,1930,1930,1930
2019-01-20,201904,2093,2093,2093,2093
2019-01-27,201905,2064,2064,2064,2064
2019-02-03,201906,2346,2346,2346,2346
2019-02-10,201907,2426,2426,2426,2426
2019-02-17,201908,2395,2395,2395,2395
2019-02-24,201909,2144,2144,2144,2144
2019-03-03,201910,2563,2563,2563,2563
2019-03-10,201911,3538,3538,3538,3538
2019-03-17,201912,4150,4150,4150,4150
2019-03-24,201913,4771,4771,4771,4771
2019-03-31,201914,6526,6526,6526,6526
2019-04-07,201915,6811,6811,6811,6811
2019-04-14,201916,7403,7403,7403,7403
2019-04-21,201917,7817,7817,7817,7817
2019-04-28,201918,9398,9398,9398,9398
2019-05-05,201919,9929,9929,9929,9929
2019-05-12,201920,9095,9095,9095,9095
2019-05-19,201921,8482,8482,8482,8482
2019-05-26,201922,7730,7730,7730,7730
2019-06-02,201923,6609,6609,6609,6609
2019-06-09,201924,5867,5867,5867,5867
2019-06-16,201925,5124,5124,5124,5124
2019-06-23,201926,4914,4914,4914,4914
2019-06-30,201927,5472,5472,5472,5472
2019-07-07,201928,4433,4433,4433,4433
2019-07-14,201929,3903,3903,3903,3903
2019-07-21,201930,3067,3067,3067,3067
2019-07-28,201931,2796,2796,2796,2796
2019-08-04,201932,2549,2549,2549,2549
2019-08-11,201933,2426,2426,2426,2426
2019-08-18,201934,2108,2108,2108,2108
2019-08-25,201935,1896,1896,1896,1896
2019-09-01,201936,1898,1898,1898,1898
2019-09-08,201937,1732,1732,1732,1732
2019-09-15,201938,1467,1467,1467,1467
2019-09-22,201939,1175,1175,1175,1175
2019-09-29,201940,1413,1413,1413,1413
2019-10-06,201941,1463,1463,1463,1463
2019-10-13,201942,1392,1392,1392,1392
2019-10-20,201943,1197,1197,1197,1197
2019-10-27,201944,1086,1086,1086,1086
2019-11-03,201945,1092,1092,1092,1092
2019-11-10,201946,924,924,924,924
2019-11-17,201947,1037,1037,1037,1037
2019-11-24,201948,938,938,938,938
2019-12-01,201949,971,971,971,971
2019-12-08,201950,1044,1044,1044,1044
2019-12-15,201951,927,927,927,927
2019-12-22,201952,988,988,988,988
2019-12-29,202001,935,935,935,935
2020-01-05,202002,1717,1717,1717,1717
2020-01-12,202003,1794,1794,1794,1794
2020-01-19,202004,1826,1826,1826,1826
2020-01-26,202005,2028,2028,2028,2028
2020-02-02,202006,2053,2053,2053,2053
2020-02-09,202007,2253,2253,2253,2253
2020-02-16,202008,2005,2005,2005,2005
2020-02-23,202009,2072,2072,2072,2072
2020-03-01,202010,2687,2687,2687,2687
2020-03-08,202011,2416,2416,2416,2416
2020-03-15,202012,1694,1694,1694,1694
2020-03-22,202013,1562,1562,1562,1562
2020-03-29,202014,1896,1896,1896,1896
2020-04-05,202015,2393,2393,2393,2393
2020-04-12,202016,2992,2992,2992,2992
2020-04-19,202017,3194,3194,3194,3194
2020-04-26,202018,3510,3510,3510,3510
2020-05-03,202019,4062,4062,4062,4062
2020-05-10,202020,4214,4214,4214,4214
2020-05-17,202021,3791,3791,3791,3791
2020-05-24,202022,3849,3849,3849,3849
2020-05-31,202023,3664,3664,3664,3664
2020-06-07,202024,3417,3417,3417,3417
2020-06-14,202025,3389,3389,3389,3389
2020-06-21,202026,2884,2884,2884,2884
2020-06-28,202027,3351,3351,3351,3351
2020-07-05,202028,2961,2961,2961,2961
2020-07-12,202029,2674,2674,2674,2674
2020-07-19,202030,2410,2410,2410,2410
2020-07-26,202031,2286,2286,2286,2286
2020-08-02,202032,1886,1886,1886,1886
2020-08-09,202033,1698,1698,1698,1698
2020-08-16,202034,1355,1355,1355,1355
2020-08-23,202035,1243,1243,1243,1243
2020-08-30,202036,1072,1072,1072,1072
2020-09-06,202037,1011,1011,1011,1011
2020-09-13,202038,969,969,969,969
2020-09-20,202039,1003,1003,1003,1003
2020-09-27,202040,903,903,903,903
2020-10-04,202041,782,782,782,782
2020-10-11,202042,760,760,760,760
2020-10-18,202043,709,709,709,709
2020-10-25,202044,584,584,584,584
2020-11-01,202045,666,666,666,666
2020-11-08,202046,601,601,601,601
2020-11-15,202047,660,660,660,660
2020-11-22,202048,659,659,659,659
2020-11-29,202049,759,759,759,759
2020-12-06,202050,672,672,672,672
2020-12-13,202051,658,658,658,658
2020-12-20,202052,524,524,524,524
2020-12-27,202053,389,389,389,389
2021-01-03,202101,811,811,811,811
2021-01-10,202102,948,948,948,948
2021-01-17,202103,1089,1089,1089,1089
2021-01-24,202104,1177,1177,1177,1177
2021-01-31,202105,1774,1774,1774,1774
2021-02-07,202106,1762,1762,1762,1762
2021-02-14,202107,2273,2273,2273,2273
2021-02-21,202108,2450,2450,2450,2450
2021-02-28,202109,3429,3429,3429,3429
2021-03-07,202110,3962,3962,3962,3962
2021-03-14,202111,4493,4493,4493,4493
2021-03-21,202112,4274,4274,4274,4274
2021-03-28,202113,4437,4437,4437,4437
2021-04-04,202114,4380,4380,4380,4380
2021-04-11,202115,3901,3901,3901,3901
2021-04-18,202116,4111,4111,4111,4111
2021-04-25,202117,4122,4122,4122,4122
2021-05-02,202118,4268,4268,4268,4268
2021-05-09,202119,4692,4692,4692,4692
2021-05-16,202120,5152,5152,5152,5152
2021-05-23,202121,4864,4864,4864,4864
2021-05-30,202122,5035,5035,5035,5035
2021-06-06,202123,4908,4908,4908,4908
2021-06-13,202124,4346,4346,4346,4346
2021-06-20,202125,4021,4021,4021,4021
2021-06-27,202126,3962,3962,3962,3962
2021-07-04,202127,3570,3570,3570,3570
2021-07-11,202128,3083,3083,3083,3083
2021-07-18,202129,2941,2941,2941,2941
2021-07-25,202130,2761,2761,2761,2761
2021-08-01,202131,2515,2515,2515,2515
2021-08-08,202132,2390,2390,2390,2390
2021-08-15,202133,2100,2100,2100,2100
2021-08-22,202134,1803,1803,1803,1803
2021-08-29,202135,1525,1525,1525,1525
2021-09-05,202136,1840,1840,1840,1840
2021-09-12,202137,1682,1682,1682,1682
2021-09-19,202138,1412,1412,1412,1412
2021-09-26,202139,1373,1373,1373,1373
2021-10-03,202140,1172,1172,1172,1172
2021-10-10,202141,1186,1186,1186,1186
2021-10-17,202142,990,990,990,990
2021-10-24,202143,826,826,826,826
2021-10-31,202144,919,919,919,919
2021-11-07,202145,872,872,872,872
2021-11-14,202146,966,966,966,966
2021-11-21,202147,911,911,911,911
2021-11-28,202148,998,998,998,998
2021-12-05,202149,840,840,840,840
2021-12-12,202150,573,573,573,573
2021-12-19,202151,325,325,325,325
2021-12-26,202152,96,96,96,96
2022-01-02,202201,1371,1371,1371,1371
2022-01-09,202202,1648,1648,1648,1648
2022-01-16,202203,1812,1812,1812,1812
2022-01-23,202204,1950,1950,1950,1950
2022-01-30,202205,2625,2625,2625,2625
2022-02-06,202206,3202,3202,3202,3202
