"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,124,124,124,124
2018-01-07,201802,138,138,138,138
2018-01-14,201803,153,153,153,153
2018-01-21,201804,146,146,146,146
2018-01-28,201805,160,160,160,160
2018-02-04,201806,158,158,158,158
2018-02-11,201807,151,151,151,151
2018-02-18,201808,182,182,182,182
2018-02-25,201809,240,240,240,240
2018-03-04,201810,233,233,233,233
2018-03-11,201811,221,221,221,221
2018-03-18,201812,180,180,180,180
2018-03-25,201813,175,175,175,175
2018-04-01,201814,262,262,262,262
2018-04-04,201815,274,274,274,274
2018-04-15,201816,250,250,250,250
2018-04-22,201817,165,165,165,165
2018-04-29,201818,138,138,138,138
2018-05-06,201819,124,124,124,124
2018-05-13,201820,123,123,123,123
2018-05-20,201821,103,103,103,103
2018-05-27,201822,103,103,103,103
2018-06-03,201823,92,92,92,92
2018-06-10,201824,124,124,124,124
2018-06-17,201825,113,113,113,113
2018-06-24,201826,65,65,65,65
2018-07-01,201827,102,102,102,102
2018-07-08,201828,89,89,89,89
2018-07-15,201829,88,88,88,88
2018-07-22,201830,73,73,73,73
2018-07-29,201831,61,61,61,61
2018-08-05,201832,81,81,81,81
2018-08-12,201833,73,73,73,73
2018-08-19,201834,71,71,71,71
2018-08-26,201835,47,47,47,47
2018-09-02,201836,65,65,65,65
2018-09-09,201837,56,56,56,56
2018-09-16,201838,59,59,59,59
2018-09-23,201839,41,41,41,41
2018-09-30,201840,32,32,32,32
2018-10-07,201841,42,42,42,42
2018-10-14,201842,52,52,52,52
2018-10-21,201843,28,28,28,28
2018-10-28,201844,53,53,53,53
2018-11-04,201845,33,33,33,33
2018-11-11,201846,39,39,39,39
2018-11-18,201847,37,37,37,37
2018-11-25,201848,29,29,29,29
2018-12-02,201849,19,19,19,19
2018-12-09,201850,24,24,24,24
2018-12-16,201851,27,27,27,27
2018-12-23,201852,14,14,14,14
2018-12-30,201901,31,31,31,31
2019-01-06,201902,46,46,46,46
2019-01-13,201903,54,54,54,54
2019-01-20,201904,51,51,51,51
2019-01-27,201905,71,71,71,71
2019-02-03,201906,92,92,92,92
2019-02-10,201907,128,128,128,128
2019-02-17,201908,120,120,120,120
2019-02-24,201909,84,84,84,84
2019-03-03,201910,146,146,146,146
2019-03-10,201911,149,149,149,149
2019-03-17,201912,157,157,157,157
2019-03-24,201913,201,201,201,201
2019-03-31,201914,261,261,261,261
2019-04-07,201915,275,275,275,275
2019-04-14,201916,298,298,298,298
2019-04-21,201917,297,297,297,297
2019-04-28,201918,246,246,246,246
2019-05-05,201919,310,310,310,310
2019-05-12,201920,271,271,271,271
2019-05-19,201921,269,269,269,269
2019-05-26,201922,200,200,200,200
2019-06-02,201923,203,203,203,203
2019-06-09,201924,214,214,214,214
2019-06-16,201925,175,175,175,175
2019-06-23,201926,135,135,135,135
2019-06-30,201927,114,114,114,114
2019-07-07,201928,78,78,78,78
2019-07-14,201929,64,64,64,64
2019-07-21,201930,68,68,68,68
2019-07-28,201931,75,75,75,75
2019-08-04,201932,83,83,83,83
2019-08-11,201933,77,77,77,77
2019-08-18,201934,96,96,96,96
2019-08-25,201935,75,75,75,75
2019-09-01,201936,59,59,59,59
2019-09-08,201937,38,38,38,38
2019-09-15,201938,43,43,43,43
2019-09-22,201939,43,43,43,43
2019-09-29,201940,50,50,50,50
2019-10-06,201941,46,46,46,46
2019-10-13,201942,30,30,30,30
2019-10-20,201943,27,27,27,27
2019-10-27,201944,34,34,34,34
2019-11-03,201945,28,28,28,28
2019-11-10,201946,22,22,22,22
2019-11-17,201947,30,30,30,30
2019-11-24,201948,22,22,22,22
2019-12-01,201949,41,41,41,41
2019-12-08,201950,21,21,21,21
2019-12-15,201951,17,17,17,17
2019-12-22,201952,17,17,17,17
2019-12-29,202001,22,22,22,22
2020-01-05,202002,37,37,37,37
2020-01-12,202003,47,47,47,47
2020-01-19,202004,60,60,60,60
2020-01-26,202005,85,85,85,85
2020-02-02,202006,99,99,99,99
2020-02-09,202007,97,97,97,97
2020-02-16,202008,130,130,130,130
2020-02-23,202009,124,124,124,124
2020-03-01,202010,147,147,147,147
2020-03-08,202011,98,98,98,98
2020-03-15,202012,65,65,65,65
2020-03-22,202013,47,47,47,47
2020-03-29,202014,67,67,67,67
2020-04-05,202015,88,88,88,88
2020-04-12,202016,85,85,85,85
2020-04-19,202017,97,97,97,97
2020-04-26,202018,127,127,127,127
2020-05-03,202019,124,124,124,124
2020-05-10,202020,107,107,107,107
2020-05-17,202021,108,108,108,108
2020-05-24,202022,78,78,78,78
2020-05-31,202023,101,101,101,101
2020-06-07,202024,69,69,69,69
2020-06-14,202025,99,99,99,99
2020-06-21,202026,89,89,89,89
2020-06-28,202027,124,124,124,124
2020-07-05,202028,115,115,115,115
2020-07-12,202029,98,98,98,98
2020-07-19,202030,101,101,101,101
2020-07-26,202031,110,110,110,110
2020-08-02,202032,96,96,96,96
2020-08-09,202033,99,99,99,99
2020-08-16,202034,66,66,66,66
2020-08-23,202035,53,53,53,53
2020-08-30,202036,53,53,53,53
2020-09-06,202037,45,45,45,45
2020-09-13,202038,37,37,37,37
2020-09-20,202039,35,35,35,35
2020-09-27,202040,52,52,52,52
2020-10-04,202041,31,31,31,31
2020-10-11,202042,20,20,20,20
2020-10-18,202043,31,31,31,31
2020-10-25,202044,35,35,35,35
2020-11-01,202045,43,43,43,43
2020-11-08,202046,34,34,34,34
2020-11-15,202047,41,41,41,41
2020-11-22,202048,28,28,28,28
2020-11-29,202049,20,20,20,20
2020-12-06,202050,31,31,31,31
2020-12-13,202051,33,33,33,33
2020-12-20,202052,10,10,10,10
2020-12-27,202053,8,8,8,8
2021-01-03,202101,24,24,24,24
2021-01-10,202102,22,22,22,22
2021-01-17,202103,26,26,26,26
2021-01-24,202104,30,30,30,30
2021-01-31,202105,52,52,52,52
2021-02-07,202106,37,37,37,37
2021-02-14,202107,39,39,39,39
2021-02-21,202108,58,58,58,58
2021-02-28,202109,74,74,74,74
2021-03-07,202110,70,70,70,70
2021-03-14,202111,60,60,60,60
2021-03-21,202112,57,57,57,57
2021-03-28,202113,70,70,70,70
2021-04-04,202114,96,96,96,96
2021-04-11,202115,100,100,100,100
2021-04-18,202116,104,104,104,104
2021-04-25,202117,114,114,114,114
2021-05-02,202118,123,123,123,123
2021-05-09,202119,149,149,149,149
2021-05-16,202120,177,177,177,177
2021-05-23,202121,133,133,133,133
2021-05-30,202122,145,145,145,145
2021-06-06,202123,154,154,154,154
2021-06-13,202124,203,203,203,203
2021-06-20,202125,197,197,197,197
2021-06-27,202126,273,273,273,273
2021-07-04,202127,242,242,242,242
2021-07-11,202128,262,262,262,262
2021-07-18,202129,205,205,205,205
2021-07-25,202130,200,200,200,200
2021-08-01,202131,162,162,162,162
2021-08-08,202132,132,132,132,132
2021-08-15,202133,120,120,120,120
2021-08-22,202134,93,93,93,93
2021-08-29,202135,85,85,85,85
2021-09-05,202136,68,68,68,68
2021-09-12,202137,65,65,65,65
2021-09-19,202138,46,46,46,46
2021-09-26,202139,51,51,51,51
2021-10-03,202140,47,47,47,47
2021-10-10,202141,64,64,64,64
2021-10-17,202142,37,37,37,37
2021-10-24,202143,40,40,40,40
2021-10-31,202144,71,71,71,71
