"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,7,7,7,7
2018-01-07,201802,4,4,4,4
2018-01-14,201803,5,5,5,5
2018-01-21,201804,2,2,2,2
2018-01-28,201805,4,4,4,4
2018-02-04,201806,4,4,4,4
2018-02-11,201807,2,2,2,2
2018-02-18,201808,5,5,5,5
2018-02-25,201809,6,6,6,6
2018-03-04,201810,8,8,8,8
2018-03-11,201811,6,6,6,6
2018-03-18,201812,8,8,8,8
2018-03-25,201813,2,2,2,2
2018-04-01,201814,2,2,2,2
2018-04-04,201815,8,8,8,8
2018-04-15,201816,3,3,3,3
2018-04-22,201817,2,2,2,2
2018-04-29,201818,5,5,5,5
2018-05-06,201819,5,5,5,5
2018-05-13,201820,6,6,6,6
2018-05-20,201821,8,8,8,8
2018-05-27,201822,3,3,3,3
2018-06-03,201823,1,1,1,1
2018-06-10,201824,1,1,1,1
2018-06-17,201825,4,4,4,4
2018-06-24,201826,2,2,2,2
2018-07-01,201827,1,1,1,1
2018-07-08,201828,5,5,5,5
2018-07-15,201829,5,5,5,5
2018-07-22,201830,3,3,3,3
2018-07-29,201831,5,5,5,5
2018-08-05,201832,3,3,3,3
2018-08-12,201833,9,9,9,9
2018-08-19,201834,4,4,4,4
2018-08-26,201835,7,7,7,7
2018-09-02,201836,8,8,8,8
2018-09-09,201837,4,4,4,4
2018-09-16,201838,2,2,2,2
2018-09-23,201839,0,0,0,0
2018-09-30,201840,1,1,1,1
2018-10-07,201841,4,4,4,4
2018-10-14,201842,4,4,4,4
2018-10-21,201843,3,3,3,3
2018-10-28,201844,3,3,3,3
2018-11-04,201845,3,3,3,3
2018-11-11,201846,4,4,4,4
2018-11-18,201847,4,4,4,4
2018-11-25,201848,1,1,1,1
2018-12-02,201849,3,3,3,3
2018-12-09,201850,2,2,2,2
2018-12-16,201851,7,7,7,7
2018-12-23,201852,1,1,1,1
2018-12-30,201901,12,12,12,12
2019-01-06,201902,6,6,6,6
2019-01-13,201903,5,5,5,5
2019-01-20,201904,5,5,5,5
2019-01-27,201905,11,11,11,11
2019-02-03,201906,8,8,8,8
2019-02-10,201907,9,9,9,9
2019-02-17,201908,16,16,16,16
2019-02-24,201909,17,17,17,17
2019-03-03,201910,14,14,14,14
2019-03-10,201911,11,11,11,11
2019-03-17,201912,24,24,24,24
2019-03-24,201913,15,15,15,15
2019-03-31,201914,24,24,24,24
2019-04-07,201915,23,23,23,23
2019-04-14,201916,14,14,14,14
2019-04-21,201917,17,17,17,17
2019-04-28,201918,20,20,20,20
2019-05-05,201919,13,13,13,13
2019-05-12,201920,19,19,19,19
2019-05-19,201921,23,23,23,23
2019-05-26,201922,26,26,26,26
2019-06-02,201923,26,26,26,26
2019-06-09,201924,12,12,12,12
2019-06-16,201925,14,14,14,14
2019-06-23,201926,10,10,10,10
2019-06-30,201927,10,10,10,10
2019-07-07,201928,6,6,6,6
2019-07-14,201929,6,6,6,6
2019-07-21,201930,3,3,3,3
2019-07-28,201931,3,3,3,3
2019-08-04,201932,2,2,2,2
2019-08-11,201933,4,4,4,4
2019-08-18,201934,3,3,3,3
2019-08-25,201935,3,3,3,3
2019-09-01,201936,6,6,6,6
2019-09-08,201937,3,3,3,3
2019-09-15,201938,2,2,2,2
2019-09-22,201939,1,1,1,1
2019-09-29,201940,3,3,3,3
2019-10-06,201941,2,2,2,2
2019-10-13,201942,3,3,3,3
2019-10-20,201943,6,6,6,6
2019-10-27,201944,2,2,2,2
2019-11-03,201945,3,3,3,3
2019-11-10,201946,2,2,2,2
2019-11-17,201947,5,5,5,5
2019-11-24,201948,10,10,10,10
2019-12-01,201949,0,0,0,0
2019-12-08,201950,7,7,7,7
2019-12-15,201951,3,3,3,3
2019-12-22,201952,7,7,7,7
2019-12-29,202001,8,8,8,8
2020-01-05,202002,15,15,15,15
2020-01-12,202003,31,31,31,31
2020-01-19,202004,25,25,25,25
2020-01-26,202005,54,54,54,54
2020-02-02,202006,36,36,36,36
2020-02-09,202007,42,42,42,42
2020-02-16,202008,21,21,21,21
2020-02-23,202009,40,40,40,40
2020-03-01,202010,45,45,45,45
2020-03-08,202011,55,55,55,55
2020-03-15,202012,32,32,32,32
2020-03-22,202013,30,30,30,30
2020-03-29,202014,48,48,48,48
2020-04-05,202015,43,43,43,43
2020-04-12,202016,46,46,46,46
2020-04-19,202017,41,41,41,41
