"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,31,31,31,31
2018-01-07,201802,22,22,22,22
2018-01-14,201803,26,26,26,26
2018-01-21,201804,16,16,16,16
2018-01-28,201805,14,14,14,14
2018-02-04,201806,17,17,17,17
2018-02-11,201807,30,30,30,30
2018-02-18,201808,25,25,25,25
2018-02-25,201809,24,24,24,24
2018-03-04,201810,25,25,25,25
2018-03-11,201811,33,33,33,33
2018-03-18,201812,31,31,31,31
2018-03-25,201813,39,39,39,39
2018-04-01,201814,59,59,59,59
2018-04-04,201815,60,60,60,60
2018-04-15,201816,44,44,44,44
2018-04-22,201817,36,36,36,36
2018-04-29,201818,36,36,36,36
2018-05-06,201819,43,43,43,43
2018-05-13,201820,37,37,37,37
2018-05-20,201821,51,51,51,51
2018-05-27,201822,32,32,32,32
2018-06-03,201823,63,63,63,63
2018-06-10,201824,45,45,45,45
2018-06-17,201825,40,40,40,40
2018-06-24,201826,48,48,48,48
2018-07-01,201827,55,55,55,55
2018-07-08,201828,40,40,40,40
2018-07-15,201829,35,35,35,35
2018-07-22,201830,38,38,38,38
2018-07-29,201831,33,33,33,33
2018-08-05,201832,28,28,28,28
2018-08-12,201833,35,35,35,35
2018-08-19,201834,31,31,31,31
2018-08-26,201835,17,17,17,17
2018-09-02,201836,20,20,20,20
2018-09-09,201837,13,13,13,13
2018-09-16,201838,24,24,24,24
2018-09-23,201839,23,23,23,23
2018-09-30,201840,21,21,21,21
2018-10-07,201841,19,19,19,19
2018-10-14,201842,16,16,16,16
2018-10-21,201843,12,12,12,12
2018-10-28,201844,14,14,14,14
2018-11-04,201845,7,7,7,7
2018-11-11,201846,15,15,15,15
2018-11-18,201847,9,9,9,9
2018-11-25,201848,12,12,12,12
2018-12-02,201849,8,8,8,8
2018-12-09,201850,15,15,15,15
2018-12-16,201851,12,12,12,12
2018-12-23,201852,4,4,4,4
2018-12-30,201901,147,147,147,147
2019-01-06,201902,25,25,25,25
2019-01-13,201903,30,30,30,30
2019-01-20,201904,36,36,36,36
2019-01-27,201905,31,31,31,31
2019-02-03,201906,35,35,35,35
