"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,14,14,14,14
2018-01-07,201802,16,16,16,16
2018-01-14,201803,9,9,9,9
2018-01-21,201804,19,19,19,19
2018-01-28,201805,31,31,31,31
2018-02-04,201806,20,20,20,20
2018-02-11,201807,16,16,16,16
2018-02-18,201808,20,20,20,20
2018-02-25,201809,14,14,14,14
2018-03-04,201810,17,17,17,17
2018-03-11,201811,14,14,14,14
2018-03-18,201812,19,19,19,19
2018-03-25,201813,15,15,15,15
2018-04-01,201814,13,13,13,13
2018-04-04,201815,13,13,13,13
2018-04-15,201816,11,11,11,11
2018-04-22,201817,11,11,11,11
2018-04-29,201818,21,21,21,21
2018-05-06,201819,8,8,8,8
2018-05-13,201820,14,14,14,14
2018-05-20,201821,14,14,14,14
2018-05-27,201822,11,11,11,11
2018-06-03,201823,9,9,9,9
2018-06-10,201824,3,3,3,3
2018-06-17,201825,4,4,4,4
2018-06-24,201826,6,6,6,6
2018-07-01,201827,5,5,5,5
2018-07-08,201828,5,5,5,5
2018-07-15,201829,5,5,5,5
2018-07-22,201830,5,5,5,5
2018-07-29,201831,4,4,4,4
2018-08-05,201832,2,2,2,2
2018-08-12,201833,7,7,7,7
2018-08-19,201834,2,2,2,2
2018-08-26,201835,3,3,3,3
2018-09-02,201836,6,6,6,6
2018-09-09,201837,3,3,3,3
2018-09-16,201838,2,2,2,2
2018-09-23,201839,4,4,4,4
2018-09-30,201840,3,3,3,3
2018-10-07,201841,10,10,10,10
2018-10-14,201842,7,7,7,7
2018-10-21,201843,7,7,7,7
2018-10-28,201844,8,8,8,8
2018-11-04,201845,6,6,6,6
2018-11-11,201846,6,6,6,6
2018-11-18,201847,6,6,6,6
2018-11-25,201848,9,9,9,9
2018-12-02,201849,12,12,12,12
2018-12-09,201850,7,7,7,7
2018-12-16,201851,4,4,4,4
2018-12-23,201852,3,3,3,3
2018-12-30,201901,8,8,8,8
2019-01-06,201902,6,6,6,6
2019-01-13,201903,3,3,3,3
2019-01-20,201904,13,13,13,13
2019-01-27,201905,5,5,5,5
2019-02-03,201906,16,16,16,16
2019-02-10,201907,14,14,14,14
2019-02-17,201908,9,9,9,9
2019-02-24,201909,16,16,16,16
2019-03-03,201910,10,10,10,10
2019-03-10,201911,14,14,14,14
2019-03-17,201912,7,7,7,7
2019-03-24,201913,15,15,15,15
2019-03-31,201914,20,20,20,20
2019-04-07,201915,15,15,15,15
2019-04-14,201916,12,12,12,12
2019-04-21,201917,10,10,10,10
2019-04-28,201918,27,27,27,27
2019-05-05,201919,11,11,11,11
2019-05-12,201920,12,12,12,12
2019-05-19,201921,11,11,11,11
2019-05-26,201922,8,8,8,8
2019-06-02,201923,9,9,9,9
2019-06-09,201924,5,5,5,5
2019-06-16,201925,7,7,7,7
2019-06-23,201926,5,5,5,5
2019-06-30,201927,6,6,6,6
2019-07-07,201928,2,2,2,2
2019-07-14,201929,7,7,7,7
2019-07-21,201930,4,4,4,4
2019-07-28,201931,1,1,1,1
2019-08-04,201932,1,1,1,1
2019-08-11,201933,1,1,1,1
2019-08-18,201934,3,3,3,3
2019-08-25,201935,2,2,2,2
2019-09-01,201936,0,0,0,0
2019-09-08,201937,2,2,2,2
2019-09-15,201938,1,1,1,1
2019-09-22,201939,3,3,3,3
