"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,33,33,33,33
2018-01-07,201802,29,29,29,29
2018-01-14,201803,33,33,33,33
2018-01-21,201804,26,26,26,26
2018-01-28,201805,13,13,13,13
2018-02-04,201806,12,12,12,12
2018-02-11,201807,20,20,20,20
2018-02-18,201808,24,24,24,24
2018-02-25,201809,29,29,29,29
2018-03-04,201810,19,19,19,19
2018-03-11,201811,33,33,33,33
2018-03-18,201812,21,21,21,21
2018-03-25,201813,41,41,41,41
2018-04-01,201814,41,41,41,41
2018-04-04,201815,29,29,29,29
2018-04-15,201816,40,40,40,40
2018-04-22,201817,51,51,51,51
2018-04-29,201818,66,66,66,66
2018-05-06,201819,43,43,43,43
2018-05-13,201820,39,39,39,39
2018-05-20,201821,24,24,24,24
2018-05-27,201822,13,13,13,13
2018-06-03,201823,13,13,13,13
2018-06-10,201824,10,10,10,10
2018-06-17,201825,17,17,17,17
2018-06-24,201826,9,9,9,9
2018-07-01,201827,9,9,9,9
2018-07-08,201828,10,10,10,10
2018-07-15,201829,6,6,6,6
2018-07-22,201830,10,10,10,10
2018-07-29,201831,11,11,11,11
2018-08-05,201832,14,14,14,14
2018-08-12,201833,15,15,15,15
2018-08-19,201834,7,7,7,7
2018-08-26,201835,6,6,6,6
2018-09-02,201836,12,12,12,12
2018-09-09,201837,10,10,10,10
2018-09-16,201838,5,5,5,5
2018-09-23,201839,2,2,2,2
2018-09-30,201840,9,9,9,9
2018-10-07,201841,7,7,7,7
2018-10-14,201842,7,7,7,7
2018-10-21,201843,5,5,5,5
2018-10-28,201844,11,11,11,11
2018-11-04,201845,11,11,11,11
2018-11-11,201846,7,7,7,7
2018-11-18,201847,5,5,5,5
2018-11-25,201848,6,6,6,6
2018-12-02,201849,6,6,6,6
2018-12-09,201850,4,4,4,4
2018-12-16,201851,8,8,8,8
2018-12-23,201852,3,3,3,3
2018-12-30,201901,9,9,9,9
2019-01-06,201902,28,28,28,28
2019-01-13,201903,15,15,15,15
2019-01-20,201904,12,12,12,12
2019-01-27,201905,8,8,8,8
2019-02-03,201906,17,17,17,17
2019-02-10,201907,17,17,17,17
2019-02-17,201908,30,30,30,30
2019-02-24,201909,31,31,31,31
2019-03-03,201910,43,43,43,43
2019-03-10,201911,85,85,85,85
2019-03-17,201912,67,67,67,67
2019-03-24,201913,51,51,51,51
2019-03-31,201914,50,50,50,50
2019-04-07,201915,59,59,59,59
2019-04-14,201916,60,60,60,60
2019-04-21,201917,47,47,47,47
2019-04-28,201918,36,36,36,36
2019-05-05,201919,30,30,30,30
2019-05-12,201920,24,24,24,24
2019-05-19,201921,39,39,39,39
2019-05-26,201922,21,21,21,21
2019-06-02,201923,18,18,18,18
2019-06-09,201924,13,13,13,13
2019-06-16,201925,15,15,15,15
2019-06-23,201926,12,12,12,12
2019-06-30,201927,9,9,9,9
2019-07-07,201928,9,9,9,9
2019-07-14,201929,7,7,7,7
2019-07-21,201930,5,5,5,5
2019-07-28,201931,5,5,5,5
2019-08-04,201932,6,6,6,6
2019-08-11,201933,14,14,14,14
2019-08-18,201934,13,13,13,13
2019-08-25,201935,4,4,4,4
2019-09-01,201936,2,2,2,2
2019-09-08,201937,5,5,5,5
2019-09-15,201938,5,5,5,5
2019-09-22,201939,0,0,0,0
2019-09-29,201940,9,9,9,9
2019-10-06,201941,6,6,6,6
2019-10-13,201942,6,6,6,6
2019-10-20,201943,7,7,7,7
2019-10-27,201944,5,5,5,5
2019-11-03,201945,2,2,2,2
2019-11-10,201946,1,1,1,1
2019-11-17,201947,4,4,4,4
2019-11-24,201948,5,5,5,5
2019-12-01,201949,3,3,3,3
2019-12-08,201950,1,1,1,1
2019-12-15,201951,2,2,2,2
2019-12-22,201952,3,3,3,3
2019-12-29,202001,2,2,2,2
2020-01-05,202002,8,8,8,8
2020-01-12,202003,11,11,11,11
2020-01-19,202004,5,5,5,5
2020-01-26,202005,6,6,6,6
2020-02-02,202006,9,9,9,9
2020-02-09,202007,16,16,16,16
2020-02-16,202008,13,13,13,13
2020-02-23,202009,11,11,11,11
2020-03-01,202010,9,9,9,9
2020-03-08,202011,11,11,11,11
2020-03-15,202012,4,4,4,4
2020-03-22,202013,9,9,9,9
2020-03-29,202014,6,6,6,6
2020-04-05,202015,7,7,7,7
2020-04-12,202016,10,10,10,10
2020-04-19,202017,16,16,16,16
2020-04-26,202018,6,6,6,6
2020-05-03,202019,1,1,1,1
2020-05-10,202020,3,3,3,3
2020-05-17,202021,4,4,4,4
2020-05-24,202022,7,7,7,7
2020-05-31,202023,5,5,5,5
2020-06-07,202024,4,4,4,4
2020-06-14,202025,4,4,4,4
2020-06-21,202026,1,1,1,1
2020-06-28,202027,1,1,1,1
2020-07-05,202028,2,2,2,2
2020-07-12,202029,3,3,3,3
2020-07-19,202030,2,2,2,2
2020-07-26,202031,3,3,3,3
2020-08-02,202032,2,2,2,2
2020-08-09,202033,6,6,6,6
2020-08-16,202034,3,3,3,3
2020-08-23,202035,4,4,4,4
2020-08-30,202036,2,2,2,2
2020-09-06,202037,2,2,2,2
2020-09-13,202038,2,2,2,2
2020-09-20,202039,3,3,3,3
2020-09-27,202040,2,2,2,2
2020-10-04,202041,3,3,3,3
2020-10-11,202042,1,1,1,1
2020-10-18,202043,0,0,0,0
2020-10-25,202044,2,2,2,2
2020-11-01,202045,3,3,3,3
2020-11-08,202046,0,0,0,0
2020-11-15,202047,3,3,3,3
2020-11-22,202048,0,0,0,0
2020-11-29,202049,3,3,3,3
2020-12-06,202050,1,1,1,1
2020-12-13,202051,1,1,1,1
2020-12-20,202052,7,7,7,7
2020-12-27,202053,6,6,6,6
2021-01-03,202101,4,4,4,4
2021-01-10,202102,3,3,3,3
2021-01-17,202103,5,5,5,5
2021-01-24,202104,2,2,2,2
2021-01-31,202105,3,3,3,3
2021-02-07,202106,3,3,3,3
2021-02-14,202107,0,0,0,0
2021-02-21,202108,4,4,4,4
2021-02-28,202109,3,3,3,3
2021-03-07,202110,1,1,1,1
2021-03-14,202111,1,1,1,1
2021-03-21,202112,1,1,1,1
2021-03-28,202113,2,2,2,2
2021-04-04,202114,1,1,1,1
2021-04-11,202115,1,1,1,1
2021-04-18,202116,0,0,0,0
2021-04-25,202117,2,2,2,2
2021-05-02,202118,5,5,5,5
2021-05-09,202119,4,4,4,4
2021-05-16,202120,4,4,4,4
2021-05-23,202121,2,2,2,2
2021-05-30,202122,1,1,1,1
2021-06-06,202123,3,3,3,3
2021-06-13,202124,3,3,3,3
2021-06-20,202125,6,6,6,6
2021-06-27,202126,7,7,7,7
2021-07-04,202127,8,8,8,8
2021-07-11,202128,1,1,1,1
2021-07-18,202129,5,5,5,5
2021-07-25,202130,3,3,3,3
2021-08-01,202131,1,1,1,1
2021-08-08,202132,5,5,5,5
2021-08-15,202133,2,2,2,2
2021-08-22,202134,0,0,0,0
2021-08-29,202135,2,2,2,2
2021-09-05,202136,1,1,1,1
2021-09-12,202137,7,7,7,7
2021-09-19,202138,3,3,3,3
2021-09-26,202139,9,9,9,9
2021-10-03,202140,6,6,6,6
2021-10-10,202141,9,9,9,9
2021-10-17,202142,3,3,3,3
2021-10-24,202143,0,0,0,0
2021-10-31,202144,6,6,6,6
2021-11-07,202145,3,3,3,3
2021-11-14,202146,5,5,5,5
2021-11-21,202147,3,3,3,3
2021-11-28,202148,8,8,8,8
2021-12-05,202149,21,21,21,21
2021-12-12,202150,20,20,20,20
2021-12-19,202151,35,35,35,35
2021-12-26,202152,17,17,17,17
2022-01-02,202201,36,36,36,36
2022-01-09,202202,45,45,45,45
2022-01-16,202203,25,25,25,25
2022-01-23,202204,13,13,13,13
2022-01-30,202205,19,19,19,19
2022-02-06,202206,28,28,28,28
2022-02-13,202207,22,22,22,22
2022-02-20,202208,20,20,20,20
2022-02-27,202209,38,38,38,38
2022-03-06,202210,114,114,114,114
2022-03-13,202211,110,110,110,110
2022-03-20,202212,93,93,93,93
2022-03-27,202213,96,96,96,96
2022-04-03,202214,134,134,134,134
2022-04-10,202215,107,107,107,107
2022-04-17,202216,116,116,116,116
2022-04-24,202217,132,132,132,132
2022-05-01,202218,126,126,126,126
2022-05-08,202219,117,117,117,117
2022-05-15,202220,125,125,125,125
2022-05-22,202221,130,130,130,130
2022-05-29,202222,165,165,165,165
2022-06-05,202223,135,135,135,135
2022-06-12,202224,134,134,134,134
2022-06-19,202225,116,116,116,116
2022-06-26,202226,96,96,96,96
2022-07-03,202227,110,110,110,110
2022-07-10,202228,112,112,112,112
2022-07-17,202229,80,80,80,80
2022-07-24,202230,49,49,49,49
2022-07-31,202231,68,68,68,68
2022-08-07,202232,85,85,85,85
2022-08-14,202233,100,100,100,100
2022-08-21,202234,91,91,91,91
2022-08-28,202235,60,60,60,60
2022-09-04,202236,70,70,70,70
2022-09-11,202237,54,54,54,54
2022-09-18,202238,45,45,45,45
2022-09-25,202239,54,54,54,54
2022-10-02,202240,41,41,41,41
2022-10-09,202241,34,34,34,34
2022-10-16,202242,38,38,38,38
2022-10-23,202243,26,26,26,26
2022-10-30,202244,29,29,29,29
2022-11-06,202245,16,16,16,16
2022-11-13,202246,17,17,17,17
2022-11-20,202247,23,23,23,23
2022-11-27,202248,18,18,18,18
2022-12-04,202249,34,34,34,34
2022-12-11,202250,14,14,14,14
2022-12-18,202251,16,16,16,16
2022-12-25,202252,37,37,37,37
2023-01-01,202301,42,42,42,42
2023-01-08,202302,54,54,54,54
2023-01-15,202303,58,58,58,58
2023-01-22,202304,74,74,74,74
2023-01-29,202305,69,69,69,69
2023-02-05,202306,85,85,85,85
2023-02-12,202307,96,96,96,96
2023-02-19,202308,141,141,141,141
2023-02-26,202309,169,169,169,169
2023-03-05,202310,205,205,205,205
2023-03-12,202311,181,181,181,181
2023-03-19,202312,169,169,169,169
2023-03-26,202313,150,150,150,150
2023-04-02,202314,155,155,155,155
2023-04-09,202315,139,139,139,139
2023-04-16,202316,171,171,171,171
2023-04-23,202317,169,169,169,169
2023-04-30,202318,204,204,204,204
2023-05-07,202319,172,172,172,172
2023-05-14,202320,155,155,155,155
2023-05-21,202321,126,126,126,126
2023-05-28,202322,133,133,133,133
2023-06-04,202323,116,116,116,116
2023-06-11,202324,106,106,106,106
2023-06-18,202325,117,117,117,117
2023-06-25,202326,104,104,104,104
2023-07-02,202327,125,125,125,125
2023-07-09,202328,137,137,137,137
2023-07-16,202329,85,85,85,85
2023-07-23,202330,79,79,79,79
2023-07-30,202331,99,99,99,99
2023-08-06,202332,69,69,69,69
2023-08-13,202333,62,62,62,62
2023-08-20,202334,44,44,44,44
2023-08-27,202335,37,37,37,37
2023-09-03,202336,27,27,27,27
2023-09-10,202337,39,39,39,39
2023-09-17,202338,17,17,17,17
2023-09-24,202339,15,15,15,15
2023-10-01,202340,16,16,16,16
2023-10-08,202341,17,17,17,17
2023-10-15,202342,12,12,12,12
2023-10-22,202343,13,13,13,13
2023-10-29,202344,14,14,14,14
2023-11-05,202345,19,19,19,19
2023-11-12,202346,6,6,6,6
2023-11-19,202347,18,18,18,18
2023-11-26,202348,12,12,12,12
2023-12-03,202349,14,14,14,14
2023-12-10,202350,7,7,7,7
2023-12-17,202351,1,1,1,1
2023-12-24,202352,9,9,9,9
2023-12-31,202401,10,10,10,10
2024-01-07,202402,25,25,25,28
2024-01-14,202403,18,18,18,22
2024-01-21,202404,17,17,17,26
2024-01-28,202405,34,34,34,44
2024-02-04,202406,38,40,38,57
2024-02-11,202407,69,77,69,104
2024-02-18,202408,101,119,102,174
2024-02-25,202409,80,122,85,252
2024-03-03,202410,24,114.5,38,401
2024-03-10,202411,3,154,30,740
