"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,140,140,140,140
2018-01-07,201802,232,232,232,232
2018-01-14,201803,329,329,329,329
2018-01-21,201804,237,237,237,237
2018-01-28,201805,243,243,243,243
2018-02-04,201806,172,172,172,172
2018-02-11,201807,202,202,202,202
2018-02-18,201808,309,309,309,309
2018-02-25,201809,320,320,320,320
2018-03-04,201810,519,519,519,519
2018-03-11,201811,756,756,756,756
2018-03-18,201812,778,778,778,778
2018-03-25,201813,747,747,747,747
2018-04-01,201814,1105,1105,1105,1105
2018-04-04,201815,1134,1134,1134,1134
2018-04-15,201816,978,978,978,978
2018-04-22,201817,781,781,781,781
2018-04-29,201818,838,838,838,838
2018-05-06,201819,792,792,792,792
2018-05-13,201820,594,594,594,594
2018-05-20,201821,288,288,288,288
2018-05-27,201822,181,181,181,181
2018-06-03,201823,189,189,189,189
2018-06-10,201824,175,175,175,175
2018-06-17,201825,131,131,131,131
2018-06-24,201826,99,99,99,99
2018-07-01,201827,98,98,98,98
2018-07-08,201828,94,94,94,94
2018-07-15,201829,71,71,71,71
2018-07-22,201830,45,45,45,45
2018-07-29,201831,64,64,64,64
2018-08-05,201832,62,62,62,62
2018-08-12,201833,28,28,28,28
2018-08-19,201834,41,41,41,41
2018-08-26,201835,44,44,44,44
2018-09-02,201836,34,34,34,34
2018-09-09,201837,32,32,32,32
2018-09-16,201838,34,34,34,34
2018-09-23,201839,27,27,27,27
2018-09-30,201840,39,39,39,39
2018-10-07,201841,41,41,41,41
2018-10-14,201842,36,36,36,36
2018-10-21,201843,34,34,34,34
2018-10-28,201844,35,35,35,35
2018-11-04,201845,26,26,26,26
2018-11-11,201846,36,36,36,36
2018-11-18,201847,46,46,46,46
2018-11-25,201848,39,39,39,39
2018-12-02,201849,48,48,48,48
2018-12-09,201850,36,36,36,36
2018-12-16,201851,26,26,26,26
2018-12-23,201852,9,9,9,9
2018-12-30,201901,71,71,71,71
2019-01-06,201902,82,82,82,82
2019-01-13,201903,110,110,110,110
2019-01-20,201904,124,124,124,124
2019-01-27,201905,106,106,106,106
2019-02-03,201906,120,120,120,120
2019-02-10,201907,100,100,100,100
2019-02-17,201908,121,121,121,121
2019-02-24,201909,153,153,153,153
2019-03-03,201910,126,126,126,126
2019-03-10,201911,196,196,196,196
2019-03-17,201912,165,165,165,165
2019-03-24,201913,175,175,175,175
2019-03-31,201914,233,233,233,233
2019-04-07,201915,227,227,227,227
2019-04-14,201916,245,245,245,245
2019-04-21,201917,224,224,224,224
2019-04-28,201918,235,235,235,235
2019-05-05,201919,271,271,271,271
2019-05-12,201920,236,236,236,236
2019-05-19,201921,226,226,226,226
2019-05-26,201922,175,175,175,175
2019-06-02,201923,145,145,145,145
2019-06-09,201924,121,121,121,121
2019-06-16,201925,102,102,102,102
2019-06-23,201926,79,79,79,79
2019-06-30,201927,76,76,76,76
2019-07-07,201928,48,48,48,48
2019-07-14,201929,52,52,52,52
2019-07-21,201930,33,33,33,33
2019-07-28,201931,39,39,39,39
2019-08-04,201932,24,24,24,24
2019-08-11,201933,23,23,23,23
2019-08-18,201934,35,35,35,35
2019-08-25,201935,32,32,32,32
2019-09-01,201936,27,27,27,27
2019-09-08,201937,51,51,51,51
2019-09-15,201938,41,41,41,41
2019-09-22,201939,38,38,38,38
2019-09-29,201940,38,38,38,38
2019-10-06,201941,27,27,27,27
2019-10-13,201942,40,40,40,40
2019-10-20,201943,22,22,22,22
2019-10-27,201944,20,20,20,20
2019-11-03,201945,31,31,31,31
2019-11-10,201946,28,28,28,28
2019-11-17,201947,33,33,33,33
2019-11-24,201948,33,33,33,33
2019-12-01,201949,34,34,34,34
2019-12-08,201950,46,46,46,46
2019-12-15,201951,30,30,30,30
2019-12-22,201952,42,42,42,42
2019-12-29,202001,29,29,29,29
2020-01-05,202002,76,76,76,76
2020-01-12,202003,72,72,72,72
2020-01-19,202004,87,87,87,87
2020-01-26,202005,103,103,103,103
2020-02-02,202006,107,107,107,107
2020-02-09,202007,125,125,125,125
2020-02-16,202008,96,96,96,96
2020-02-23,202009,92,92,92,92
2020-03-01,202010,112,112,112,112
2020-03-08,202011,105,105,105,105
2020-03-15,202012,109,109,109,109
2020-03-22,202013,95,95,95,95
2020-03-29,202014,101,101,101,101
2020-04-05,202015,126,126,126,126
2020-04-12,202016,169,169,169,169
2020-04-19,202017,162,162,162,162
2020-04-26,202018,220,220,220,220
2020-05-03,202019,178,178,178,178
2020-05-10,202020,186,186,186,186
2020-05-17,202021,155,155,155,155
2020-05-24,202022,128,128,128,128
2020-05-31,202023,109,109,109,109
2020-06-07,202024,93,93,93,93
2020-06-14,202025,89,89,89,89
2020-06-21,202026,93,93,93,93
2020-06-28,202027,71,71,71,71
2020-07-05,202028,64,64,64,64
2020-07-12,202029,61,61,61,61
2020-07-19,202030,47,47,47,47
2020-07-26,202031,42,42,42,42
2020-08-02,202032,39,39,39,39
2020-08-09,202033,42,42,42,42
2020-08-16,202034,33,33,33,33
2020-08-23,202035,40,40,40,40
2020-08-30,202036,37,37,37,37
2020-09-06,202037,42,42,42,42
2020-09-13,202038,45,45,45,45
2020-09-20,202039,57,57,57,57
2020-09-27,202040,50,50,50,50
2020-10-04,202041,56,56,56,56
2020-10-11,202042,59,59,59,59
2020-10-18,202043,44,44,44,44
2020-10-25,202044,42,42,42,42
2020-11-01,202045,51,51,51,51
2020-11-08,202046,69,69,69,69
2020-11-15,202047,115,115,115,115
2020-11-22,202048,153,153,153,153
2020-11-29,202049,208,208,208,208
2020-12-06,202050,224,224,224,224
2020-12-13,202051,236,236,236,236
2020-12-20,202052,143,143,143,143
2020-12-27,202053,119,119,119,119
2021-01-03,202101,167,167,167,167
2021-01-10,202102,184,184,184,184
2021-01-17,202103,137,137,137,137
2021-01-24,202104,107,107,107,107
2021-01-31,202105,138,138,138,138
2021-02-07,202106,127,127,127,127
2021-02-14,202107,141,141,141,141
2021-02-21,202108,172,172,172,172
2021-02-28,202109,220,220,220,220
2021-03-07,202110,276,276,276,276
2021-03-14,202111,325,325,325,325
2021-03-21,202112,369,369,369,369
2021-03-28,202113,327,327,327,327
2021-04-04,202114,362,362,362,362
2021-04-11,202115,315,315,315,315
2021-04-18,202116,369,369,369,369
2021-04-25,202117,330,330,330,330
2021-05-02,202118,337,337,337,337
2021-05-09,202119,327,327,327,327
2021-05-16,202120,348,348,348,348
2021-05-23,202121,333,333,333,333
2021-05-30,202122,305,305,305,305
2021-06-06,202123,274,274,274,274
2021-06-13,202124,211,211,211,211
2021-06-20,202125,193,193,193,193
2021-06-27,202126,141,141,141,141
2021-07-04,202127,107,107,107,107
2021-07-11,202128,93,93,93,93
2021-07-18,202129,66,66,66,66
2021-07-25,202130,64,64,64,64
2021-08-01,202131,51,51,51,51
2021-08-08,202132,69,69,69,69
2021-08-15,202133,50,50,50,50
2021-08-22,202134,38,38,38,38
2021-08-29,202135,46,46,46,46
2021-09-05,202136,45,45,45,45
2021-09-12,202137,38,38,38,38
2021-09-19,202138,29,29,29,29
2021-09-26,202139,26,26,26,26
2021-10-03,202140,21,21,21,21
2021-10-10,202141,31,31,31,31
2021-10-17,202142,22,22,22,22
2021-10-24,202143,21,21,21,21
2021-10-31,202144,31,31,31,31
2021-11-07,202145,27,27,27,27
2021-11-14,202146,32,32,32,32
2021-11-21,202147,36,36,36,36
2021-11-28,202148,31,31,31,31
2021-12-05,202149,32,32,32,32
2021-12-12,202150,24,24,24,24
2021-12-19,202151,23,23,23,23
2021-12-26,202152,18,18,18,18
2022-01-02,202201,95,95,95,95
2022-01-09,202202,94,94,94,94
2022-01-16,202203,103,103,103,103
2022-01-23,202204,111,111,111,111
2022-01-30,202205,112,112,112,112
2022-02-06,202206,109,109,109,109
2022-02-13,202207,131,131,131,131
2022-02-20,202208,150,150,150,150
2022-02-27,202209,264,264,264,264
2022-03-06,202210,404,404,404,404
2022-03-13,202211,514,514,514,514
2022-03-20,202212,703,703,703,703
2022-03-27,202213,842,842,842,842
2022-04-03,202214,757,757,757,757
2022-04-10,202215,761,761,761,761
2022-04-17,202216,707,707,707,707
2022-04-24,202217,658,658,658,658
2022-05-01,202218,659,659,659,659
2022-05-08,202219,597,597,597,597
2022-05-15,202220,474,474,474,474
2022-05-22,202221,391,391,391,391
2022-05-29,202222,353,353,353,353
2022-06-05,202223,273,273,273,273
2022-06-12,202224,184,184,184,184
2022-06-19,202225,189,189,189,189
