"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,515,515,515,515
2018-01-07,201802,695,695,695,695
2018-01-14,201803,1025,1025,1025,1025
2018-01-21,201804,1337,1337,1337,1337
2018-01-28,201805,1278,1278,1278,1278
2018-02-04,201806,1121,1121,1121,1121
2018-02-11,201807,779,779,779,779
2018-02-18,201808,945,945,945,945
2018-02-25,201809,966,966,966,966
2018-03-04,201810,812,812,812,812
2018-03-11,201811,682,682,682,682
2018-03-18,201812,496,496,496,496
2018-03-25,201813,378,378,378,378
2018-04-01,201814,471,471,471,471
2018-04-04,201815,345,345,345,345
2018-04-15,201816,304,304,304,304
2018-04-22,201817,264,264,264,264
2018-04-29,201818,240,240,240,240
2018-05-06,201819,220,220,220,220
2018-05-13,201820,155,155,155,155
2018-05-20,201821,123,123,123,123
2018-05-27,201822,105,105,105,105
2018-06-03,201823,76,76,76,76
2018-06-10,201824,105,105,105,105
2018-06-17,201825,76,76,76,76
2018-06-24,201826,51,51,51,51
2018-07-01,201827,53,53,53,53
2018-07-08,201828,31,31,31,31
2018-07-15,201829,40,40,40,40
2018-07-22,201830,30,30,30,30
2018-07-29,201831,30,30,30,30
2018-08-05,201832,34,34,34,34
2018-08-12,201833,27,27,27,27
2018-08-19,201834,25,25,25,25
2018-08-26,201835,17,17,17,17
2018-09-02,201836,24,24,24,24
2018-09-09,201837,8,8,8,8
2018-09-16,201838,17,17,17,17
2018-09-23,201839,10,10,10,10
2018-09-30,201840,22,22,22,22
2018-10-07,201841,13,13,13,13
2018-10-14,201842,21,21,21,21
2018-10-21,201843,16,16,16,16
2018-10-28,201844,13,13,13,13
2018-11-04,201845,28,28,28,28
2018-11-11,201846,24,24,24,24
2018-11-18,201847,27,27,27,27
2018-11-25,201848,28,28,28,28
2018-12-02,201849,35,35,35,35
2018-12-09,201850,29,29,29,29
2018-12-16,201851,14,14,14,14
2018-12-23,201852,4,4,4,4
2018-12-30,201901,19,19,19,19
2019-01-06,201902,23,23,23,23
2019-01-13,201903,17,17,17,17
2019-01-20,201904,17,17,17,17
2019-01-27,201905,20,20,20,20
2019-02-03,201906,21,21,21,21
2019-02-10,201907,15,15,15,15
2019-02-17,201908,18,18,18,18
2019-02-24,201909,13,13,13,13
2019-03-03,201910,19,19,19,19
2019-03-10,201911,27,27,27,27
2019-03-17,201912,34,34,34,34
2019-03-24,201913,39,39,39,39
2019-03-31,201914,35,35,35,35
2019-04-07,201915,33,33,33,33
2019-04-14,201916,27,27,27,27
2019-04-21,201917,27,27,27,27
2019-04-28,201918,40,40,40,40
2019-05-05,201919,38,38,38,38
2019-05-12,201920,39,39,39,39
2019-05-19,201921,24,24,24,24
2019-05-26,201922,21,21,21,21
2019-06-02,201923,18,18,18,18
2019-06-09,201924,27,27,27,27
2019-06-16,201925,25,25,25,25
2019-06-23,201926,14,14,14,14
2019-06-30,201927,14,14,14,14
2019-07-07,201928,11,11,11,11
2019-07-14,201929,12,12,12,12
2019-07-21,201930,9,9,9,9
2019-07-28,201931,9,9,9,9
2019-08-04,201932,13,13,13,13
2019-08-11,201933,4,4,4,4
2019-08-18,201934,5,5,5,5
2019-08-25,201935,6,6,6,6
2019-09-01,201936,5,5,5,5
2019-09-08,201937,5,5,5,5
2019-09-15,201938,9,9,9,9
2019-09-22,201939,8,8,8,8
2019-09-29,201940,10,10,10,10
2019-10-06,201941,5,5,5,5
2019-10-13,201942,7,7,7,7
2019-10-20,201943,13,13,13,13
2019-10-27,201944,13,13,13,13
2019-11-03,201945,12,12,12,12
2019-11-10,201946,6,6,6,6
2019-11-17,201947,13,13,13,13
2019-11-24,201948,8,8,8,8
2019-12-01,201949,12,12,12,12
2019-12-08,201950,25,25,25,25
2019-12-15,201951,10,10,10,10
2019-12-22,201952,12,12,12,12
2019-12-29,202001,19,19,19,19
2020-01-05,202002,33,33,33,33
2020-01-12,202003,41,41,41,41
2020-01-19,202004,42,42,42,42
2020-01-26,202005,50,50,50,50
