"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,19,19,19,19
2018-01-07,201802,38,38,38,38
2018-01-14,201803,20,20,20,20
2018-01-21,201804,18,18,18,18
2018-01-28,201805,18,18,18,18
2018-02-04,201806,11,11,11,11
2018-02-11,201807,23,23,23,23
2018-02-18,201808,23,23,23,23
2018-02-25,201809,31,31,31,31
2018-03-04,201810,33,33,33,33
2018-03-11,201811,34,34,34,34
2018-03-18,201812,32,32,32,32
2018-03-25,201813,20,20,20,20
2018-04-01,201814,58,58,58,58
2018-04-04,201815,26,26,26,26
2018-04-15,201816,23,23,23,23
2018-04-22,201817,25,25,25,25
2018-04-29,201818,53,53,53,53
2018-05-06,201819,49,49,49,49
2018-05-13,201820,44,44,44,44
2018-05-20,201821,47,47,47,47
2018-05-27,201822,44,44,44,44
2018-06-03,201823,60,60,60,60
2018-06-10,201824,61,61,61,61
2018-06-17,201825,58,58,58,58
2018-06-24,201826,54,54,54,54
2018-07-01,201827,51,51,51,51
2018-07-08,201828,60,60,60,60
2018-07-15,201829,38,38,38,38
2018-07-22,201830,41,41,41,41
2018-07-29,201831,26,26,26,26
2018-08-05,201832,20,20,20,20
2018-08-12,201833,26,26,26,26
2018-08-19,201834,25,25,25,25
2018-08-26,201835,19,19,19,19
2018-09-02,201836,23,23,23,23
2018-09-09,201837,27,27,27,27
2018-09-16,201838,17,17,17,17
2018-09-23,201839,16,16,16,16
2018-09-30,201840,18,18,18,18
2018-10-07,201841,12,12,12,12
2018-10-14,201842,14,14,14,14
2018-10-21,201843,10,10,10,10
2018-10-28,201844,19,19,19,19
2018-11-04,201845,7,7,7,7
2018-11-11,201846,7,7,7,7
2018-11-18,201847,11,11,11,11
2018-11-25,201848,12,12,12,12
2018-12-02,201849,11,11,11,11
2018-12-09,201850,11,11,11,11
2018-12-16,201851,7,7,7,7
2018-12-23,201852,8,8,8,8
2018-12-30,201901,18,18,18,18
2019-01-06,201902,20,20,20,20
2019-01-13,201903,18,18,18,18
2019-01-20,201904,20,20,20,20
2019-01-27,201905,28,28,28,28
2019-02-03,201906,18,18,18,18
2019-02-10,201907,19,19,19,19
2019-02-17,201908,30,30,30,30
2019-02-24,201909,14,14,14,14
2019-03-03,201910,28,28,28,28
2019-03-10,201911,23,23,23,23
2019-03-17,201912,40,40,40,40
2019-03-24,201913,38,38,38,38
2019-03-31,201914,56,56,56,56
2019-04-07,201915,68,68,68,68
2019-04-14,201916,68,68,68,68
2019-04-21,201917,77,77,77,77
2019-04-28,201918,118,118,118,118
2019-05-05,201919,53,53,53,53
2019-05-12,201920,63,63,63,63
2019-05-19,201921,65,65,65,65
