"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,31,31,31,31
2018-01-07,201802,19,19,19,19
2018-01-14,201803,21,21,21,21
2018-01-21,201804,31,31,31,31
2018-01-28,201805,29,29,29,29
2018-02-04,201806,22,22,22,22
2018-02-11,201807,23,23,23,23
2018-02-18,201808,17,17,17,17
2018-02-25,201809,23,23,23,23
2018-03-04,201810,23,23,23,23
2018-03-11,201811,30,30,30,30
2018-03-18,201812,19,19,19,19
2018-03-25,201813,29,29,29,29
2018-04-01,201814,26,26,26,26
2018-04-04,201815,15,15,15,15
2018-04-15,201816,27,27,27,27
2018-04-22,201817,20,20,20,20
2018-04-29,201818,40,40,40,40
2018-05-06,201819,34,34,34,34
2018-05-13,201820,23,23,23,23
2018-05-20,201821,6,6,6,6
2018-05-27,201822,26,26,26,26
2018-06-03,201823,18,18,18,18
2018-06-10,201824,21,21,21,21
2018-06-17,201825,17,17,17,17
2018-06-24,201826,16,16,16,16
2018-07-01,201827,32,32,32,32
2018-07-08,201828,42,42,42,42
2018-07-15,201829,26,26,26,26
2018-07-22,201830,23,23,23,23
2018-07-29,201831,24,24,24,24
2018-08-05,201832,16,16,16,16
2018-08-12,201833,14,14,14,14
2018-08-19,201834,11,11,11,11
2018-08-26,201835,8,8,8,8
2018-09-02,201836,9,9,9,9
2018-09-09,201837,8,8,8,8
2018-09-16,201838,12,12,12,12
2018-09-23,201839,13,13,13,13
2018-09-30,201840,8,8,8,8
2018-10-07,201841,6,6,6,6
2018-10-14,201842,9,9,9,9
2018-10-21,201843,8,8,8,8
2018-10-28,201844,10,10,10,10
2018-11-04,201845,3,3,3,3
2018-11-11,201846,5,5,5,5
2018-11-18,201847,1,1,1,1
2018-11-25,201848,3,3,3,3
2018-12-02,201849,2,2,2,2
2018-12-09,201850,8,8,8,8
2018-12-16,201851,5,5,5,5
2018-12-23,201852,4,4,4,4
2018-12-30,201901,7,7,7,7
2019-01-06,201902,6,6,6,6
2019-01-13,201903,10,10,10,10
2019-01-20,201904,18,18,18,18
2019-01-27,201905,10,10,10,10
2019-02-03,201906,15,15,15,15
2019-02-10,201907,11,11,11,11
2019-02-17,201908,29,29,29,29
2019-02-24,201909,6,6,6,6
2019-03-03,201910,16,16,16,16
2019-03-10,201911,26,26,26,26
2019-03-17,201912,47,47,47,47
2019-03-24,201913,40,40,40,40
2019-03-31,201914,39,39,39,39
2019-04-07,201915,49,49,49,49
2019-04-14,201916,53,53,53,53
2019-04-21,201917,79,79,79,79
2019-04-28,201918,71,71,71,71
2019-05-05,201919,70,70,70,70
2019-05-12,201920,75,75,75,75
2019-05-19,201921,65,65,65,65
2019-05-26,201922,46,46,46,46
2019-06-02,201923,60,60,60,60
2019-06-09,201924,43,43,43,43
2019-06-16,201925,43,43,43,43
2019-06-23,201926,43,43,43,43
