"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,609,609,609,609
2018-01-07,201802,611,611,611,611
2018-01-14,201803,711,711,711,711
2018-01-21,201804,696,696,696,696
2018-01-28,201805,681,681,681,681
2018-02-04,201806,554,554,554,554
2018-02-11,201807,493,493,493,493
2018-02-18,201808,463,463,463,463
2018-02-25,201809,467,467,467,467
2018-03-04,201810,550,550,550,550
2018-03-11,201811,443,443,443,443
2018-03-18,201812,440,440,440,440
2018-03-25,201813,377,377,377,377
2018-04-01,201814,539,539,539,539
2018-04-04,201815,546,546,546,546
2018-04-15,201816,426,426,426,426
2018-04-22,201817,481,481,481,481
2018-04-29,201818,390,390,390,390
2018-05-06,201819,355,355,355,355
2018-05-13,201820,265,265,265,265
2018-05-20,201821,195,195,195,195
2018-05-27,201822,153,153,153,153
2018-06-03,201823,139,139,139,139
2018-06-10,201824,170,170,170,170
2018-06-17,201825,226,226,226,226
2018-06-24,201826,240,240,240,240
2018-07-01,201827,204,204,204,204
2018-07-08,201828,189,189,189,189
2018-07-15,201829,191,191,191,191
2018-07-22,201830,164,164,164,164
2018-07-29,201831,151,151,151,151
2018-08-05,201832,122,122,122,122
2018-08-12,201833,135,135,135,135
2018-08-19,201834,147,147,147,147
2018-08-26,201835,163,163,163,163
2018-09-02,201836,142,142,142,142
2018-09-09,201837,188,188,188,188
2018-09-16,201838,221,221,221,221
2018-09-23,201839,233,233,233,233
2018-09-30,201840,269,269,269,269
2018-10-07,201841,224,224,224,224
2018-10-14,201842,304,304,304,304
2018-10-21,201843,295,295,295,295
2018-10-28,201844,316,316,316,316
2018-11-04,201845,330,330,330,330
2018-11-11,201846,327,327,327,327
2018-11-18,201847,381,381,381,381
2018-11-25,201848,445,445,445,445
2018-12-02,201849,474,474,474,474
2018-12-09,201850,445,445,445,445
2018-12-16,201851,344,344,344,344
2018-12-23,201852,353,353,353,353
2018-12-30,201901,1240,1240,1240,1240
2019-01-06,201902,637,637,637,637
2019-01-13,201903,662,662,662,662
2019-01-20,201904,884,884,884,884
2019-01-27,201905,978,978,978,978
2019-02-03,201906,1242,1242,1242,1242
2019-02-10,201907,1427,1427,1427,1427
2019-02-17,201908,1594,1594,1594,1594
2019-02-24,201909,1706,1706,1706,1706
2019-03-03,201910,1906,1906,1906,1906
2019-03-10,201911,2557,2557,2557,2557
2019-03-17,201912,3433,3433,3433,3433
2019-03-24,201913,3803,3803,3803,3803
2019-03-31,201914,4227,4227,4227,4227
2019-04-07,201915,4823,4823,4823,4823
2019-04-14,201916,5453,5453,5453,5453
2019-04-21,201917,5803,5803,5803,5803
2019-04-28,201918,6356,6356,6356,6356
2019-05-05,201919,6923,6923,6923,6923
2019-05-12,201920,6531,6531,6531,6531
2019-05-19,201921,5163,5163,5163,5163
2019-05-26,201922,4189,4189,4189,4189
2019-06-02,201923,3338,3338,3338,3338
2019-06-09,201924,3212,3212,3212,3212
2019-06-16,201925,2604,2604,2604,2604
2019-06-23,201926,2356,2356,2356,2356
2019-06-30,201927,1431,1431,1431,1431
2019-07-07,201928,1128,1128,1128,1128
2019-07-14,201929,825,825,825,825
2019-07-21,201930,825,825,825,825
2019-07-28,201931,718,718,718,718
2019-08-04,201932,666,666,666,666
2019-08-11,201933,601,601,601,601
2019-08-18,201934,599,599,599,599
2019-08-25,201935,594,594,594,594
2019-09-01,201936,564,564,564,564
2019-09-08,201937,689,689,689,689
2019-09-15,201938,635,635,635,635
2019-09-22,201939,647,647,647,647
2019-09-29,201940,746,746,746,746
2019-10-06,201941,741,741,741,741
2019-10-13,201942,852,852,852,852
2019-10-20,201943,941,941,941,941
2019-10-27,201944,1014,1014,1014,1014
2019-11-03,201945,1187,1187,1187,1187
2019-11-10,201946,1299,1299,1299,1299
2019-11-17,201947,1681,1681,1681,1681
2019-11-24,201948,1902,1902,1902,1902
2019-12-01,201949,2315,2315,2315,2315
2019-12-08,201950,2682,2682,2682,2682
2019-12-15,201951,2848,2848,2848,2848
2019-12-22,201952,2294,2294,2294,2294
2019-12-29,202001,3042,3042,3042,3042
2020-01-05,202002,6674,6674,6674,6674
2020-01-12,202003,9246,9246,9246,9246
2020-01-19,202004,13197,13197,13197,13197
2020-01-26,202005,15153,15153,15153,15153
2020-02-02,202006,21531,21531,21531,21531
2020-02-09,202007,28811,28811,28811,28811
