"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,256,256,256,256
2018-01-07,201802,177,177,177,177
2018-01-14,201803,294,294,294,294
2018-01-21,201804,267,267,267,267
2018-01-28,201805,323,323,323,323
2018-02-04,201806,377,377,377,377
2018-02-11,201807,442,442,442,442
2018-02-18,201808,725,725,725,725
2018-02-25,201809,998,998,998,998
2018-03-04,201810,1264,1264,1264,1264
2018-03-11,201811,1529,1529,1529,1529
2018-03-18,201812,1745,1745,1745,1745
2018-03-25,201813,1824,1824,1824,1824
2018-04-01,201814,2084,2084,2084,2084
2018-04-04,201815,2151,2151,2151,2151
2018-04-15,201816,2054,2054,2054,2054
2018-04-22,201817,1849,1849,1849,1849
2018-04-29,201818,2407,2407,2407,2407
2018-05-06,201819,1998,1998,1998,1998
2018-05-13,201820,1984,1984,1984,1984
2018-05-20,201821,1540,1540,1540,1540
2018-05-27,201822,1279,1279,1279,1279
2018-06-03,201823,1392,1392,1392,1392
2018-06-10,201824,1322,1322,1322,1322
2018-06-17,201825,1079,1079,1079,1079
2018-06-24,201826,1205,1205,1205,1205
2018-07-01,201827,1166,1166,1166,1166
2018-07-08,201828,1059,1059,1059,1059
2018-07-15,201829,967,967,967,967
2018-07-22,201830,777,777,777,777
2018-07-29,201831,708,708,708,708
2018-08-05,201832,578,578,578,578
2018-08-12,201833,572,572,572,572
2018-08-19,201834,472,472,472,472
2018-08-26,201835,397,397,397,397
2018-09-02,201836,288,288,288,288
2018-09-09,201837,321,321,321,321
2018-09-16,201838,307,307,307,307
2018-09-23,201839,478,478,478,478
2018-09-30,201840,371,371,371,371
2018-10-07,201841,346,346,346,346
2018-10-14,201842,335,335,335,335
2018-10-21,201843,345,345,345,345
2018-10-28,201844,309,309,309,309
2018-11-04,201845,329,329,329,329
2018-11-11,201846,278,278,278,278
2018-11-18,201847,358,358,358,358
2018-11-25,201848,419,419,419,419
2018-12-02,201849,481,481,481,481
2018-12-09,201850,532,532,532,532
2018-12-16,201851,397,397,397,397
2018-12-23,201852,245,245,245,245
2018-12-30,201901,948,948,948,948
2019-01-06,201902,976,976,976,976
2019-01-13,201903,978,978,978,978
2019-01-20,201904,998,998,998,998
2019-01-27,201905,917,917,917,917
