"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,40,40,40,40
2018-01-07,201802,42,42,42,42
2018-01-14,201803,49,49,49,49
2018-01-21,201804,36,36,36,36
2018-01-28,201805,40,40,40,40
2018-02-04,201806,36,36,36,36
2018-02-11,201807,33,33,33,33
2018-02-18,201808,47,47,47,47
2018-02-25,201809,66,66,66,66
2018-03-04,201810,88,88,88,88
2018-03-11,201811,95,95,95,95
2018-03-18,201812,58,58,58,58
2018-03-25,201813,52,52,52,52
2018-04-01,201814,52,52,52,52
2018-04-04,201815,63,63,63,63
2018-04-15,201816,73,73,73,73
2018-04-22,201817,86,86,86,86
2018-04-29,201818,115,115,115,115
2018-05-06,201819,144,144,144,144
2018-05-13,201820,74,74,74,74
2018-05-20,201821,101,101,101,101
2018-05-27,201822,77,77,77,77
2018-06-03,201823,77,77,77,77
2018-06-10,201824,91,91,91,91
2018-06-17,201825,92,92,92,92
2018-06-24,201826,101,101,101,101
2018-07-01,201827,163,163,163,163
2018-07-08,201828,195,195,195,195
2018-07-15,201829,250,250,250,250
2018-07-22,201830,202,202,202,202
2018-07-29,201831,149,149,149,149
2018-08-05,201832,111,111,111,111
2018-08-12,201833,91,91,91,91
2018-08-19,201834,81,81,81,81
2018-08-26,201835,74,74,74,74
2018-09-02,201836,70,70,70,70
2018-09-09,201837,68,68,68,68
2018-09-16,201838,58,58,58,58
2018-09-23,201839,24,24,24,24
2018-09-30,201840,27,27,27,27
2018-10-07,201841,36,36,36,36
2018-10-14,201842,40,40,40,40
2018-10-21,201843,15,15,15,15
2018-10-28,201844,26,26,26,26
2018-11-04,201845,25,25,25,25
2018-11-11,201846,40,40,40,40
2018-11-18,201847,21,21,21,21
2018-11-25,201848,19,19,19,19
2018-12-02,201849,22,22,22,22
2018-12-09,201850,20,20,20,20
2018-12-16,201851,19,19,19,19
2018-12-23,201852,10,10,10,10
2018-12-30,201901,42,42,42,42
2019-01-06,201902,28,28,28,28
2019-01-13,201903,22,22,22,22
2019-01-20,201904,22,22,22,22
2019-01-27,201905,22,22,22,22
2019-02-03,201906,21,21,21,21
2019-02-10,201907,23,23,23,23
2019-02-17,201908,25,25,25,25
2019-02-24,201909,37,37,37,37
2019-03-03,201910,46,46,46,46
2019-03-10,201911,91,91,91,91
2019-03-17,201912,116,116,116,116
2019-03-24,201913,130,130,130,130
2019-03-31,201914,154,154,154,154
2019-04-07,201915,190,190,190,190
2019-04-14,201916,237,237,237,237
2019-04-21,201917,222,222,222,222
2019-04-28,201918,402,402,402,402
2019-05-05,201919,510,510,510,510
2019-05-12,201920,527,527,527,527
2019-05-19,201921,679,679,679,679
2019-05-26,201922,691,691,691,691
2019-06-02,201923,666,666,666,666
2019-06-09,201924,610,610,610,610
2019-06-16,201925,659,659,659,659
2019-06-23,201926,668,668,668,668
2019-06-30,201927,830,830,830,830
2019-07-07,201928,811,811,811,811
2019-07-14,201929,815,815,815,815
2019-07-21,201930,652,652,652,652
2019-07-28,201931,614,614,614,614
2019-08-04,201932,624,624,624,624
2019-08-11,201933,558,558,558,558
2019-08-18,201934,550,550,550,550
2019-08-25,201935,397,397,397,397
2019-09-01,201936,492,492,492,492
2019-09-08,201937,394,394,394,394
2019-09-15,201938,280,280,280,280
2019-09-22,201939,231,231,231,231
2019-09-29,201940,245,245,245,245
2019-10-06,201941,224,224,224,224
2019-10-13,201942,235,235,235,235
2019-10-20,201943,180,180,180,180
2019-10-27,201944,101,101,101,101
2019-11-03,201945,98,98,98,98
2019-11-10,201946,66,66,66,66
2019-11-17,201947,81,81,81,81
2019-11-24,201948,60,60,60,60
2019-12-01,201949,48,48,48,48
2019-12-08,201950,34,34,34,34
2019-12-15,201951,34,34,34,34
2019-12-22,201952,36,36,36,36
2019-12-29,202001,48,48,48,48
2020-01-05,202002,64,64,64,64
2020-01-12,202003,70,70,70,70
2020-01-19,202004,59,59,59,59
2020-01-26,202005,54,54,54,54
2020-02-02,202006,85,85,85,85
2020-02-09,202007,75,75,75,75
2020-02-16,202008,85,85,85,85
2020-02-23,202009,97,97,97,97
2020-03-01,202010,130,130,130,130
2020-03-08,202011,165,165,165,165
2020-03-15,202012,113,113,113,113
2020-03-22,202013,73,73,73,73
2020-03-29,202014,116,116,116,116
2020-04-05,202015,122,122,122,122
2020-04-12,202016,190,190,190,190
2020-04-19,202017,216,216,216,216
2020-04-26,202018,185,185,185,185
2020-05-03,202019,250,250,250,250
2020-05-10,202020,290,290,290,290
2020-05-17,202021,233,233,233,233
2020-05-24,202022,350,350,350,350
2020-05-31,202023,310,310,310,310
2020-06-07,202024,324,324,324,324
2020-06-14,202025,424,424,424,424
2020-06-21,202026,410,410,410,410
2020-06-28,202027,453,453,453,453
2020-07-05,202028,372,372,372,372
2020-07-12,202029,307,307,307,307
2020-07-19,202030,316,316,316,316
2020-07-26,202031,243,243,243,243
2020-08-02,202032,267,267,267,267
2020-08-09,202033,203,203,203,203
2020-08-16,202034,137,137,137,137
2020-08-23,202035,134,134,134,134
2020-08-30,202036,104,104,104,104
2020-09-06,202037,91,91,91,91
2020-09-13,202038,70,70,70,70
2020-09-20,202039,74,74,74,74
2020-09-27,202040,56,56,56,56
2020-10-04,202041,54,54,54,54
2020-10-11,202042,47,47,47,47
2020-10-18,202043,37,37,37,37
2020-10-25,202044,28,28,28,28
2020-11-01,202045,29,29,29,29
2020-11-08,202046,25,25,25,25
2020-11-15,202047,40,40,40,40
2020-11-22,202048,33,33,33,33
2020-11-29,202049,43,43,43,43
2020-12-06,202050,26,26,26,26
2020-12-13,202051,33,33,33,33
2020-12-20,202052,16,16,16,16
2020-12-27,202053,18,18,18,18
2021-01-03,202101,14,14,14,14
2021-01-10,202102,20,20,20,20
2021-01-17,202103,23,23,23,23
2021-01-24,202104,24,24,24,24
2021-01-31,202105,41,41,41,41
2021-02-07,202106,41,41,41,41
2021-02-14,202107,35,35,35,35
2021-02-21,202108,25,25,25,25
2021-02-28,202109,54,54,54,54
2021-03-07,202110,107,107,107,107
2021-03-14,202111,150,150,150,150
2021-03-21,202112,117,117,117,117
2021-03-28,202113,134,134,134,134
2021-04-04,202114,177,177,177,177
2021-04-11,202115,191,191,191,191
2021-04-18,202116,312,312,312,312
2021-04-25,202117,274,274,274,274
2021-05-02,202118,267,267,267,267
2021-05-09,202119,218,218,218,218
2021-05-16,202120,226,226,226,226
2021-05-23,202121,274,274,274,274
2021-05-30,202122,233,233,233,233
2021-06-06,202123,249,249,249,249
2021-06-13,202124,231,231,231,231
2021-06-20,202125,165,165,165,165
2021-06-27,202126,180,180,180,180
2021-07-04,202127,161,161,161,161
2021-07-11,202128,112,112,112,112
2021-07-18,202129,117,117,117,117
2021-07-25,202130,102,102,102,102
2021-08-01,202131,121,121,121,121
2021-08-08,202132,99,99,99,99
2021-08-15,202133,104,104,104,104
2021-08-22,202134,84,84,84,84
2021-08-29,202135,76,76,76,76
2021-09-05,202136,63,63,63,63
2021-09-12,202137,66,66,66,66
2021-09-19,202138,51,51,51,51
2021-09-26,202139,62,62,62,62
2021-10-03,202140,57,57,57,57
2021-10-10,202141,50,50,50,50
2021-10-17,202142,48,48,48,48
2021-10-24,202143,37,37,37,37
2021-10-31,202144,76,76,76,76
2021-11-07,202145,81,81,81,81
2021-11-14,202146,62,62,62,62
2021-11-21,202147,92,92,92,92
2021-11-28,202148,73,73,73,73
2021-12-05,202149,64,64,64,64
2021-12-12,202150,59,59,59,59
2021-12-19,202151,31,31,31,31
2021-12-26,202152,8,8,8,8
2022-01-02,202201,73,73,73,73
2022-01-09,202202,88,88,88,88
2022-01-16,202203,58,58,58,58
2022-01-23,202204,80,80,80,80
2022-01-30,202205,65,65,65,65
2022-02-06,202206,86,86,86,86
2022-02-13,202207,114,114,114,114
2022-02-20,202208,134,134,134,134
2022-02-27,202209,194,194,194,194
2022-03-06,202210,244,244,244,244
2022-03-13,202211,303,303,303,303
2022-03-20,202212,251,251,251,251
2022-03-27,202213,295,295,295,295
2022-04-03,202214,330,330,330,330
2022-04-10,202215,440,440,440,440
2022-04-17,202216,611,611,611,611
2022-04-24,202217,896,896,896,896
2022-05-01,202218,948,948,948,948
2022-05-08,202219,956,956,956,956
2022-05-15,202220,1102,1102,1102,1102
2022-05-22,202221,1141,1141,1141,1141
2022-05-29,202222,1188,1188,1188,1188
2022-06-05,202223,1145,1145,1145,1145
2022-06-12,202224,905,905,905,905
2022-06-19,202225,736,736,736,736
2022-06-26,202226,677,677,677,677
2022-07-03,202227,688,688,688,688
2022-07-10,202228,594,594,594,594
2022-07-17,202229,590,590,590,590
2022-07-24,202230,596,596,596,596
2022-07-31,202231,519,519,519,519
2022-08-07,202232,564,564,564,564
2022-08-14,202233,472,472,472,472
2022-08-21,202234,324,324,324,324
2022-08-28,202235,322,322,322,322
2022-09-04,202236,236,236,236,236
2022-09-11,202237,208,208,208,208
2022-09-18,202238,171,171,171,171
2022-09-25,202239,151,151,151,151
2022-10-02,202240,120,120,120,120
2022-10-09,202241,118,118,118,118
2022-10-16,202242,79,79,79,79
2022-10-23,202243,78,78,78,78
2022-10-30,202244,97,97,97,97
2022-11-06,202245,83,83,83,83
2022-11-13,202246,68,68,68,68
2022-11-20,202247,37,37,37,37
2022-11-27,202248,53,53,53,53
2022-12-04,202249,52,52,52,52
2022-12-11,202250,24,24,24,24
2022-12-18,202251,34,34,34,34
2022-12-25,202252,35,35,35,35
2023-01-01,202301,78,78,78,78
2023-01-08,202302,84,84,84,84
2023-01-15,202303,128,128,128,128
2023-01-22,202304,100,100,100,100
2023-01-29,202305,80,80,80,80
2023-02-05,202306,84,84,84,84
2023-02-12,202307,64,64,64,64
2023-02-19,202308,83,83,83,83
2023-02-26,202309,98,98,98,98
2023-03-05,202310,81,81,81,81
2023-03-12,202311,64,64,64,64
2023-03-19,202312,113,113,113,113
2023-03-26,202313,135,135,135,135
2023-04-02,202314,166,166,166,166
2023-04-09,202315,267,267,267,267
2023-04-16,202316,203,203,203,203
2023-04-23,202317,136,136,136,136
2023-04-30,202318,128,128,128,128
2023-05-07,202319,104,104,104,104
2023-05-14,202320,104,104,104,104
2023-05-21,202321,59,59,59,59
2023-05-28,202322,120,120,120,120
2023-06-04,202323,86,86,86,86
2023-06-11,202324,63,63,63,63
2023-06-18,202325,87,87,87,87
2023-06-25,202326,61,61,61,61
2023-07-02,202327,55,55,55,55
2023-07-09,202328,41,41,41,41
2023-07-16,202329,48,48,48,48
2023-07-23,202330,36,36,36,36
2023-07-30,202331,43,43,43,43
2023-08-06,202332,57,57,57,57
2023-08-13,202333,40,40,40,40
2023-08-20,202334,27,27,27,27
2023-08-27,202335,32,32,32,32
2023-09-03,202336,36,36,36,36
2023-09-10,202337,25,25,25,25
2023-09-17,202338,36,36,36,36
2023-09-24,202339,37,37,37,37
2023-10-01,202340,47,47,47,47
2023-10-08,202341,31,31,31,31
2023-10-15,202342,42,42,42,42
2023-10-22,202343,21,21,21,21
2023-10-29,202344,28,28,28,28
2023-11-05,202345,29,29,29,29
2023-11-12,202346,30,30,30,30
2023-11-19,202347,31,31,31,31
