"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,14,14,14,14
2018-01-07,201802,13,13,13,13
2018-01-14,201803,25,25,25,25
2018-01-21,201804,17,17,17,17
2018-01-28,201805,15,15,15,15
2018-02-04,201806,12,12,12,12
2018-02-11,201807,12,12,12,12
2018-02-18,201808,13,13,13,13
2018-02-25,201809,9,9,9,9
2018-03-04,201810,13,13,13,13
2018-03-11,201811,12,12,12,12
2018-03-18,201812,13,13,13,13
2018-03-25,201813,4,4,4,4
2018-04-01,201814,28,28,28,28
2018-04-04,201815,21,21,21,21
2018-04-15,201816,21,21,21,21
2018-04-22,201817,12,12,12,12
2018-04-29,201818,18,18,18,18
2018-05-06,201819,10,10,10,10
2018-05-13,201820,4,4,4,4
2018-05-20,201821,11,11,11,11
2018-05-27,201822,10,10,10,10
2018-06-03,201823,5,5,5,5
2018-06-10,201824,6,6,6,6
2018-06-17,201825,5,5,5,5
2018-06-24,201826,5,5,5,5
2018-07-01,201827,8,8,8,8
2018-07-08,201828,6,6,6,6
2018-07-15,201829,7,7,7,7
2018-07-22,201830,4,4,4,4
2018-07-29,201831,7,7,7,7
2018-08-05,201832,4,4,4,4
2018-08-12,201833,8,8,8,8
2018-08-19,201834,5,5,5,5
2018-08-26,201835,2,2,2,2
2018-09-02,201836,3,3,3,3
2018-09-09,201837,3,3,3,3
2018-09-16,201838,3,3,3,3
2018-09-23,201839,4,4,4,4
2018-09-30,201840,4,4,4,4
2018-10-07,201841,3,3,3,3
2018-10-14,201842,5,5,5,5
2018-10-21,201843,5,5,5,5
2018-10-28,201844,4,4,4,4
2018-11-04,201845,8,8,8,8
2018-11-11,201846,7,7,7,7
2018-11-18,201847,5,5,5,5
2018-11-25,201848,3,3,3,3
2018-12-02,201849,7,7,7,7
2018-12-09,201850,5,5,5,5
2018-12-16,201851,9,9,9,9
2018-12-23,201852,1,1,1,1
2018-12-30,201901,13,13,13,13
2019-01-06,201902,9,9,9,9
2019-01-13,201903,11,11,11,11
2019-01-20,201904,10,10,10,10
2019-01-27,201905,11,11,11,11
2019-02-03,201906,6,6,6,6
2019-02-10,201907,5,5,5,5
2019-02-17,201908,11,11,11,11
2019-02-24,201909,7,7,7,7
2019-03-03,201910,5,5,5,5
2019-03-10,201911,12,12,12,12
2019-03-17,201912,18,18,18,18
2019-03-24,201913,18,18,18,18
2019-03-31,201914,11,11,11,11
2019-04-07,201915,12,12,12,12
2019-04-14,201916,14,14,14,14
2019-04-21,201917,21,21,21,21
2019-04-28,201918,37,37,37,37
2019-05-05,201919,17,17,17,17
2019-05-12,201920,11,11,11,11
2019-05-19,201921,5,5,5,5
2019-05-26,201922,11,11,11,11
2019-06-02,201923,7,7,7,7
2019-06-09,201924,10,10,10,10
2019-06-16,201925,5,5,5,5
2019-06-23,201926,3,3,3,3
2019-06-30,201927,15,15,15,15
2019-07-07,201928,6,6,6,6
2019-07-14,201929,13,13,13,13
2019-07-21,201930,17,17,17,17
2019-07-28,201931,12,12,12,12
2019-08-04,201932,5,5,5,5
2019-08-11,201933,11,11,11,11
2019-08-18,201934,16,16,16,16
2019-08-25,201935,15,15,15,15
2019-09-01,201936,6,6,6,6
2019-09-08,201937,6,6,6,6
2019-09-15,201938,4,4,4,4
2019-09-22,201939,15,15,15,15
2019-09-29,201940,8,8,8,8
2019-10-06,201941,8,8,8,8
2019-10-13,201942,6,6,6,6
2019-10-20,201943,16,16,16,16
2019-10-27,201944,7,7,7,7
2019-11-03,201945,9,9,9,9
2019-11-10,201946,8,8,8,8
2019-11-17,201947,17,17,17,17
2019-11-24,201948,28,28,28,28
2019-12-01,201949,22,22,22,22
2019-12-08,201950,22,22,22,22
2019-12-15,201951,12,12,12,12
2019-12-22,201952,8,8,8,8
2019-12-29,202001,21,21,21,21
2020-01-05,202002,25,25,25,25
2020-01-12,202003,38,38,38,38
2020-01-19,202004,53,53,53,53
2020-01-26,202005,45,45,45,45
2020-02-02,202006,40,40,40,40
2020-02-09,202007,62,62,62,62
2020-02-16,202008,42,42,42,42
2020-02-23,202009,35,35,35,35
2020-03-01,202010,38,38,38,38
2020-03-08,202011,57,57,57,57
2020-03-15,202012,50,50,50,50
2020-03-22,202013,60,60,60,60
2020-03-29,202014,43,43,43,43
2020-04-05,202015,39,39,39,39
2020-04-12,202016,24,24,24,24
2020-04-19,202017,16,16,16,16
2020-04-26,202018,15,15,15,15
2020-05-03,202019,20,20,20,20
2020-05-10,202020,19,19,19,19
2020-05-17,202021,16,16,16,16
2020-05-24,202022,14,14,14,14
2020-05-31,202023,19,19,19,19
2020-06-07,202024,7,7,7,7
2020-06-14,202025,10,10,10,10
2020-06-21,202026,7,7,7,7
2020-06-28,202027,10,10,10,10
2020-07-05,202028,6,6,6,6
2020-07-12,202029,5,5,5,5
2020-07-19,202030,8,8,8,8
2020-07-26,202031,6,6,6,6
2020-08-02,202032,7,7,7,7
2020-08-09,202033,7,7,7,7
2020-08-16,202034,4,4,4,4
2020-08-23,202035,8,8,8,8
2020-08-30,202036,7,7,7,7
2020-09-06,202037,2,2,2,2
2020-09-13,202038,12,12,12,12
2020-09-20,202039,8,8,8,8
2020-09-27,202040,6,6,6,6
2020-10-04,202041,1,1,1,1
2020-10-11,202042,6,6,6,6
2020-10-18,202043,3,3,3,3
2020-10-25,202044,3,3,3,3
2020-11-01,202045,7,7,7,7
2020-11-08,202046,6,6,6,6
2020-11-15,202047,13,13,13,13
2020-11-22,202048,21,21,21,21
2020-11-29,202049,26,26,26,26
2020-12-06,202050,21,21,21,21
2020-12-13,202051,17,17,17,17
2020-12-20,202052,11,11,11,11
2020-12-27,202053,6,6,6,6
2021-01-03,202101,22,22,22,22
2021-01-10,202102,13,13,13,13
2021-01-17,202103,13,13,13,13
2021-01-24,202104,10,10,10,10
2021-01-31,202105,19,19,19,19
2021-02-07,202106,29,29,29,29
2021-02-14,202107,13,13,13,13
2021-02-21,202108,17,17,17,17
2021-02-28,202109,22,22,22,22
2021-03-07,202110,21,21,21,21
2021-03-14,202111,29,29,29,29
2021-03-21,202112,18,18,18,18
2021-03-28,202113,14,14,14,14
2021-04-04,202114,10,10,10,10
2021-04-11,202115,10,10,10,10
2021-04-18,202116,8,8,8,8
2021-04-25,202117,3,3,3,3
2021-05-02,202118,11,11,11,11
2021-05-09,202119,6,6,6,6
2021-05-16,202120,1,1,1,1
2021-05-23,202121,5,5,5,5
2021-05-30,202122,7,7,7,7
2021-06-06,202123,8,8,8,8
2021-06-13,202124,6,6,6,6
2021-06-20,202125,4,4,4,4
2021-06-27,202126,4,4,4,4
2021-07-04,202127,4,4,4,4
2021-07-11,202128,2,2,2,2
2021-07-18,202129,4,4,4,4
2021-07-25,202130,3,3,3,3
2021-08-01,202131,7,7,7,7
2021-08-08,202132,4,4,4,4
2021-08-15,202133,6,6,6,6
2021-08-22,202134,3,3,3,3
2021-08-29,202135,2,2,2,2
2021-09-05,202136,4,4,4,4
2021-09-12,202137,4,4,4,4
2021-09-19,202138,0,0,0,0
2021-09-26,202139,3,3,3,3
2021-10-03,202140,6,6,6,6
2021-10-10,202141,0,0,0,0
2021-10-17,202142,2,2,2,2
2021-10-24,202143,3,3,3,3
2021-10-31,202144,5,5,5,5
2021-11-07,202145,4,4,4,4
2021-11-14,202146,8,8,8,8
2021-11-21,202147,1,1,1,1
2021-11-28,202148,2,2,2,2
2021-12-05,202149,3,3,3,3
2021-12-12,202150,4,4,4,4
2021-12-19,202151,4,4,4,4
2021-12-26,202152,1,1,1,1
2022-01-02,202201,20,20,20,20
2022-01-09,202202,40,40,40,40
2022-01-16,202203,13,13,13,13
2022-01-23,202204,10,10,10,10
2022-01-30,202205,7,7,7,7
2022-02-06,202206,3,3,3,3
2022-02-13,202207,5,5,5,5
2022-02-20,202208,10,10,10,10
2022-02-27,202209,18,18,18,18
2022-03-06,202210,14,14,14,14
2022-03-13,202211,14,14,14,14
2022-03-20,202212,15,15,15,15
2022-03-27,202213,16,16,16,16
2022-04-03,202214,20,20,20,20
2022-04-10,202215,26,26,26,26
2022-04-17,202216,22,22,22,22
2022-04-24,202217,14,14,14,14
2022-05-01,202218,21,21,21,21
2022-05-08,202219,15,15,15,15
2022-05-15,202220,18,18,18,18
2022-05-22,202221,10,10,10,10
2022-05-29,202222,7,7,7,7
2022-06-05,202223,7,7,7,7
2022-06-12,202224,12,12,12,12
2022-06-19,202225,2,2,2,2
2022-06-26,202226,8,8,8,8
2022-07-03,202227,12,12,12,12
2022-07-10,202228,7,7,7,7
2022-07-17,202229,7,7,7,7
2022-07-24,202230,6,6,6,6
2022-07-31,202231,12,12,12,12
2022-08-07,202232,6,6,6,6
2022-08-14,202233,5,5,5,5
2022-08-21,202234,5,5,5,5
2022-08-28,202235,5,5,5,5
2022-09-04,202236,5,5,5,5
2022-09-11,202237,3,3,3,3
2022-09-18,202238,1,1,1,1
2022-09-25,202239,6,6,6,6
2022-10-02,202240,5,5,5,5
2022-10-09,202241,3,3,3,3
2022-10-16,202242,0,0,0,0
2022-10-23,202243,2,2,2,2
2022-10-30,202244,4,4,4,4
2022-11-06,202245,8,8,8,8
2022-11-13,202246,4,4,4,4
2022-11-20,202247,4,4,4,4
2022-11-27,202248,5,5,5,5
2022-12-04,202249,2,2,2,2
2022-12-11,202250,3,3,3,3
2022-12-18,202251,7,7,7,7
2022-12-25,202252,4,4,4,4
2023-01-01,202301,11,11,11,11
2023-01-08,202302,11,11,11,11
2023-01-15,202303,16,16,16,16
2023-01-22,202304,17,17,17,17
2023-01-29,202305,15,15,15,15
2023-02-05,202306,14,14,14,14
2023-02-12,202307,13,13,13,13
2023-02-19,202308,15,15,15,15
2023-02-26,202309,17,17,17,17
2023-03-05,202310,21,21,21,21
2023-03-12,202311,36,36,36,36
2023-03-19,202312,48,48,48,48
2023-03-26,202313,48,48,48,48
2023-04-02,202314,44,44,44,44
2023-04-09,202315,38,38,38,38
2023-04-16,202316,31,31,31,31
2023-04-23,202317,42,42,42,42
2023-04-30,202318,39,39,39,39
2023-05-07,202319,48,48,48,48
2023-05-14,202320,27,27,27,27
2023-05-21,202321,19,19,19,19
2023-05-28,202322,19,19,19,19
2023-06-04,202323,17,17,17,17
2023-06-11,202324,7,7,7,7
2023-06-18,202325,16,16,16,16
2023-06-25,202326,12,12,12,12
2023-07-02,202327,16,16,16,16
2023-07-09,202328,18,18,18,18
2023-07-16,202329,21,21,21,21
2023-07-23,202330,9,9,9,9
2023-07-30,202331,14,14,14,14
2023-08-06,202332,16,16,16,16
2023-08-13,202333,17,17,17,17
2023-08-20,202334,13,13,13,13
2023-08-27,202335,14,14,14,14
2023-09-03,202336,12,12,12,12
2023-09-10,202337,9,9,9,9
2023-09-17,202338,13,13,13,13
2023-09-24,202339,8,8,8,8
2023-10-01,202340,8,8,8,8
2023-10-08,202341,14,14,14,14
2023-10-15,202342,15,15,15,15
2023-10-22,202343,20,20,20,20
2023-10-29,202344,7,7,7,7
2023-11-05,202345,13,13,13,13
2023-11-12,202346,13,13,13,13
2023-11-19,202347,5,5,5,5
2023-11-26,202348,10,10,10,10
2023-12-03,202349,16,16,16,16
2023-12-10,202350,16,16,16,16
2023-12-17,202351,27,27,27,27
2023-12-24,202352,23,23,23,23
2023-12-31,202401,71,71,71,71
2024-01-07,202402,71,71,71,76
2024-01-14,202403,39,39,39,49
2024-01-21,202404,28,29,28,43
2024-01-28,202405,38,41,38,62
2024-02-04,202406,71,77,71,116
2024-02-11,202407,75,85,75,141
2024-02-18,202408,94,111,95,194
2024-02-25,202409,75,99,77,220
2024-03-03,202410,10,40,13,203
2024-03-10,202411,0,42,3,236
