"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,3,3,3,3
2018-01-07,201802,10,10,10,10
2018-01-14,201803,10,10,10,10
2018-01-21,201804,4,4,4,4
2018-01-28,201805,7,7,7,7
2018-02-04,201806,9,9,9,9
2018-02-11,201807,9,9,9,9
2018-02-18,201808,6,6,6,6
2018-02-25,201809,5,5,5,5
2018-03-04,201810,9,9,9,9
2018-03-11,201811,6,6,6,6
2018-03-18,201812,3,3,3,3
2018-03-25,201813,8,8,8,8
2018-04-01,201814,5,5,5,5
2018-04-04,201815,2,2,2,2
2018-04-15,201816,6,6,6,6
2018-04-22,201817,9,9,9,9
2018-04-29,201818,15,15,15,15
2018-05-06,201819,9,9,9,9
2018-05-13,201820,7,7,7,7
2018-05-20,201821,27,27,27,27
2018-05-27,201822,17,17,17,17
2018-06-03,201823,9,9,9,9
2018-06-10,201824,8,8,8,8
2018-06-17,201825,3,3,3,3
2018-06-24,201826,4,4,4,4
2018-07-01,201827,2,2,2,2
2018-07-08,201828,2,2,2,2
2018-07-15,201829,5,5,5,5
2018-07-22,201830,4,4,4,4
2018-07-29,201831,9,9,9,9
2018-08-05,201832,2,2,2,2
2018-08-12,201833,7,7,7,7
2018-08-19,201834,4,4,4,4
2018-08-26,201835,3,3,3,3
2018-09-02,201836,0,0,0,0
2018-09-09,201837,1,1,1,1
2018-09-16,201838,2,2,2,2
2018-09-23,201839,4,4,4,4
2018-09-30,201840,3,3,3,3
2018-10-07,201841,5,5,5,5
2018-10-14,201842,3,3,3,3
2018-10-21,201843,5,5,5,5
2018-10-28,201844,3,3,3,3
2018-11-04,201845,4,4,4,4
2018-11-11,201846,2,2,2,2
2018-11-18,201847,0,0,0,0
2018-11-25,201848,0,0,0,0
2018-12-02,201849,1,1,1,1
2018-12-09,201850,1,1,1,1
2018-12-16,201851,2,2,2,2
2018-12-23,201852,1,1,1,1
2018-12-30,201901,9,9,9,9
2019-01-06,201902,9,9,9,9
2019-01-13,201903,5,5,5,5
2019-01-20,201904,11,11,11,11
2019-01-27,201905,6,6,6,6
2019-02-03,201906,8,8,8,8
2019-02-10,201907,10,10,10,10
2019-02-17,201908,10,10,10,10
2019-02-24,201909,4,4,4,4
2019-03-03,201910,9,9,9,9
2019-03-10,201911,9,9,9,9
2019-03-17,201912,8,8,8,8
2019-03-24,201913,9,9,9,9
2019-03-31,201914,8,8,8,8
