"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,12,12,12,12
2018-01-07,201802,9,9,9,9
2018-01-14,201803,12,12,12,12
2018-01-21,201804,16,16,16,16
2018-01-28,201805,18,18,18,18
2018-02-04,201806,12,12,12,12
2018-02-11,201807,13,13,13,13
2018-02-18,201808,16,16,16,16
2018-02-25,201809,10,10,10,10
2018-03-04,201810,14,14,14,14
2018-03-11,201811,11,11,11,11
2018-03-18,201812,10,10,10,10
2018-03-25,201813,9,9,9,9
2018-04-01,201814,13,13,13,13
2018-04-04,201815,6,6,6,6
2018-04-15,201816,7,7,7,7
2018-04-22,201817,7,7,7,7
2018-04-29,201818,9,9,9,9
2018-05-06,201819,9,9,9,9
2018-05-13,201820,15,15,15,15
2018-05-20,201821,5,5,5,5
2018-05-27,201822,2,2,2,2
2018-06-03,201823,10,10,10,10
2018-06-10,201824,9,9,9,9
2018-06-17,201825,4,4,4,4
2018-06-24,201826,7,7,7,7
2018-07-01,201827,6,6,6,6
2018-07-08,201828,6,6,6,6
2018-07-15,201829,4,4,4,4
2018-07-22,201830,2,2,2,2
2018-07-29,201831,5,5,5,5
2018-08-05,201832,3,3,3,3
2018-08-12,201833,3,3,3,3
2018-08-19,201834,6,6,6,6
2018-08-26,201835,5,5,5,5
2018-09-02,201836,2,2,2,2
2018-09-09,201837,5,5,5,5
2018-09-16,201838,7,7,7,7
2018-09-23,201839,2,2,2,2
2018-09-30,201840,2,2,2,2
2018-10-07,201841,5,5,5,5
2018-10-14,201842,5,5,5,5
2018-10-21,201843,11,11,11,11
2018-10-28,201844,7,7,7,7
2018-11-04,201845,4,4,4,4
2018-11-11,201846,5,5,5,5
2018-11-18,201847,8,8,8,8
2018-11-25,201848,7,7,7,7
2018-12-02,201849,2,2,2,2
2018-12-09,201850,10,10,10,10
2018-12-16,201851,4,4,4,4
2018-12-23,201852,1,1,1,1
2018-12-30,201901,10,10,10,10
2019-01-06,201902,8,8,8,8
2019-01-13,201903,17,17,17,17
2019-01-20,201904,15,15,15,15
2019-01-27,201905,20,20,20,20
2019-02-03,201906,20,20,20,20
2019-02-10,201907,11,11,11,11
2019-02-17,201908,15,15,15,15
2019-02-24,201909,10,10,10,10
2019-03-03,201910,12,12,12,12
2019-03-10,201911,12,12,12,12
2019-03-17,201912,13,13,13,13
2019-03-24,201913,13,13,13,13
2019-03-31,201914,20,20,20,20
2019-04-07,201915,31,31,31,31
2019-04-14,201916,32,32,32,32
2019-04-21,201917,23,23,23,23
2019-04-28,201918,29,29,29,29
2019-05-05,201919,32,32,32,32
2019-05-12,201920,34,34,34,34
2019-05-19,201921,32,32,32,32
2019-05-26,201922,24,24,24,24
2019-06-02,201923,19,19,19,19
2019-06-09,201924,31,31,31,31
2019-06-16,201925,12,12,12,12
2019-06-23,201926,10,10,10,10
2019-06-30,201927,7,7,7,7
2019-07-07,201928,12,12,12,12
2019-07-14,201929,6,6,6,6
2019-07-21,201930,10,10,10,10
2019-07-28,201931,9,9,9,9
2019-08-04,201932,6,6,6,6
2019-08-11,201933,6,6,6,6
2019-08-18,201934,11,11,11,11
2019-08-25,201935,7,7,7,7
2019-09-01,201936,4,4,4,4
2019-09-08,201937,8,8,8,8
2019-09-15,201938,6,6,6,6
2019-09-22,201939,7,7,7,7
2019-09-29,201940,7,7,7,7
2019-10-06,201941,10,10,10,10
2019-10-13,201942,9,9,9,9
2019-10-20,201943,5,5,5,5
2019-10-27,201944,9,9,9,9
2019-11-03,201945,7,7,7,7
2019-11-10,201946,13,13,13,13
2019-11-17,201947,10,10,10,10
