"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,9,9,9,9
2018-01-07,201802,5,5,5,5
2018-01-14,201803,7,7,7,7
2018-01-21,201804,7,7,7,7
2018-01-28,201805,6,6,6,6
2018-02-04,201806,6,6,6,6
2018-02-11,201807,8,8,8,8
2018-02-18,201808,10,10,10,10
2018-02-25,201809,6,6,6,6
2018-03-04,201810,2,2,2,2
2018-03-11,201811,10,10,10,10
2018-03-18,201812,8,8,8,8
2018-03-25,201813,9,9,9,9
2018-04-01,201814,6,6,6,6
2018-04-04,201815,15,15,15,15
2018-04-15,201816,12,12,12,12
2018-04-22,201817,8,8,8,8
2018-04-29,201818,17,17,17,17
2018-05-06,201819,22,22,22,22
2018-05-13,201820,20,20,20,20
2018-05-20,201821,36,36,36,36
2018-05-27,201822,19,19,19,19
2018-06-03,201823,24,24,24,24
2018-06-10,201824,9,9,9,9
2018-06-17,201825,11,11,11,11
2018-06-24,201826,5,5,5,5
2018-07-01,201827,6,6,6,6
2018-07-08,201828,10,10,10,10
2018-07-15,201829,19,19,19,19
2018-07-22,201830,4,4,4,4
2018-07-29,201831,4,4,4,4
2018-08-05,201832,9,9,9,9
2018-08-12,201833,12,12,12,12
2018-08-19,201834,12,12,12,12
2018-08-26,201835,6,6,6,6
2018-09-02,201836,8,8,8,8
2018-09-09,201837,13,13,13,13
2018-09-16,201838,7,7,7,7
2018-09-23,201839,10,10,10,10
2018-09-30,201840,17,17,17,17
2018-10-07,201841,18,18,18,18
2018-10-14,201842,6,6,6,6
2018-10-21,201843,12,12,12,12
2018-10-28,201844,8,8,8,8
2018-11-04,201845,10,10,10,10
2018-11-11,201846,12,12,12,12
2018-11-18,201847,12,12,12,12
2018-11-25,201848,7,7,7,7
2018-12-02,201849,10,10,10,10
2018-12-09,201850,5,5,5,5
2018-12-16,201851,5,5,5,5
2018-12-23,201852,7,7,7,7
2018-12-30,201901,15,15,15,15
2019-01-06,201902,14,14,14,14
2019-01-13,201903,17,17,17,17
2019-01-20,201904,14,14,14,14
2019-01-27,201905,10,10,10,10
2019-02-03,201906,18,18,18,18
2019-02-10,201907,17,17,17,17
2019-02-17,201908,11,11,11,11
2019-02-24,201909,16,16,16,16
2019-03-03,201910,40,40,40,40
2019-03-10,201911,49,49,49,49
2019-03-17,201912,36,36,36,36
2019-03-24,201913,42,42,42,42
2019-03-31,201914,76,76,76,76
2019-04-07,201915,117,117,117,117
2019-04-14,201916,80,80,80,80
2019-04-21,201917,120,120,120,120
2019-04-28,201918,207,207,207,207
2019-05-05,201919,232,232,232,232
2019-05-12,201920,302,302,302,302
2019-05-19,201921,297,297,297,297
2019-05-26,201922,348,348,348,348
2019-06-02,201923,338,338,338,338
2019-06-09,201924,430,430,430,430
2019-06-16,201925,447,447,447,447
2019-06-23,201926,658,658,658,658
2019-06-30,201927,685,685,685,685
2019-07-07,201928,673,673,673,673
2019-07-14,201929,645,645,645,645
2019-07-21,201930,726,726,726,726
2019-07-28,201931,684,684,684,684
2019-08-04,201932,504,504,504,504
2019-08-11,201933,471,471,471,471
2019-08-18,201934,436,436,436,436
2019-08-25,201935,335,335,335,335
2019-09-01,201936,339,339,339,339
2019-09-08,201937,335,335,335,335
2019-09-15,201938,281,281,281,281
2019-09-22,201939,202,202,202,202
2019-09-29,201940,201,201,201,201
2019-10-06,201941,179,179,179,179
2019-10-13,201942,147,147,147,147
2019-10-20,201943,142,142,142,142
2019-10-27,201944,149,149,149,149
2019-11-03,201945,107,107,107,107
2019-11-10,201946,88,88,88,88
2019-11-17,201947,66,66,66,66
2019-11-24,201948,44,44,44,44
