"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,4,4,4,4
2018-01-07,201802,0,0,0,0
2018-01-14,201803,0,0,0,0
2018-01-21,201804,2,2,2,2
2018-01-28,201805,3,3,3,3
2018-02-04,201806,1,1,1,1
2018-02-11,201807,0,0,0,0
2018-02-18,201808,4,4,4,4
2018-02-25,201809,1,1,1,1
2018-03-04,201810,0,0,0,0
2018-03-11,201811,4,4,4,4
2018-03-18,201812,2,2,2,2
2018-03-25,201813,2,2,2,2
2018-04-01,201814,3,3,3,3
2018-04-04,201815,1,1,1,1
2018-04-15,201816,3,3,3,3
2018-04-22,201817,1,1,1,1
2018-04-29,201818,4,4,4,4
2018-05-06,201819,4,4,4,4
2018-05-13,201820,1,1,1,1
2018-05-20,201821,8,8,8,8
2018-05-27,201822,5,5,5,5
2018-06-03,201823,1,1,1,1
2018-06-10,201824,1,1,1,1
2018-06-17,201825,0,0,0,0
2018-06-24,201826,1,1,1,1
2018-07-01,201827,0,0,0,0
2018-07-08,201828,1,1,1,1
2018-07-15,201829,1,1,1,1
2018-07-22,201830,2,2,2,2
2018-07-29,201831,2,2,2,2
2018-08-05,201832,4,4,4,4
2018-08-12,201833,1,1,1,1
2018-08-19,201834,1,1,1,1
2018-08-26,201835,1,1,1,1
2018-09-02,201836,0,0,0,0
2018-09-09,201837,3,3,3,3
2018-09-16,201838,2,2,2,2
2018-09-23,201839,1,1,1,1
2018-09-30,201840,1,1,1,1
2018-10-07,201841,4,4,4,4
2018-10-14,201842,0,0,0,0
2018-10-21,201843,4,4,4,4
2018-10-28,201844,0,0,0,0
2018-11-04,201845,1,1,1,1
2018-11-11,201846,1,1,1,1
2018-11-18,201847,2,2,2,2
2018-11-25,201848,2,2,2,2
2018-12-02,201849,3,3,3,3
2018-12-09,201850,1,1,1,1
2018-12-16,201851,2,2,2,2
2018-12-23,201852,0,0,0,0
2018-12-30,201901,5,5,5,5
2019-01-06,201902,1,1,1,1
2019-01-13,201903,4,4,4,4
2019-01-20,201904,5,5,5,5
2019-01-27,201905,0,0,0,0
2019-02-03,201906,8,8,8,8
2019-02-10,201907,2,2,2,2
2019-02-17,201908,5,5,5,5
2019-02-24,201909,2,2,2,2
2019-03-03,201910,4,4,4,4
2019-03-10,201911,2,2,2,2
2019-03-17,201912,8,8,8,8
2019-03-24,201913,4,4,4,4
2019-03-31,201914,5,5,5,5
2019-04-07,201915,3,3,3,3
2019-04-14,201916,1,1,1,1
2019-04-21,201917,4,4,4,4
2019-04-28,201918,10,10,10,10
2019-05-05,201919,20,20,20,20
2019-05-12,201920,16,16,16,16
2019-05-19,201921,15,15,15,15
2019-05-26,201922,12,12,12,12
2019-06-02,201923,13,13,13,13
2019-06-09,201924,11,11,11,11
2019-06-16,201925,27,27,27,27
2019-06-23,201926,23,23,23,23
2019-06-30,201927,21,21,21,21
2019-07-07,201928,43,43,43,43
2019-07-14,201929,32,32,32,32
2019-07-21,201930,19,19,19,19
2019-07-28,201931,31,31,31,31
2019-08-04,201932,38,38,38,38
2019-08-11,201933,36,36,36,36
2019-08-18,201934,42,42,42,42
2019-08-25,201935,41,41,41,41
2019-09-01,201936,23,23,23,23
2019-09-08,201937,22,22,22,22
2019-09-15,201938,22,22,22,22
2019-09-22,201939,14,14,14,14
2019-09-29,201940,14,14,14,14
2019-10-06,201941,15,15,15,15
2019-10-13,201942,13,13,13,13
2019-10-20,201943,13,13,13,13
2019-10-27,201944,14,14,14,14
2019-11-03,201945,16,16,16,16
2019-11-10,201946,12,12,12,12
2019-11-17,201947,10,10,10,10
2019-11-24,201948,7,7,7,7
2019-12-01,201949,7,7,7,7
2019-12-08,201950,4,4,4,4
2019-12-15,201951,8,8,8,8
2019-12-22,201952,0,0,0,0
2019-12-29,202001,2,2,2,2
2020-01-05,202002,5,5,5,5
2020-01-12,202003,5,5,5,5
2020-01-19,202004,3,3,3,3
2020-01-26,202005,3,3,3,3
2020-02-02,202006,2,2,2,2
2020-02-09,202007,1,1,1,1
2020-02-16,202008,1,1,1,1
2020-02-23,202009,1,1,1,1
2020-03-01,202010,7,7,7,7
2020-03-08,202011,18,18,18,18
2020-03-15,202012,11,11,11,11
2020-03-22,202013,7,7,7,7
2020-03-29,202014,5,5,5,5
2020-04-05,202015,6,6,6,6
2020-04-12,202016,11,11,11,11
2020-04-19,202017,17,17,17,17
2020-04-26,202018,18,18,18,18
2020-05-03,202019,19,19,19,19
2020-05-10,202020,38,38,38,38
2020-05-17,202021,46,46,46,46
2020-05-24,202022,62,62,62,62
2020-05-31,202023,87,87,87,87
2020-06-07,202024,123,123,123,123
2020-06-14,202025,166,166,166,166
2020-06-21,202026,178,178,178,178
2020-06-28,202027,253,253,253,253
2020-07-05,202028,319,319,319,319
2020-07-12,202029,315,315,315,315
2020-07-19,202030,327,327,327,327
2020-07-26,202031,265,265,265,265
2020-08-02,202032,324,324,324,324
2020-08-09,202033,268,268,268,268
2020-08-16,202034,221,221,221,221
2020-08-23,202035,195,195,195,195
2020-08-30,202036,223,223,223,223
2020-09-06,202037,196,196,196,196
2020-09-13,202038,198,198,198,198
2020-09-20,202039,198,198,198,198
2020-09-27,202040,168,168,168,168
2020-10-04,202041,132,132,132,132
2020-10-11,202042,101,101,101,101
2020-10-18,202043,87,87,87,87
2020-10-25,202044,54,54,54,54
2020-11-01,202045,68,68,68,68
2020-11-08,202046,43,43,43,43
2020-11-15,202047,31,31,31,31
2020-11-22,202048,37,37,37,37
2020-11-29,202049,46,46,46,46
2020-12-06,202050,42,42,42,42
2020-12-13,202051,27,27,27,27
2020-12-20,202052,25,25,25,25
2020-12-27,202053,14,14,14,14
2021-01-03,202101,28,28,28,28
2021-01-10,202102,22,22,22,22
2021-01-17,202103,33,33,33,33
2021-01-24,202104,32,32,32,32
2021-01-31,202105,44,44,44,44
2021-02-07,202106,39,39,39,39
2021-02-14,202107,47,47,47,47
2021-02-21,202108,42,42,42,42
2021-02-28,202109,57,57,57,57
2021-03-07,202110,54,54,54,54
2021-03-14,202111,32,32,32,32
2021-03-21,202112,23,23,23,23
2021-03-28,202113,26,26,26,26
2021-04-04,202114,35,35,35,35
2021-04-11,202115,32,32,32,32
2021-04-18,202116,29,29,29,29
2021-04-25,202117,58,58,58,58
2021-05-02,202118,70,70,70,70
2021-05-09,202119,62,62,62,62
2021-05-16,202120,89,89,89,89
2021-05-23,202121,111,111,111,111
2021-05-30,202122,93,93,93,93
2021-06-06,202123,144,144,144,144
2021-06-13,202124,180,180,180,180
2021-06-20,202125,184,184,184,184
2021-06-27,202126,196,196,196,196
2021-07-04,202127,212,212,212,212
2021-07-11,202128,185,185,185,185
2021-07-18,202129,202,202,202,202
2021-07-25,202130,233,233,233,233
2021-08-01,202131,301,301,301,301
2021-08-08,202132,281,281,281,281
2021-08-15,202133,190,190,190,190
2021-08-22,202134,184,184,184,184
2021-08-29,202135,195,195,195,195
2021-09-05,202136,256,256,256,256
2021-09-12,202137,212,212,212,212
2021-09-19,202138,174,174,174,174
2021-09-26,202139,152,152,152,152
2021-10-03,202140,155,155,155,155
2021-10-10,202141,146,146,146,146
2021-10-17,202142,118,118,118,118
2021-10-24,202143,80,80,80,80
2021-10-31,202144,105,105,105,105
2021-11-07,202145,96,96,96,96
2021-11-14,202146,101,101,101,101
2021-11-21,202147,106,106,106,106
2021-11-28,202148,91,91,91,91
2021-12-05,202149,105,105,105,105
2021-12-12,202150,79,79,79,79
2021-12-19,202151,19,19,19,19
2021-12-26,202152,0,0,0,0
2022-01-02,202201,57,57,57,57
2022-01-09,202202,81,81,81,81
2022-01-16,202203,61,61,61,61
2022-01-23,202204,48,48,48,48
2022-01-30,202205,101,101,101,101
2022-02-06,202206,121,121,121,121
2022-02-13,202207,100,100,100,100
2022-02-20,202208,98,98,98,98
2022-02-27,202209,114,114,114,114
2022-03-06,202210,133,133,133,133
2022-03-13,202211,136,136,136,136
2022-03-20,202212,136,136,136,136
2022-03-27,202213,134,134,134,134
2022-04-03,202214,146,146,146,146
2022-04-10,202215,171,171,171,171
2022-04-17,202216,194,194,194,194
2022-04-24,202217,244,244,244,244
2022-05-01,202218,207,207,207,207
2022-05-08,202219,259,259,259,259
2022-05-15,202220,333,333,333,333
2022-05-22,202221,263,263,263,263
2022-05-29,202222,313,313,313,313
2022-06-05,202223,280,280,280,280
2022-06-12,202224,241,241,241,241
2022-06-19,202225,256,256,256,256
2022-06-26,202226,300,300,300,300
2022-07-03,202227,277,277,277,277
2022-07-10,202228,260,260,260,260
2022-07-17,202229,271,271,271,271
2022-07-24,202230,252,252,252,252
2022-07-31,202231,296,296,296,296
2022-08-07,202232,232,232,232,232
2022-08-14,202233,249,249,249,249
2022-08-21,202234,208,208,208,208
2022-08-28,202235,177,177,177,177
2022-09-04,202236,133,133,133,133
2022-09-11,202237,156,156,156,156
2022-09-18,202238,137,137,137,137
2022-09-25,202239,109,109,109,109
2022-10-02,202240,121,121,121,121
2022-10-09,202241,93,93,93,93
2022-10-16,202242,89,89,89,89
2022-10-23,202243,60,60,60,60
2022-10-30,202244,93,93,93,93
2022-11-06,202245,88,88,88,88
2022-11-13,202246,82,82,82,82
2022-11-20,202247,73,73,73,73
2022-11-27,202248,70,70,70,70
2022-12-04,202249,55,55,55,55
2022-12-11,202250,57,57,57,57
2022-12-18,202251,53,53,53,53
2022-12-25,202252,52,52,52,52
2023-01-01,202301,89,89,89,89
2023-01-08,202302,110,110,110,110
2023-01-15,202303,83,83,83,83
2023-01-22,202304,95,95,95,95
2023-01-29,202305,81,81,81,81
2023-02-05,202306,71,71,71,71
2023-02-12,202307,76,76,76,76
2023-02-19,202308,93,93,93,93
2023-02-26,202309,116,116,116,116
2023-03-05,202310,102,102,102,102
2023-03-12,202311,102,102,102,102
2023-03-19,202312,108,108,108,108
2023-03-26,202313,131,131,131,131
2023-04-02,202314,123,123,123,123
2023-04-09,202315,152,152,152,152
2023-04-16,202316,124,124,124,124
2023-04-23,202317,135,135,135,135
2023-04-30,202318,186,186,186,186
2023-05-07,202319,177,177,177,177
2023-05-14,202320,173,173,173,173
2023-05-21,202321,105,105,105,105
2023-05-28,202322,137,137,137,137
2023-06-04,202323,114,114,114,114
2023-06-11,202324,120,120,120,120
2023-06-18,202325,114,114,114,114
2023-06-25,202326,132,132,132,132
2023-07-02,202327,107,107,107,107
2023-07-09,202328,128,128,128,128
2023-07-16,202329,114,114,114,114
2023-07-23,202330,101,101,101,101
2023-07-30,202331,131,131,131,131
2023-08-06,202332,117,117,117,117
2023-08-13,202333,129,129,129,129
2023-08-20,202334,109,109,109,109
2023-08-27,202335,116,116,116,116
2023-09-03,202336,60,60,60,60
2023-09-10,202337,64,64,64,64
2023-09-17,202338,52,52,52,52
2023-09-24,202339,72,72,72,72
2023-10-01,202340,51,51,51,51
2023-10-08,202341,40,40,40,40
2023-10-15,202342,46,46,46,46
2023-10-22,202343,37,37,37,37
2023-10-29,202344,36,36,36,36
2023-11-05,202345,38,38,38,38
2023-11-12,202346,25,25,25,25
2023-11-19,202347,22,22,22,22
2023-11-26,202348,36,36,36,36
2023-12-03,202349,26,26,26,26
2023-12-10,202350,35,35,35,35
2023-12-17,202351,25,25,25,25
2023-12-24,202352,14,14,14,14
2023-12-31,202401,42,42,42,42
2024-01-07,202402,36,36,36,42
2024-01-14,202403,33,33,33,44
2024-01-21,202404,43,43,43,59
2024-01-28,202405,46,47,46,67
2024-02-04,202406,51,52,51,80
2024-02-11,202407,108,114,108,149
2024-02-18,202408,130,145,130,211
2024-02-25,202409,122,157,123,314
2024-03-03,202410,76,160.5,85,574
