"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,2447,2447,2447,2447
2018-01-07,201802,2149,2149,2149,2149
2018-01-14,201803,2662,2662,2662,2662
2018-01-21,201804,2425,2425,2425,2425
2018-01-28,201805,2546,2546,2546,2546
2018-02-04,201806,2080,2080,2080,2080
2018-02-11,201807,2101,2101,2101,2101
2018-02-18,201808,2176,2176,2176,2176
2018-02-25,201809,2150,2150,2150,2150
2018-03-04,201810,2115,2115,2115,2115
2018-03-11,201811,2145,2145,2145,2145
2018-03-18,201812,2014,2014,2014,2014
2018-03-25,201813,1840,1840,1840,1840
2018-04-01,201814,2102,2102,2102,2102
2018-04-04,201815,2057,2057,2057,2057
2018-04-15,201816,1875,1875,1875,1875
2018-04-22,201817,1609,1609,1609,1609
2018-04-29,201818,1986,1986,1986,1986
2018-05-06,201819,1809,1809,1809,1809
2018-05-13,201820,1515,1515,1515,1515
2018-05-20,201821,1203,1203,1203,1203
2018-05-27,201822,1020,1020,1020,1020
2018-06-03,201823,1029,1029,1029,1029
2018-06-10,201824,1149,1149,1149,1149
2018-06-17,201825,1046,1046,1046,1046
2018-06-24,201826,976,976,976,976
2018-07-01,201827,798,798,798,798
2018-07-08,201828,616,616,616,616
2018-07-15,201829,728,728,728,728
2018-07-22,201830,665,665,665,665
2018-07-29,201831,630,630,630,630
2018-08-05,201832,570,570,570,570
2018-08-12,201833,692,692,692,692
2018-08-19,201834,686,686,686,686
2018-08-26,201835,689,689,689,689
2018-09-02,201836,586,586,586,586
2018-09-09,201837,705,705,705,705
2018-09-16,201838,764,764,764,764
2018-09-23,201839,869,869,869,869
2018-09-30,201840,902,902,902,902
2018-10-07,201841,906,906,906,906
2018-10-14,201842,1127,1127,1127,1127
2018-10-21,201843,1071,1071,1071,1071
2018-10-28,201844,1168,1168,1168,1168
2018-11-04,201845,1256,1256,1256,1256
2018-11-11,201846,1384,1384,1384,1384
2018-11-18,201847,1579,1579,1579,1579
2018-11-25,201848,1823,1823,1823,1823
2018-12-02,201849,2062,2062,2062,2062
2018-12-09,201850,2438,2438,2438,2438
2018-12-16,201851,2378,2378,2378,2378
2018-12-23,201852,2781,2781,2781,2781
2018-12-30,201901,5114,5114,5114,5114
2019-01-06,201902,5456,5456,5456,5456
2019-01-13,201903,7516,7516,7516,7516
2019-01-20,201904,10340,10340,10340,10340
2019-01-27,201905,13086,13086,13086,13086
2019-02-03,201906,16461,16461,16461,16461
2019-02-10,201907,18431,18431,18431,18431
2019-02-17,201908,20004,20004,20004,20004
2019-02-24,201909,18661,18661,18661,18661
2019-03-03,201910,20987,20987,20987,20987
2019-03-10,201911,24919,24919,24919,24919
2019-03-17,201912,28644,28644,28644,28644
2019-03-24,201913,32768,32768,32768,32768
2019-03-31,201914,36380,36380,36380,36380
2019-04-07,201915,39843,39843,39843,39843
2019-04-14,201916,41134,41134,41134,41134
2019-04-21,201917,44071,44071,44071,44071
2019-04-28,201918,43621,43621,43621,43621
2019-05-05,201919,46404,46404,46404,46404
2019-05-12,201920,43683,43683,43683,43683
2019-05-19,201921,34550,34550,34550,34550
2019-05-26,201922,25825,25825,25825,25825
2019-06-02,201923,19183,19183,19183,19183
2019-06-09,201924,16264,16264,16264,16264
2019-06-16,201925,12701,12701,12701,12701
2019-06-23,201926,11065,11065,11065,11065
2019-06-30,201927,6722,6722,6722,6722
2019-07-07,201928,5116,5116,5116,5116
2019-07-14,201929,3956,3956,3956,3956
2019-07-21,201930,3651,3651,3651,3651
2019-07-28,201931,3051,3051,3051,3051
2019-08-04,201932,2928,2928,2928,2928
2019-08-11,201933,2527,2527,2527,2527
2019-08-18,201934,2241,2241,2241,2241
2019-08-25,201935,2158,2158,2158,2158
2019-09-01,201936,2100,2100,2100,2100
2019-09-08,201937,2567,2567,2567,2567
2019-09-15,201938,2764,2764,2764,2764
2019-09-22,201939,2274,2274,2274,2274
2019-09-29,201940,2650,2650,2650,2650
2019-10-06,201941,2579,2579,2579,2579
2019-10-13,201942,2644,2644,2644,2644
2019-10-20,201943,2490,2490,2490,2490
2019-10-27,201944,2840,2840,2840,2840
2019-11-03,201945,2808,2808,2808,2808
2019-11-10,201946,2673,2673,2673,2673
2019-11-17,201947,3125,3125,3125,3125
2019-11-24,201948,3138,3138,3138,3138
2019-12-01,201949,3529,3529,3529,3529
2019-12-08,201950,3896,3896,3896,3896
2019-12-15,201951,3725,3725,3725,3725
2019-12-22,201952,3097,3097,3097,3097
2019-12-29,202001,4774,4774,4774,4774
2020-01-05,202002,9882,9882,9882,9882
2020-01-12,202003,13397,13397,13397,13397
2020-01-19,202004,17073,17073,17073,17073
2020-01-26,202005,19271,19271,19271,19271
2020-02-02,202006,24458,24458,24458,24458
2020-02-09,202007,27261,27261,27261,27261
2020-02-16,202008,23253,23253,23253,23253
2020-02-23,202009,23115,23115,23115,23115
2020-03-01,202010,24568,24568,24568,24568
2020-03-08,202011,22250,22250,22250,22250
2020-03-15,202012,15019,15019,15019,15019
2020-03-22,202013,13470,13470,13470,13470
2020-03-29,202014,12510,12510,12510,12510
2020-04-05,202015,11628,11628,11628,11628
2020-04-12,202016,11750,11750,11750,11750
2020-04-19,202017,10905,10905,10905,10905
2020-04-26,202018,10264,10264,10264,10264
2020-05-03,202019,9139,9139,9139,9139
2020-05-10,202020,7969,7969,7969,7969
2020-05-17,202021,5854,5854,5854,5854
2020-05-24,202022,4570,4570,4570,4570
2020-05-31,202023,4733,4733,4733,4733
2020-06-07,202024,4871,4871,4871,4871
2020-06-14,202025,4934,4934,4934,4934
2020-06-21,202026,3997,3997,3997,3997
2020-06-28,202027,3513,3513,3513,3513
2020-07-05,202028,3709,3709,3709,3709
2020-07-12,202029,3094,3094,3094,3094
2020-07-19,202030,2730,2730,2730,2730
2020-07-26,202031,2362,2362,2362,2362
2020-08-02,202032,2040,2040,2040,2040
2020-08-09,202033,2118,2118,2118,2118
2020-08-16,202034,1416,1416,1416,1416
2020-08-23,202035,1617,1617,1617,1617
2020-08-30,202036,1734,1734,1734,1734
2020-09-06,202037,1888,1888,1888,1888
2020-09-13,202038,1763,1763,1763,1763
2020-09-20,202039,1869,1869,1869,1869
2020-09-27,202040,1885,1885,1885,1885
2020-10-04,202041,1673,1673,1673,1673
2020-10-11,202042,1590,1590,1590,1590
2020-10-18,202043,1738,1738,1738,1738
2020-10-25,202044,1367,1367,1367,1367
2020-11-01,202045,1648,1648,1648,1648
2020-11-08,202046,1856,1856,1856,1856
2020-11-15,202047,1863,1863,1863,1863
2020-11-22,202048,2023,2023,2023,2023
2020-11-29,202049,2103,2103,2103,2103
2020-12-06,202050,2120,2120,2120,2120
2020-12-13,202051,2109,2109,2109,2109
2020-12-20,202052,2032,2032,2032,2032
2020-12-27,202053,1720,1720,1720,1720
2021-01-03,202101,3784,3784,3784,3784
2021-01-10,202102,3968,3968,3968,3968
2021-01-17,202103,4811,4811,4811,4811
2021-01-24,202104,5531,5531,5531,5531
2021-01-31,202105,7201,7201,7201,7201
2021-02-07,202106,8651,8651,8651,8651
2021-02-14,202107,10653,10653,10653,10653
2021-02-21,202108,11796,11796,11796,11796
2021-02-28,202109,14329,14329,14329,14329
2021-03-07,202110,15179,15179,15179,15179
2021-03-14,202111,16601,16601,16601,16601
2021-03-21,202112,16294,16294,16294,16294
2021-03-28,202113,19188,19188,19188,19188
2021-04-04,202114,21228,21228,21228,21228
2021-04-11,202115,19210,19210,19210,19210
2021-04-18,202116,19378,19378,19378,19378
2021-04-25,202117,17219,17219,17219,17219
2021-05-02,202118,15240,15240,15240,15240
2021-05-09,202119,13268,13268,13268,13268
2021-05-16,202120,10830,10830,10830,10830
2021-05-23,202121,8846,8846,8846,8846
2021-05-30,202122,7598,7598,7598,7598
2021-06-06,202123,6442,6442,6442,6442
2021-06-13,202124,5017,5017,5017,5017
2021-06-20,202125,3842,3842,3842,3842
2021-06-27,202126,2830,2830,2830,2830
2021-07-04,202127,2647,2647,2647,2647
2021-07-11,202128,2435,2435,2435,2435
2021-07-18,202129,1902,1902,1902,1902
2021-07-25,202130,1526,1526,1526,1526
2021-08-01,202131,1658,1658,1658,1658
2021-08-08,202132,1792,1792,1792,1792
2021-08-15,202133,1961,1961,1961,1961
2021-08-22,202134,1799,1799,1799,1799
2021-08-29,202135,1564,1564,1564,1564
2021-09-05,202136,1821,1821,1821,1821
2021-09-12,202137,1872,1872,1872,1872
2021-09-19,202138,1955,1955,1955,1955
2021-09-26,202139,1771,1771,1771,1771
2021-10-03,202140,1531,1531,1531,1531
2021-10-10,202141,1676,1676,1676,1676
2021-10-17,202142,1652,1652,1652,1652
2021-10-24,202143,1535,1535,1535,1535
2021-10-31,202144,1777,1777,1777,1777
2021-11-07,202145,1728,1728,1728,1728
2021-11-14,202146,2088,2088,2088,2088
2021-11-21,202147,2217,2217,2217,2217
2021-11-28,202148,2567,2567,2567,2567
2021-12-05,202149,2832,2832,2832,2832
2021-12-12,202150,2812,2812,2812,2812
2021-12-19,202151,2192,2192,2192,2192
2021-12-26,202152,921,921,921,921
2022-01-02,202201,5337,5337,5337,5337
2022-01-09,202202,5354,5354,5354,5354
2022-01-16,202203,5363,5363,5363,5363
2022-01-23,202204,4846,4846,4846,4846
2022-01-30,202205,5229,5229,5229,5229
2022-02-06,202206,6125,6125,6125,6125
2022-02-13,202207,7263,7263,7263,7263
2022-02-20,202208,7624,7624,7624,7624
2022-02-27,202209,12217,12217,12217,12217
2022-03-06,202210,16796,16796,16796,16796
2022-03-13,202211,20845,20845,20845,20845
2022-03-20,202212,26699,26699,26699,26699
2022-03-27,202213,30865,30865,30865,30865
2022-04-03,202214,35528,35528,35528,35528
2022-04-10,202215,38005,38005,38005,38005
2022-04-17,202216,40618,40618,40618,40618
2022-04-24,202217,45723,45723,45723,45723
2022-05-01,202218,49090,49090,49090,49090
2022-05-08,202219,41564,41564,41564,41564
2022-05-15,202220,27927,27927,27927,27927
2022-05-22,202221,23258,23258,23258,23258
2022-05-29,202222,20192,20192,20192,20192
2022-06-05,202223,15958,15958,15958,15958
2022-06-12,202224,11455,11455,11455,11455
2022-06-19,202225,11456,11456,11456,11456
2022-06-26,202226,9691,9691,9691,9691
2022-07-03,202227,8248,8248,8248,8248
2022-07-10,202228,7369,7369,7369,7369
2022-07-17,202229,6481,6481,6481,6481
2022-07-24,202230,5864,5864,5864,5864
2022-07-31,202231,5519,5519,5519,5519
2022-08-07,202232,4501,4501,4501,4501
2022-08-14,202233,4325,4325,4325,4325
2022-08-21,202234,4281,4281,4281,4281
2022-08-28,202235,3924,3924,3924,3924
2022-09-04,202236,4052,4052,4052,4052
2022-09-11,202237,3879,3879,3879,3879
2022-09-18,202238,3812,3812,3812,3812
2022-09-25,202239,3766,3766,3766,3766
2022-10-02,202240,4297,4297,4297,4297
2022-10-09,202241,4144,4144,4144,4144
2022-10-16,202242,4250,4250,4250,4250
2022-10-23,202243,4138,4138,4138,4138
2022-10-30,202244,3502,3502,3502,3502
2022-11-06,202245,3944,3944,3944,3944
2022-11-13,202246,4062,4062,4062,4062
2022-11-20,202247,3913,3913,3913,3913
2022-11-27,202248,3511,3511,3511,3511
2022-12-04,202249,2760,2760,2760,2760
2022-12-11,202250,1035,1035,1035,1035
2022-12-18,202251,253,253,253,253
2022-12-25,202252,2057,2057,2057,2057
2023-01-01,202301,7076,7076,7076,7076
2023-01-08,202302,7570,7570,7570,7570
2023-01-15,202303,9102,9102,9102,9102
2023-01-22,202304,11154,11154,11154,11154
2023-01-29,202305,13352,13352,13352,13352
2023-02-05,202306,17078,17078,17078,17078
2023-02-12,202307,18654,18654,18654,18654
2023-02-19,202308,21524,21524,21524,21524
2023-02-26,202309,27805,27805,27805,27805
2023-03-05,202310,32661,32661,32661,32661
2023-03-12,202311,38086,38086,38086,38086
2023-03-19,202312,46052,46052,46052,46052
2023-03-26,202313,47706,47706,47706,47706
2023-04-02,202314,44219,44219,44219,44219
2023-04-09,202315,48838,48838,48838,48838
2023-04-16,202316,40732,40732,40732,40732
2023-04-23,202317,36112,36112,36112,36112
2023-04-30,202318,39119,39119,39119,39119
2023-05-07,202319,35523,35523,35523,35523
2023-05-14,202320,29453,29453,29453,29453
2023-05-21,202321,21647,21647,21647,21647
2023-05-28,202322,15554,15554,15554,15554
2023-06-04,202323,11795,11795,11795,11795
2023-06-11,202324,9359,9359,9359,9359
2023-06-18,202325,8100,8100,8100,8100
2023-06-25,202326,7010,7010,7010,7010
2023-07-02,202327,5360,5360,5360,5360
2023-07-09,202328,4801,4801,4801,4801
2023-07-16,202329,4193,4193,4193,4193
2023-07-23,202330,4082,4082,4082,4082
