"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,128,128,128,128
2018-01-07,201802,125,125,125,125
2018-01-14,201803,112,112,112,112
2018-01-21,201804,118,118,118,118
2018-01-28,201805,90,90,90,90
2018-02-04,201806,92,92,92,92
2018-02-11,201807,91,91,91,91
2018-02-18,201808,115,115,115,115
2018-02-25,201809,65,65,65,65
2018-03-04,201810,76,76,76,76
2018-03-11,201811,103,103,103,103
2018-03-18,201812,60,60,60,60
2018-03-25,201813,74,74,74,74
2018-04-01,201814,69,69,69,69
2018-04-04,201815,77,77,77,77
2018-04-15,201816,58,58,58,58
2018-04-22,201817,64,64,64,64
2018-04-29,201818,54,54,54,54
2018-05-06,201819,70,70,70,70
2018-05-13,201820,43,43,43,43
2018-05-20,201821,46,46,46,46
2018-05-27,201822,43,43,43,43
2018-06-03,201823,45,45,45,45
2018-06-10,201824,49,49,49,49
2018-06-17,201825,43,43,43,43
2018-06-24,201826,43,43,43,43
2018-07-01,201827,46,46,46,46
2018-07-08,201828,36,36,36,36
2018-07-15,201829,50,50,50,50
2018-07-22,201830,35,35,35,35
2018-07-29,201831,40,40,40,40
2018-08-05,201832,37,37,37,37
2018-08-12,201833,62,62,62,62
2018-08-19,201834,43,43,43,43
2018-08-26,201835,66,66,66,66
2018-09-02,201836,34,34,34,34
2018-09-09,201837,52,52,52,52
2018-09-16,201838,66,66,66,66
2018-09-23,201839,58,58,58,58
2018-09-30,201840,60,60,60,60
2018-10-07,201841,51,51,51,51
2018-10-14,201842,67,67,67,67
2018-10-21,201843,62,62,62,62
2018-10-28,201844,75,75,75,75
2018-11-04,201845,66,66,66,66
2018-11-11,201846,70,70,70,70
2018-11-18,201847,82,82,82,82
2018-11-25,201848,97,97,97,97
2018-12-02,201849,84,84,84,84
2018-12-09,201850,106,106,106,106
2018-12-16,201851,48,48,48,48
2018-12-23,201852,22,22,22,22
2018-12-30,201901,112,112,112,112
2019-01-06,201902,148,148,148,148
2019-01-13,201903,144,144,144,144
2019-01-20,201904,185,185,185,185
2019-01-27,201905,193,193,193,193
2019-02-03,201906,217,217,217,217
2019-02-10,201907,201,201,201,201
2019-02-17,201908,236,236,236,236
2019-02-24,201909,186,186,186,186
2019-03-03,201910,211,211,211,211
2019-03-10,201911,234,234,234,234
2019-03-17,201912,208,208,208,208
2019-03-24,201913,202,202,202,202
2019-03-31,201914,217,217,217,217
2019-04-07,201915,179,179,179,179
2019-04-14,201916,202,202,202,202
2019-04-21,201917,188,188,188,188
2019-04-28,201918,187,187,187,187
2019-05-05,201919,217,217,217,217
2019-05-12,201920,169,169,169,169
2019-05-19,201921,181,181,181,181
2019-05-26,201922,148,148,148,148
2019-06-02,201923,104,104,104,104
2019-06-09,201924,85,85,85,85
2019-06-16,201925,59,59,59,59
2019-06-23,201926,63,63,63,63
2019-06-30,201927,44,44,44,44
2019-07-07,201928,61,61,61,61
2019-07-14,201929,43,43,43,43
2019-07-21,201930,51,51,51,51
2019-07-28,201931,43,43,43,43
2019-08-04,201932,29,29,29,29
2019-08-11,201933,50,50,50,50
2019-08-18,201934,36,36,36,36
2019-08-25,201935,44,44,44,44
2019-09-01,201936,39,39,39,39
2019-09-08,201937,50,50,50,50
2019-09-15,201938,55,55,55,55
2019-09-22,201939,43,43,43,43
2019-09-29,201940,40,40,40,40
2019-10-06,201941,58,58,58,58
2019-10-13,201942,52,52,52,52
2019-10-20,201943,34,34,34,34
2019-10-27,201944,47,47,47,47
2019-11-03,201945,45,45,45,45
2019-11-10,201946,41,41,41,41
2019-11-17,201947,34,34,34,34
2019-11-24,201948,40,40,40,40
2019-12-01,201949,38,38,38,38
2019-12-08,201950,48,48,48,48
2019-12-15,201951,46,46,46,46
2019-12-22,201952,45,45,45,45
2019-12-29,202001,37,37,37,37
2020-01-05,202002,82,82,82,82
2020-01-12,202003,70,70,70,70
2020-01-19,202004,75,75,75,75
2020-01-26,202005,80,80,80,80
2020-02-02,202006,80,80,80,80
2020-02-09,202007,98,98,98,98
2020-02-16,202008,95,95,95,95
2020-02-23,202009,81,81,81,81
2020-03-01,202010,104,104,104,104
2020-03-08,202011,96,96,96,96
2020-03-15,202012,49,49,49,49
2020-03-22,202013,66,66,66,66
2020-03-29,202014,37,37,37,37
2020-04-05,202015,23,23,23,23
2020-04-12,202016,32,32,32,32
2020-04-19,202017,31,31,31,31
2020-04-26,202018,35,35,35,35
2020-05-03,202019,34,34,34,34
2020-05-10,202020,47,47,47,47
2020-05-17,202021,27,27,27,27
2020-05-24,202022,24,24,24,24
2020-05-31,202023,25,25,25,25
2020-06-07,202024,29,29,29,29
2020-06-14,202025,41,41,41,41
2020-06-21,202026,24,24,24,24
2020-06-28,202027,28,28,28,28
2020-07-05,202028,38,38,38,38
2020-07-12,202029,18,18,18,18
2020-07-19,202030,16,16,16,16
2020-07-26,202031,36,36,36,36
2020-08-02,202032,13,13,13,13
2020-08-09,202033,27,27,27,27
2020-08-16,202034,18,18,18,18
2020-08-23,202035,26,26,26,26
2020-08-30,202036,28,28,28,28
2020-09-06,202037,25,25,25,25
2020-09-13,202038,23,23,23,23
2020-09-20,202039,30,30,30,30
2020-09-27,202040,30,30,30,30
2020-10-04,202041,34,34,34,34
2020-10-11,202042,15,15,15,15
2020-10-18,202043,25,25,25,25
2020-10-25,202044,15,15,15,15
2020-11-01,202045,21,21,21,21
2020-11-08,202046,26,26,26,26
2020-11-15,202047,31,31,31,31
2020-11-22,202048,36,36,36,36
2020-11-29,202049,53,53,53,53
2020-12-06,202050,45,45,45,45
2020-12-13,202051,42,42,42,42
2020-12-20,202052,64,64,64,64
2020-12-27,202053,36,36,36,36
2021-01-03,202101,126,126,126,126
2021-01-10,202102,156,156,156,156
2021-01-17,202103,305,305,305,305
2021-01-24,202104,411,411,411,411
