"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,34,34,34,34
2018-01-07,201802,34,34,34,34
2018-01-14,201803,29,29,29,29
2018-01-21,201804,32,32,32,32
2018-01-28,201805,23,23,23,23
2018-02-04,201806,30,30,30,30
2018-02-11,201807,34,34,34,34
2018-02-18,201808,32,32,32,32
2018-02-25,201809,37,37,37,37
2018-03-04,201810,40,40,40,40
2018-03-11,201811,28,28,28,28
2018-03-18,201812,22,22,22,22
2018-03-25,201813,23,23,23,23
2018-04-01,201814,36,36,36,36
2018-04-04,201815,55,55,55,55
2018-04-15,201816,58,58,58,58
2018-04-22,201817,38,38,38,38
2018-04-29,201818,54,54,54,54
2018-05-06,201819,32,32,32,32
2018-05-13,201820,27,27,27,27
2018-05-20,201821,29,29,29,29
2018-05-27,201822,20,20,20,20
2018-06-03,201823,15,15,15,15
2018-06-10,201824,18,18,18,18
2018-06-17,201825,9,9,9,9
2018-06-24,201826,17,17,17,17
2018-07-01,201827,11,11,11,11
2018-07-08,201828,13,13,13,13
2018-07-15,201829,16,16,16,16
2018-07-22,201830,10,10,10,10
2018-07-29,201831,13,13,13,13
2018-08-05,201832,12,12,12,12
2018-08-12,201833,17,17,17,17
2018-08-19,201834,17,17,17,17
2018-08-26,201835,6,6,6,6
2018-09-02,201836,12,12,12,12
2018-09-09,201837,6,6,6,6
2018-09-16,201838,9,9,9,9
2018-09-23,201839,11,11,11,11
2018-09-30,201840,21,21,21,21
2018-10-07,201841,17,17,17,17
2018-10-14,201842,18,18,18,18
2018-10-21,201843,15,15,15,15
2018-10-28,201844,21,21,21,21
2018-11-04,201845,22,22,22,22
2018-11-11,201846,30,30,30,30
2018-11-18,201847,29,29,29,29
2018-11-25,201848,42,42,42,42
2018-12-02,201849,46,46,46,46
2018-12-09,201850,63,63,63,63
2018-12-16,201851,60,60,60,60
2018-12-23,201852,42,42,42,42
2018-12-30,201901,86,86,86,86
2019-01-06,201902,103,103,103,103
2019-01-13,201903,65,65,65,65
2019-01-20,201904,81,81,81,81
2019-01-27,201905,83,83,83,83
2019-02-03,201906,116,116,116,116
2019-02-10,201907,84,84,84,84
2019-02-17,201908,72,72,72,72
2019-02-24,201909,68,68,68,68
2019-03-03,201910,74,74,74,74
2019-03-10,201911,79,79,79,79
2019-03-17,201912,82,82,82,82
2019-03-24,201913,63,63,63,63
2019-03-31,201914,64,64,64,64
2019-04-07,201915,43,43,43,43
2019-04-14,201916,23,23,23,23
2019-04-21,201917,27,27,27,27
2019-04-28,201918,46,46,46,46
2019-05-05,201919,37,37,37,37
2019-05-12,201920,32,32,32,32
2019-05-19,201921,28,28,28,28
2019-05-26,201922,27,27,27,27
2019-06-02,201923,21,21,21,21
2019-06-09,201924,24,24,24,24
2019-06-16,201925,18,18,18,18
2019-06-23,201926,6,6,6,6
2019-06-30,201927,12,12,12,12
2019-07-07,201928,7,7,7,7
2019-07-14,201929,5,5,5,5
2019-07-21,201930,9,9,9,9
2019-07-28,201931,5,5,5,5
2019-08-04,201932,5,5,5,5
2019-08-11,201933,3,3,3,3
2019-08-18,201934,16,16,16,16
2019-08-25,201935,7,7,7,7
2019-09-01,201936,7,7,7,7
2019-09-08,201937,11,11,11,11
2019-09-15,201938,4,4,4,4
2019-09-22,201939,9,9,9,9
2019-09-29,201940,7,7,7,7
