"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,6745,6745,6745,6745
2018-01-07,201802,5918,5918,5918,5918
2018-01-14,201803,7455,7455,7455,7455
2018-01-21,201804,6943,6943,6943,6943
2018-01-28,201805,7076,7076,7076,7076
2018-02-04,201806,6245,6245,6245,6245
2018-02-11,201807,6544,6544,6544,6544
2018-02-18,201808,7099,7099,7099,7099
2018-02-25,201809,7570,7570,7570,7570
2018-03-04,201810,8232,8232,8232,8232
2018-03-11,201811,8582,8582,8582,8582
2018-03-18,201812,8323,8323,8323,8323
2018-03-25,201813,7832,7832,7832,7832
2018-04-01,201814,10301,10301,10301,10301
2018-04-04,201815,11124,11124,11124,11124
2018-04-15,201816,10502,10502,10502,10502
2018-04-22,201817,9294,9294,9294,9294
2018-04-29,201818,10002,10002,10002,10002
2018-05-06,201819,9202,9202,9202,9202
2018-05-13,201820,8235,8235,8235,8235
2018-05-20,201821,6606,6606,6606,6606
2018-05-27,201822,5451,5451,5451,5451
2018-06-03,201823,5346,5346,5346,5346
2018-06-10,201824,5551,5551,5551,5551
2018-06-17,201825,4856,4856,4856,4856
2018-06-24,201826,4316,4316,4316,4316
2018-07-01,201827,4206,4206,4206,4206
2018-07-08,201828,3683,3683,3683,3683
2018-07-15,201829,3974,3974,3974,3974
2018-07-22,201830,3350,3350,3350,3350
2018-07-29,201831,3146,3146,3146,3146
2018-08-05,201832,3129,3129,3129,3129
2018-08-12,201833,2904,2904,2904,2904
2018-08-19,201834,2962,2962,2962,2962
2018-08-26,201835,2724,2724,2724,2724
2018-09-02,201836,2253,2253,2253,2253
2018-09-09,201837,2554,2554,2554,2554
2018-09-16,201838,2549,2549,2549,2549
2018-09-23,201839,2652,2652,2652,2652
2018-09-30,201840,2815,2815,2815,2815
2018-10-07,201841,2725,2725,2725,2725
2018-10-14,201842,3209,3209,3209,3209
2018-10-21,201843,3049,3049,3049,3049
2018-10-28,201844,3229,3229,3229,3229
2018-11-04,201845,3749,3749,3749,3749
2018-11-11,201846,3855,3855,3855,3855
2018-11-18,201847,4684,4684,4684,4684
2018-11-25,201848,5744,5744,5744,5744
2018-12-02,201849,6515,6515,6515,6515
2018-12-09,201850,7560,7560,7560,7560
2018-12-16,201851,6842,6842,6842,6842
2018-12-23,201852,7324,7324,7324,7324
2018-12-30,201901,12561,12561,12561,12561
2019-01-06,201902,13897,13897,13897,13897
2019-01-13,201903,17352,17352,17352,17352
2019-01-20,201904,22823,22823,22823,22823
2019-01-27,201905,28053,28053,28053,28053
2019-02-03,201906,33481,33481,33481,33481
2019-02-10,201907,38128,38128,38128,38128
2019-02-17,201908,41586,41586,41586,41586
2019-02-24,201909,41454,41454,41454,41454
2019-03-03,201910,46924,46924,46924,46924
2019-03-10,201911,59120,59120,59120,59120
2019-03-17,201912,69775,69775,69775,69775
2019-03-24,201913,79703,79703,79703,79703
2019-03-31,201914,89766,89766,89766,89766
2019-04-07,201915,98240,98240,98240,98240
2019-04-14,201916,101594,101594,101594,NA
2019-04-21,201917,115410,115410,115410,NA
2019-04-28,201918,117676,117676,117676,NA
2019-05-05,201919,121045,121045,121045,NA
2019-05-12,201920,110304,110304,110304,NA
2019-05-19,201921,90946,90946,90946,NA
2019-05-26,201922,71481,71481,71481,71481
2019-06-02,201923,53508,53508,53508,53508
