"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,217,217,217,217
2018-01-07,201802,241,241,241,241
2018-01-14,201803,244,244,244,244
2018-01-21,201804,265,265,265,265
2018-01-28,201805,344,344,344,344
2018-02-04,201806,345,345,345,345
2018-02-11,201807,318,318,318,318
2018-02-18,201808,424,424,424,424
2018-02-25,201809,493,493,493,493
2018-03-04,201810,530,530,530,530
2018-03-11,201811,558,558,558,558
2018-03-18,201812,515,515,515,515
2018-03-25,201813,588,588,588,588
2018-04-01,201814,914,914,914,914
2018-04-04,201815,934,934,934,934
2018-04-15,201816,841,841,841,841
2018-04-22,201817,562,562,562,562
2018-04-29,201818,464,464,464,464
2018-05-06,201819,398,398,398,398
2018-05-13,201820,403,403,403,403
2018-05-20,201821,348,348,348,348
2018-05-27,201822,310,310,310,310
2018-06-03,201823,312,312,312,312
2018-06-10,201824,301,301,301,301
2018-06-17,201825,283,283,283,283
2018-06-24,201826,239,239,239,239
2018-07-01,201827,268,268,268,268
2018-07-08,201828,237,237,237,237
2018-07-15,201829,250,250,250,250
2018-07-22,201830,233,233,233,233
2018-07-29,201831,204,204,204,204
2018-08-05,201832,228,228,228,228
2018-08-12,201833,202,202,202,202
2018-08-19,201834,168,168,168,168
2018-08-26,201835,159,159,159,159
2018-09-02,201836,145,145,145,145
2018-09-09,201837,121,121,121,121
2018-09-16,201838,160,160,160,160
2018-09-23,201839,112,112,112,112
2018-09-30,201840,120,120,120,120
2018-10-07,201841,113,113,113,113
2018-10-14,201842,117,117,117,117
2018-10-21,201843,95,95,95,95
2018-10-28,201844,99,99,99,99
2018-11-04,201845,95,95,95,95
2018-11-11,201846,87,87,87,87
2018-11-18,201847,86,86,86,86
2018-11-25,201848,101,101,101,101
2018-12-02,201849,105,105,105,105
2018-12-09,201850,102,102,102,102
2018-12-16,201851,95,95,95,95
2018-12-23,201852,84,84,84,84
2018-12-30,201901,152,152,152,152
2019-01-06,201902,163,163,163,163
2019-01-13,201903,227,227,227,227
2019-01-20,201904,272,272,272,272
2019-01-27,201905,317,317,317,317
2019-02-03,201906,341,341,341,341
2019-02-10,201907,420,420,420,420
2019-02-17,201908,494,494,494,494
2019-02-24,201909,446,446,446,446
2019-03-03,201910,563,563,563,563
2019-03-10,201911,675,675,675,675
2019-03-17,201912,770,770,770,770
2019-03-24,201913,1057,1057,1057,1057
2019-03-31,201914,1625,1625,1625,1625
2019-04-07,201915,1609,1609,1609,1609
2019-04-14,201916,1419,1419,1419,1419
2019-04-21,201917,1391,1391,1391,1391
2019-04-28,201918,1509,1509,1509,1509
2019-05-05,201919,1473,1473,1473,1473
2019-05-12,201920,1402,1402,1402,1402
2019-05-19,201921,1441,1441,1441,1441
2019-05-26,201922,1334,1334,1334,1334
2019-06-02,201923,1179,1179,1179,1179
2019-06-09,201924,1161,1161,1161,1161
2019-06-16,201925,983,983,983,983
2019-06-23,201926,883,883,883,883
2019-06-30,201927,914,914,914,914
2019-07-07,201928,800,800,800,800
2019-07-14,201929,687,687,687,687
2019-07-21,201930,659,659,659,659
2019-07-28,201931,718,718,718,718
2019-08-04,201932,671,671,671,671
2019-08-11,201933,543,543,543,543
2019-08-18,201934,490,490,490,490
2019-08-25,201935,488,488,488,488
2019-09-01,201936,421,421,421,421
2019-09-08,201937,361,361,361,361
2019-09-15,201938,362,362,362,362
2019-09-22,201939,289,289,289,289
2019-09-29,201940,279,279,279,279
2019-10-06,201941,198,198,198,198
2019-10-13,201942,191,191,191,191
2019-10-20,201943,217,217,217,217
2019-10-27,201944,239,239,239,239
2019-11-03,201945,245,245,245,245
2019-11-10,201946,192,192,192,192
2019-11-17,201947,195,195,195,195
2019-11-24,201948,198,198,198,198
2019-12-01,201949,209,209,209,209
2019-12-08,201950,169,169,169,169
2019-12-15,201951,157,157,157,157
2019-12-22,201952,118,118,118,118
2019-12-29,202001,152,152,152,152
2020-01-05,202002,320,320,320,320
2020-01-12,202003,430,430,430,430
2020-01-19,202004,491,491,491,491
2020-01-26,202005,634,634,634,634
2020-02-02,202006,914,914,914,914
2020-02-09,202007,1073,1073,1073,1073
2020-02-16,202008,1133,1133,1133,1133
2020-02-23,202009,1472,1472,1472,1472
2020-03-01,202010,1614,1614,1614,1614
2020-03-08,202011,1765,1765,1765,1765
2020-03-15,202012,988,988,988,988
2020-03-22,202013,796,796,796,796
2020-03-29,202014,1107,1107,1107,1107
2020-04-05,202015,1317,1317,1317,1317
2020-04-12,202016,1674,1674,1674,1674
2020-04-19,202017,1797,1797,1797,1797
2020-04-26,202018,1733,1733,1733,1733
2020-05-03,202019,1631,1631,1631,1631
2020-05-10,202020,1394,1394,1394,1394
2020-05-17,202021,1293,1293,1293,1293
