"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,1469,1469,1469,1469
2018-01-07,201802,1125,1125,1125,1125
2018-01-14,201803,1584,1584,1584,1584
2018-01-21,201804,1508,1508,1508,1508
2018-01-28,201805,1293,1293,1293,1293
2018-02-04,201806,1231,1231,1231,1231
2018-02-11,201807,1415,1415,1415,1415
2018-02-18,201808,1449,1449,1449,1449
2018-02-25,201809,1575,1575,1575,1575
2018-03-04,201810,1840,1840,1840,1840
2018-03-11,201811,1874,1874,1874,1874
2018-03-18,201812,1985,1985,1985,1985
2018-03-25,201813,2116,2116,2116,2116
2018-04-01,201814,2672,2672,2672,2672
2018-04-04,201815,3299,3299,3299,3299
2018-04-15,201816,2822,2822,2822,2822
2018-04-22,201817,2200,2200,2200,2200
2018-04-29,201818,2213,2213,2213,2213
2018-05-06,201819,2088,2088,2088,2088
2018-05-13,201820,1803,1803,1803,1803
2018-05-20,201821,1228,1228,1228,1228
2018-05-27,201822,906,906,906,906
2018-06-03,201823,920,920,920,920
2018-06-10,201824,916,916,916,916
2018-06-17,201825,692,692,692,692
2018-06-24,201826,609,609,609,609
2018-07-01,201827,593,593,593,593
2018-07-08,201828,460,460,460,460
2018-07-15,201829,397,397,397,397
2018-07-22,201830,341,341,341,341
2018-07-29,201831,363,363,363,363
2018-08-05,201832,436,436,436,436
2018-08-12,201833,304,304,304,304
2018-08-19,201834,339,339,339,339
2018-08-26,201835,325,325,325,325
2018-09-02,201836,304,304,304,304
2018-09-09,201837,352,352,352,352
2018-09-16,201838,436,436,436,436
2018-09-23,201839,476,476,476,476
2018-09-30,201840,456,456,456,456
2018-10-07,201841,501,501,501,501
2018-10-14,201842,577,577,577,577
2018-10-21,201843,577,577,577,577
2018-10-28,201844,569,569,569,569
2018-11-04,201845,685,685,685,685
2018-11-11,201846,707,707,707,707
2018-11-18,201847,903,903,903,903
2018-11-25,201848,1057,1057,1057,1057
2018-12-02,201849,1227,1227,1227,1227
2018-12-09,201850,1644,1644,1644,1644
2018-12-16,201851,1604,1604,1604,1604
2018-12-23,201852,1720,1720,1720,1720
2018-12-30,201901,2746,2746,2746,2746
2019-01-06,201902,4080,4080,4080,4080
2019-01-13,201903,4833,4833,4833,4833
2019-01-20,201904,6744,6744,6744,6744
2019-01-27,201905,8172,8172,8172,8172
2019-02-03,201906,9311,9311,9311,9311
2019-02-10,201907,11391,11391,11391,11391
2019-02-17,201908,12812,12812,12812,12812
2019-02-24,201909,13427,13427,13427,13427
2019-03-03,201910,15375,15375,15375,15375
2019-03-10,201911,20728,20728,20728,20728
2019-03-17,201912,26262,26262,26262,26262
2019-03-24,201913,30807,30807,30807,30807
2019-03-31,201914,35757,35757,35757,35757
2019-04-07,201915,38607,38607,38607,38607
2019-04-14,201916,40505,40505,40505,NA
2019-04-21,201917,49944,49944,49944,NA
2019-04-28,201918,50468,50468,50468,NA
2019-05-05,201919,50199,50199,50199,NA
2019-05-12,201920,43223,43223,43223,NA
2019-05-19,201921,35875,35875,35875,NA
2019-05-26,201922,27739,27739,27739,27739
2019-06-02,201923,19332,19332,19332,19332
2019-06-09,201924,12737,12737,12737,12737
2019-06-16,201925,8038,8038,8038,8038
2019-06-23,201926,6366,6366,6366,6366
2019-06-30,201927,4486,4486,4486,4486
2019-07-07,201928,2548,2548,2548,2548
2019-07-14,201929,1738,1738,1738,1738
2019-07-21,201930,1361,1361,1361,1361
2019-07-28,201931,1121,1121,1121,1121
2019-08-04,201932,930,930,930,930
2019-08-11,201933,896,896,896,896
2019-08-18,201934,915,915,915,915
2019-08-25,201935,800,800,800,800
2019-09-01,201936,940,940,940,940
2019-09-08,201937,1046,1046,1046,1046
2019-09-15,201938,928,928,928,928
2019-09-22,201939,782,782,782,782
2019-09-29,201940,829,829,829,829
2019-10-06,201941,780,780,780,780
2019-10-13,201942,922,922,922,922
2019-10-20,201943,729,729,729,729
2019-10-27,201944,720,720,720,720
2019-11-03,201945,854,854,854,854
2019-11-10,201946,741,741,741,741
2019-11-17,201947,874,874,874,874
2019-11-24,201948,880,880,880,880
2019-12-01,201949,1048,1048,1048,1048
2019-12-08,201950,1158,1158,1158,1158
2019-12-15,201951,1396,1396,1396,1396
2019-12-22,201952,771,771,771,771
2019-12-29,202001,1196,1196,1196,1196
2020-01-05,202002,2554,2554,2554,2554
2020-01-12,202003,3234,3234,3234,3234
2020-01-19,202004,3616,3616,3616,3616
2020-01-26,202005,4147,4147,4147,4147
2020-02-02,202006,4957,4957,4957,4957
2020-02-09,202007,5619,5619,5619,5619
2020-02-16,202008,5874,5874,5874,5874
2020-02-23,202009,6127,6127,6127,6127
2020-03-01,202010,7662,7662,7662,7662
2020-03-08,202011,8430,8430,8430,8430
2020-03-15,202012,6034,6034,6034,6034
2020-03-22,202013,5069,5069,5069,5069
2020-03-29,202014,5697,5697,5697,5697
2020-04-05,202015,6266,6266,6266,6266
2020-04-12,202016,6660,6660,6660,6660
2020-04-19,202017,6508,6508,6508,6508
2020-04-26,202018,5618,5618,5618,5618
2020-05-03,202019,4992,4992,4992,4992
2020-05-10,202020,4626,4626,4626,4626
2020-05-17,202021,3793,3793,3793,3793
2020-05-24,202022,2836,2836,2836,2836
2020-05-31,202023,2868,2868,2868,2868
2020-06-07,202024,2519,2519,2519,2519
2020-06-14,202025,2344,2344,2344,2344
2020-06-21,202026,1958,1958,1958,1958
2020-06-28,202027,1948,1948,1948,1948
2020-07-05,202028,1698,1698,1698,1698
2020-07-12,202029,1408,1408,1408,1408
2020-07-19,202030,1272,1272,1272,1272
2020-07-26,202031,1054,1054,1054,1054
2020-08-02,202032,882,882,882,882
2020-08-09,202033,1058,1058,1058,1058
2020-08-16,202034,873,873,873,873
2020-08-23,202035,796,796,796,796
2020-08-30,202036,815,815,815,815
2020-09-06,202037,885,885,885,885
2020-09-13,202038,816,816,816,816
2020-09-20,202039,791,791,791,791
2020-09-27,202040,804,804,804,804
2020-10-04,202041,789,789,789,789
2020-10-11,202042,740,740,740,740
2020-10-18,202043,652,652,652,652
2020-10-25,202044,602,602,602,602
2020-11-01,202045,780,780,780,780
2020-11-08,202046,908,908,908,908
2020-11-15,202047,1073,1073,1073,1073
2020-11-22,202048,1119,1119,1119,1119
2020-11-29,202049,1228,1228,1228,1228
2020-12-06,202050,1137,1137,1137,1137
2020-12-13,202051,1065,1065,1065,1065
2020-12-20,202052,802,802,802,802
2020-12-27,202053,763,763,763,763
2021-01-03,202101,1346,1346,1346,1346
2021-01-10,202102,1433,1433,1433,1433
2021-01-17,202103,1521,1521,1521,1521
2021-01-24,202104,1382,1382,1382,1382
2021-01-31,202105,1553,1553,1553,1553
2021-02-07,202106,1483,1483,1483,1483
2021-02-14,202107,1732,1732,1732,1732
2021-02-21,202108,1946,1946,1946,1946
2021-02-28,202109,2310,2310,2310,2310
2021-03-07,202110,2354,2354,2354,2354
2021-03-14,202111,2476,2476,2476,2476
2021-03-21,202112,2066,2066,2066,2066
2021-03-28,202113,1774,1774,1774,1774
2021-04-04,202114,1936,1936,1936,1936
2021-04-11,202115,1587,1587,1587,1587
2021-04-18,202116,1509,1509,1509,1509
2021-04-25,202117,1497,1497,1497,1497
2021-05-02,202118,1374,1374,1374,1374
2021-05-09,202119,1425,1425,1425,1425
2021-05-16,202120,1216,1216,1216,1216
2021-05-23,202121,1131,1131,1131,1131
2021-05-30,202122,1049,1049,1049,1049
2021-06-06,202123,955,955,955,955
2021-06-13,202124,753,753,753,753
2021-06-20,202125,623,623,623,623
2021-06-27,202126,492,492,492,492
2021-07-04,202127,454,454,454,454
2021-07-11,202128,492,492,492,492
2021-07-18,202129,390,390,390,390
2021-07-25,202130,321,321,321,321
2021-08-01,202131,325,325,325,325
2021-08-08,202132,453,453,453,453
2021-08-15,202133,405,405,405,405
2021-08-22,202134,392,392,392,392
2021-08-29,202135,305,305,305,305
2021-09-05,202136,441,441,441,441
2021-09-12,202137,471,471,471,471
2021-09-19,202138,462,462,462,462
2021-09-26,202139,426,426,426,426
2021-10-03,202140,379,379,379,379
2021-10-10,202141,382,382,382,382
2021-10-17,202142,391,391,391,391
