"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,64,64,64,64
2018-01-07,201802,74,74,74,74
2018-01-14,201803,84,84,84,84
2018-01-21,201804,59,59,59,59
2018-01-28,201805,101,101,101,101
2018-02-04,201806,106,106,106,106
2018-02-11,201807,131,131,131,131
2018-02-18,201808,124,124,124,124
2018-02-25,201809,168,168,168,168
2018-03-04,201810,145,145,145,145
2018-03-11,201811,175,175,175,175
2018-03-18,201812,206,206,206,206
2018-03-25,201813,206,206,206,206
2018-04-01,201814,420,420,420,420
2018-04-04,201815,400,400,400,400
2018-04-15,201816,613,613,613,613
2018-04-22,201817,640,640,640,640
2018-04-29,201818,727,727,727,727
2018-05-06,201819,765,765,765,765
2018-05-13,201820,740,740,740,740
2018-05-20,201821,682,682,682,682
2018-05-27,201822,572,572,572,572
2018-06-03,201823,518,518,518,518
2018-06-10,201824,528,528,528,528
2018-06-17,201825,438,438,438,438
2018-06-24,201826,330,330,330,330
2018-07-01,201827,327,327,327,327
2018-07-08,201828,315,315,315,315
2018-07-15,201829,338,338,338,338
2018-07-22,201830,264,264,264,264
2018-07-29,201831,242,242,242,242
2018-08-05,201832,213,213,213,213
2018-08-12,201833,184,184,184,184
2018-08-19,201834,150,150,150,150
2018-08-26,201835,133,133,133,133
2018-09-02,201836,96,96,96,96
2018-09-09,201837,79,79,79,79
2018-09-16,201838,73,73,73,73
2018-09-23,201839,87,87,87,87
2018-09-30,201840,84,84,84,84
2018-10-07,201841,93,93,93,93
2018-10-14,201842,81,81,81,81
2018-10-21,201843,64,64,64,64
2018-10-28,201844,73,73,73,73
2018-11-04,201845,72,72,72,72
2018-11-11,201846,77,77,77,77
2018-11-18,201847,79,79,79,79
2018-11-25,201848,84,84,84,84
2018-12-02,201849,66,66,66,66
2018-12-09,201850,39,39,39,39
2018-12-16,201851,62,62,62,62
2018-12-23,201852,42,42,42,42
2018-12-30,201901,81,81,81,81
2019-01-06,201902,95,95,95,95
2019-01-13,201903,94,94,94,94
2019-01-20,201904,124,124,124,124
2019-01-27,201905,110,110,110,110
2019-02-03,201906,119,119,119,119
2019-02-10,201907,186,186,186,186
2019-02-17,201908,205,205,205,205
2019-02-24,201909,184,184,184,184
2019-03-03,201910,264,264,264,264
2019-03-10,201911,329,329,329,329
2019-03-17,201912,358,358,358,358
2019-03-24,201913,347,347,347,347
2019-03-31,201914,516,516,516,516
2019-04-07,201915,706,706,706,706
2019-04-14,201916,684,684,684,684
2019-04-21,201917,884,884,884,884
2019-04-28,201918,1035,1035,1035,1035
2019-05-05,201919,1046,1046,1046,1046
2019-05-12,201920,1088,1088,1088,1088
2019-05-19,201921,964,964,964,964
2019-05-26,201922,1061,1061,1061,1061
2019-06-02,201923,930,930,930,930
2019-06-09,201924,799,799,799,799
2019-06-16,201925,611,611,611,611
2019-06-23,201926,654,654,654,654
2019-06-30,201927,657,657,657,657
2019-07-07,201928,640,640,640,640
2019-07-14,201929,630,630,630,630
2019-07-21,201930,484,484,484,484
2019-07-28,201931,480,480,480,480
2019-08-04,201932,528,528,528,528
2019-08-11,201933,456,456,456,456
2019-08-18,201934,367,367,367,367
2019-08-25,201935,477,477,477,477
2019-09-01,201936,356,356,356,356
2019-09-08,201937,329,329,329,329
2019-09-15,201938,295,295,295,295
2019-09-22,201939,225,225,225,225
2019-09-29,201940,237,237,237,237
2019-10-06,201941,174,174,174,174
2019-10-13,201942,123,123,123,123
2019-10-20,201943,121,121,121,121
2019-10-27,201944,146,146,146,146
2019-11-03,201945,98,98,98,98
2019-11-10,201946,131,131,131,131
2019-11-17,201947,128,128,128,128
2019-11-24,201948,115,115,115,115
2019-12-01,201949,98,98,98,98
2019-12-08,201950,113,113,113,113
2019-12-15,201951,102,102,102,102
2019-12-22,201952,78,78,78,78
2019-12-29,202001,72,72,72,72
2020-01-05,202002,127,127,127,127
2020-01-12,202003,113,113,113,113
2020-01-19,202004,146,146,146,146
2020-01-26,202005,166,166,166,166
2020-02-02,202006,188,188,188,188
2020-02-09,202007,177,177,177,177
2020-02-16,202008,167,167,167,167
2020-02-23,202009,196,196,196,196
2020-03-01,202010,164,164,164,164
2020-03-08,202011,178,178,178,178
2020-03-15,202012,125,125,125,125
2020-03-22,202013,67,67,67,67
2020-03-29,202014,68,68,68,68
2020-04-05,202015,112,112,112,112
2020-04-12,202016,149,149,149,149
2020-04-19,202017,212,212,212,212
2020-04-26,202018,215,215,215,215
2020-05-03,202019,231,231,231,231
2020-05-10,202020,279,279,279,279
2020-05-17,202021,294,294,294,294
2020-05-24,202022,310,310,310,310
2020-05-31,202023,296,296,296,296
2020-06-07,202024,236,236,236,236
2020-06-14,202025,243,243,243,243
2020-06-21,202026,221,221,221,221
2020-06-28,202027,298,298,298,298
2020-07-05,202028,312,312,312,312
2020-07-12,202029,296,296,296,296
2020-07-19,202030,267,267,267,267
2020-07-26,202031,207,207,207,207
2020-08-02,202032,191,191,191,191
2020-08-09,202033,191,191,191,191
2020-08-16,202034,168,168,168,168
2020-08-23,202035,151,151,151,151
2020-08-30,202036,150,150,150,150
2020-09-06,202037,120,120,120,120
2020-09-13,202038,112,112,112,112
2020-09-20,202039,136,136,136,136
2020-09-27,202040,109,109,109,109
2020-10-04,202041,133,133,133,133
2020-10-11,202042,77,77,77,77
2020-10-18,202043,84,84,84,84
2020-10-25,202044,82,82,82,82
2020-11-01,202045,84,84,84,84
2020-11-08,202046,66,66,66,66
2020-11-15,202047,83,83,83,83
2020-11-22,202048,53,53,53,53
2020-11-29,202049,64,64,64,64
2020-12-06,202050,82,82,82,82
2020-12-13,202051,52,52,52,52
2020-12-20,202052,52,52,52,52
2020-12-27,202053,30,30,30,30
2021-01-03,202101,65,65,65,65
2021-01-10,202102,69,69,69,69
2021-01-17,202103,61,61,61,61
2021-01-24,202104,58,58,58,58
2021-01-31,202105,100,100,100,100
2021-02-07,202106,107,107,107,107
2021-02-14,202107,140,140,140,140
2021-02-21,202108,106,106,106,106
2021-02-28,202109,141,141,141,141
2021-03-07,202110,160,160,160,160
2021-03-14,202111,191,191,191,191
2021-03-21,202112,149,149,149,149
2021-03-28,202113,175,175,175,175
2021-04-04,202114,247,247,247,247
2021-04-11,202115,229,229,229,229
2021-04-18,202116,300,300,300,300
2021-04-25,202117,335,335,335,335
2021-05-02,202118,386,386,386,386
2021-05-09,202119,439,439,439,439
2021-05-16,202120,497,497,497,497
2021-05-23,202121,657,657,657,657
2021-05-30,202122,735,735,735,735
2021-06-06,202123,742,742,742,742
2021-06-13,202124,667,667,667,667
2021-06-20,202125,778,778,778,778
2021-06-27,202126,931,931,931,931
2021-07-04,202127,898,898,898,898
2021-07-11,202128,864,864,864,864
2021-07-18,202129,894,894,894,894
2021-07-25,202130,716,716,716,716
2021-08-01,202131,724,724,724,724
2021-08-08,202132,731,731,731,731
2021-08-15,202133,707,707,707,707
2021-08-22,202134,549,549,549,549
2021-08-29,202135,611,611,611,611
2021-09-05,202136,642,642,642,642
2021-09-12,202137,608,608,608,608
2021-09-19,202138,567,567,567,567
2021-09-26,202139,521,521,521,521
2021-10-03,202140,435,435,435,435
2021-10-10,202141,413,413,413,413
2021-10-17,202142,390,390,390,390
2021-10-24,202143,368,368,368,368
2021-10-31,202144,382,382,382,382
2021-11-07,202145,345,345,345,345
2021-11-14,202146,374,374,374,374
2021-11-21,202147,348,348,348,348
2021-11-28,202148,358,358,358,358
2021-12-05,202149,254,254,254,254
2021-12-12,202150,204,204,204,204
2021-12-19,202151,145,145,145,145
2021-12-26,202152,31,31,31,31
2022-01-02,202201,214,214,214,214
2022-01-09,202202,209,209,209,209
2022-01-16,202203,241,241,241,241
2022-01-23,202204,283,283,283,283
2022-01-30,202205,361,361,361,361
2022-02-06,202206,402,402,402,402
2022-02-13,202207,445,445,445,445
2022-02-20,202208,451,451,451,451
2022-02-27,202209,664,664,664,664
2022-03-06,202210,715,715,715,715
2022-03-13,202211,832,832,832,832
2022-03-20,202212,967,967,967,967
2022-03-27,202213,1121,1121,1121,1121
2022-04-03,202214,1075,1075,1075,1075
2022-04-10,202215,1147,1147,1147,1147
2022-04-17,202216,1513,1513,1513,1513
2022-04-24,202217,1689,1689,1689,1689
2022-05-01,202218,2011,2011,2011,2011
2022-05-08,202219,2324,2324,2324,2324
2022-05-15,202220,2399,2399,2399,2399
2022-05-22,202221,1985,1985,1985,1985
2022-05-29,202222,2099,2099,2099,2099
2022-06-05,202223,2021,2021,2021,2021
2022-06-12,202224,1771,1771,1771,1771
2022-06-19,202225,1812,1812,1812,1812
2022-06-26,202226,1712,1712,1712,1712
2022-07-03,202227,1510,1510,1510,1510
2022-07-10,202228,1459,1459,1459,1459
2022-07-17,202229,1256,1256,1256,1256
2022-07-24,202230,1088,1088,1088,1088
2022-07-31,202231,1070,1070,1070,1070
2022-08-07,202232,881,881,881,881
2022-08-14,202233,802,802,802,802
2022-08-21,202234,549,549,549,549
2022-08-28,202235,551,551,551,551
2022-09-04,202236,452,452,452,452
2022-09-11,202237,388,388,388,388
2022-09-18,202238,325,325,325,325
2022-09-25,202239,263,263,263,263
2022-10-02,202240,240,240,240,240
2022-10-09,202241,257,257,257,257
2022-10-16,202242,185,185,185,185
2022-10-23,202243,172,172,172,172
2022-10-30,202244,180,180,180,180
2022-11-06,202245,183,183,183,183
2022-11-13,202246,147,147,147,147
2022-11-20,202247,114,114,114,114
2022-11-27,202248,83,83,83,83
2022-12-04,202249,81,81,81,81
2022-12-11,202250,14,14,14,14
2022-12-18,202251,7,7,7,7
2022-12-25,202252,42,42,42,42
2023-01-01,202301,134,134,134,134
2023-01-08,202302,115,115,115,115
2023-01-15,202303,143,143,143,143
2023-01-22,202304,186,186,186,186
2023-01-29,202305,155,155,155,155
2023-02-05,202306,166,166,166,166
2023-02-12,202307,139,139,139,139
2023-02-19,202308,173,173,173,173
2023-02-26,202309,225,225,225,225
2023-03-05,202310,273,273,273,273
2023-03-12,202311,334,334,334,334
2023-03-19,202312,434,434,434,434
2023-03-26,202313,424,424,424,424
2023-04-02,202314,501,501,501,501
2023-04-09,202315,634,634,634,634
2023-04-16,202316,506,506,506,506
2023-04-23,202317,373,373,373,373
2023-04-30,202318,405,405,405,405
2023-05-07,202319,345,345,345,345
2023-05-14,202320,323,323,323,323
2023-05-21,202321,295,295,295,295
2023-05-28,202322,276,276,276,276
2023-06-04,202323,218,218,218,218
2023-06-11,202324,222,222,222,222
2023-06-18,202325,221,221,221,221
2023-06-25,202326,180,180,180,180
2023-07-02,202327,197,197,197,197
2023-07-09,202328,181,181,181,181
2023-07-16,202329,156,156,156,156
2023-07-23,202330,145,145,145,145
2023-07-30,202331,141,141,141,141
2023-08-06,202332,178,178,178,178
2023-08-13,202333,134,134,134,134
2023-08-20,202334,132,132,132,132
2023-08-27,202335,129,129,129,129
2023-09-03,202336,126,126,126,126
2023-09-10,202337,117,117,117,117
2023-09-17,202338,126,126,126,126
2023-09-24,202339,134,134,134,134
2023-10-01,202340,129,129,129,129
2023-10-08,202341,111,111,111,111
2023-10-15,202342,142,142,142,142
2023-10-22,202343,89,89,89,89
2023-10-29,202344,102,102,102,102
2023-11-05,202345,121,121,121,121
2023-11-12,202346,111,111,111,111
2023-11-19,202347,129,129,129,129
2023-11-26,202348,134,134,134,134
2023-12-03,202349,141,141,141,141
2023-12-10,202350,99,99,99,99
2023-12-17,202351,78,78,78,78
2023-12-24,202352,73,73,73,73
2023-12-31,202401,130,130,130,130
2024-01-07,202402,200,200,200,200
2024-01-14,202403,185,185,185,188
2024-01-21,202404,172,172,172,179
2024-01-28,202405,292,293,292,313
2024-02-04,202406,339,344,339,390
2024-02-11,202407,726,745,728,838
2024-02-18,202408,1453,1509,1461,1723
2024-02-25,202409,2146,2310.5,2176,2806
2024-03-03,202410,2006,2426.5,2085,3624
2024-03-10,202411,1356,2436.5,1571,5986
2024-03-17,202412,556,3422.5,1101,14497
