"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,295,295,295,295
2018-01-07,201802,270,270,270,270
2018-01-14,201803,284,284,284,284
2018-01-21,201804,268,268,268,268
2018-01-28,201805,317,317,317,317
2018-02-04,201806,264,264,264,264
2018-02-11,201807,317,317,317,317
2018-02-18,201808,382,382,382,382
2018-02-25,201809,423,423,423,423
2018-03-04,201810,475,475,475,475
2018-03-11,201811,549,549,549,549
2018-03-18,201812,624,624,624,624
2018-03-25,201813,549,549,549,549
2018-04-01,201814,875,875,875,875
2018-04-04,201815,964,964,964,964
2018-04-15,201816,1038,1038,1038,1038
2018-04-22,201817,964,964,964,964
2018-04-29,201818,843,843,843,843
2018-05-06,201819,900,900,900,900
2018-05-13,201820,845,845,845,845
2018-05-20,201821,703,703,703,703
2018-05-27,201822,601,601,601,601
2018-06-03,201823,550,550,550,550
2018-06-10,201824,544,544,544,544
2018-06-17,201825,479,479,479,479
2018-06-24,201826,472,472,472,472
2018-07-01,201827,435,435,435,435
2018-07-08,201828,430,430,430,430
2018-07-15,201829,493,493,493,493
2018-07-22,201830,442,442,442,442
2018-07-29,201831,386,386,386,386
2018-08-05,201832,403,403,403,403
2018-08-12,201833,411,411,411,411
2018-08-19,201834,434,434,434,434
2018-08-26,201835,330,330,330,330
2018-09-02,201836,309,309,309,309
2018-09-09,201837,350,350,350,350
2018-09-16,201838,290,290,290,290
2018-09-23,201839,298,298,298,298
2018-09-30,201840,352,352,352,352
2018-10-07,201841,291,291,291,291
2018-10-14,201842,316,316,316,316
2018-10-21,201843,327,327,327,327
2018-10-28,201844,242,242,242,242
2018-11-04,201845,310,310,310,310
2018-11-11,201846,262,262,262,262
2018-11-18,201847,288,288,288,288
2018-11-25,201848,316,316,316,316
2018-12-02,201849,272,272,272,272
2018-12-09,201850,305,305,305,305
2018-12-16,201851,258,258,258,258
2018-12-23,201852,221,221,221,221
2018-12-30,201901,284,284,284,284
2019-01-06,201902,328,328,328,328
2019-01-13,201903,330,330,330,330
2019-01-20,201904,354,354,354,354
2019-01-27,201905,535,535,535,535
2019-02-03,201906,668,668,668,668
2019-02-10,201907,816,816,816,816
2019-02-17,201908,770,770,770,770
2019-02-24,201909,600,600,600,600
2019-03-03,201910,743,743,743,743
2019-03-10,201911,959,959,959,959
2019-03-17,201912,1112,1112,1112,1112
2019-03-24,201913,1176,1176,1176,1176
2019-03-31,201914,1430,1430,1430,1430
2019-04-07,201915,1654,1654,1654,1654
2019-04-14,201916,1779,1779,1779,1779
2019-04-21,201917,2413,2413,2413,2413
2019-04-28,201918,2909,2909,2909,2909
2019-05-05,201919,3160,3160,3160,3160
2019-05-12,201920,3615,3615,3615,3615
2019-05-19,201921,3627,3627,3627,3627
2019-05-26,201922,3307,3307,3307,3307
2019-06-02,201923,2757,2757,2757,2757
2019-06-09,201924,2176,2176,2176,2176
2019-06-16,201925,1710,1710,1710,1710
2019-06-23,201926,1783,1783,1783,1783
2019-06-30,201927,1820,1820,1820,1820
2019-07-07,201928,1708,1708,1708,1708
2019-07-14,201929,1482,1482,1482,1482
2019-07-21,201930,1124,1124,1124,1124
2019-07-28,201931,1099,1099,1099,1099
2019-08-04,201932,1241,1241,1241,1241
2019-08-11,201933,1221,1221,1221,1221
2019-08-18,201934,1272,1272,1272,1272
2019-08-25,201935,1087,1087,1087,1087
2019-09-01,201936,1063,1063,1063,1063
2019-09-08,201937,1096,1096,1096,1096
2019-09-15,201938,959,959,959,959
2019-09-22,201939,880,880,880,880
2019-09-29,201940,987,987,987,987
2019-10-06,201941,811,811,811,811
2019-10-13,201942,742,742,742,742
2019-10-20,201943,652,652,652,652
2019-10-27,201944,613,613,613,613
2019-11-03,201945,540,540,540,540
2019-11-10,201946,517,517,517,517
2019-11-17,201947,465,465,465,465
2019-11-24,201948,420,420,420,420
2019-12-01,201949,412,412,412,412
2019-12-08,201950,374,374,374,374
2019-12-15,201951,319,319,319,319
2019-12-22,201952,176,176,176,176
2019-12-29,202001,183,183,183,183
2020-01-05,202002,418,418,418,418
2020-01-12,202003,395,395,395,395
2020-01-19,202004,423,423,423,423
2020-01-26,202005,477,477,477,477
2020-02-02,202006,512,512,512,512
2020-02-09,202007,590,590,590,590
2020-02-16,202008,515,515,515,515
2020-02-23,202009,563,563,563,563
2020-03-01,202010,682,682,682,682
2020-03-08,202011,816,816,816,816
2020-03-15,202012,515,515,515,515
2020-03-22,202013,340,340,340,340
2020-03-29,202014,529,529,529,529
2020-04-05,202015,568,568,568,568
2020-04-12,202016,924,924,924,924
2020-04-19,202017,1120,1120,1120,1120
2020-04-26,202018,1117,1117,1117,1117
2020-05-03,202019,1236,1236,1236,1236
2020-05-10,202020,1547,1547,1547,1547
2020-05-17,202021,1467,1467,1467,1467
2020-05-24,202022,1290,1290,1290,1290
2020-05-31,202023,1322,1322,1322,1322
2020-06-07,202024,1194,1194,1194,1194
2020-06-14,202025,1201,1201,1201,1201
2020-06-21,202026,1169,1169,1169,1169
2020-06-28,202027,1353,1353,1353,1353
2020-07-05,202028,1271,1271,1271,1271
2020-07-12,202029,1095,1095,1095,1095
2020-07-19,202030,1028,1028,1028,1028
2020-07-26,202031,934,934,934,934
2020-08-02,202032,799,799,799,799
2020-08-09,202033,805,805,805,805
2020-08-16,202034,749,749,749,749
2020-08-23,202035,658,658,658,658
2020-08-30,202036,600,600,600,600
2020-09-06,202037,544,544,544,544
2020-09-13,202038,563,563,563,563
2020-09-20,202039,579,579,579,579
2020-09-27,202040,444,444,444,444
2020-10-04,202041,441,441,441,441
2020-10-11,202042,391,391,391,391
2020-10-18,202043,467,467,467,467
2020-10-25,202044,379,379,379,379
2020-11-01,202045,400,400,400,400
2020-11-08,202046,341,341,341,341
2020-11-15,202047,326,326,326,326
2020-11-22,202048,268,268,268,268
2020-11-29,202049,273,273,273,273
2020-12-06,202050,293,293,293,293
2020-12-13,202051,234,234,234,234
2020-12-20,202052,196,196,196,196
2020-12-27,202053,115,115,115,115
2021-01-03,202101,291,291,291,291
2021-01-10,202102,258,258,258,258
2021-01-17,202103,317,317,317,317
2021-01-24,202104,319,319,319,319
2021-01-31,202105,437,437,437,437
2021-02-07,202106,461,461,461,461
2021-02-14,202107,527,527,527,527
2021-02-21,202108,503,503,503,503
2021-02-28,202109,691,691,691,691
2021-03-07,202110,715,715,715,715
2021-03-14,202111,642,642,642,642
2021-03-21,202112,581,581,581,581
2021-03-28,202113,738,738,738,738
2021-04-04,202114,925,925,925,925
2021-04-11,202115,1040,1040,1040,1040
2021-04-18,202116,1240,1240,1240,1240
2021-04-25,202117,1631,1631,1631,1631
2021-05-02,202118,2066,2066,2066,2066
2021-05-09,202119,2626,2626,2626,2626
2021-05-16,202120,3083,3083,3083,3083
2021-05-23,202121,2954,2954,2954,2954
2021-05-30,202122,3297,3297,3297,3297
2021-06-06,202123,2963,2963,2963,2963
2021-06-13,202124,2498,2498,2498,2498
2021-06-20,202125,2267,2267,2267,2267
2021-06-27,202126,2255,2255,2255,2255
2021-07-04,202127,2089,2089,2089,2089
2021-07-11,202128,2029,2029,2029,2029
2021-07-18,202129,1720,1720,1720,1720
2021-07-25,202130,1477,1477,1477,1477
2021-08-01,202131,1399,1399,1399,1399
2021-08-08,202132,1199,1199,1199,1199
2021-08-15,202133,1072,1072,1072,1072
2021-08-22,202134,1057,1057,1057,1057
2021-08-29,202135,873,873,873,873
2021-09-05,202136,971,971,971,971
2021-09-12,202137,845,845,845,845
2021-09-19,202138,739,739,739,739
2021-09-26,202139,796,796,796,796
2021-10-03,202140,627,627,627,627
2021-10-10,202141,594,594,594,594
2021-10-17,202142,559,559,559,559
2021-10-24,202143,486,486,486,486
2021-10-31,202144,470,470,470,470
2021-11-07,202145,451,451,451,451
2021-11-14,202146,401,401,401,401
2021-11-21,202147,352,352,352,352
2021-11-28,202148,365,365,365,365
2021-12-05,202149,278,278,278,278
2021-12-12,202150,340,340,340,340
2021-12-19,202151,226,226,226,226
2021-12-26,202152,22,22,22,22
2022-01-02,202201,295,295,295,295
2022-01-09,202202,323,323,323,323
2022-01-16,202203,458,458,458,458
2022-01-23,202204,502,502,502,502
2022-01-30,202205,767,767,767,767
2022-02-06,202206,959,959,959,959
2022-02-13,202207,1094,1094,1094,1094
2022-02-20,202208,1079,1079,1079,1079
2022-02-27,202209,1302,1302,1302,1302
2022-03-06,202210,1400,1400,1400,1400
2022-03-13,202211,1695,1695,1695,1695
2022-03-20,202212,1926,1926,1926,1926
2022-03-27,202213,2061,2061,2061,2061
2022-04-03,202214,2251,2251,2251,2251
2022-04-10,202215,2504,2504,2504,2504
2022-04-17,202216,3102,3102,3102,3102
2022-04-24,202217,3203,3203,3203,3203
2022-05-01,202218,3272,3272,3272,3272
2022-05-08,202219,3100,3100,3100,3100
2022-05-15,202220,2595,2595,2595,2595
2022-05-22,202221,2106,2106,2106,2106
2022-05-29,202222,1821,1821,1821,1821
2022-06-05,202223,1794,1794,1794,1794
2022-06-12,202224,1713,1713,1713,1713
2022-06-19,202225,1382,1382,1382,1382
2022-06-26,202226,1340,1340,1340,1340
2022-07-03,202227,1125,1125,1125,1125
2022-07-10,202228,1015,1015,1015,1015
2022-07-17,202229,1024,1024,1024,1024
2022-07-24,202230,891,891,891,891
2022-07-31,202231,873,873,873,873
2022-08-07,202232,922,922,922,922
2022-08-14,202233,732,732,732,732
2022-08-21,202234,595,595,595,595
2022-08-28,202235,573,573,573,573
2022-09-04,202236,515,515,515,515
