"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,363,363,363,363
2018-01-07,201802,374,374,374,374
2018-01-14,201803,328,328,328,328
2018-01-21,201804,420,420,420,420
2018-01-28,201805,471,471,471,471
2018-02-04,201806,446,446,446,446
2018-02-11,201807,370,370,370,370
2018-02-18,201808,360,360,360,360
2018-02-25,201809,432,432,432,432
2018-03-04,201810,374,374,374,374
2018-03-11,201811,388,388,388,388
2018-03-18,201812,387,387,387,387
2018-03-25,201813,249,249,249,249
2018-04-01,201814,340,340,340,340
2018-04-04,201815,383,383,383,383
2018-04-15,201816,327,327,327,327
2018-04-22,201817,264,264,264,264
2018-04-29,201818,307,307,307,307
2018-05-06,201819,278,278,278,278
2018-05-13,201820,212,212,212,212
2018-05-20,201821,170,170,170,170
2018-05-27,201822,164,164,164,164
2018-06-03,201823,135,135,135,135
2018-06-10,201824,134,134,134,134
2018-06-17,201825,113,113,113,113
2018-06-24,201826,85,85,85,85
2018-07-01,201827,105,105,105,105
2018-07-08,201828,78,78,78,78
2018-07-15,201829,68,68,68,68
2018-07-22,201830,55,55,55,55
2018-07-29,201831,60,60,60,60
2018-08-05,201832,54,54,54,54
2018-08-12,201833,53,53,53,53
2018-08-19,201834,60,60,60,60
2018-08-26,201835,53,53,53,53
2018-09-02,201836,45,45,45,45
2018-09-09,201837,67,67,67,67
2018-09-16,201838,35,35,35,35
2018-09-23,201839,39,39,39,39
2018-09-30,201840,42,42,42,42
2018-10-07,201841,46,46,46,46
2018-10-14,201842,70,70,70,70
2018-10-21,201843,59,59,59,59
2018-10-28,201844,90,90,90,90
2018-11-04,201845,114,114,114,114
2018-11-11,201846,85,85,85,85
2018-11-18,201847,121,121,121,121
2018-11-25,201848,144,144,144,144
2018-12-02,201849,193,193,193,193
2018-12-09,201850,216,216,216,216
2018-12-16,201851,138,138,138,138
2018-12-23,201852,162,162,162,162
2018-12-30,201901,340,340,340,340
2019-01-06,201902,268,268,268,268
2019-01-13,201903,257,257,257,257
2019-01-20,201904,329,329,329,329
2019-01-27,201905,341,341,341,341
2019-02-03,201906,324,324,324,324
2019-02-10,201907,352,352,352,352
2019-02-17,201908,374,374,374,374
2019-02-24,201909,332,332,332,332
2019-03-03,201910,334,334,334,334
2019-03-10,201911,449,449,449,449
2019-03-17,201912,457,457,457,457
2019-03-24,201913,485,485,485,485
2019-03-31,201914,583,583,583,583
2019-04-07,201915,532,532,532,532
2019-04-14,201916,569,569,569,569
2019-04-21,201917,670,670,670,670
2019-04-28,201918,659,659,659,659
2019-05-05,201919,719,719,719,719
2019-05-12,201920,800,800,800,800
2019-05-19,201921,776,776,776,776
2019-05-26,201922,635,635,635,635
2019-06-02,201923,566,566,566,566
2019-06-09,201924,500,500,500,500
2019-06-16,201925,381,381,381,381
2019-06-23,201926,344,344,344,344
2019-06-30,201927,284,284,284,284
2019-07-07,201928,235,235,235,235
2019-07-14,201929,203,203,203,203
2019-07-21,201930,172,172,172,172
2019-07-28,201931,181,181,181,181
2019-08-04,201932,130,130,130,130
2019-08-11,201933,163,163,163,163
2019-08-18,201934,160,160,160,160
2019-08-25,201935,125,125,125,125
2019-09-01,201936,126,126,126,126
2019-09-08,201937,114,114,114,114
2019-09-15,201938,134,134,134,134
2019-09-22,201939,106,106,106,106
2019-09-29,201940,124,124,124,124
2019-10-06,201941,123,123,123,123
2019-10-13,201942,132,132,132,132
2019-10-20,201943,144,144,144,144
2019-10-27,201944,160,160,160,160
2019-11-03,201945,165,165,165,165
2019-11-10,201946,214,214,214,214
2019-11-17,201947,312,312,312,312
2019-11-24,201948,311,311,311,311
2019-12-01,201949,422,422,422,422
2019-12-08,201950,570,570,570,570
2019-12-15,201951,460,460,460,460
2019-12-22,201952,415,415,415,415
2019-12-29,202001,653,653,653,653
2020-01-05,202002,1425,1425,1425,1425
2020-01-12,202003,1773,1773,1773,1773
2020-01-19,202004,2173,2173,2173,2173
2020-01-26,202005,2628,2628,2628,2628
2020-02-02,202006,2695,2695,2695,2695
2020-02-09,202007,2454,2454,2454,2454
2020-02-16,202008,2182,2182,2182,2182
2020-02-23,202009,2032,2032,2032,2032
2020-03-01,202010,2300,2300,2300,2300
2020-03-08,202011,2250,2250,2250,2250
2020-03-15,202012,1730,1730,1730,1730
2020-03-22,202013,1307,1307,1307,1307
2020-03-29,202014,1343,1343,1343,1343
2020-04-05,202015,1306,1306,1306,1306
2020-04-12,202016,1451,1451,1451,1451
2020-04-19,202017,1389,1389,1389,1389
2020-04-26,202018,1436,1436,1436,1436
2020-05-03,202019,1339,1339,1339,1339
2020-05-10,202020,1436,1436,1436,1436
2020-05-17,202021,1364,1364,1364,1364
2020-05-24,202022,1152,1152,1152,1152
2020-05-31,202023,1106,1106,1106,1106
2020-06-07,202024,1022,1022,1022,1022
2020-06-14,202025,957,957,957,957
2020-06-21,202026,700,700,700,700
2020-06-28,202027,586,586,586,586
2020-07-05,202028,504,504,504,504
2020-07-12,202029,395,395,395,395
2020-07-19,202030,395,395,395,395
2020-07-26,202031,284,284,284,284
2020-08-02,202032,238,238,238,238
2020-08-09,202033,243,243,243,243
2020-08-16,202034,167,167,167,167
2020-08-23,202035,139,139,139,139
2020-08-30,202036,165,165,165,165
2020-09-06,202037,141,141,141,141
2020-09-13,202038,135,135,135,135
2020-09-20,202039,137,137,137,137
2020-09-27,202040,99,99,99,99
2020-10-04,202041,114,114,114,114
2020-10-11,202042,89,89,89,89
2020-10-18,202043,102,102,102,102
2020-10-25,202044,89,89,89,89
2020-11-01,202045,134,134,134,134
2020-11-08,202046,127,127,127,127
2020-11-15,202047,143,143,143,143
2020-11-22,202048,145,145,145,145
2020-11-29,202049,215,215,215,215
2020-12-06,202050,220,220,220,220
2020-12-13,202051,185,185,185,185
2020-12-20,202052,187,187,187,187
2020-12-27,202053,166,166,166,166
2021-01-03,202101,511,511,511,511
2021-01-10,202102,529,529,529,529
2021-01-17,202103,618,618,618,618
2021-01-24,202104,690,690,690,690
2021-01-31,202105,784,784,784,784
2021-02-07,202106,724,724,724,724
2021-02-14,202107,1014,1014,1014,1014
2021-02-21,202108,888,888,888,888
2021-02-28,202109,950,950,950,950
2021-03-07,202110,856,856,856,856
2021-03-14,202111,870,870,870,870
2021-03-21,202112,843,843,843,843
2021-03-28,202113,825,825,825,825
2021-04-04,202114,947,947,947,947
2021-04-11,202115,1009,1009,1009,1009
2021-04-18,202116,967,967,967,967
2021-04-25,202117,987,987,987,987
2021-05-02,202118,964,964,964,964
2021-05-09,202119,955,955,955,955
2021-05-16,202120,873,873,873,873
2021-05-23,202121,897,897,897,897
2021-05-30,202122,868,868,868,868
2021-06-06,202123,881,881,881,881
2021-06-13,202124,738,738,738,738
2021-06-20,202125,718,718,718,718
2021-06-27,202126,572,572,572,572
2021-07-04,202127,516,516,516,516
2021-07-11,202128,419,419,419,419
2021-07-18,202129,412,412,412,412
2021-07-25,202130,323,323,323,323
2021-08-01,202131,266,266,266,266
2021-08-08,202132,226,226,226,226
2021-08-15,202133,254,254,254,254
2021-08-22,202134,242,242,242,242
2021-08-29,202135,162,162,162,162
2021-09-05,202136,164,164,164,164
2021-09-12,202137,204,204,204,204
2021-09-19,202138,218,218,218,218
2021-09-26,202139,236,236,236,236
2021-10-03,202140,209,209,209,209
2021-10-10,202141,257,257,257,257
2021-10-17,202142,259,259,259,259
2021-10-24,202143,344,344,344,344
2021-10-31,202144,383,383,383,383
2021-11-07,202145,427,427,427,427
2021-11-14,202146,596,596,596,596
2021-11-21,202147,698,698,698,698
2021-11-28,202148,930,930,930,930
2021-12-05,202149,1103,1103,1103,1103
2021-12-12,202150,950,950,950,950
2021-12-19,202151,641,641,641,641
2021-12-26,202152,139,139,139,139
2022-01-02,202201,1687,1687,1687,1687
2022-01-09,202202,1725,1725,1725,1725
2022-01-16,202203,1748,1748,1748,1748
2022-01-23,202204,1723,1723,1723,1723
2022-01-30,202205,1884,1884,1884,1884
2022-02-06,202206,1729,1729,1729,1729
2022-02-13,202207,1567,1567,1567,1567
2022-02-20,202208,1369,1369,1369,1369
2022-02-27,202209,1715,1715,1715,1715
2022-03-06,202210,1776,1776,1776,1776
2022-03-13,202211,2009,2009,2009,2009
2022-03-20,202212,2338,2338,2338,2338
2022-03-27,202213,2466,2466,2466,2466
2022-04-03,202214,2519,2519,2519,2519
2022-04-10,202215,2502,2502,2502,2502
2022-04-17,202216,2723,2723,2723,2723
2022-04-24,202217,2665,2665,2665,2665
2022-05-01,202218,2356,2356,2356,2356
2022-05-08,202219,2108,2108,2108,2108
2022-05-15,202220,1786,1786,1786,1786
2022-05-22,202221,1493,1493,1493,1493
2022-05-29,202222,1367,1367,1367,1367
2022-06-05,202223,1177,1177,1177,1177
2022-06-12,202224,889,889,889,889
2022-06-19,202225,920,920,920,920
2022-06-26,202226,787,787,787,787
2022-07-03,202227,650,650,650,650
2022-07-10,202228,591,591,591,591
2022-07-17,202229,474,474,474,474
2022-07-24,202230,392,392,392,392
2022-07-31,202231,340,340,340,340
2022-08-07,202232,307,307,307,307
2022-08-14,202233,316,316,316,316
2022-08-21,202234,335,335,335,335
2022-08-28,202235,274,274,274,274
2022-09-04,202236,224,224,224,224
2022-09-11,202237,258,258,258,258
2022-09-18,202238,204,204,204,204
2022-09-25,202239,228,228,228,228
2022-10-02,202240,241,241,241,241
2022-10-09,202241,268,268,268,268
2022-10-16,202242,384,384,384,384
2022-10-23,202243,317,317,317,317
2022-10-30,202244,344,344,344,344
2022-11-06,202245,455,455,455,455
2022-11-13,202246,470,470,470,470
2022-11-20,202247,433,433,433,433
2022-11-27,202248,452,452,452,452
2022-12-04,202249,372,372,372,372
2022-12-11,202250,120,120,120,120
2022-12-18,202251,15,15,15,15
2022-12-25,202252,202,202,202,202
2023-01-01,202301,726,726,726,726
2023-01-08,202302,770,770,770,770
2023-01-15,202303,945,945,945,945
2023-01-22,202304,919,919,919,919
2023-01-29,202305,1144,1144,1144,1144
2023-02-05,202306,1492,1492,1492,1492
2023-02-12,202307,1430,1430,1430,1430
2023-02-19,202308,1333,1333,1333,1333
2023-02-26,202309,1609,1609,1609,1609
2023-03-05,202310,1645,1645,1645,1645
2023-03-12,202311,1685,1685,1685,1685
2023-03-19,202312,2139,2139,2139,2139
2023-03-26,202313,2282,2282,2282,2282
2023-04-02,202314,2162,2162,2162,2162
2023-04-09,202315,2612,2612,2612,2612
2023-04-16,202316,2284,2284,2284,2284
2023-04-23,202317,1940,1940,1940,1940
2023-04-30,202318,2249,2249,2249,2249
2023-05-07,202319,1874,1874,1874,1874
2023-05-14,202320,1670,1670,1670,1670
2023-05-21,202321,1362,1362,1362,1362
2023-05-28,202322,1106,1106,1106,1106
2023-06-04,202323,926,926,926,926
2023-06-11,202324,742,742,742,742
2023-06-18,202325,706,706,706,706
2023-06-25,202326,645,645,645,645
2023-07-02,202327,544,544,544,544
2023-07-09,202328,454,454,454,454
2023-07-16,202329,431,431,431,431
2023-07-23,202330,383,383,383,383
2023-07-30,202331,426,426,426,426
2023-08-06,202332,350,350,350,350
2023-08-13,202333,330,330,330,330
2023-08-20,202334,293,293,293,293
2023-08-27,202335,277,277,277,277
2023-09-03,202336,221,221,221,221
2023-09-10,202337,286,286,286,286
2023-09-17,202338,301,301,301,301
2023-09-24,202339,249,249,249,249
2023-10-01,202340,273,273,273,273
2023-10-08,202341,286,286,286,286
2023-10-15,202342,338,338,338,338
2023-10-22,202343,332,332,332,332
2023-10-29,202344,288,288,288,288
2023-11-05,202345,364,364,364,364
2023-11-12,202346,308,308,308,308
2023-11-19,202347,393,393,393,393
2023-11-26,202348,368,368,368,368
2023-12-03,202349,376,376,376,376
2023-12-10,202350,278,278,278,278
2023-12-17,202351,127,127,127,127
2023-12-24,202352,233,233,233,233
2023-12-31,202401,836,836,836,836
2024-01-07,202402,936,936,936,936
2024-01-14,202403,1253,1253,1253,1253
2024-01-21,202404,1448,1451,1448,1523
2024-01-28,202405,1876,1888,1876,2021
2024-02-04,202406,2133,2164,2133,2387
2024-02-11,202407,2324,2381,2325,2752
2024-02-18,202408,2638,2746,2644,3266
2024-02-25,202409,2316,2503,2330,3288
2024-03-03,202410,1961,2282.5,1992,3612
2024-03-10,202411,1825,2452.5,1898,5129
2024-03-17,202412,1161,2456.5,1349,8716
2024-03-24,202413,209,2762.5,630,15648
