"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,269,269,269,269
2018-01-07,201802,119,119,119,119
2018-01-14,201803,154,154,154,154
2018-01-21,201804,153,153,153,153
2018-01-28,201805,160,160,160,160
2018-02-04,201806,138,138,138,138
2018-02-11,201807,117,117,117,117
2018-02-18,201808,149,149,149,149
2018-02-25,201809,164,164,164,164
2018-03-04,201810,171,171,171,171
2018-03-11,201811,150,150,150,150
2018-03-18,201812,172,172,172,172
2018-03-25,201813,176,176,176,176
2018-04-01,201814,272,272,272,272
2018-04-04,201815,301,301,301,301
2018-04-15,201816,288,288,288,288
2018-04-22,201817,295,295,295,295
2018-04-29,201818,279,279,279,279
2018-05-06,201819,245,245,245,245
2018-05-13,201820,247,247,247,247
2018-05-20,201821,175,175,175,175
2018-05-27,201822,152,152,152,152
2018-06-03,201823,104,104,104,104
2018-06-10,201824,105,105,105,105
2018-06-17,201825,86,86,86,86
2018-06-24,201826,94,94,94,94
2018-07-01,201827,70,70,70,70
2018-07-08,201828,55,55,55,55
2018-07-15,201829,51,51,51,51
2018-07-22,201830,46,46,46,46
2018-07-29,201831,43,43,43,43
2018-08-05,201832,42,42,42,42
2018-08-12,201833,52,52,52,52
2018-08-19,201834,65,65,65,65
2018-08-26,201835,39,39,39,39
2018-09-02,201836,49,49,49,49
2018-09-09,201837,40,40,40,40
2018-09-16,201838,41,41,41,41
2018-09-23,201839,47,47,47,47
2018-09-30,201840,65,65,65,65
2018-10-07,201841,69,69,69,69
2018-10-14,201842,82,82,82,82
2018-10-21,201843,79,79,79,79
2018-10-28,201844,124,124,124,124
2018-11-04,201845,157,157,157,157
2018-11-11,201846,172,172,172,172
2018-11-18,201847,220,220,220,220
2018-11-25,201848,341,341,341,341
2018-12-02,201849,403,403,403,403
2018-12-09,201850,493,493,493,493
2018-12-16,201851,527,527,527,527
2018-12-23,201852,577,577,577,577
2018-12-30,201901,790,790,790,790
2019-01-06,201902,1062,1062,1062,1062
2019-01-13,201903,1336,1336,1336,1336
2019-01-20,201904,1317,1317,1317,1317
2019-01-27,201905,1701,1701,1701,1701
2019-02-03,201906,1889,1889,1889,1889
2019-02-10,201907,1572,1572,1572,1572
2019-02-17,201908,1599,1599,1599,1599
2019-02-24,201909,1404,1404,1404,1404
2019-03-03,201910,1227,1227,1227,1227
2019-03-10,201911,1535,1535,1535,1535
2019-03-17,201912,1462,1462,1462,1462
2019-03-24,201913,1429,1429,1429,1429
2019-03-31,201914,1380,1380,1380,1380
2019-04-07,201915,1252,1252,1252,1252
2019-04-14,201916,1059,1059,1059,1059
2019-04-21,201917,1015,1015,1015,1015
2019-04-28,201918,976,976,976,976
2019-05-05,201919,898,898,898,898
2019-05-12,201920,724,724,724,724
2019-05-19,201921,667,667,667,667
2019-05-26,201922,528,528,528,528
2019-06-02,201923,341,341,341,341
2019-06-09,201924,264,264,264,264
2019-06-16,201925,183,183,183,183
2019-06-23,201926,151,151,151,151
2019-06-30,201927,100,100,100,100
2019-07-07,201928,95,95,95,95
2019-07-14,201929,53,53,53,53
2019-07-21,201930,68,68,68,68
2019-07-28,201931,59,59,59,59
2019-08-04,201932,53,53,53,53
2019-08-11,201933,34,34,34,34
2019-08-18,201934,62,62,62,62
2019-08-25,201935,46,46,46,46
2019-09-01,201936,44,44,44,44
2019-09-08,201937,42,42,42,42
2019-09-15,201938,36,36,36,36
