"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,1788,1788,1788,1788
2018-01-07,201802,2003,2003,2003,2003
2018-01-14,201803,2436,2436,2436,2436
2018-01-21,201804,2686,2686,2686,2686
2018-01-28,201805,3265,3265,3265,3265
2018-02-04,201806,2760,2760,2760,2760
2018-02-11,201807,3096,3096,3096,3096
2018-02-18,201808,3735,3735,3735,3735
2018-02-25,201809,4173,4173,4173,4173
2018-03-04,201810,4648,4648,4648,4648
2018-03-11,201811,4413,4413,4413,4413
2018-03-18,201812,4489,4489,4489,4489
2018-03-25,201813,4343,4343,4343,4343
2018-04-01,201814,4854,4854,4854,4854
2018-04-04,201815,4870,4870,4870,4870
2018-04-15,201816,4903,4903,4903,4903
2018-04-22,201817,3651,3651,3651,3651
2018-04-29,201818,4752,4752,4752,4752
2018-05-06,201819,4738,4738,4738,4738
2018-05-13,201820,3967,3967,3967,3967
2018-05-20,201821,2794,2794,2794,2794
2018-05-27,201822,2181,2181,2181,2181
2018-06-03,201823,2093,2093,2093,2093
2018-06-10,201824,1831,1831,1831,1831
2018-06-17,201825,1632,1632,1632,1632
2018-06-24,201826,1134,1134,1134,1134
2018-07-01,201827,989,989,989,989
2018-07-08,201828,798,798,798,798
2018-07-15,201829,693,693,693,693
2018-07-22,201830,578,578,578,578
2018-07-29,201831,720,720,720,720
2018-08-05,201832,644,644,644,644
2018-08-12,201833,561,561,561,561
2018-08-19,201834,582,582,582,582
2018-08-26,201835,551,551,551,551
2018-09-02,201836,497,497,497,497
2018-09-09,201837,551,551,551,551
2018-09-16,201838,624,624,624,624
2018-09-23,201839,660,660,660,660
2018-09-30,201840,801,801,801,801
2018-10-07,201841,668,668,668,668
2018-10-14,201842,867,867,867,867
2018-10-21,201843,889,889,889,889
2018-10-28,201844,890,890,890,890
2018-11-04,201845,975,975,975,975
2018-11-11,201846,1047,1047,1047,1047
2018-11-18,201847,1388,1388,1388,1388
2018-11-25,201848,1402,1402,1402,1402
2018-12-02,201849,1580,1580,1580,1580
2018-12-09,201850,1811,1811,1811,1811
2018-12-16,201851,1378,1378,1378,1378
2018-12-23,201852,1512,1512,1512,1512
2018-12-30,201901,2004,2004,2004,2004
2019-01-06,201902,2526,2526,2526,2526
2019-01-13,201903,2446,2446,2446,2446
2019-01-20,201904,2952,2952,2952,2952
2019-01-27,201905,3297,3297,3297,3297
2019-02-03,201906,3696,3696,3696,3696
2019-02-10,201907,4179,4179,4179,4179
2019-02-17,201908,4191,4191,4191,4191
2019-02-24,201909,3711,3711,3711,3711
2019-03-03,201910,4003,4003,4003,4003
2019-03-10,201911,4906,4906,4906,4906
2019-03-17,201912,6038,6038,6038,6038
2019-03-24,201913,6235,6235,6235,6235
2019-03-31,201914,6724,6724,6724,6724
2019-04-07,201915,6532,6532,6532,6532
2019-04-14,201916,6361,6361,6361,6361
2019-04-21,201917,7040,7040,7040,7040
2019-04-28,201918,7181,7181,7181,7181
2019-05-05,201919,7655,7655,7655,7655
2019-05-12,201920,7939,7939,7939,7939
2019-05-19,201921,6816,6816,6816,6816
2019-05-26,201922,5672,5672,5672,5672
2019-06-02,201923,4882,4882,4882,4882
2019-06-09,201924,4038,4038,4038,4038
2019-06-16,201925,2851,2851,2851,2851
2019-06-23,201926,2487,2487,2487,2487
2019-06-30,201927,1835,1835,1835,1835
2019-07-07,201928,1461,1461,1461,1461
2019-07-14,201929,1353,1353,1353,1353
2019-07-21,201930,981,981,981,981
2019-07-28,201931,926,926,926,926
2019-08-04,201932,836,836,836,836
2019-08-11,201933,706,706,706,706
2019-08-18,201934,824,824,824,824
2019-08-25,201935,682,682,682,682
2019-09-01,201936,781,781,781,781
2019-09-08,201937,675,675,675,675
2019-09-15,201938,739,739,739,739
2019-09-22,201939,797,797,797,797
2019-09-29,201940,893,893,893,893
2019-10-06,201941,720,720,720,720
2019-10-13,201942,804,804,804,804
2019-10-20,201943,759,759,759,759
2019-10-27,201944,858,858,858,858
2019-11-03,201945,948,948,948,948
2019-11-10,201946,792,792,792,792
2019-11-17,201947,891,891,891,891
2019-11-24,201948,859,859,859,859
2019-12-01,201949,986,986,986,986
2019-12-08,201950,1108,1108,1108,1108
2019-12-15,201951,915,915,915,915
2019-12-22,201952,708,708,708,708
2019-12-29,202001,877,877,877,877
2020-01-05,202002,1579,1579,1579,1579
2020-01-12,202003,1848,1848,1848,1848
2020-01-19,202004,2236,2236,2236,2236
