"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,226,226,226,226
2018-01-07,201802,200,200,200,200
2018-01-14,201803,252,252,252,252
2018-01-21,201804,194,194,194,194
2018-01-28,201805,189,189,189,189
2018-02-04,201806,154,154,154,154
2018-02-11,201807,137,137,137,137
2018-02-18,201808,172,172,172,172
2018-02-25,201809,156,156,156,156
2018-03-04,201810,171,171,171,171
2018-03-11,201811,200,200,200,200
2018-03-18,201812,167,167,167,167
2018-03-25,201813,129,129,129,129
2018-04-01,201814,155,155,155,155
2018-04-04,201815,138,138,138,138
2018-04-15,201816,158,158,158,158
2018-04-22,201817,120,120,120,120
2018-04-29,201818,160,160,160,160
2018-05-06,201819,185,185,185,185
2018-05-13,201820,130,130,130,130
2018-05-20,201821,98,98,98,98
2018-05-27,201822,84,84,84,84
2018-06-03,201823,79,79,79,79
2018-06-10,201824,59,59,59,59
2018-06-17,201825,83,83,83,83
2018-06-24,201826,88,88,88,88
2018-07-01,201827,80,80,80,80
2018-07-08,201828,78,78,78,78
2018-07-15,201829,71,71,71,71
2018-07-22,201830,67,67,67,67
2018-07-29,201831,49,49,49,49
2018-08-05,201832,65,65,65,65
2018-08-12,201833,47,47,47,47
2018-08-19,201834,43,43,43,43
2018-08-26,201835,48,48,48,48
2018-09-02,201836,44,44,44,44
2018-09-09,201837,60,60,60,60
2018-09-16,201838,64,64,64,64
2018-09-23,201839,76,76,76,76
2018-09-30,201840,70,70,70,70
2018-10-07,201841,72,72,72,72
2018-10-14,201842,103,103,103,103
2018-10-21,201843,104,104,104,104
2018-10-28,201844,143,143,143,143
2018-11-04,201845,209,209,209,209
2018-11-11,201846,260,260,260,260
2018-11-18,201847,475,475,475,475
2018-11-25,201848,777,777,777,777
2018-12-02,201849,1117,1117,1117,1117
2018-12-09,201850,1131,1131,1131,1131
2018-12-16,201851,857,857,857,857
2018-12-23,201852,793,793,793,793
2018-12-30,201901,841,841,841,841
2019-01-06,201902,866,866,866,866
2019-01-13,201903,1084,1084,1084,1084
2019-01-20,201904,1424,1424,1424,1424
2019-01-27,201905,1837,1837,1837,1837
2019-02-03,201906,2074,2074,2074,2074
2019-02-10,201907,2417,2417,2417,2417
2019-02-17,201908,2725,2725,2725,2725
2019-02-24,201909,3658,3658,3658,3658
2019-03-03,201910,4167,4167,4167,4167
2019-03-10,201911,5111,5111,5111,5111
2019-03-17,201912,4908,4908,4908,4908
2019-03-24,201913,5230,5230,5230,5230
2019-03-31,201914,4636,4636,4636,4636
2019-04-07,201915,5673,5673,5673,5673
2019-04-14,201916,4699,4699,4699,4699
2019-04-21,201917,4406,4406,4406,4406
2019-04-28,201918,4351,4351,4351,4351
2019-05-05,201919,4212,4212,4212,4212
2019-05-12,201920,3358,3358,3358,3358
2019-05-19,201921,2354,2354,2354,2354
2019-05-26,201922,2072,2072,2072,2072
2019-06-02,201923,1755,1755,1755,1755
2019-06-09,201924,1635,1635,1635,1635
2019-06-16,201925,1407,1407,1407,1407
2019-06-23,201926,986,986,986,986
2019-06-30,201927,582,582,582,582
2019-07-07,201928,463,463,463,463
2019-07-14,201929,367,367,367,367
2019-07-21,201930,286,286,286,286
2019-07-28,201931,246,246,246,246
2019-08-04,201932,186,186,186,186
2019-08-11,201933,203,203,203,203
2019-08-18,201934,189,189,189,189
2019-08-25,201935,176,176,176,176
2019-09-01,201936,152,152,152,152
2019-09-08,201937,163,163,163,163
2019-09-15,201938,145,145,145,145
2019-09-22,201939,144,144,144,144
2019-09-29,201940,172,172,172,172
2019-10-06,201941,141,141,141,141
2019-10-13,201942,177,177,177,177
2019-10-20,201943,176,176,176,176
2019-10-27,201944,205,205,205,205
2019-11-03,201945,264,264,264,264
2019-11-10,201946,272,272,272,272
2019-11-17,201947,353,353,353,353
2019-11-24,201948,342,342,342,342
2019-12-01,201949,500,500,500,500
2019-12-08,201950,496,496,496,496
2019-12-15,201951,460,460,460,460
2019-12-22,201952,476,476,476,476
2019-12-29,202001,769,769,769,769
2020-01-05,202002,1898,1898,1898,1898
2020-01-12,202003,2969,2969,2969,2969
2020-01-19,202004,4098,4098,4098,4098
2020-01-26,202005,4327,4327,4327,4327
2020-02-02,202006,5030,5030,5030,5030
2020-02-09,202007,5575,5575,5575,5575
2020-02-16,202008,5172,5172,5172,5172
2020-02-23,202009,5110,5110,5110,5110
2020-03-01,202010,5326,5326,5326,5326
2020-03-08,202011,4692,4692,4692,4692
2020-03-15,202012,3493,3493,3493,3493
2020-03-22,202013,2943,2943,2943,2943
2020-03-29,202014,2667,2667,2667,2667
2020-04-05,202015,2046,2046,2046,2046
2020-04-12,202016,1820,1820,1820,1820
2020-04-19,202017,1615,1615,1615,1615
2020-04-26,202018,1575,1575,1575,1575
2020-05-03,202019,1276,1276,1276,1276
2020-05-10,202020,929,929,929,929
2020-05-17,202021,746,746,746,746
2020-05-24,202022,601,601,601,601
2020-05-31,202023,453,453,453,453
2020-06-07,202024,532,532,532,532
2020-06-14,202025,527,527,527,527
2020-06-21,202026,410,410,410,410
2020-06-28,202027,370,370,370,370
2020-07-05,202028,359,359,359,359
2020-07-12,202029,367,367,367,367
2020-07-19,202030,347,347,347,347
2020-07-26,202031,273,273,273,273
2020-08-02,202032,252,252,252,252
2020-08-09,202033,262,262,262,262
2020-08-16,202034,172,172,172,172
2020-08-23,202035,216,216,216,216
2020-08-30,202036,166,166,166,166
2020-09-06,202037,203,203,203,203
2020-09-13,202038,186,186,186,186
2020-09-20,202039,171,171,171,171
2020-09-27,202040,180,180,180,180
2020-10-04,202041,148,148,148,148
2020-10-11,202042,124,124,124,124
2020-10-18,202043,123,123,123,123
2020-10-25,202044,124,124,124,124
2020-11-01,202045,185,185,185,185
2020-11-08,202046,226,226,226,226
2020-11-15,202047,329,329,329,329
2020-11-22,202048,286,286,286,286
2020-11-29,202049,350,350,350,350
2020-12-06,202050,308,308,308,308
2020-12-13,202051,224,224,224,224
2020-12-20,202052,185,185,185,185
2020-12-27,202053,158,158,158,158
2021-01-03,202101,387,387,387,387
2021-01-10,202102,439,439,439,439
2021-01-17,202103,555,555,555,555
2021-01-24,202104,623,623,623,623
2021-01-31,202105,859,859,859,859
2021-02-07,202106,1098,1098,1098,1098
2021-02-14,202107,1305,1305,1305,1305
2021-02-21,202108,1271,1271,1271,1271
2021-02-28,202109,1372,1372,1372,1372
2021-03-07,202110,1387,1387,1387,1387
2021-03-14,202111,1252,1252,1252,1252
2021-03-21,202112,1122,1122,1122,1122
2021-03-28,202113,1152,1152,1152,1152
2021-04-04,202114,1285,1285,1285,1285
2021-04-11,202115,1132,1132,1132,1132
2021-04-18,202116,1089,1089,1089,1089
2021-04-25,202117,915,915,915,915
2021-05-02,202118,728,728,728,728
2021-05-09,202119,820,820,820,820
2021-05-16,202120,615,615,615,615
2021-05-23,202121,416,416,416,416
2021-05-30,202122,434,434,434,434
2021-06-06,202123,299,299,299,299
2021-06-13,202124,239,239,239,239
2021-06-20,202125,212,212,212,212
2021-06-27,202126,131,131,131,131
2021-07-04,202127,149,149,149,149
2021-07-11,202128,133,133,133,133
2021-07-18,202129,153,153,153,153
2021-07-25,202130,103,103,103,103
2021-08-01,202131,123,123,123,123
2021-08-08,202132,133,133,133,133
2021-08-15,202133,153,153,153,153
2021-08-22,202134,119,119,119,119
2021-08-29,202135,117,117,117,117
2021-09-05,202136,125,125,125,125
2021-09-12,202137,148,148,148,148
2021-09-19,202138,155,155,155,155
2021-09-26,202139,153,153,153,153
2021-10-03,202140,108,108,108,108
2021-10-10,202141,118,118,118,118
2021-10-17,202142,140,140,140,140
2021-10-24,202143,109,109,109,109
2021-10-31,202144,140,140,140,140
2021-11-07,202145,145,145,145,145
2021-11-14,202146,143,143,143,143
2021-11-21,202147,166,166,166,166
2021-11-28,202148,148,148,148,148
2021-12-05,202149,129,129,129,129
2021-12-12,202150,80,80,80,80
2021-12-19,202151,36,36,36,36
2021-12-26,202152,5,5,5,5
2022-01-02,202201,359,359,359,359
2022-01-09,202202,459,459,459,459
2022-01-16,202203,430,430,430,430
2022-01-23,202204,374,374,374,374
2022-01-30,202205,374,374,374,374
2022-02-06,202206,418,418,418,418
2022-02-13,202207,444,444,444,444
2022-02-20,202208,399,399,399,399
2022-02-27,202209,631,631,631,631
2022-03-06,202210,788,788,788,788
2022-03-13,202211,974,974,974,974
2022-03-20,202212,1309,1309,1309,1309
2022-03-27,202213,1592,1592,1592,1592
2022-04-03,202214,1743,1743,1743,1743
2022-04-10,202215,2140,2140,2140,2140
2022-04-17,202216,2685,2685,2685,2685
2022-04-24,202217,3292,3292,3292,3292
2022-05-01,202218,4255,4255,4255,4255
2022-05-08,202219,3373,3373,3373,3373
2022-05-15,202220,2271,2271,2271,2271
2022-05-22,202221,2141,2141,2141,2141
2022-05-29,202222,2050,2050,2050,2050
2022-06-05,202223,1686,1686,1686,1686
2022-06-12,202224,1218,1218,1218,1218
2022-06-19,202225,1309,1309,1309,1309
2022-06-26,202226,1147,1147,1147,1147
2022-07-03,202227,949,949,949,949
2022-07-10,202228,903,903,903,903
2022-07-17,202229,794,794,794,794
2022-07-24,202230,754,754,754,754
2022-07-31,202231,793,793,793,793
2022-08-07,202232,552,552,552,552
2022-08-14,202233,531,531,531,531
2022-08-21,202234,519,519,519,519
2022-08-28,202235,480,480,480,480
2022-09-04,202236,409,409,409,409
2022-09-11,202237,446,446,446,446
2022-09-18,202238,419,419,419,419
2022-09-25,202239,461,461,461,461
2022-10-02,202240,536,536,536,536
2022-10-09,202241,514,514,514,514
2022-10-16,202242,759,759,759,759
2022-10-23,202243,810,810,810,810
2022-10-30,202244,816,816,816,816
2022-11-06,202245,1020,1020,1020,1020
2022-11-13,202246,1223,1223,1223,1223
2022-11-20,202247,1258,1258,1258,1258
2022-11-27,202248,1134,1134,1134,1134
2022-12-04,202249,949,949,949,949
2022-12-11,202250,303,303,303,303
2022-12-18,202251,13,13,13,13
2022-12-25,202252,245,245,245,245
2023-01-01,202301,1302,1302,1302,1302
2023-01-08,202302,1363,1363,1363,1363
2023-01-15,202303,1506,1506,1506,1506
2023-01-22,202304,1931,1931,1931,1931
2023-01-29,202305,2227,2227,2227,2227
2023-02-05,202306,2810,2810,2810,2810
2023-02-12,202307,3080,3080,3080,3080
2023-02-19,202308,3328,3328,3328,3328
2023-02-26,202309,4377,4377,4377,4377
2023-03-05,202310,5248,5248,5248,5248
2023-03-12,202311,5353,5353,5353,5353
2023-03-19,202312,6711,6711,6711,6711
2023-03-26,202313,6875,6875,6875,6875
2023-04-02,202314,6020,6020,6020,6020
2023-04-09,202315,6545,6545,6545,6545
2023-04-16,202316,5438,5438,5438,5438
2023-04-23,202317,4263,4263,4263,4263
2023-04-30,202318,4912,4912,4912,4912
2023-05-07,202319,4416,4416,4416,4416
2023-05-14,202320,3878,3878,3878,3878
2023-05-21,202321,2852,2852,2852,2852
2023-05-28,202322,2138,2138,2138,2138
2023-06-04,202323,1599,1599,1599,1599
2023-06-11,202324,997,997,997,997
2023-06-18,202325,897,897,897,897
2023-06-25,202326,944,944,944,944
2023-07-02,202327,771,771,771,771
2023-07-09,202328,584,584,584,584
2023-07-16,202329,503,503,503,503
2023-07-23,202330,404,404,404,404
2023-07-30,202331,451,451,451,451
2023-08-06,202332,424,424,424,424
2023-08-13,202333,337,337,337,337
2023-08-20,202334,346,346,346,346
2023-08-27,202335,332,332,332,332
2023-09-03,202336,268,268,268,268
2023-09-10,202337,352,352,352,352
2023-09-17,202338,364,364,364,364
2023-09-24,202339,331,331,331,331
